"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"Acrobat","94784","Previous screen","pageup or shift+enter","pageup or shift+enter","Acrobat","Document Navigation","shift"
"Acrobat","94785","Next screen","pagedown or enter","pagedown or enter","Acrobat","Document Navigation","None"
"Acrobat","94786","First page","home or ctrl+shift+pageup or ctrl+shift+up","home or shift+cmd+up","Acrobat","Document Navigation","ctrl shift"
"Acrobat","94787","Last page","end or ctrl+shift+pagedown or ctrl+shift+down","end or shift+cmd+down","Acrobat","Document Navigation","ctrl shift"
"Acrobat","94788","Previous page","left or ctrl+pageup","left or cmd+pageup","Acrobat","Document Navigation","ctrl"
"Acrobat","94789","Next page","right or ctrl+pagedown","right or cmd+pagedown","Acrobat","Document Navigation","ctrl"
"Acrobat","94790","Go to page","ctrl+shift+n","shift+cmd+n","Acrobat","Document Navigation","ctrl shift"
"Acrobat","94791","Previous open document","ctrl+f6","cmd+f6","Acrobat","Document Navigation","ctrl"
"Acrobat","94792","Next open document","ctrl+shift+f6","shift+cmd+f6","Acrobat","Document Navigation","ctrl shift"
"Acrobat","94793","Scroll up","up","up","Acrobat","Document Navigation","None"
"Acrobat","94794","Scroll down","down","down","Acrobat","Document Navigation","None"
"Acrobat","94795","Scroll (when Hand tool is selected)","space","space","Acrobat","Document Navigation","None"
"Acrobat","94796","Zoom in","ctrl+=","cmd+=","Acrobat","Document Navigation","ctrl"
"Acrobat","94797","Zoom out","ctrl+-","cmd+-","Acrobat","Document Navigation","ctrl"
"Acrobat","94798","Sticky Note tool","s","s","Acrobat","Comments","None"
"Acrobat","94799","Text Edits tool","e","e","Acrobat","Comments","None"
"Acrobat","94800","Stamp tool","k","k","Acrobat","Comments","None"
"Acrobat","94801","Current highlighting tool","u","u","Acrobat","Comments","None"
"Acrobat","94802","Cycle through highlighting tools: Highlighter, Underline Text, Cross Out Text","shift+u","shift+u","Acrobat","Comments","shift"
"Acrobat","94803","Current drawing markup tool","d","d","Acrobat","Comments","None"
"Acrobat","94804","Cycle through drawing markup tools","shift+d","shift+d","Acrobat","Comments","shift"
"Acrobat","94805","Cloud tool","q","q","Acrobat","Comments","None"
"Acrobat","94806","Text Box tool","x","x","Acrobat","Comments","None"
"Acrobat","94807","Current Stamp or Attach tool","j","j","Acrobat","Comments","None"
"Acrobat","94808","Cycle through Stamp, Attach File, Record Audio Comment","shift+j","shift+j","Acrobat","Comments","shift"
"Acrobat","94809","Move focus to the next comment or form field","tab","tab","Acrobat","Comments","None"
"Acrobat","94810","Move focus to previous comment or form field","shift+tab","shift+tab","Acrobat","Comments","shift"
"Acrobat","94811","Add a checkmark in the Comments List for the selected comment","shift+k","shift+k","Acrobat","Comments","shift"
"Acrobat","94812","Open pop-up note (or text field in the Comments List) for comment that has the focus","enter","enter","Acrobat","Comments","None"
"Acrobat","94813","Reply to the comment, in the Comments List, that has the focus","r","r","Acrobat","Comments","None"
"Acrobat","94814","Close or exit pop-up (or text field in the Comments List) for comment that has the focus","esc","esc","Acrobat","Comments","None"
"Acrobat","94815","Toggle between editing and previewing your form","p","p","Acrobat","Forms","None"
"Acrobat","94816","Toggle Guides On / Off","g","g","Acrobat","Forms","None"
"Acrobat","94817","Align selected fields left","l","l","Acrobat","Forms","None"
"Acrobat","94818","Align selected fields right","r","r","Acrobat","Forms","None"
"Acrobat","94819","Align selected fields top","t","t","Acrobat","Forms","None"
"Acrobat","94820","Align selected fields bottom","b","b","Acrobat","Forms","None"
"Acrobat","94821","Align selected fields horizontal","h","h","Acrobat","Forms","None"
"Acrobat","94822","Align selected fields vertical","v","v","Acrobat","Forms","None"
"Acrobat","94823","Center fields horizontally","shift+h","shift+h","Acrobat","Forms","shift"
"Acrobat","94824","Center fields vertically","shift+v","shift+v","Acrobat","Forms","shift"
"Acrobat","94825","Highlight fields","shift+l","shift+l","Acrobat","Forms","shift"
"Acrobat","94826","Show Tab Order","shift+n","shift+n","Acrobat","Forms","shift"
"Acrobat","94827","Document JavaScripts","shift+d","shift+d","Acrobat","Forms","shift"
"Acrobat","94828","Move focus to the next or previous row when in the body of the file list on the left","up or down","up or down","Acrobat","PDF Portfolios","None"
"Acrobat","94829","If pressed in the body of the file list, navigate one level up from within a folder","backspace","del","Acrobat","PDF Portfolios","None"
"Acrobat","94830","Press the Go Back button in a folder if focus is on the button.","enter or space","enter or space","Acrobat","PDF Portfolios","None"
"Acrobat","94831","Open focused item","enter","enter","Acrobat","PDF Portfolios","None"
"Acrobat","94832","If in the body of the file list, move to the first or last row","home or end","home or end","Acrobat","PDF Portfolios","None"
"Acrobat","94833","If in the body of the file list, move to the next or last set of rows to fit the screen","pagedown or pageup","pagedown or pageup","Acrobat","PDF Portfolios","None"
"Acrobat","94834","Select or deselect all files","ctrl+a or ctrl+shift+a","cmd+a or shift+cmd+a","Acrobat","PDF Portfolios","ctrl shift"
"Acrobat, Acrobat","94835","Extend the selection by adding the next row above or below the selected row","shift+up or shift+down","shift+up or shift+down","Acrobat","PDF Portfolios","shift"
"Acrobat","94836","Change whether the row with focus is in the selection","ctrl+space","cmd+space","Acrobat","PDF Portfolios","ctrl"
"Acrobat, Acrobat","94837","Move focus up or down one row without changing the selection","ctrl+up or ctrl+down","cmd+up or cmd+down","Acrobat","PDF Portfolios","ctrl"
"Acrobat","94838","Move focus to the next pane","f6","f6","Acrobat","Task Panes","None"
"Acrobat","94839","Move focus to the previous pane","shift+f6","shift+f6","Acrobat","Task Panes","shift"
"Acrobat","94840","Move focus to the next panel in the Task pane","ctrl+tab","alt+tab","Acrobat","Task Panes","ctrl"
"Acrobat","94841","Move focus to the previous panel in the Task pane","ctrl+shift+tab","shift+cmd+tab","Acrobat","Task Panes","ctrl shift"
"Acrobat","94842","Navigate to the next panel and panel control within an open Task pane","tab","tab","Acrobat","Task Panes","None"
