"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"","43092","Select all","ctrl+a","cmd+a","After Effects","General","ctrl"
"","43093","Deselect all","f2 or ctrl+shift+a","f2 or shift+cmd+a","After Effects","General","ctrl shift"
"","43094","Rename selected layer, composition, folder, effect, group, or mask","enter","enter","After Effects","General","None"
"","43095","Open selected layer, composition, or footage item","numenter","numenter","After Effects","General","None"
"","43096","Move selected layers, masks, effects, or render items down (back) or up (forward) in stacking order","ctrl+alt+down or ctrl+alt+up","alt+cmd+down or alt+cmd+up","After Effects","General","ctrl alt"
"","43097","Move selected layers, masks, effects, or render items to bottom (back) or top (front) of stacking order","ctrl+alt+shift+down or ctrl+alt+shift+up","alt+shift+cmd+down or alt+shift+cmd+up","After Effects","General","ctrl alt shift"
"","43098","Extend selection to next item in Project panel, Render Queue panel, or Effect Controls panel","shift+down","shift+down","After Effects","General","shift"
"","43099","Extend selection to previous item in Project panel, Render Queue panel, or Effect Controls panel","shift+up","shift+up","After Effects","General","shift"
"","43100","Duplicate selected layers, masks, effects, text selectors, animators, puppet meshes, shapes, render items, output modules, or compositions","ctrl+d","cmd+d","After Effects","General","ctrl"
"","43101","Quit","ctrl+q","cmd+q","After Effects","General","ctrl"
"","43102","Undo","ctrl+z","cmd+z","After Effects","General","ctrl"
"","43103","Redo","ctrl+shift+z","shift+cmd+z","After Effects","General","ctrl shift"
"","43104","Purge All Memory","ctrl+alt+num/","alt+cmd+num/","After Effects","General","ctrl alt"
"","43105","Interrupt running a script","esc","esc","After Effects","General","None"
"","43106","Display filename corresponding to the frame at the current time in the Info panel","ctrl+alt+e","alt+cmd+e","After Effects","General","ctrl alt"
"","43107","New project","ctrl+alt+n","alt+cmd+n","After Effects","Projects","ctrl alt"
"","43108","Open project","ctrl+o","cmd+o","After Effects","Projects","ctrl"
"","43109","Open most recent project","ctrl+alt+shift+p","alt+shift+cmd+p","After Effects","Projects","ctrl alt shift"
"","43110","New folder in Project panel","ctrl+alt+shift+n","alt+shift+cmd+n","After Effects","Projects","ctrl alt shift"
"","43111","Open Project Settings dialog box","ctrl+alt+shift+k","alt+shift+cmd+k","After Effects","Projects","ctrl alt shift"
"","43112","Find in Project panel","ctrl+f","cmd+f","After Effects","Projects","ctrl"
"","43113","Open Preferences dialog box","ctrl+alt+;","alt+cmd+;","After Effects","Preferences","ctrl alt"
"","43114","Open or close Project panel","ctrl+0","cmd+0","After Effects","Panels, viewers, workspaces, and windows","ctrl"
"","43115","Open or close Render Queue panel","ctrl+alt+0","alt+cmd+0","After Effects","Panels, viewers, workspaces, and windows","ctrl alt"
"","43116","Open or close Tools panel","ctrl+1","cmd+1","After Effects","Panels, viewers, workspaces, and windows","ctrl"
"","43117","Open or close Info panel","ctrl+2","cmd+2","After Effects","Panels, viewers, workspaces, and windows","ctrl"
"","43118","Open or close Preview panel","ctrl+3","cmd+3","After Effects","Panels, viewers, workspaces, and windows","ctrl"
"","43119","Open or close Audio panel","ctrl+4","cmd+4","After Effects","Panels, viewers, workspaces, and windows","ctrl"
"","43120","Open or close Effects & Presets panel","ctrl+5","cmd+5","After Effects","Panels, viewers, workspaces, and windows","ctrl"
"","43121","Open or close Character panel","ctrl+6","cmd+6","After Effects","Panels, viewers, workspaces, and windows","ctrl"
"","43122","Open or close Paragraph panel","ctrl+7","cmd+7","After Effects","Panels, viewers, workspaces, and windows","ctrl"
"","43123","Open or close Paint panel","ctrl+8","cmd+8","After Effects","Panels, viewers, workspaces, and windows","ctrl"
"","43124","Open or close Brushes panel","ctrl+9","cmd+9","After Effects","Panels, viewers, workspaces, and windows","ctrl"
"","43125","Open or close Effect Controls panel for selected layer","f3 or ctrl+shift+t","f3 or shift+cmd+t","After Effects","Panels, viewers, workspaces, and windows","ctrl shift"
"","43126","Open Flowchart panel for project flowchart","ctrl+f11","cmd+f11","After Effects","Panels, viewers, workspaces, and windows","ctrl"
"","43127","Switch to workspace","shift+f10 or shift+f11 or shift+f12","shift+f10 or shift+f11 or shift+f12","After Effects","Panels, viewers, workspaces, and windows","shift"
"","43128","Close active viewer or panel (closes content first)","ctrl+w","cmd+w","After Effects","Panels, viewers, workspaces, and windows","ctrl"
"","43129","Close active panel or all viewers of type of active viewer (closes content first). For example, if a Timeline panel is active, this command closes all Timeline panels.","ctrl+shift+w","shift+cmd+w","After Effects","Panels, viewers, workspaces, and windows","ctrl shift"
"","43130","Split the frame containing the active viewer and create a viewer with opposite locked/unlocked state","ctrl+alt+shift+n","alt+shift+cmd+n","After Effects","Panels, viewers, workspaces, and windows","ctrl alt shift"
"","43131","Maximize or restore panel under pointer","`","`","After Effects","Panels, viewers, workspaces, and windows","None"
"","43132","Resize application window or floating window to fit screen. (Press again to resize window so that contents fill the screen.)","ctrl+\","cmd+\","After Effects","Panels, viewers, workspaces, and windows","ctrl"
"","43133","Move application window or floating window to main monitor; resize window to fit screen. (Press again to resize window so that contents fill the screen.)","ctrl+alt+\","alt+cmd+\","After Effects","Panels, viewers, workspaces, and windows","ctrl alt"
"","43134","Toggle activation between Composition panel and Timeline panel for current composition","\","\","After Effects","Panels, viewers, workspaces, and windows","None"
"","43135","Cycle to previous or next item in active viewer (for example, cycle through open compositions)","shift+, or shift+.","shift+, or shift+.","After Effects","Panels, viewers, workspaces, and windows","shift"
"","43136","Cycle to previous or next panel in active frame (for example, cycle through open Timeline panels)","alt+shift+, or alt+shift+.","alt+shift+, or alt+shift+.","After Effects","Panels, viewers, workspaces, and windows","alt shift"
"","43137","Activate Selection tool","v","v","After Effects","Activate tools","None"
"","43138","Activate Hand tool","h","h","After Effects","Activate tools","None"
"","43139","Temporarily activate Hand tool","space","space","After Effects","Activate tools","None"
"","43140","Activate Zoom In tool","z","z","After Effects","Activate tools","None"
"","43141","Activate Zoom Out tool","alt","alt","After Effects","Activate tools","alt"
"","43142","Activate Rotation tool","w","w","After Effects","Activate tools","None"
"","43143","Activate Roto Brush tool","alt+w","alt+w","After Effects","Activate tools","alt"
"","43144","Activate Refine Edge tool","alt+w","alt+w","After Effects","Activate tools","alt"
"","43145","Activate and cycle through Camera tools (Unified Camera, Orbit Camera, Track XY Camera, and Track Z Camera)","c","c","After Effects","Activate tools","None"
"","43146","Activate Pan Behind tool","y","y","After Effects","Activate tools","None"
"","43147","Activate and cycle through mask and shape tools (Rectangle, Rounded Rectangle, Ellipse, Polygon, Star)","q","q","After Effects","Activate tools","None"
"","43148","Activate and cycle through Type tools (Horizontal and Vertical)","ctrl+t","cmd+t","After Effects","Activate tools","ctrl"
"","43149","Activate and cycle between the Pen and Mask Feather tools. (Note: You can turn off this setting in the Preferences dialog box.)","g","g","After Effects","Activate tools","None"
"","43150","Temporarily activate Selection tool when a pen tool is selected","ctrl","cmd","After Effects","Activate tools","ctrl"
"","43151","Temporarily activate Pen tool when the Selection tool is selected and pointer is over a path (Add Vertex tool when pointer is over a segment; Convert Vertex tool when pointer is over a vertex)","ctrl+alt","alt+cmd","After Effects","Activate tools","ctrl alt"
"","43152","Activate and cycle through Brush, Clone Stamp, and Eraser tools","ctrl+b","cmd+b","After Effects","Activate tools","ctrl"
"","43153","Activate and cycle through Puppet tools","ctrl+p","cmd+p","After Effects","Activate tools","ctrl"
"","43154","Temporarily convert Selection tool to Shape Duplication tool","alt","alt","After Effects","Activate tools","alt"
