"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"Airtable","62420","Undo action.","ctrl+z","cmd+z","Airtable","General","ctrl"
"Airtable","62421","Redo action.","ctrl+y or ctrl+shift+z","cmd+y or shift+cmd+z","Airtable","General","ctrl shift"
"Airtable","62422","Print the current table view or current expanded record","ctrl+p","cmd+p","Airtable","General","ctrl"
"Airtable","62423","Opens the table switcher in the current base.","ctrl+j","cmd+j","Airtable","General","ctrl"
"Airtable","62424","Opens the quick base switcher if on the home screen or inside a base.","ctrl+k","cmd+k","Airtable","General","ctrl"
"Airtable","62425","Opens the view switcher in the current base.","ctrl+shift+k","shift+cmd+k","Airtable","General","ctrl shift"
"Airtable","62426","Opens the filter menu in the current view. Press Enter to create a new filter.","ctrl+shift+f","shift+cmd+f","Airtable","General","ctrl shift"
"Airtable","62427","Opens the grouped records menu in the current view.","ctrl+shift+d","shift+cmd+d","Airtable","General","ctrl shift"
"Airtable","62428","Opens the sort menu in the current view. Press Enter to re-apply the most recent sort.","ctrl+shift+s","shift+cmd+s","Airtable","General","ctrl shift"
"Airtable","62429","Toggles blocks.","ctrl+shift+\","shift+cmd+\","Airtable","General","ctrl shift"
"Airtable","62430","Opens find bar. Use Esc to close find bar.","ctrl+f or ctrl+g","cmd+f or cmd+g","Airtable","General","ctrl"
"Airtable","62431","Sets the selected date/datetime field to now.","ctrl+;","cmd+;","Airtable","General","ctrl"
"Airtable","62432","Copy a cell or range of cells.","ctrl+c","cmd+c","Airtable","Grid view","ctrl"
"Airtable","62433","Cut a cell or range of cells.","ctrl+x","cmd+x","Airtable","Grid view","ctrl"
"Airtable","62434","Paste a cell ( you can paste the same value into multiple selected cells at once).","ctrl+v","cmd+v","Airtable","Grid view","ctrl"
"Airtable","62435","Expand the active record (use Esc to return to table).","space","space","Airtable","Grid view","None"
"Airtable","62436","Expand the active cell (you can then use arrow keys to move to different cells).","shift+space","shift+space","Airtable","Grid view","shift"
"Airtable","62437","Scrolls one screen up or down.","pageup or pagedown","pageup or pagedown","Airtable","Grid view","None"
"Airtable","62438","Scrolls one screen left or right.","alt+pageup or alt+pagedown","alt+pageup or alt+pagedown","Airtable","Grid view","alt"
"Airtable","62439","Jump to the edge of the table.","ctrl+left or ctrl+right or ctrl+up or ctrl+down","cmd+left or cmd+right or cmd+up or cmd+down","Airtable","Grid view","ctrl"
"Airtable","62440","Jump to edge of table and select cells.","ctrl+shift+left or ctrl+shift+right or ctrl+shift+up or ctrl+shift+down","shift+cmd+left or shift+cmd+right or shift+cmd+up or shift+cmd+down","Airtable","Grid view","ctrl shift"
"Airtable","62441","Select range of cells.","shift+left or shift+right or shift+up or shift+down","shift+left or shift+right or shift+up or shift+down","Airtable","Grid view","shift"
"Airtable","62442","Insert a record below the selected cell.","shift+enter","shift+enter","Airtable","Grid view","shift"
"Airtable","62443","Edit the selected cell.","enter or f2","enter or f2","Airtable","Grid view","None"
"Airtable","62444","Scroll to edge of gallery.","ctrl+up or ctrl+down","cmd+up or cmd+down","Airtable","Gallery view","ctrl"
"Airtable","62445","Scroll kanban board to the left or right by one stack.","left or right","left or right","Airtable","Kanban view","None"
"Airtable","62446","Scroll kanban board to the left or right edge.","ctrl+left or ctrl+right","cmd+left or cmd+right","Airtable","Kanban view","ctrl"
"Airtable","62447","Scroll all stacks to top or bottom.","ctrl+up or ctrl+down","cmd+up or cmd+down","Airtable","Kanban view","ctrl"
"Airtable","62448","Move to previous record while viewing an expanded record.","ctrl+shift+<","ctrl+shift+<","Airtable","Expanded record","ctrl shift"
"Airtable","62449","Move to next record while viewing an expanded record.","ctrl+shift+>","ctrl+shift+>","Airtable","Expanded record","ctrl shift"
"Airtable","62450","Close expanded record.","esc","esc","Airtable","Expanded record","None"
