"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"","139336","Add item","ctrl+alt+a","ctrl+cmd+a","Amazing Marvin","Global","ctrl alt"
"","139337","Show menu bar","alt","n/a","Amazing Marvin","Global","alt"
"","139338","Quick add task","space","space","Amazing Marvin","Global","None"
"","139339","Quick add task (alias)","shift+t","shift+t","Amazing Marvin","Global","shift"
"","139340","Quick add project","shift+p","shift+p","Amazing Marvin","Global","shift"
"","139341","Quick open project/category","shift+space","shift+space","Amazing Marvin","Global","shift"
"","139342","Quick open Inbox","shift+i","shift+i","Amazing Marvin","Global","shift"
"","139343","Open Task/Project search","shift+s","shift+s","Amazing Marvin","Global","shift"
"","139344","Exit current dialog/overlay/pocket","esc","esc","Amazing Marvin","Global","None"
"","139345","Open Strategies","s","s","Amazing Marvin","Global","None"
"","139346","Open settings",",",",","Amazing Marvin","Global","None"
"","139347","Open shortcut help","?","?","Amazing Marvin","Global","None"
"","139348","Open timers","t","t","Amazing Marvin","Global","None"
"","139349","Go Fullscreen","shift+f","shift+f","Amazing Marvin","Global","shift"
"","139350","Add filter","alt+f","alt+f","Amazing Marvin","Global","alt"
"","139351","Remove last filter","alt+shift+f","alt+shift+f","Amazing Marvin","Global","alt shift"
"","139352","Undo","ctrl+z","cmd+z","Amazing Marvin","Global","ctrl"
"","139353","Redo","ctrl+y or ctrl+shift+z","cmd+y or shift+cmd+z","Amazing Marvin","Global","ctrl shift"
"","139354","Add task to top of list","shift+enter","shift+enter","Amazing Marvin","Input bar / title editing","shift"
"","139355","Assign to category/project","""#""","""#""","Amazing Marvin","Input bar / title editing","Text Snippet"
"","139356","Send task to inbox","""#inbox""","""#inbox""","Amazing Marvin","Input bar / title editing","Text Snippet"
"","139357","Assign to goal","""##""","""##""","Amazing Marvin","Input bar / title editing","Text Snippet"
"","139358","Load a saved task","""load""","""load""","Amazing Marvin","Input bar / title editing","Text Snippet"
"","139359","Add due date","""due""","""due""","Amazing Marvin","Input bar / title editing","Text Snippet"
"","139360","Add review date","""review""","""review""","Amazing Marvin","Input bar / title editing","Text Snippet"
"","139361","Add start date","""starts""","""starts""","Amazing Marvin","Input bar / title editing","Text Snippet"
"","139362","Add end date","""ends""","""ends""","Amazing Marvin","Input bar / title editing","Text Snippet"
"","139363","",""" +""",""" +""","Amazing Marvin","Input bar / title editing","Text Snippet"
"","139364","Plan task for week or month","""&""","""&""","Amazing Marvin","Input bar / title editing","Text Snippet"
"","139365","Add label","""@""","""@""","Amazing Marvin","Input bar / title editing","Text Snippet"
"","139366","Add time estimate","""ca.""","""ca.""","Amazing Marvin","Input bar / title editing","Text Snippet"
"","139367","Add priority star, frog, or reward","""*""","""*""","Amazing Marvin","Input bar / title editing","Text Snippet"
