"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"Anki","221969","Close dialog","esc","esc","Anki","General","None"
"Anki","221970","Guide","f1","f1","Anki","General","None"
"Anki","221971","Switch Profile","ctrl+shift+p","shift+cmd+p","Anki","File","ctrl shift"
"Anki","221972","Import","ctrl+shift+i","shift+cmd+i","Anki","File","ctrl shift"
"Anki","221973","Export","ctrl+e","cmd+e","Anki","File","ctrl"
"Anki","221974","Exit","ctrl+q","cmd+q","Anki","File","ctrl"
"Anki, Anki","221975","Undo","ctrl+z","cmd+z","Anki","Edit","ctrl"
"Anki","221976","Start Dictation...","n/a","fn fn","Anki","Edit","None"
"Anki","221977","Emoji & Symbols","n/a","ctrl+cmd+space","Anki","Edit","None"
"Anki","221978","Study Deck","/","/","Anki","Tools","None"
"Anki","221979","Create Filtered Deck...","f","f","Anki","Tools","None"
"Anki","221980","Add-ons","ctrl+shift+a","shift+cmd+a","Anki","Tools","ctrl shift"
"Anki","221981","Manage Note Types","ctrl+shift+n","shift+cmd+n","Anki","Tools","ctrl shift"
"Anki","221982","Preferences...","ctrl+p","cmd+p","Anki","Tools","ctrl"
"Anki","221983","Decks","d","d","Anki","Home Screen","None"
"Anki","221984","Add","a","a","Anki","Home Screen","None"
"Anki","221985","Browse","b","b","Anki","Home Screen","None"
"Anki","221986","Stats","t","t","Anki","Home Screen","None"
"Anki","221987","Sync","y","y","Anki","Home Screen","None"
"Anki","221988","Import File","ctrl+shift+i","shift+cmd+i","Anki","Home Screen","ctrl shift"
"Anki","221989","Press the first answer button","1","1","Anki","Reviewer","None"
"Anki","221990","Press the 2nd answer button","2","2","Anki","Reviewer","None"
"Anki","221991","Press the 3rd answer button","3","3","Anki","Reviewer","None"
"Anki","221992","Press the 4th answer button","4","4","Anki","Reviewer","None"
"Anki","221993","Edit Card","e","e","Anki","Reviewer","None"
"Anki","221994","Flip Card/Answer Good","space or enter","space or enter","Anki","Reviewer","None"
"Anki","221995","Red Flag","ctrl+1","cmd+1","Anki","Reviewer","ctrl"
"Anki","221996","Orange Flag","ctrl+2","cmd+2","Anki","Reviewer","ctrl"
"Anki","221997","Green Flag","ctrl+3","cmd+3","Anki","Reviewer","ctrl"
"Anki","221998","Blue Flag","ctrl+4","cmd+4","Anki","Reviewer","ctrl"
"Anki","221999","Mark Note","*","*","Anki","Reviewer","None"
"Anki","222000","Bury Card","-","-","Anki","Reviewer","None"
"Anki","222001","Bury Note","=","=","Anki","Reviewer","None"
"Anki","222002","Suspend Card","""@""","""@""","Anki","Reviewer","Text Snippet"
"Anki","222003","Suspend Note","!","!","Anki","Reviewer","None"
"Anki","222004","Delete Note","ctrl+del","cmd+del","Anki","Reviewer","ctrl"
"Anki","222005","Options","o","o","Anki","Reviewer","None"
"Anki","222006","Replay Audio","r","r","Anki","Reviewer","None"
"Anki","222007","Pause Audio","5","5","Anki","Reviewer","None"
"Anki","222008","Audio -5s","6","6","Anki","Reviewer","None"
"Anki","222009","Audio +5s","7","7","Anki","Reviewer","None"
"Anki","222010","Record Own Voice","shift+v","shift+v","Anki","Reviewer","shift"
"Anki","222011","Replay Own Voice","v","v","Anki","Reviewer","None"
"Anki","222012","Customize Card Templates","ctrl+l","cmd+l","Anki","Editor","ctrl"
"Anki","222013","Bold","ctrl+b","cmd+b","Anki","Editor","ctrl"
"Anki","222014","Italic","ctrl+i","cmd+i","Anki","Editor","ctrl"
"Anki","222015","Underline","ctrl+u","cmd+u","Anki","Editor","ctrl"
"Anki","222016","Superscript","ctrl+plus","cmd+plus","Anki","Editor","ctrl"
"Anki","222017","Subscript","ctrl+=","cmd+=","Anki","Editor","ctrl"
"Anki","222018","Remove format","ctrl+r","cmd+r","Anki","Editor","ctrl"
"Anki","222019","Set foreground","f7","f7","Anki","Editor","None"
"Anki","222020","Change Colour","f8","f8","Anki","Editor","None"
"Anki","222021","Cloze deletion","ctrl+shift+c","shift+cmd+c","Anki","Editor","ctrl shift"
"Anki","222022","Attach pictures/audio/video","f3","f3","Anki","Editor","None"
"Anki","222023","Record audio","f5","f5","Anki","Editor","None"
"Anki","222024","Focus tags","ctrl+shift+t","shift+cmd+t","Anki","Editor","ctrl shift"
"Anki","222025","Insert mathjax inline","ctrl+m m","cmd+m m","Anki","Editor","ctrl"
"Anki","222026","Insert mathjax block","ctrl+m e","cmd+m e","Anki","Editor","ctrl"
"Anki","222027","Insert mathjax chemistry","ctrl+m c","cmd+m c","Anki","Editor","ctrl"
"Anki","222028","Insert latex","ctrl+t t","cmd+t t","Anki","Editor","ctrl"
"Anki","222029","Insert latex equation","ctrl+t e","cmd+t e","Anki","Editor","ctrl"
"Anki","222030","Insert latex math environment","ctrl+t m","cmd+t m","Anki","Editor","ctrl"
"Anki","222031","Edit HTML","ctrl+shift+x","shift+cmd+x","Anki","Editor","ctrl shift"
"Anki","222032","Add card","ctrl+enter","cmd+enter","Anki","Editor","ctrl"
"Anki","222033","History","ctrl+h","cmd+h","Anki","Editor","ctrl"
"Anki, Anki","222034","Undo","ctrl+alt+z","alt+cmd+z","Anki","Browser","ctrl alt"
"Anki","222035","Select all","ctrl+alt+a","alt+cmd+a","Anki","Browser","ctrl alt"
"Anki","222036","Invert selection","ctrl+alt+s","alt+cmd+s","Anki","Browser","ctrl alt"
"Anki","222037","Add Notes","ctrl+e","cmd+e","Anki","Browser","ctrl"
"Anki","222038","Export Notes","ctrl+shift+e","shift+cmd+e","Anki","Browser","ctrl shift"
"Anki","222039","Add tags","ctrl+shift+a","shift+cmd+a","Anki","Browser","ctrl shift"
"Anki","222040","Remove tags","ctrl+alt+shift+a","shift+cmd+d","Anki","Browser","ctrl alt shift"
"Anki","222041","Toggle mark","ctrl+k","cmd+k","Anki","Browser","ctrl"
"Anki","222042","Change note type","ctrl+shift+m","shift+cmd+m","Anki","Browser","ctrl shift"
"Anki","222043","Find and replace","ctrl+alt+f","alt+cmd+f","Anki","Browser","ctrl alt"
"Anki","222044","Delete","ctrl+del","cmd+del","Anki","Browser","ctrl"
"Anki","222045","Change deck","ctrl+d","cmd+d","Anki","Browser","ctrl"
"Anki","222046","Reschedule","ctrl+shift+d","shift+cmd+d","Anki","Browser","ctrl shift"
"Anki","222047","Reposition","ctrl+shift+s","shift+cmd+s","Anki","Browser","ctrl shift"
"Anki","222048","Suspend","ctrl+j","cmd+j","Anki","Browser","ctrl"
