"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"","174372","Basic code completion","n/A","ctrl+space","AppCode","Editing","ctrl"
"","174373","Smart code completion","n/A","ctrl+shift+space","AppCode","Editing","ctrl shift"
"","174374","Complete statement","n/A","shift+cmd+enter","AppCode","Editing","shift cmd"
"","174375","Parameter info","n/A","cmd+p","AppCode","Editing","cmd"
"","174376","Quick Documentation","n/A","f1","AppCode","Editing","None"
"","174377","External Documentation","n/A","shift+f1","AppCode","Editing","shift"
"","174378","Brief Info","n/A","cmd+mousehover","AppCode","Editing","cmd"
"","174379","Show description of error/warning at caret","n/A","cmd+f1","AppCode","Editing","cmd"
"","174380","Generate Code","n/A","cmd+n","AppCode","Editing","cmd"
"","174381","Override methods","n/A","ctrl+o","AppCode","Editing","ctrl"
"","174382","Implement methods","n/A","ctrl+i","AppCode","Editing","ctrl"
"","174383","Surround with...","n/A","alt+cmd+t","AppCode","Editing","alt cmd"
"","174384","Move statements up","n/A","shift+cmd+up","AppCode","Editing","shift cmd"
"","174385","Move statements down","n/A","shift+cmd+down","AppCode","Editing","shift cmd"
"","174386","Comment with line comment","n/A","cmd+/","AppCode","Editing","cmd"
"","174387","Comment with block comment","n/A","alt+cmd+/","AppCode","Editing","alt cmd"
"","174388","Expand selection","n/A","alt+up","AppCode","Editing","alt"
"","174389","Shrink selection","n/A","alt+down","AppCode","Editing","alt"
"","174390","Context info","n/A","ctrl+shift+q","AppCode","Editing","ctrl shift"
"","174391","Show intention actions and quick-fixes","n/A","alt+enter","AppCode","Editing","alt"
"","174392","Reformat code","n/A","alt+cmd+l","AppCode","Editing","alt cmd"
"","174393","Optimize imports","n/A","ctrl+alt+o","AppCode","Editing","ctrl alt"
"","174394","Indent selected lines","n/A","tab","AppCode","Editing","None"
"","174395","Unindent selected lines","n/A","shift+tab","AppCode","Editing","shift"
"","174396","Cut current line to clipboard","n/A","cmd+x","AppCode","Editing","cmd"
"","174397","Copy current line to clipboard","n/A","cmd+c","AppCode","Editing","cmd"
"","174398","Paste from clipboard","n/A","cmd+v","AppCode","Editing","cmd"
"","174399","Paste from recent buffers","n/A","shift+cmd+v","AppCode","Editing","shift cmd"
