"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"Asana","71685","Mark as Today in your My Tasks","tab+y","tab+y","Asana","My Tasks","None"
"Asana","71686","Mark as Upcoming in your My Tasks","tab+u","tab+u","Asana","My Tasks","None"
"Asana","71687","Mark as Later in your My Tasks","tab+l","tab+l","Asana","My Tasks","None"
"Asana, Asana","71688","Move Up/Down","k or j","k or j","Asana","Inbox","None"
"Asana","71689","Jump to Inbox tab","h","h","Asana","Inbox","None"
"Asana","71690","Jump to Archive tab","s","s","Asana","Inbox","None"
"Asana","71691","Follow or Unfollow","f","f","Asana","Inbox","None"
"Asana","71692","Archive","i","i","Asana","Inbox","None"
"Asana","71693","Move to Inbox","u","u","Asana","Inbox","None"
"Asana","71694","New Task","enter","enter","Asana","Task Actions","None"
"Asana","71695","Delete Selected Task(s)","tab+backspace","tab+backspace","Asana","Task Actions","None"
"Asana","71696","Delete current task (when task name is empty)","backspace","backspace","Asana","Task Actions","None"
"Asana","71697","Complete Selected Task(s)","ctrl+enter","cmd+enter","Asana","Task Actions","ctrl"
"Asana, Asana","71698","Move Up/Down","ctrl+up or ctrl+down","cmd+up or cmd+down","Asana","Task Actions","ctrl"
"Asana","71699","Jump Up/Down to the next Section","ctrl+shift+up or ctrl+shift+down","shift+cmd+up or shift+cmd+down","Asana","Task Actions","ctrl shift"
"Asana","71700","Copy Selected Tasks","ctrl+c","cmd+c","Asana","Task Actions","ctrl"
"Asana","71701","Paste Tasks (One per line)","ctrl+v","cmd+v","Asana","Task Actions","ctrl"
"Asana","71702","Assign to Me","tab+m","tab+m","Asana","Task Actions","None"
"Asana","71703","Access Home","tab+h","tab+h","Asana","Task Actions","None"
"Asana","71704","Create a Section","tab+n","tab+n","Asana","Task Actions","None"
"Asana","71705","Add to a project","tab+p","tab+p","Asana","Task Actions","None"
"Asana","71706","Navigate to My Tasks","tab+z","tab+z","Asana","Navigation","None"
"Asana","71707","Navigate to Inbox","tab+i","tab+i","Asana","Navigation","None"
"Asana","71708","Collapse Sidebar","tab+o","tab+o","Asana","Navigation","None"
"Asana","71709","Comment on Selected Task","tab+c","tab+c","Asana","Navigation","None"
"Asana","71710","Assign Selected Task","tab+a","tab+a","Asana","Navigation","None"
"Asana","71711","Set Due Date","tab+d","tab+d","Asana","Navigation","None"
"Asana","71712","Add Follower","tab+f","tab+f","Asana","Navigation","None"
"Asana","71713","Add a tag to the task","tab+t","tab+t","Asana","Navigation","None"
"Asana","71714","Focus Subtasks","tab+s","tab+s","Asana","Navigation","None"
"Asana","71715","Search for a project, tag, person, or task","tab+/","tab+/","Asana","Navigation","None"
"Asana","71716","Change Selection","up or down","up or down","Asana","Selection","None"
"Asana, Asana","71717","Select Range","shift+click","shift+click","Asana","Selection","shift"
"Asana, Asana","71718","Select Range","shift+up or shift+down","shift+up or shift+down","Asana","Selection","shift"
"Asana","71719","Multi-select Individual Task","ctrl+click","cmd+click","Asana","Selection","ctrl"
"Asana","71720","Show Keyboard Shortcuts","ctrl+/","cmd+/","Asana","Application","ctrl"
"Asana","71721","Collapse the right pane","esc","esc","Asana","Application","None"
"Asana","71722","Enter Focus Mode","tab+x","tab+x","Asana","Application","None"
"Asana","71723","Quick Add","tab+q","tab+q","Asana","Application","None"
"Asana","71724","Post Comment (From comment field)","tab+enter","tab+enter","Asana","Application","None"
"Asana","71725","What it sounds like","tab+b","tab+b","Asana","Application","None"
