"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"","204338","Close Active Tab","ctrl+shift+f4","ctrl+shift+f4","CLion","General","ctrl shift"
"","204339","Close Editor","ctrl+f4","cmd+w","CLion","General","ctrl"
"","204340","Edit Source","f4","cmd+down","CLion","General","None"
"","204341","Escape","esc","esc","CLion","General","None"
"","204342","New...","alt+ins","cmd+n","CLion","General","alt"
"","204343","Save All","ctrl+s","cmd+s","CLion","General","ctrl"
"","204344","Select Next Tab","alt+right","shift+cmd+]","CLion","General","alt"
"","204345","Select Previous Tab","alt+left","shift+cmd+[","CLion","General","alt"
"","204346","Show Intention Action","alt+enter","alt+enter","CLion","General","alt"
"","204347","Reload All from Disk","ctrl+alt+y","alt+cmd+y","CLion","General","ctrl alt"
"","204348","Enter","enter","enter","CLion","Basic Editing","None"
"","204349","Tab","tab","tab","CLion","Basic Editing","None"
"","204350","Delete","del","del","CLion","Basic Editing","None"
"","204351","Backspace","backspace","backspace","CLion","Basic Editing","None"
"","204352","Undo","ctrl+z","cmd+z","CLion","Basic Editing","ctrl"
"","204353","Redo","ctrl+shift+z","shift+cmd+z","CLion","Basic Editing","ctrl shift"
"","204354","Cut","ctrl+x","cmd+x","CLion","Basic Editing","ctrl"
"","204355","Copy","ctrl+c","cmd+c","CLion","Basic Editing","ctrl"
"","204356","Paste","ctrl+v","cmd+v","CLion","Basic Editing","ctrl"
"","204357","Paste from History","ctrl+shift+v","shift+cmd+v","CLion","Basic Editing","ctrl shift"
"","204358","Up","up","up","CLion","Basic Editing","None"
"","204359","Up with Selection","shift+up","shift+up","CLion","Basic Editing","shift"
"","204360","Down","down","down","CLion","Basic Editing","None"
"","204361","Down with Selection","shift+down","shift+down","CLion","Basic Editing","shift"
"","204362","Left","left","left","CLion","Basic Editing","None"
"","204363","Left with Selection","shift+left","shift+left","CLion","Basic Editing","shift"
"","204364","Right","right","right","CLion","Basic Editing","None"
"","204365","Right with Selection","shift+right","shift+right","CLion","Basic Editing","shift"
"","204366","Go to Page Bottom","ctrl+pagedown","cmd+pagedown","CLion","Basic Editing","ctrl"
"","204367","Go to Page Bottom with Selection","ctrl+shift+pagedown","shift+cmd+pagedown","CLion","Basic Editing","ctrl shift"
"","204368","Go to Page Top","ctrl+pageup","cmd+pageup","CLion","Basic Editing","ctrl"
"","204369","Go to Page Top with Selection","ctrl+shift+pageup","shift+cmd+pageup","CLion","Basic Editing","ctrl shift"
"","204370","Page Down","pagedown","pagedown","CLion","Basic Editing","None"
