"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"Calculator","221873","Clear current input (select CE)","del","n/A","Calculator","General","None"
"Calculator","221874","Fully clear input (select C)","esc","n/A","Calculator","General","None"
"Calculator","221875","Navigate to the next UI item and give it focus","tab","n/A","Calculator","General","None"
"Calculator","221876","Selects UI item that has focus","space","n/A","Calculator","General","None"
"Calculator","221877","Selects = in Standard mode, Scientific mode, and Programmer mode","enter","n/A","Calculator","General","None"
"Calculator","221878","Select +/- in Standard mode, Scientific mode, and Programmer mode","f9","n/A","Calculator","General","None"
"Calculator","221879","Select 1/x in Standard mode and Scientific mode","r","n/A","Calculator","General","None"
"Calculator","221880","Select 2√x in Standard mode and Scientific mode","@","n/A","Calculator","General","None"
"Calculator","221881","Select % in Standard mode and Programmer mode","%","n/A","Calculator","General","None"
"Calculator","221882","Switch to Standard mode","alt+1","n/A","Calculator","Mode Switch","alt"
"Calculator","221883","Switch to Scientific mode","alt+2","n/A","Calculator","Mode Switch","alt"
"Calculator","221884","Switch to Graphing mode","alt+3","n/A","Calculator","Mode Switch","alt"
"Calculator","221885","Switch to Programmer mode","alt+4","n/A","Calculator","Mode Switch","alt"
"Calculator","221886","Switch to Date Calculation mode","alt+5","n/A","Calculator","Mode Switch","alt"
"Calculator","221887","Store in memory, in Standard mode, Scientific mode, and Programmer mode","ctrl+m","n/A","Calculator","Memory","ctrl"
"Calculator","221888","Add to memory, in Standard mode, Scientific mode, and Programmer mode","ctrl+p","n/A","Calculator","Memory","ctrl"
"Calculator","221889","Subtract from memory, in Standard mode, Scientific mode, and Programmer mode","ctrl+q","n/A","Calculator","Memory","ctrl"
"Calculator","221890","Recall from memory, in Standard mode, Scientific mode, and Programmer mode","ctrl+r","n/A","Calculator","Memory","ctrl"
"Calculator","221891","Clear memory","ctrl+l","n/A","Calculator","Memory","ctrl"
"Calculator","221892","When history button is visible, selects the history button in Standard mode and Scientific mode","ctrl+h","n/A","Calculator","History","ctrl"
"Calculator","221893","Move up in history list, memory list, and menu items","up","n/A","Calculator","History","None"
"Calculator","221894","Move down in history list, memory list, and menu items","down","n/A","Calculator","History","None"
"Calculator","221895","Clear history","ctrl+shift+d","n/A","Calculator","History","ctrl shift"
"Calculator","221896","Select DEG in Scientific mode","f3","n/A","Calculator","Scientific Mode","None"
"Calculator","221897","Select RAD in Scientific mode","f4","n/A","Calculator","Scientific Mode","None"
"Calculator","221898","Select GRAD in Scientific mode","f5","n/A","Calculator","Scientific Mode","None"
"Calculator","221899","Select 2xin Scientific mode","g","n/A","Calculator","Scientific Mode","None"
"Calculator","221900","Select 10xin Scientific mode","ctrl+g","n/A","Calculator","Scientific Mode","ctrl"
"Calculator","221901","Select 10xin in Scientific mode","s","n/A","Calculator","Scientific Mode","None"
"Calculator","221902","Select sin-1 in Scientific mode","shift+s","n/A","Calculator","Scientific Mode","shift"
