"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"Calendar","116521","Switch to Mail","ctrl+1","n/A","Calendar","General","ctrl"
"Calendar","116522","Remove appointments or meetings","ctrl+d","n/A","Calendar","General","ctrl"
"Calendar","116523","Add recurrence","ctrl+g","n/A","Calendar","General","ctrl"
"Calendar","116524","Reply","ctrl+r","n/A","Calendar","General","ctrl"
"Calendar","116525","Reply all","ctrl+shift+r","n/A","Calendar","General","ctrl shift"
"Calendar","116526","Save changes on a calendar item","ctrl+s or alt+s","n/A","Calendar","General","ctrl alt"
"Calendar","116527","Forward calendar item","ctrl+f","n/A","Calendar","General","ctrl"
"Calendar","116528","Create a new event","ctrl+n","n/A","Calendar","General","ctrl"
"Calendar","116529","Move to Today","home","n/A","Calendar","General","None"
"Calendar","116530","Exit the Create Event window without saving","esc","n/A","Calendar","General","None"
"Calendar","116531","Show Day view","ctrl+alt+1","n/A","Calendar","View","ctrl alt"
"Calendar","116532","Show Work Week view","ctrl+alt+2","n/A","Calendar","View","ctrl alt"
"Calendar","116533","Show Week view","ctrl+alt+3","n/A","Calendar","View","ctrl alt"
"Calendar","116534","Show Month view","ctrl+alt+4","n/A","Calendar","View","ctrl alt"
