"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"Calibre","224417","Edit the metadata of the currently selected field in the book list.","f2","enter","Calibre","Editing","None"
"Calibre","224418","Add books","a","a","Calibre","Editing","None"
"Calibre","224419","Add formats to the selected books","shift+a","shift+a","Calibre","Editing","shift"
"Calibre","224420","Convert selected books","c","c","Calibre","Editing","None"
"Calibre","224421","Remove selected books","del","del","Calibre","Editing","None"
"Calibre","224422","Edit metadata of selected books","e","e","Calibre","Editing","None"
"Calibre","224423","Edit Table of Contents","k","k","Calibre","Editing","None"
"Calibre","224424","Merge selected records","m","m","Calibre","Editing","None"
"Calibre","224425","Merge selected records, keeping originals","alt+m","alt+m","Calibre","Editing","alt"
"Calibre","224426","Edit book","t","t","Calibre","Editing","None"
"Calibre","224427","Download metadata and covers","ctrl+d","ctrl+d","Calibre","Editing","ctrl"
"Calibre","224428","Send to device","d","d","Calibre","General","None"
"Calibre","224429","Get books","g","g","Calibre","General","None"
"Calibre","224430","Open containing folder","o","o","Calibre","General","None"
"Calibre","224431","Polish books","p","p","Calibre","General","None"
"Calibre","224432","Save to disk","s","s","Calibre","General","None"
"Calibre","224433","Restart calibre","ctrl+r","ctrl+r","Calibre","General","ctrl"
"Calibre","224434","Restart calibre in debug mode","ctrl+shift+r","ctrl+shift+r","Calibre","General","ctrl shift"
"Calibre","224435","Quit calibre","ctrl+q","ctrl+q","Calibre","General","ctrl"
"Calibre","224436","Toggle jobs list","alt+shift+j","alt+shift+j","Calibre","GUI","alt shift"
"Calibre","224437","Toggle Cover browser","alt+shift+b","alt+shift+b","Calibre","GUI","alt shift"
"Calibre","224438","Toggle Book details panel","alt+shift+d","alt+shift+d","Calibre","GUI","alt shift"
"Calibre","224439","Toggle Tag browser","alt+shift+t","alt+shift+t","Calibre","GUI","alt shift"
"Calibre","224440","Toggle Cover grid","alt+shift+g","alt+shift+g","Calibre","GUI","alt shift"
"Calibre","224441","Show Book details","i","i","Calibre","GUI","None"
"Calibre","224442","View","v","v","Calibre","GUI","None"
"Calibre","224443","View last read book","shift+v","shift+v","Calibre","GUI","shift"
"Calibre","224444","View specific format","alt+v","cmd+v","Calibre","GUI","alt"
"Calibre","224445","Toggle auto scroll of the book list","x","x","Calibre","GUI","None"
"Calibre","224446","Show books by the same author as the current book","alt+a","alt+a","Calibre","Search and Filter","alt"
"Calibre","224447","Show books with the same tags as current book","alt+t","alt+t","Calibre","Search and Filter","alt"
"Calibre","224448","Show books by the same publisher as current book","alt+p","alt+p","Calibre","Search and Filter","alt"
"Calibre","224449","Show books in the same series as current book","alt+shift+s","alt+shift+s","Calibre","Search and Filter","alt shift"
"Calibre","224450","Focus the Search bar","/ or ctrl+f","/ or ctrl+f","Calibre","Search and Filter","ctrl"
"Calibre","224451","Open the Advanced search dialog","ctrl+shift+f","ctrl+shift+f","Calibre","Search and Filter","ctrl shift"
"Calibre","224452","Toggle the Search bar","alt+shift+f","alt+shift+f","Calibre","Search and Filter","alt shift"
"Calibre","224453","Clear the current search","esc","esc","Calibre","Search and Filter","None"
"Calibre","224454","Focus the book list","shift+esc","shift+esc","Calibre","Search and Filter","shift"
"Calibre","224455","Clear the Virtual library","ctrl+esc","ctrl+esc","Calibre","Search and Filter","ctrl"
"Calibre","224456","Clear the additional restriction","alt+esc","alt+esc","Calibre","Search and Filter","alt"
"Calibre","224457","Create a temporary Virtual library based on the current search","ctrl+*","ctrl+*","Calibre","Search and Filter","ctrl"
"Calibre","224458","Select the next Virtual library tab","ctrl+right","ctrl+right","Calibre","Search and Filter","ctrl"
"Calibre","224459","Select the previous Virtual library tab","ctrl+left","ctrl+left","Calibre","Search and Filter","ctrl"
"Calibre","224460","Find the next book that matches the current search","n or f3","n or f3","Calibre","Search and Filter","None"
"Calibre","224461","Find the previous book that matches the current search","shift+n or shift+f3","shift+n or shift+f3","Calibre","Search and Filter","shift"
"Calibre","224462","Add empty books to calibre","ctrl+shift+e","ctrl+shift+e","Calibre","Search and Filter","ctrl shift"
"Calibre","224463","Toggle mark/unmarked status on selected books","ctrl+m","ctrl+m","Calibre","Search and Filter","ctrl"
