"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"","329571","Take a screenshot","ctrl+f5","n/A","Chromebook","Popular","ctrl"
"","329572","Take a partial screenshot","ctrl+shift+f5","n/A","Chromebook","Popular","ctrl shift"
"","329573","Access more screenshot features","ctrl+shift+f5","n/A","Chromebook","Popular","ctrl shift"
"","329574","Turn caps lock on or off","meta+alt","n/A","Chromebook","Popular","meta alt"
"","329575","Lock screen","meta+l","n/A","Chromebook","Popular","meta"
"","329576","Sign out of your Google Account","ctrl+shift+q ctrl+shift+q","n/A","Chromebook","Popular","ctrl shift"
"","329577","See all keyboard shortcuts","ctrl+alt+/","n/A","Chromebook","Popular","ctrl alt"
"","329578","Open a new window","ctrl+n","n/A","Chromebook","Tabs and windows","ctrl"
"","329579","Open a new window in Incognito mode","ctrl+shift+n","n/A","Chromebook","Tabs and windows","ctrl shift"
"","329580","Open a new tab","ctrl+t","n/A","Chromebook","Tabs and windows","ctrl"
"","329581","Open a file in the browser","ctrl+o","n/A","Chromebook","Tabs and windows","ctrl"
"","329582","Close the current tab","ctrl+w","n/A","Chromebook","Tabs and windows","ctrl"
"","329583","Close the current window","ctrl+shift+w","n/A","Chromebook","Tabs and windows","ctrl shift"
"","329584","Reopen the last tab or window you closed","ctrl+shift+t","n/A","Chromebook","Tabs and windows","ctrl shift"
"","329585","Go to tabs 1 or 2 in the window","ctrl+1 or ctrl+2","n/A","Chromebook","Tabs and windows","ctrl"
"","329586","Go to the last tab in the window","ctrl+9","n/A","Chromebook","Tabs and windows","ctrl"
"","329587","Go to the next tab in the window","ctrl+tab","n/A","Chromebook","Tabs and windows","ctrl"
"","329588","Go to the previous tab in the window","ctrl+shift+tab","n/A","Chromebook","Tabs and windows","ctrl shift"
"","329589","Switch quickly between windows","alt+tab","n/A","Chromebook","Tabs and windows","alt"
"","329590","Open the window you used least recently","alt+shift+tab","n/A","Chromebook","Tabs and windows","alt shift"
"","329591","Go to previous page in your browsing history","alt+left","n/A","Chromebook","Tabs and windows","alt"
"","329592","Go to the next page in your browsing history","alt+right","n/A","Chromebook","Tabs and windows","alt"
"","329593","Open the link in a new tab in the background","ctrl+click","n/A","Chromebook","Tabs and windows","ctrl"
"","329594","Open the link in a new tab and switch to the new tab","ctrl+shift+click","n/A","Chromebook","Tabs and windows","ctrl shift"
"","329595","Open the link in a new window","shift+click","n/A","Chromebook","Tabs and windows","shift"
"","329596","Open the webpage in a new tab","alt+enter","n/A","Chromebook","Tabs and windows","alt"
"","329597","Return the tab to its original position while dragging","esc","n/A","Chromebook","Tabs and windows","None"
"","329598","Dock a window on the left","alt+[","n/A","Chromebook","Tabs and windows","alt"
"","329599","Maximize window","alt+=","n/A","Chromebook","Tabs and windows","alt"
"","329600","Minimize window","alt+-","n/A","Chromebook","Tabs and windows","alt"
"","329601","Dock a window on the right","alt+]","n/A","Chromebook","Tabs and windows","alt"
"","329602","Switch windows between screens (when connected to a monitor)","meta+alt+m","n/A","Chromebook","Tabs and windows","meta alt"
"","329603","Page up","alt+up","n/A","Chromebook","Page & web browser","alt"
"","329604","Page down","alt+down","n/A","Chromebook","Page & web browser","alt"
"","329605","Scroll down the web page","space","n/A","Chromebook","Page & web browser","None"
"","329606","Go to top of page","ctrl+alt+up","n/A","Chromebook","Page & web browser","ctrl alt"
"","329607","Go to bottom of page","ctrl+alt+down","n/A","Chromebook","Page & web browser","ctrl alt"
"","329608","Print your current page","ctrl+p","n/A","Chromebook","Page & web browser","ctrl"
"","329609","Save your current page","ctrl+s","n/A","Chromebook","Page & web browser","ctrl"
"","329610","Reload your current page","ctrl+r","n/A","Chromebook","Page & web browser","ctrl"
"","329611","Reload your current page without using cached content","ctrl+shift+r","n/A","Chromebook","Page & web browser","ctrl shift"
"","329612","Zoom in on the page","ctrl+plus or ctrl+=","n/A","Chromebook","Page & web browser","ctrl"
"","329613","Zoom out on the page","ctrl+-","n/A","Chromebook","Page & web browser","ctrl"
"","329614","Reset zoom level","ctrl+0","n/A","Chromebook","Page & web browser","ctrl"
"","329615","Stop the loading of your current page","esc","n/A","Chromebook","Page & web browser","None"
"","329616","Right-click a link","alt+click","n/A","Chromebook","Page & web browser","alt"
"","329617","Open the link in a new tab in the background","ctrl+click","n/A","Chromebook","Page & web browser","ctrl"
"","329618","Save your current webpage as a bookmark","ctrl+d","n/A","Chromebook","Page & web browser","ctrl"
"","329619","Save all open pages in current window as bookmarks in new folder","ctrl+shift+d","n/A","Chromebook","Page & web browser","ctrl shift"
"","329620","Search the current page","ctrl+f","n/A","Chromebook","Page & web browser","ctrl"
"","329621","Go to the next match for your search","ctrl+g or enter","n/A","Chromebook","Page & web browser","ctrl"
"","329622","Go to the previous match for your search","ctrl+shift+g or shift+enter","n/A","Chromebook","Page & web browser","ctrl shift"
"","329623","Go to an inactive information field","alt+shift+a","n/A","Chromebook","Page & web browser","alt shift"
"","329624","Perform a Google search","ctrl+k or ctrl+e","n/A","Chromebook","Page & web browser","ctrl"
"","329625","Add www. and .com to your input in the address bar open the page","ctrl+enter","n/A","Chromebook","Page & web browser","ctrl"
"","329626","View page source","ctrl+u","n/A","Chromebook","Page & web browser","ctrl"
"","329627","Show or hide the Developer Tools panel","ctrl+shift+i","n/A","Chromebook","Page & web browser","ctrl shift"
"","329628","Navigate to selected section in the Developer Tools panel","ctrl+shift+c","n/A","Chromebook","Page & web browser","ctrl shift"
"","329629","Open the Console tab in the Developer Tools panel","ctrl+shift+j","n/A","Chromebook","Page & web browser","ctrl shift"
"","329630","Show or hide the bookmarks bar","ctrl+shift+b","n/A","Chromebook","Page & web browser","ctrl shift"
"","329631","Show the toolbar","alt+shift+t","n/A","Chromebook","Page & web browser","alt shift"
"","329632","Navigate to selected selection in the Developer Tools panel","ctrl+shift+c","n/A","Chromebook","Page & web browser","ctrl shift"
"","329633","Open the History page","ctrl+h","n/A","Chromebook","Page & web browser","ctrl"
