"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"","261334","Open","ctrl+o","n/A","Citavi","General","ctrl"
"","261335","Save","ctrl+s","n/A","Citavi","General","ctrl"
"","261336","Save as","f12","n/A","Citavi","General","None"
"","261337","Close","ctrl+f4","n/A","Citavi","General","ctrl"
"","261338","Help","f1","n/A","Citavi","General","None"
"","261339","Undo","ctrl+z","n/A","Citavi","Editing in a Project","ctrl"
"","261340","Redo","ctrl+y","n/A","Citavi","Editing in a Project","ctrl"
"","261341","Copy selection to Clipboard","ctrl+c","n/A","Citavi","Editing in a Project","ctrl"
"","261342","Cut","ctrl+x","n/A","Citavi","Editing in a Project","ctrl"
"","261343","Paste","ctrl+v","n/A","Citavi","Editing in a Project","ctrl"
"","261344","Delete selection","del","n/A","Citavi","Editing in a Project","None"
"","261345","Select all","ctrl+a","n/A","Citavi","Editing in a Project","ctrl"
"","261346","Edit selected item","enter","n/A","Citavi","Editing in a Project","None"
"","261347","Rename","f2","n/A","Citavi","Editing in a Project","None"
"","261348","Print","ctrl+p","n/A","Citavi","Editing in a Project","ctrl"
"","261349","Toggle checkbox","space","n/A","Citavi","Editing in a Project","None"
"","261350","Reject autocomplete suggestion","esc","n/A","Citavi","Editing in a Project","None"
"","261351","Edit active Quick Help text","ctrl+shift+f12","n/A","Citavi","Editing in a Project","ctrl shift"
"","261352","Show properties of active Quick Help text","meta+ctrl+f12","n/A","Citavi","Editing in a Project","meta ctrl"
"","261353","Move focus to next item","tab","n/A","Citavi","Navigating within a Project","None"
"","261354","Move focus to previous item","shift+tab","n/A","Citavi","Navigating within a Project","shift"
"","261355","Move to next tab","ctrl+tab","n/A","Citavi","Navigating within a Project","ctrl"
"","261356","Move to previous tab","ctrl+shift+tab","n/A","Citavi","Navigating within a Project","ctrl shift"
"","261357","Move to previous list item","up","n/A","Citavi","Navigating within a Project","None"
"","261358","Move to next list item","down","n/A","Citavi","Navigating within a Project","None"
"","261359","Go to first list item","home","n/A","Citavi","Navigating within a Project","None"
"","261360","Go to last list item","end","n/A","Citavi","Navigating within a Project","None"
"","261361","Scroll up one page","pageup","n/A","Citavi","Navigating within a Project","None"
"","261362","Scroll down one page","pagedown","n/A","Citavi","Navigating within a Project","None"
"","261363","Open field editor window","f9","n/A","Citavi","Navigating within a Project","None"
"","261364","Set focus to primary Go to box.","ctrl+e","n/A","Citavi","Navigating within a Project","ctrl"
"","261365","Show menu for field","f4","n/A","Citavi","Navigating within a Project","None"
"","261366","Go to previous reference","alt+up","n/A","Citavi","Navigating within a Project","alt"
"","261367","Go to next reference","alt+down","n/A","Citavi","Navigating within a Project","alt"
"","261368","Go to previous reference in the History","alt+left","n/A","Citavi","Navigating within a Project","alt"
"","261369","Go to next reference in the History","alt+right","n/A","Citavi","Navigating within a Project","alt"
"","261370","Go to first reference","home","n/A","Citavi","Navigating within a Project","None"
"","261371","Go to last reference","end","n/A","Citavi","Navigating within a Project","None"
"","261372","Cancel selection","ctrl+alt+a","n/A","Citavi","Navigating within a Project","ctrl alt"
"","261373","Keyboard navigation focus","alt","n/A","Citavi","Using Menus","alt"
"","261374","Open shortcut menu","shift+f10","n/A","Citavi","Using Menus","shift"
"","261375","Convert last 4 digits to the corresponding Unicode character","ctrl+alt+u","n/A","Citavi","Special Characters","ctrl alt"
"","261376","Insert non-breaking space","ctrl+shift+space","n/A","Citavi","Special Characters","ctrl shift"
"","261377","Copy placeholder or quotation to the Clipboard","ctrl+alt+c","n/A","Citavi","Citing","ctrl alt"
"","261378","Insert placeholder or quotation in word processor","ctrl+w","n/A","Citavi","Citing","ctrl"
"","261379","Insert placeholder or quotation in word processor as footnote","ctrl+shift+w","n/A","Citavi","Citing","ctrl shift"
"","261380","Insert or copy placeholder or quotation with options","ctrl+alt+w","n/A","Citavi","Citing","ctrl alt"
"","261381","Print project bibliography, compilation, task list","ctrl+p","n/A","Citavi","Printing, Saving, Moving references","ctrl"
"","261382","Print project bibliography, compilation, task list with options","ctrl+shift+p","n/A","Citavi","Printing, Saving, Moving references","ctrl shift"
"","261383","Print grouped project bibliography","ctrl+alt+p","n/A","Citavi","Printing, Saving, Moving references","ctrl alt"
"","261384","Print task table","ctrl+alt+shift+p","n/A","Citavi","Printing, Saving, Moving references","ctrl alt shift"
"","261385","Save project bibliography, compilation, task list","f12","n/A","Citavi","Printing, Saving, Moving references","None"
"","261386","Save project bibliography, compilation, task list with options","shift+f12","n/A","Citavi","Printing, Saving, Moving references","shift"
"","261387","Save grouped project bibliography","alt+shift+f12","n/A","Citavi","Printing, Saving, Moving references","alt shift"
"","261388","Copy or move to another Citavi project","ctrl+alt+v","n/A","Citavi","Printing, Saving, Moving references","ctrl alt"
"","261389","Open current attachment","ctrl+alt+o","n/A","Citavi","Printing, Saving, Moving references","ctrl alt"
"","261390","New reference (manual)","ctrl+n","n/A","Citavi","Adding New Items","ctrl"
"","261391","New reference (By ISBN, DOI, or PubMed ID)","ctrl+shift+n","n/A","Citavi","Adding New Items","ctrl shift"
"","261392","New Journal Article","ctrl+shift+j","n/A","Citavi","Adding New Items","ctrl shift"
"","261393","New Internet Document","ctrl+shift+r","n/A","Citavi","Adding New Items","ctrl shift"
"","261394","New Book","ctrl+shift+b","n/A","Citavi","Adding New Items","ctrl shift"
"","261395","New Edited Book","ctrl+shift+e","n/A","Citavi","Adding New Items","ctrl shift"
"","261396","New Contribution","ctrl+shift+u","n/A","Citavi","Adding New Items","ctrl shift"
"","261397","New text thought","ctrl+l","n/A","Citavi","Adding New Items","ctrl"
"","261398","New image or file thought","ctrl+shift+l","n/A","Citavi","Adding New Items","ctrl shift"
"","261399","New project task","ctrl+t","n/A","Citavi","Adding New Items","ctrl"
"","261400","New reference task","ctrl+shift+t","n/A","Citavi","Adding New Items","ctrl shift"
"","261401","Add local file (location)","ctrl+shift+f","n/A","Citavi","Adding New Items","ctrl shift"
"","261402","Add local folder (location)","ctrl+alt+shift+f","n/A","Citavi","Adding New Items","ctrl alt shift"
"","261403","Add Internet address (location)","ctrl+shift+a","n/A","Citavi","Adding New Items","ctrl shift"
"","261404","Add library location","ctrl+shift+y","n/A","Citavi","Adding New Items","ctrl shift"
"","261405","Add private collection location","ctrl+alt+shift+y","n/A","Citavi","Adding New Items","ctrl alt shift"
"","261406","New link to","ctrl+shift+l","n/A","Citavi","Adding New Items","ctrl shift"
"","261407","New link from","ctrl+alt+shift+l","n/A","Citavi","Adding New Items","ctrl alt shift"
"","261408","New direct quotation","ctrl+d","n/A","Citavi","Adding New Items","ctrl"
"","261409","New indirect quotation","ctrl+shift+d","n/A","Citavi","Adding New Items","ctrl shift"
"","261410","New summary","ctrl+alt+shift+d","n/A","Citavi","Adding New Items","ctrl alt shift"
"","261411","New image or file quotation","ctrl+shift+g","n/A","Citavi","Adding New Items","ctrl shift"
"","261412","New comment","ctrl+shift+m","n/A","Citavi","Adding New Items","ctrl shift"
"","261413","Add comment to selected knowledge item","ctrl+alt+shift+m","n/A","Citavi","Adding New Items","ctrl alt shift"
"","261414","New category","ctrl+shift+-","n/A","Citavi","Adding New Items","ctrl shift"
"","261415","New subcategory","ctrl+alt+shift+-","n/A","Citavi","Adding New Items","ctrl alt shift"
"","261416","Delete a reference","ctrl+del","n/A","Citavi","Editing","ctrl"
"","261417","Set blue label","ctrl+0","n/A","Citavi","Editing","ctrl"
"","261418","Clear blue label","ctrl+alt+0","n/A","Citavi","Editing","ctrl alt"
"","261419","Set red label","ctrl+9","n/A","Citavi","Editing","ctrl"
"","261420","Clear red label","ctrl+alt+9","n/A","Citavi","Editing","ctrl alt"
"","261421","Edit short title","ctrl+alt+s","n/A","Citavi","Editing","ctrl alt"
"","261422","Update BibTeX keys","shift+f5","n/A","Citavi","Editing","shift"
"","261423","Open current attachment in preview","alt+p","n/A","Citavi","Preview: Search, Annotate, Scroll","alt"
"","261424","Show PDF in full screen mode","f11","n/A","Citavi","Preview: Search, Annotate, Scroll","None"
"","261425","Show additional PDFs in full screen mode","shift+f11","n/A","Citavi","Preview: Search, Annotate, Scroll","shift"
"","261426","Open or close the search in the PDF","ctrl+f3","n/A","Citavi","Preview: Search, Annotate, Scroll","ctrl"
"","261427","Switch from the text to the search field","ctrl+shift+f3","n/A","Citavi","Preview: Search, Annotate, Scroll","ctrl shift"
"","261428","Jump to next search result","f3","n/A","Citavi","Preview: Search, Annotate, Scroll","None"
"","261429","Jump to previous search result","shift+f3","n/A","Citavi","Preview: Search, Annotate, Scroll","shift"
"","261430","Yellow highlight","y","n/A","Citavi","Preview: Search, Annotate, Scroll","None"
"","261431","Red highlight","q","n/A","Citavi","Preview: Search, Annotate, Scroll","None"
"","261432","meta an image selection","g","n/A","Citavi","Preview: Search, Annotate, Scroll","None"
"","261433","meta a text selection","e","n/A","Citavi","Preview: Search, Annotate, Scroll","None"
"","261434","Extend highlight","ctrl+drag","n/A","Citavi","Preview: Search, Annotate, Scroll","ctrl"
"","261435","Reduce highlight","s","n/A","Citavi","Preview: Search, Annotate, Scroll","None"
"","261436","Add selection as commentary","d","n/A","Citavi","Preview: Search, Annotate, Scroll","None"
"","261437","Add selection as indirect quotation","f","n/A","Citavi","Preview: Search, Annotate, Scroll","None"
"","261438","Add selection as summary","s","n/A","Citavi","Preview: Search, Annotate, Scroll","None"
"","261439","Add selection as commentary","c","n/A","Citavi","Preview: Search, Annotate, Scroll","None"
"","261440","Add selection as abstract","a","n/A","Citavi","Preview: Search, Annotate, Scroll","None"
"","261441","Add selection as keywords","w","n/A","Citavi","Preview: Search, Annotate, Scroll","None"
"","261442","Create a task for a text passage","t","n/A","Citavi","Preview: Search, Annotate, Scroll","None"
"","261443","Jump to next highlight","f8","n/A","Citavi","Preview: Search, Annotate, Scroll","None"
"","261444","Jump to previous highlight","shift+f8","n/A","Citavi","Preview: Search, Annotate, Scroll","shift"
"","261445","Next page","ctrl+right","n/A","Citavi","Preview: Search, Annotate, Scroll","ctrl"
"","261446","Previous page","ctrl+left","n/A","Citavi","Preview: Search, Annotate, Scroll","ctrl"
"","261447","To first page","home","n/A","Citavi","Preview: Search, Annotate, Scroll","None"
"","261448","To last page","end","n/A","Citavi","Preview: Search, Annotate, Scroll","None"
"","261449","Zoom","ctrl+mouse-wheel","n/A","Citavi","Preview: Search, Annotate, Scroll","ctrl"
"","261450","Switch to knowledge item in Citavi","ctrl+click","n/A","Citavi","Preview: Search, Annotate, Scroll","ctrl"
"","261451","Export PDF","f9","n/A","Citavi","Preview: Search, Annotate, Scroll","None"
"","261452","Switch to Reference Editor","ctrl+1","n/A","Citavi","Workspace Layout","ctrl"
"","261453","Switch to Knowledge Organizer","ctrl+2","n/A","Citavi","Workspace Layout","ctrl"
"","261454","Switch to Task Planner","ctrl+3","n/A","Citavi","Workspace Layout","ctrl"
"","261455","Show or hide left pane","alt+1","n/A","Citavi","Workspace Layout","alt"
"","261456","Show or hide middle pane","alt+2","n/A","Citavi","Workspace Layout","alt"
"","261457","Show or hide right pane","alt+3","n/A","Citavi","Workspace Layout","alt"
"","261458","Show or hide keywords","alt+4","n/A","Citavi","Workspace Layout","alt"
"","261459","Show or hide categories","alt+5","n/A","Citavi","Workspace Layout","alt"
"","261460","Show groups column","alt+6","n/A","Citavi","Workspace Layout","alt"
"","261461","Show import groups column","alt+7","n/A","Citavi","Workspace Layout","alt"
"","261462","Task Planner: Switch to Quick select","alt+4","n/A","Citavi","Workspace Layout","alt"
"","261463","Task Planner: Switch to Advanced selection","alt+5","n/A","Citavi","Workspace Layout","alt"
"","261464","Toggle Preview and Quick Help","alt+9","n/A","Citavi","Workspace Layout","alt"
"","261465","Show table view","ctrl+alt+t","n/A","Citavi","Workspace Layout","ctrl alt"
"","261466","Online search","ctrl+l","n/A","Citavi","Workspace Layout","ctrl"
"","261467","Check availability with OpenURL","ctrl+alt+l","n/A","Citavi","Workspace Layout","ctrl alt"
"","261468","Search","ctrl+f","n/A","Citavi","Workspace Layout","ctrl"
"","261469","Program options","ctrl+,","n/A","Citavi","Workspace Layout","ctrl"
"","261470","Open macro editor","alt+f11","n/A","Citavi","Workspace Layout","alt"
"","261471","Show more fields","ctrl+alt+f","n/A","Citavi","Workspace Layout","ctrl alt"
"","261472","Show related reference","shift+enter","n/A","Citavi","Workspace Layout","shift"
"","261473","Show related reference in new window","alt+shift+enter","n/A","Citavi","Workspace Layout","alt shift"
"","261474","Copy formatted reference to the Clipboard","ctrl+shift+c","n/A","Citavi","Citing and Publishing","ctrl shift"
"","261475","Start LaTeX-Assistant","f7","n/A","Citavi","Citing and Publishing","None"
"","261476","Start LaTeX-Assistent with most recently used documents","ctrl+shift+f7","n/A","Citavi","Citing and Publishing","ctrl shift"
"","261477","Automatic BibTeX export to a TeX document","alt+f7","n/A","Citavi","Citing and Publishing","alt"
"","261478","Automatic BibTeX export with last document used","alt+shift+f7","n/A","Citavi","Citing and Publishing","alt shift"
"","261479","Change citation style","ctrl+f11","n/A","Citavi","Citing and Publishing","ctrl"
"","261480","Edit citation style","shift+f11","n/A","Citavi","Citing and Publishing","shift"
"","261481","Batch apply keywords","ctrl+alt+h","n/A","Citavi","Categories and Keywords","ctrl alt"
"","261482","Batch remove keywords","ctrl+alt+shift+h","n/A","Citavi","Categories and Keywords","ctrl alt shift"
"","261483","Insert new category","ctrl+shift+-","n/A","Citavi","Categories and Keywords","ctrl shift"
"","261484","Insert new subcategory","ctrl+alt+shift+-","n/A","Citavi","Categories and Keywords","ctrl alt shift"
"","261485","Batch assign categories","ctrl+h","n/A","Citavi","Categories and Keywords","ctrl"
"","261486","Batch remove categories","ctrl+shift+h","n/A","Citavi","Categories and Keywords","ctrl shift"
"","261487","Expand catagory","right","n/A","Citavi","Categories and Keywords","None"
"","261488","Collapse category","left","n/A","Citavi","Categories and Keywords","None"
"","261489","Expand all categories","ctrl+alt+shift+right","n/A","Citavi","Categories and Keywords","ctrl alt shift"
"","261490","Collapse all categories","ctrl+alt+shift+left","n/A","Citavi","Categories and Keywords","ctrl alt shift"
"","261491","Create a selection of a category and its subcategories","shift+click","n/A","Citavi","Categories and Keywords","shift"
"","261492","Demote","ctrl+right","n/A","Citavi","Categories and Keywords","ctrl"
"","261493","Promote","ctrl+up","n/A","Citavi","Categories and Keywords","ctrl"
"","261494","Move category up","ctrl+up","n/A","Citavi","Categories and Keywords","ctrl"
"","261495","Move category down","ctrl+down","n/A","Citavi","Categories and Keywords","ctrl"
"","261496","Open field in editing mode","f9","n/A","Citavi","Edit fields","None"
"","261497","Open character formatting","ctrl+d","n/A","Citavi","Edit fields","ctrl"
"","261498","Paste","ctrl+v","n/A","Citavi","Edit fields","ctrl"
"","261499","Paste with formatting","ctrl+shift+v","n/A","Citavi","Edit fields","ctrl shift"
"","261500","Reset all","ctrl+space","n/A","Citavi","Edit fields","ctrl"
"","261501","Remove paragraphs and tabs","ctrl+shift+space","n/A","Citavi","Edit fields","ctrl shift"
"","261502","Show hidden formatting symbols","ctrl+shift+3","n/A","Citavi","Edit fields","ctrl shift"
"","261503","Bold","ctrl+b","n/A","Citavi","Edit fields","ctrl"
"","261504","Italic","ctrl+i","n/A","Citavi","Edit fields","ctrl"
"","261505","Superscript","ctrl+shift+1","n/A","Citavi","Edit fields","ctrl shift"
"","261506","Subscript","ctrl+alt+3","n/A","Citavi","Edit fields","ctrl alt"
"","261507","Underline","ctrl+shift+u","n/A","Citavi","Edit fields","ctrl shift"
"","261508","Ctrl+L","ctrl+shift+d","n/A","Citavi","Edit fields","ctrl shift"
"","261509","All caps","ctrl+shift+g","n/A","Citavi","Edit fields","ctrl shift"
"","261510","Small caps","ctrl+shift+q","n/A","Citavi","Edit fields","ctrl shift"
"","261511","Hide selected text","ctrl+shift+h","n/A","Citavi","Edit fields","ctrl shift"
"","261512","Align left","ctrl+l","n/A","Citavi","Edit fields","ctrl"
"","261513","Align right","ctrl+r","n/A","Citavi","Edit fields","ctrl"
"","261514","Align centered","ctrl+e","n/A","Citavi","Edit fields","ctrl"
"","261515","Align justified","ctrl+shift+j","n/A","Citavi","Edit fields","ctrl shift"
"","261516","Add or remove space before a paragraph","ctrl+0","n/A","Citavi","Edit fields","ctrl"
"","261517","Single line spacing","ctrl+1","n/A","Citavi","Edit fields","ctrl"
"","261518","Double line spacing","ctrl+2","n/A","Citavi","Edit fields","ctrl"
"","261519","1.5 line spacing","ctrl+5","n/A","Citavi","Edit fields","ctrl"
"","261520","Increase indent","ctrl+alt+a","n/A","Citavi","Edit fields","ctrl alt"
"","261521","Set blue label","ctrl+shift+m","n/A","Citavi","Edit fields","ctrl shift"
"","261522","Insert tab in table","ctrl+tab","n/A","Citavi","Edit fields","ctrl"
"","261523","Editing selected item in main window","enter","n/A","Citavi","Table View Editing","None"
"","261524","Cancel selection","ctrl+alt+a","n/A","Citavi","Table View Editing","ctrl alt"
"","261525","Set blue label","ctrl+0","n/A","Citavi","Table View Editing","ctrl"
"","261526","Clear blue label","ctrl+alt+0","n/A","Citavi","Table View Editing","ctrl alt"
"","261527","Set red label","ctrl+9","n/A","Citavi","Table View Editing","ctrl"
"","261528","Clear red label","ctrl+alt+9","n/A","Citavi","Table View Editing","ctrl alt"
"","261529","Refresh","f5","n/A","Citavi","Table View Editing","None"
"","261530","Print project bibliography","ctrl+p","n/A","Citavi","Table View Editing","ctrl"
"","261531","Print project bibliography with options","ctrl+shift+p","n/A","Citavi","Table View Editing","ctrl shift"
"","261532","Print table","ctrl+alt+p","n/A","Citavi","Table View Editing","ctrl alt"
"","261533","Save project bibliography","f12","n/A","Citavi","Table View Editing","None"
"","261534","Save project bibliography with options","shift+f12","n/A","Citavi","Table View Editing","shift"
"","261535","Copy or move to another Citavi project","ctrl+alt+v","n/A","Citavi","Table View Editing","ctrl alt"
"","261536","meta LaTeX Assistant","f7","n/A","Citavi","Table View Editing","None"
"","261537","LaTeX-Assistent mit zuletzt geöffnetem Dokument aufrufen","ctrl+f7","n/A","Citavi","Table View Editing","ctrl"
"","261538","Automatic BibTeX export to a TeX document","alt+f7","n/A","Citavi","Table View Editing","alt"
"","261539","Automatic BibTeX export with last document used","alt+shift+f7","n/A","Citavi","Table View Editing","alt shift"
"","261540","Change citation style","f11","n/A","Citavi","Table View Editing","None"
"","261541","Edit citation style","shift+f11","n/A","Citavi","Table View Editing","shift"
"","261542","Collapse group","ctrl+t","n/A","Citavi","Options Menu","ctrl"
"","261543","Change update channel settings","ctrl+o","n/A","Citavi","Options Menu","ctrl"
"","261544","Expand group","right","n/A","Citavi","Navigating Grouped Tables","None"
"","261545","Collapse group","left","n/A","Citavi","Navigating Grouped Tables","None"
"","261546","Expand all groups","ctrl+shift+right","n/A","Citavi","Navigating Grouped Tables","ctrl shift"
"","261547","Collapse all groups","ctrl+shift+left","n/A","Citavi","Navigating Grouped Tables","ctrl shift"
"","261548","Next result","pagedown","n/A","Citavi","Navigating Search Results","None"
"","261549","Previous result","pageup","n/A","Citavi","Navigating Search Results","None"
