"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"ClickUp","295986","Command Center","ctrl+k","cmd+k","ClickUp","General","ctrl"
"ClickUp","295987","Tag a user","""@""","""@""","ClickUp","General","Text Snippet"
"ClickUp, ClickUp","295988","Mention a task","""@@""","""@@""","ClickUp","General","Text Snippet"
"ClickUp","295989","Mention a doc","""@@@""","""@@@""","ClickUp","General","Text Snippet"
"ClickUp","295990","Assign current task to yourself","m","m","ClickUp","General","None"
"ClickUp","295991","Edit most recent comment","up","up","ClickUp","General","None"
"ClickUp","295992","Clear filters from current view","-","-","ClickUp","General","None"
"ClickUp","295993","Use emoji picker",":",":","ClickUp","General","None"
"ClickUp","295994","Open link in new tab","ctrl+click","cmd+click","ClickUp","General","ctrl"
"ClickUp","295995","Anchor a link when text is selected","ctrl+k","cmd+k","ClickUp","General","ctrl"
"ClickUp","295996","Show/hide sidebar","q","q","ClickUp","General","None"
"ClickUp","295997","Move to next task","ctrl+shift+left or ctrl+shift+right","ctrl+shift+left or ctrl+shift+right","ClickUp","General","ctrl shift"
"ClickUp","295998","While creating task: Open","1","1","ClickUp","General","None"
"ClickUp","295999","While creating task: Move to tray","2","2","ClickUp","General","None"
"ClickUp","296000","While creating task: Copy URL","3","3","ClickUp","General","None"
"ClickUp","296001","Create task","t","t","ClickUp","General","None"
"ClickUp","296002","Open Notepad","p","p","ClickUp","General","None"
"ClickUp","296003","Dashboards","d","d","ClickUp","Dashboard Navigation","None"
"ClickUp","296004","Notifications","n","n","ClickUp","Dashboard Navigation","None"
"ClickUp","296005","Home","h","h","ClickUp","Dashboard Navigation","None"
"ClickUp","296006","Reload notifications","space","space","ClickUp","Dashboard Navigation","None"
"ClickUp","296007","Open search","s","s","ClickUp","Dashboard Navigation","None"
"ClickUp","296008","Close any task or window","esc","esc","ClickUp","Dashboard Navigation","None"
"ClickUp","296009","Jump to List View","l","l","ClickUp","Dashboard Navigation","None"
"ClickUp","296010","Jump to Board View","b","b","ClickUp","Dashboard Navigation","None"
"ClickUp","296011","Jump to Box View","x","x","ClickUp","Dashboard Navigation","None"
"ClickUp","296012","Jump to Calendar View","c","c","ClickUp","Dashboard Navigation","None"
"ClickUp","296013","Create a comment from your selected text","ctrl+shift+m","shift+cmd+m","ClickUp","Doc","ctrl shift"
"ClickUp","296014","Create a task from your selected text","ctrl+shift+t","alt+cmd+t","ClickUp","Doc","ctrl shift"
"ClickUp","296015","Highlight a text block","ctrl+shift+h","shift+cmd+h","ClickUp","Doc","ctrl shift"
"ClickUp","296016","Duplicate a text block","ctrl+d","cmd+d","ClickUp","Doc","ctrl"
"ClickUp","296017","Quick create a new task","ctrl+e","cmd+e","ClickUp","Desktop","ctrl"
"ClickUp","296018","Surround with for h1 text","""#""","""#""","ClickUp","Markdown","Text Snippet"
"ClickUp","296019","Surround with for bold text","""*""","""*""","ClickUp","Markdown","Text Snippet"
"ClickUp","296020","Surround with for italicized text","""_""","""_""","ClickUp","Markdown","Text Snippet"
"ClickUp","296021","Surround with for text with a line through it","""~""","""~""","ClickUp","Markdown","Text Snippet"
"ClickUp","296022","Starts a bulleted list in task description","""-""","""-""","ClickUp","Markdown","Text Snippet"
"ClickUp","296023","Starts a numbered list in task description","""1.""","""1.""","ClickUp","Markdown","Text Snippet"
"ClickUp","296024","Creates a simple checkbox in task description","""[ ]""","""[ ]""","ClickUp","Markdown","Text Snippet"
"ClickUp","296025","Starts long quote formatting",""">""",""">""","ClickUp","Markdown","Text Snippet"
"ClickUp","296026","Surround with for inline code","""`""","""`""","ClickUp","Markdown","Text Snippet"
"ClickUp","296027","Start code block","""```""","""```""","ClickUp","Markdown","Text Snippet"
"ClickUp","296028","Adds a dividing line into task description","""---""","""---""","ClickUp","Markdown","Text Snippet"
"ClickUp","296029","Start to input a Slash command","""/""","""/""","ClickUp","Slash Commands","Text Snippet"
"ClickUp","296030","Assign a task to yourself","""me""","""me""","ClickUp","Slash Commands","Text Snippet"
"ClickUp","296031","Close a task","""closed"" or ""cl""","""closed"" or ""cl""","ClickUp","Slash Commands","Text Snippet"
"ClickUp","296032","Create subtasks while in a task","""-""","""-""","ClickUp","Slash Commands","Text Snippet"
"ClickUp","296033","Access turn into menu","""tu""","""tu""","ClickUp","Slash Commands","Text Snippet"
"ClickUp","296034","Move Lists","""m""","""m""","ClickUp","Slash Commands","Text Snippet"
"ClickUp","296035","Assign tasks","""a""","""a""","ClickUp","Slash Commands","Text Snippet"
"ClickUp","296036","Assign Comments","""ac""","""ac""","ClickUp","Slash Commands","Text Snippet"
"ClickUp","296037","Assign to me","""me""","""me""","ClickUp","Slash Commands","Text Snippet"
"ClickUp","296038","Add watchers","""w""","""w""","ClickUp","Slash Commands","Text Snippet"
"ClickUp","296039","Set priorities","""p""","""p""","ClickUp","Slash Commands","Text Snippet"
"ClickUp","296040","Apply or change due dates","""d""","""d""","ClickUp","Slash Commands","Text Snippet"
"ClickUp","296041","Change task status","""s""","""s""","ClickUp","Slash Commands","Text Snippet"
"ClickUp","296042","Add waiting or blocking dependencies","""o""","""o""","ClickUp","Slash Commands","Text Snippet"
"ClickUp","296043","Add blocking dependencies","""b""","""b""","ClickUp","Slash Commands","Text Snippet"
"ClickUp","296044","Add a subtask","""-""","""-""","ClickUp","Slash Commands","Text Snippet"
"ClickUp, ClickUp","296045","Mention a task","""@@""","""@@""","ClickUp","Slash Commands","Text Snippet"
"ClickUp","296046","Mention a user","""@""","""@""","ClickUp","Slash Commands","Text Snippet"
"ClickUp","296047","Sprint Points","""pts""","""pts""","ClickUp","Slash Commands","Text Snippet"
"ClickUp","296048","Change task position","""pos""","""pos""","ClickUp","Slash Commands","Text Snippet"
"ClickUp","296049","Due date to ""today""","""today""","""today""","ClickUp","Slash Commands","Text Snippet"
"ClickUp","296050","Add to inbox","""inbox""","""inbox""","ClickUp","Slash Commands","Text Snippet"
"ClickUp","296051","Time estimate","""est""","""est""","ClickUp","Slash Commands","Text Snippet"
"ClickUp","296052","Start date","""sd""","""sd""","ClickUp","Slash Commands","Text Snippet"
"ClickUp","296053","Close task","""close""","""close""","ClickUp","Slash Commands","Text Snippet"
"ClickUp","296054","Tags","""t""","""t""","ClickUp","Slash Commands","Text Snippet"
"ClickUp","296055","Build a table","""table""","""table""","ClickUp","Slash Commands","Text Snippet"
"ClickUp","296056","Table of contents","""tc""","""tc""","ClickUp","Slash Commands","Text Snippet"
"ClickUp","296057","Create a page in Docs","""page""","""page""","ClickUp","Slash Commands","Text Snippet"
"ClickUp","296058","Create a subpage in Docs","""subpage""","""subpage""","ClickUp","Slash Commands","Text Snippet"
"ClickUp","296059","Apply a task or doc template","""temp""","""temp""","ClickUp","Slash Commands","Text Snippet"
"ClickUp","296060","Attachment","""attach""","""attach""","ClickUp","Slash Commands","Text Snippet"
"ClickUp","296061","Google Drive file","""gdrive""","""gdrive""","ClickUp","Slash Commands","Text Snippet"
"ClickUp","296062","Google Slides","""gslide""","""gslide""","ClickUp","Slash Commands","Text Snippet"
"ClickUp","296063","Google Docs","""gdoc""","""gdoc""","ClickUp","Slash Commands","Text Snippet"
"ClickUp","296064","Google Sheets","""gsheets""","""gsheets""","ClickUp","Slash Commands","Text Snippet"
"ClickUp","296065","Dropbox file","""dropbox""","""dropbox""","ClickUp","Slash Commands","Text Snippet"
"ClickUp","296066","Embed","""em""","""em""","ClickUp","Slash Commands","Text Snippet"
"ClickUp","296067","CloudApp","""cloudapp""","""cloudapp""","ClickUp","Slash Commands","Text Snippet"
"ClickUp","296068","OneDrive/Sharepoint file","""onedrive""","""onedrive""","ClickUp","Slash Commands","Text Snippet"
"ClickUp","296069","YouTube","""youtube""","""youtube""","ClickUp","Slash Commands","Text Snippet"
"ClickUp","296070","Vimeo","""vimeo""","""vimeo""","ClickUp","Slash Commands","Text Snippet"
"ClickUp","296071","Figma","""figma""","""figma""","ClickUp","Slash Commands","Text Snippet"
"ClickUp","296072","Loom","""loom""","""loom""","ClickUp","Slash Commands","Text Snippet"
"ClickUp","296073","Embed a new Doc in a task description","""@@@""","""@@@""","ClickUp","Slash Commands","Text Snippet"
"ClickUp","296074","Embed a Miro board","""miro""","""miro""","ClickUp","Slash Commands","Text Snippet"
"ClickUp","296075","Add a GIF","""GIPHY""","""GIPHY""","ClickUp","Slash Commands","Text Snippet"
"ClickUp","296076","Insert a List view","""lview""","""lview""","ClickUp","Slash Commands","Text Snippet"
"ClickUp","296077","Insert a Table view","""tview""","""tview""","ClickUp","Slash Commands","Text Snippet"
"ClickUp","296078","_Normal text","""norm""","""norm""","ClickUp","Slash Commands","Text Snippet"
"ClickUp","296079","Heading 1","""h1""","""h1""","ClickUp","Slash Commands","Text Snippet"
"ClickUp","296080","Heading 2","""h2""","""h2""","ClickUp","Slash Commands","Text Snippet"
"ClickUp","296081","Heading 3","""h3""","""h3""","ClickUp","Slash Commands","Text Snippet"
"ClickUp","296082","Checklist","""check""","""check""","ClickUp","Slash Commands","Text Snippet"
"ClickUp","296083","Divider","""div""","""div""","ClickUp","Slash Commands","Text Snippet"
"ClickUp","296084","Inline Code","""in""","""in""","ClickUp","Slash Commands","Text Snippet"
"ClickUp","296085","Quote","""q""","""q""","ClickUp","Slash Commands","Text Snippet"
"ClickUp","296086","Code block","""co""","""co""","ClickUp","Slash Commands","Text Snippet"
"ClickUp","296087","Link","""k""","""k""","ClickUp","Slash Commands","Text Snippet"
"ClickUp","296088","Numeric list","""num""","""num""","ClickUp","Slash Commands","Text Snippet"
"ClickUp","296089","Bulleted List","""bul""","""bul""","ClickUp","Slash Commands","Text Snippet"
"ClickUp","296090","Bold","""bo""","""bo""","ClickUp","Slash Commands","Text Snippet"
"ClickUp","296091","Italic","""it""","""it""","ClickUp","Slash Commands","Text Snippet"
"ClickUp","296092","Strikethrough","""st""","""st""","ClickUp","Slash Commands","Text Snippet"
"ClickUp","296093","Red background","""r""","""r""","ClickUp","Slash Commands","Text Snippet"
"ClickUp","296094","Green background","""g""","""g""","ClickUp","Slash Commands","Text Snippet"
"ClickUp","296095","Yellow background","""y""","""y""","ClickUp","Slash Commands","Text Snippet"
"ClickUp","296096","Banner","""banner""","""banner""","ClickUp","Slash Commands","Text Snippet"
