"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"Coda","250729","Cut","ctrl+x","cmd+x","Coda","General","ctrl"
"Coda","250730","Copy","ctrl+c","cmd+c","Coda","General","ctrl"
"Coda","250731","Paste","ctrl+v","cmd+v","Coda","General","ctrl"
"Coda","250732","Undo","ctrl+z","cmd+z","Coda","General","ctrl"
"Coda","250733","Redo","ctrl+y","shift+cmd+z","Coda","General","ctrl"
"Coda","250734","Search","ctrl+shift+f","shift+cmd+f","Coda","General","ctrl shift"
"Coda","250735","Previous page","ctrl+alt+[","alt+cmd+[","Coda","General","ctrl alt"
"Coda","250736","Next page","ctrl+alt+]","alt+cmd+]","Coda","General","ctrl alt"
"Coda","250737","Open explore planel","ctrl+/","cmd+/","Coda","General","ctrl"
"Coda","250738","Toggle page list","ctrl+\","cmd+\","Coda","General","ctrl"
"Coda","250739","Show word count","ctrl+shift+c","shift+cmd+c","Coda","General","ctrl shift"
"Coda","250740","Present doc","ctrl+shift+p","shift+cmd+p","Coda","General","ctrl shift"
"Coda","250741","Expand and show pages list","ctrl+\","cmd+\","Coda","General","ctrl"
"Coda","250742","Navigate subpages in header","up or right or down or left","up or right or down or left","Coda","General","None"
"Coda","250743","Go to highlighted page link","enter","enter","Coda","General","None"
"Coda","250744","Move from subpage to parent page","shift+esc","shift+esc","Coda","General","shift"
"Coda","250745","Bold","ctrl+b","cmd+b","Coda","Text","ctrl"
"Coda","250746","Italic","ctrl+i","cmd+i","Coda","Text","ctrl"
"Coda","250747","Underline","ctrl+u","cmd+u","Coda","Text","ctrl"
"Coda","250748","Strikethrough","ctrl+shift+k","shift+cmd+k","Coda","Text","ctrl shift"
"Coda","250749","Inline Code (with selected text)","`","`","Coda","Text","None"
"Coda","250750","Normal","ctrl+shift+0","alt+cmd+0","Coda","Paragraph","ctrl shift"
"Coda","250751","Large header","ctrl+shift+1","alt+cmd+1","Coda","Paragraph","ctrl shift"
"Coda","250752","Medium header","ctrl+shift+2","alt+cmd+2","Coda","Paragraph","ctrl shift"
"Coda","250753","Small header","ctrl+shift+3","alt+cmd+3","Coda","Paragraph","ctrl shift"
"Coda","250754","Numbered list","ctrl+shift+7","shift+cmd+7","Coda","Paragraph","ctrl shift"
"Coda","250755","Bulleted list","ctrl+shift+8","shift+cmd+8","Coda","Paragraph","ctrl shift"
"Coda","250756","Checklist","ctrl+shift+9","shift+cmd+9","Coda","Paragraph","ctrl shift"
"Coda","250757","Collapsible list","ctrl+shift+6","shift+cmd+0","Coda","Paragraph","ctrl shift"
"Coda","250758","Block quote","ctrl+shift+.","shift+cmd+.","Coda","Paragraph","ctrl shift"
"Coda","250759","Pull quote","ctrl+shift+'","shift+cmd+'","Coda","Paragraph","ctrl shift"
"Coda","250760","Code block","ctrl+shift+,","shift+cmd+,","Coda","Paragraph","ctrl shift"
"Coda","250761","Indent","ctrl+]","ctrl+]","Coda","Paragraph","ctrl"
"Coda","250762","Outdent","ctrl+[","ctrl+[","Coda","Paragraph","ctrl"
"Coda","250763","Move a paragraph","alt+up or alt+down","alt+up or alt+down","Coda","Paragraph","alt"
"Coda","250764","Check a list item","ctrl+enter","cmd+enter","Coda","Paragraph","ctrl"
"Coda","250765","Reference","""@""","""@""","Coda","Insert","Text Snippet"
"Coda","250766","Formula","""=""","""=""","Coda","Insert","Text Snippet"
"Coda","250767","Hyperlink","ctrl+k","cmd+k","Coda","Insert","ctrl"
"Coda","250768","Emoji",""":emoji name:""",""":emoji name:""","Coda","Insert","Text Snippet"
"Coda","250769","Comment","ctrl+shift+m","shift+cmd+m","Coda","Insert","ctrl shift"
"Coda","250770","Open a row","alt+space","alt+space","Coda","Tables","alt"
"Coda","250771","Select a row","shift+space","shift+space","Coda","Tables","shift"
"Coda","250772","Select multiple rows","shift+up or shift+down","shift+up or shift+down","Coda","Tables","shift"
"Coda","250773","Move a row","alt+up or alt+down","alt+up or alt+down","Coda","Tables","alt"
"Coda","250774","Move a column","alt+left or alt+right","alt+left or right","Coda","Tables","alt"
"Coda","250775","Insert a row (from last row in table)","enter","enter","Coda","Tables","None"
"Coda","250776","Insert a column (when last is column selected)","tab","tab","Coda","Tables","None"
"Coda","250777","Move to end of row","ctrl+left or ctrl+right","cmd+left or cmd+right","Coda","Tables","ctrl"
"Coda","250778","Move to end of column","ctrl+up or ctrl+down","cmd+up or cmd+down","Coda","Tables","ctrl"
"Coda","250779","Edit a cell","space or f2","space or f2","Coda","Tables","None"
