"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"DaVinci Resolve","376027","Pause / Start Playback","space","space","DaVinci Resolve","Navigation","None"
"DaVinci Resolve","376028","Play Reverse","j","j","DaVinci Resolve","Navigation","None"
"DaVinci Resolve","376029","Stop Playback","k","k","DaVinci Resolve","Navigation","None"
"DaVinci Resolve","376030","Play Forward","l","l","DaVinci Resolve","Navigation","None"
"DaVinci Resolve","376031","Go to Previous Keyframe","[","[","DaVinci Resolve","Navigation","None"
"DaVinci Resolve","376032","Go to Next Keyframe","]","]","DaVinci Resolve","Navigation","None"
"DaVinci Resolve","376033","Go to First Frame",";",";","DaVinci Resolve","Navigation","None"
"DaVinci Resolve","376034","Go to Last Frame","´","´","DaVinci Resolve","Navigation","None"
"DaVinci Resolve","376035","Play Around Current Frame","/","/","DaVinci Resolve","Navigation","None"
"DaVinci Resolve","376036","Go to Timeline Start","home","home","DaVinci Resolve","Navigation","None"
"DaVinci Resolve","376037","Go to Timeline End","end","end","DaVinci Resolve","Navigation","None"
"DaVinci Resolve","376038","Previous Clip / Edit","up","up","DaVinci Resolve","Navigation","None"
"DaVinci Resolve","376039","Next Clip / Edit","down","down","DaVinci Resolve","Navigation","None"
"DaVinci Resolve","376040","Step One Frame Reverse","left","left","DaVinci Resolve","Navigation","None"
"DaVinci Resolve","376041","Step One Frame Forward","right","right","DaVinci Resolve","Navigation","None"
"DaVinci Resolve","376042","Select Clips Forward On This Track","y","y","DaVinci Resolve","Navigation","None"
"DaVinci Resolve","376043","Go to Next Marker","shift+down","shift+down","DaVinci Resolve","Navigation","shift"
"DaVinci Resolve","376044","Go to Previous Marker","shift+up","shift+up","DaVinci Resolve","Navigation","shift"
"DaVinci Resolve","376045","Go to Mark In","shift+i","shift+i","DaVinci Resolve","Navigation","shift"
"DaVinci Resolve","376046","Go to Mark Out","shift+o","shift+o","DaVinci Resolve","Navigation","shift"
"DaVinci Resolve","376047","Clear Mark In","alt+i","alt+i","DaVinci Resolve","Navigation","alt"
"DaVinci Resolve","376048","Clear Mark Out","alt+o","alt+o","DaVinci Resolve","Navigation","alt"
"DaVinci Resolve","376049","Play Around In","alt+space","alt+space","DaVinci Resolve","Navigation","alt"
"DaVinci Resolve","376050","Play Around Out","shift+space","shift+space","DaVinci Resolve","Navigation","shift"
"DaVinci Resolve","376051","Source / Timeline Viewer","q","q","DaVinci Resolve","Toggles","None"
"DaVinci Resolve","376052","Extract Current Node","e","e","DaVinci Resolve","Toggles","None"
"DaVinci Resolve","376053","Apply Grade From Two Clip Prior","-","-","DaVinci Resolve","Toggles","None"
"DaVinci Resolve","376054","Apply Grade From One Clip Prior","-","=","DaVinci Resolve","Toggles","None"
"DaVinci Resolve","376055","Enable / Disable Clip","d","d","DaVinci Resolve","Toggles","None"
"DaVinci Resolve","376056","Match Frame","f","f","DaVinci Resolve","Toggles","None"
"DaVinci Resolve","376057","Add Flag","g","g","DaVinci Resolve","Toggles","None"
"DaVinci Resolve","376058","Toggle Hand / Selection In Node Window","h","h","DaVinci Resolve","Toggles","None"
"DaVinci Resolve, DaVinci Resolve","376059","Cinema Viewer","p","p","DaVinci Resolve","Toggles","None"
"DaVinci Resolve","376060","Dynamic Trim Mode","w","w","DaVinci Resolve","Toggles","None"
"DaVinci Resolve","376061","Trim Mode","t","t","DaVinci Resolve","Toggles","None"
"DaVinci Resolve","376062","Edit Point Type","u","u","DaVinci Resolve","Toggles","None"
"DaVinci Resolve","376063","Normal Edit Mode","a","a","DaVinci Resolve","Toggles","None"
"DaVinci Resolve","376064","Set Mark In","i","i","DaVinci Resolve","Editing","None"
"DaVinci Resolve","376065","Set Mark Out","o","o","DaVinci Resolve","Editing","None"
"DaVinci Resolve","376066","Mark Clip","x","x","DaVinci Resolve","Editing","None"
"DaVinci Resolve","376067","Add Marker","m","m","DaVinci Resolve","Editing","None"
"DaVinci Resolve","376068","Delete Selected","backspace","backspace","DaVinci Resolve","Editing","None"
"DaVinci Resolve","376069","Select Nearest Edit Point","v","v","DaVinci Resolve","Editing","None"
"DaVinci Resolve","376070","Select Blade","b","b","DaVinci Resolve","Editing","None"
"DaVinci Resolve","376071","Snapping On / Off","n","n","DaVinci Resolve","Editing","None"
"DaVinci Resolve","376072","Nudge One Frame Left",",",",","DaVinci Resolve","Editing","None"
"DaVinci Resolve","376073","Nudge One Frame Right",".",".","DaVinci Resolve","Editing","None"
"DaVinci Resolve","376074","Toggle Slip and Slide Mode","s","s","DaVinci Resolve","Editing","None"
"DaVinci Resolve, DaVinci Resolve","376075","Ripple Delete","del","del","DaVinci Resolve","Editing","None"
