"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"","137971","Go Up","backspace","n/A","Directory Opus","General","None"
"","137972","Delete","del","n/A","Directory Opus","General","None"
"","137973","Inline Rename","f2","n/A","Directory Opus","General","None"
"","137974","Properties","alt+enter","n/A","Directory Opus","General","alt"
"","137975","Zoom Out","ctrl+-","n/A","Directory Opus","General","ctrl"
"","137976","Zoom Reset","ctrl+0","n/A","Directory Opus","General","ctrl"
"","137977","Zoom In","ctrl+=","n/A","Directory Opus","General","ctrl"
"","137978","Go Root","ctrl+backspace","n/A","Directory Opus","General","ctrl"
"","137979","Close Tab","ctrl+f4","n/A","Directory Opus","General","ctrl"
"","137980","Refresh Thumbnails","ctrl+f5","n/A","Directory Opus","General","ctrl"
"","137981","Previous Tab","ctrl+left","n/A","Directory Opus","General","ctrl"
"","137982","Restore Filter","ctrl+num*","n/A","Directory Opus","General","ctrl"
"","137983","Autosize Columns","ctrl+num_plus","n/A","Directory Opus","General","ctrl"
"","137984","Next Tab","ctrl+pagedown","n/A","Directory Opus","General","ctrl"
"","137985","Previous Tab","ctrl+pageup","n/A","Directory Opus","General","ctrl"
"","137986","Next Tab","ctrl+right","n/A","Directory Opus","General","ctrl"
"","137987","Delete Force","shift+del","n/A","Directory Opus","General","shift"
"","137988","Path Entry","shift+enter","n/A","Directory Opus","General","shift"
"","137989","Close Lister","shift+esc","n/A","Directory Opus","General","shift"
"","137990","Refresh Thumbnails","shift+f5","n/A","Directory Opus","General","shift"
"","137991","Restore Filter","ctrl+shift+8","n/A","Directory Opus","General","ctrl shift"
"","137992","Previous Tab (Dest)","ctrl+shift+left","n/A","Directory Opus","General","ctrl shift"
"","137993","Next Tab (Dest)","ctrl+shift+pagedown","n/A","Directory Opus","General","ctrl shift"
"","137994","Previous Tab (Dest)","ctrl+shift+pageup","n/A","Directory Opus","General","ctrl shift"
"","137995","Next Tab (Dest)","ctrl+shift+right","n/A","Directory Opus","General","ctrl shift"
"","137996","Back","browser_back","n/A","Directory Opus","General","None"
"","137997","Forward","browser_forward","n/A","Directory Opus","General","None"
"","137998","Refresh","browser_refresh","n/A","Directory Opus","General","None"
"","137999","Previous Tab","ctrl+shift+browser_back","n/A","Directory Opus","General","ctrl shift"
"","138000","Next Tab","ctrl+shift+browser_forward","n/A","Directory Opus","General","ctrl shift"
"","138001","New Lister","meta+shift+e","n/A","Directory Opus","System-wide","meta shift"
"","138002","Previous Picture","backspace or pageup","n/A","Directory Opus","Image Viewer","None"
"","138003","Last Picture","end","n/A","Directory Opus","Image Viewer","None"
"","138004","First Picture","home","n/A","Directory Opus","Image Viewer","None"
"","138005","Next Picture","space or pagedown","n/A","Directory Opus","Image Viewer","None"
"","138006","Delete","del or shift+del","n/A","Directory Opus","Image Viewer (Toolbar)","shift"
"","138007","Fit To Page","f","n/A","Directory Opus","Image Viewer (Toolbar)","None"
"","138008","Help","f1","n/A","Directory Opus","Image Viewer (Toolbar)","None"
"","138009","Rename","f2","n/A","Directory Opus","Image Viewer (Toolbar)","None"
"","138010","Refresh","f5","n/A","Directory Opus","Image Viewer (Toolbar)","None"
"","138011","Edit Metadata","f9","n/A","Directory Opus","Image Viewer (Toolbar)","None"
"","138012","Show Information","f10","n/A","Directory Opus","Image Viewer (Toolbar)","None"
"","138013","Grow To Page","g","n/A","Directory Opus","Image Viewer (Toolbar)","None"
"","138014","Flip Horizontally","h","n/A","Directory Opus","Image Viewer (Toolbar)","None"
"","138015","Rotate Left","l","n/A","Directory Opus","Image Viewer (Toolbar)","None"
"","138016","Mark","m or ins","n/A","Directory Opus","Image Viewer (Toolbar)","None"
"","138017","Original Size","o or num*","n/A","Directory Opus","Image Viewer (Toolbar)","None"
"","138018","Rotate Right","r","n/A","Directory Opus","Image Viewer (Toolbar)","None"
"","138019","Slideshow","s","n/A","Directory Opus","Image Viewer (Toolbar)","None"
"","138020","Flip Vertically","v","n/A","Directory Opus","Image Viewer (Toolbar)","None"
"","138021","Full Screen","alt+enter","n/A","Directory Opus","Image Viewer (Toolbar)","alt"
"","138022","25%","ctrl+1","n/A","Directory Opus","Image Viewer (Toolbar)","ctrl"
"","138023","50%","ctrl+2","n/A","Directory Opus","Image Viewer (Toolbar)","ctrl"
"","138024","75%","ctrl+3","n/A","Directory Opus","Image Viewer (Toolbar)","ctrl"
"","138025","150%","ctrl+4","n/A","Directory Opus","Image Viewer (Toolbar)","ctrl"
"","138026","200%","ctrl+5","n/A","Directory Opus","Image Viewer (Toolbar)","ctrl"
"","138027","300%","ctrl+6","n/A","Directory Opus","Image Viewer (Toolbar)","ctrl"
"","138028","400%","ctrl+7","n/A","Directory Opus","Image Viewer (Toolbar)","ctrl"
"","138029","800%","ctrl+8","n/A","Directory Opus","Image Viewer (Toolbar)","ctrl"
"","138030","Select All","ctrl+a","n/A","Directory Opus","Image Viewer (Toolbar)","ctrl"
"","138031","Status Bar","ctrl+b","n/A","Directory Opus","Image Viewer (Toolbar)","ctrl"
"","138032","Copy","ctrl+c","n/A","Directory Opus","Image Viewer (Toolbar)","ctrl"
"","138033","Last Marked","ctrl+down","n/A","Directory Opus","Image Viewer (Toolbar)","ctrl"
"","138034","Convert Image...","ctrl+i","n/A","Directory Opus","Image Viewer (Toolbar)","ctrl"
"","138035","Control Bar","ctrl+l","n/A","Directory Opus","Image Viewer (Toolbar)","ctrl"
"","138036","Previous Marked","ctrl+left","n/A","Directory Opus","Image Viewer (Toolbar)","ctrl"
"","138037","Show Marked Pictures Pane","ctrl+m","n/A","Directory Opus","Image Viewer (Toolbar)","ctrl"
"","138038","Menu Bar","ctrl+n","n/A","Directory Opus","Image Viewer (Toolbar)","ctrl"
"","138039","Open...","ctrl+o","n/A","Directory Opus","Image Viewer (Toolbar)","ctrl"
"","138040","Print...","ctrl+p","n/A","Directory Opus","Image Viewer (Toolbar)","ctrl"
