"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"Discord","79600","Edit Message","e","e","Discord","Messages","None"
"Discord","79601","Delete Message","backspace","backspace","Discord","Messages","None"
"Discord","79602","Pin Message","p","p","Discord","Messages","None"
"Discord","79603","Add Reaction","plus","plus","Discord","Messages","None"
"Discord","79604","Reply","r","r","Discord","Messages","None"
"Discord","79605","Copy Text","ctrl+c","cmd+c","Discord","Messages","ctrl"
"Discord","79606","Mark Unread","alt+enter","alt+enter","Discord","Messages","alt"
"Discord","79607","Focus Text Area","esc","esc","Discord","Messages","None"
"Discord","79608","Navigate Between Servers","ctrl+alt+up or ctrl+alt+down","alt+cmd+up or alt+cmd+down","Discord","Navigate","ctrl alt"
"Discord","79609","Navigate Between Channels","alt+up or alt+down","alt+up or alt+down","Discord","Navigate","alt"
"Discord","79610","Navigate forward and backward in page history","alt+left or alt+right","alt+left or alt+right","Discord","Navigate","alt"
"Discord","79611","Navigate Between Unread Channels","alt+shift+up or alt+shift+down","alt+shift+up or alt+shift+down","Discord","Navigate","alt shift"
"Discord","79612","Navigate Between Unread Channels with Mentions","ctrl+alt+shift+up or ctrl+alt+shift+down","alt+shift+cmd+up or alt+shift+cmd+down","Discord","Navigate","ctrl alt shift"
"Discord","79613","Toggle between last server and DMs","ctrl+alt+right","alt+cmd+right","Discord","Navigate","ctrl alt"
"Discord","79614","Toggle QuickSwitcher","ctrl+k","cmd+k","Discord","Navigate","ctrl"
"Discord","79615","Create or join a server","ctrl+shift+n","shift+cmd+n","Discord","Navigate","ctrl shift"
"Discord","79616","Mark server read","shift+esc","shift+esc","Discord","Chat","shift"
"Discord","79617","Mark channel as read","esc","esc","Discord","Chat","None"
"Discord","79618","Create private group","ctrl+shift+t","shift+cmd+t","Discord","Chat","ctrl shift"
"Discord","79619","Toggle Pins Popout","ctrl+p","cmd+p","Discord","Chat","ctrl"
"Discord","79620","Toggle Inbox Popout","ctrl+i","cmd+i","Discord","Chat","ctrl"
"Discord","79621","Toggle channel member list","ctrl+u","cmd+u","Discord","Chat","ctrl"
"Discord","79622","Toggle emoji picker","ctrl+e","cmd+e","Discord","Chat","ctrl"
"Discord","79623","Toggle GIF picker","ctrl+g","cmd+g","Discord","Chat","ctrl"
"Discord","79624","Scroll Chat Up or Down","pageup or pagedown","pageup or pagedown","Discord","Chat","None"
"Discord","79625","Jump to oldest unread message","shift+pageup","shift+pageup","Discord","Chat","shift"
"Discord","79626","Upload a file","ctrl+shift+u","shift+cmd+u","Discord","Chat","ctrl shift"
"Discord","79627","Toggle Mute","ctrl+shift+m","shift+cmd+m","Discord","Voice and Video","ctrl shift"
"Discord","79628","Toggle Deafen","ctrl+shift+d","shift+cmd+d","Discord","Voice and Video","ctrl shift"
"Discord","79629","Answer Incoming Call","ctrl+enter","cmd+enter","Discord","Voice and Video","ctrl"
"Discord","79630","Decline Incoming Call","esc","esc","Discord","Voice and Video","None"
"Discord","79631","Start Call in Private Message or Group","ctrl+'","cmd+'","Discord","Voice and Video","ctrl"
"Discord","79632","Show Keyboard Shortcuts List","ctrl+slash","cmd+slash","Discord","Misc","ctrl"
"Discord","79633","Get Help","ctrl+shift+h","shift+cmd+h","Discord","Misc","ctrl shift"
"Discord","79634","Search","ctrl+f","cmd+f","Discord","Misc","ctrl"
