"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"Docs","390842","Copy","ctrl+c","cmd+c","Docs","Common actions","ctrl"
"Docs","390843","Cut","ctrl+x","cmd+x","Docs","Common actions","ctrl"
"Docs","390844","Paste","ctrl+v","cmd+v","Docs","Common actions","ctrl"
"Docs","390845","Paste without formatting","ctrl+shift+v","shift+cmd+v","Docs","Common actions","ctrl shift"
"Docs","390846","Undo","ctrl+z","cmd+z","Docs","Common actions","ctrl"
"Docs","390847","Redo","ctrl+shift+z","shift+cmd+z","Docs","Common actions","ctrl shift"
"Docs","390848","Insert or edit link","ctrl+k","cmd+k","Docs","Common actions","ctrl"
"Docs","390849","Open link","alt+enter","alt+enter","Docs","Common actions","alt"
"Docs","390850","Show common keyboard shortcuts","ctrl+/","cmd+/","Docs","Common actions","ctrl"
"Docs","390851","Save","ctrl+s","cmd+s","Docs","Common actions","ctrl"
"Docs","390852","Print","ctrl+p","cmd+p","Docs","Common actions","ctrl"
"Docs","390853","Open","ctrl+o","cmd+o","Docs","Common actions","ctrl"
"Docs","390854","Find","ctrl+f","cmd+f","Docs","Common actions","ctrl"
"Docs","390855","Find and replace","ctrl+h","shift+cmd+h","Docs","Common actions","ctrl"
"Docs","390856","Find again","ctrl+g","cmd+g","Docs","Common actions","ctrl"
"Docs","390857","Find previous","ctrl+shift+g","shift+cmd+g","Docs","Common actions","ctrl shift"
"Docs","390858","Hide the menus (compact mode)","ctrl+shift+f","ctrl+shift+f","Docs","Common actions","ctrl shift"
"Docs","390859","Insert page break","ctrl+enter","cmd+enter","Docs","Common actions","ctrl"
"Docs","390860","Search the menus","alt+/ or alt+shift+z","alt+/ or ctrl+alt+z","Docs","Common actions","alt shift"
"Docs","390861","Repeat last action","ctrl+y","cmd+y","Docs","Common actions","ctrl"
"Docs","390862","Bold","ctrl+b","cmd+b","Docs","Text formatting","ctrl"
"Docs","390863","Italicize","ctrl+i","cmd+i","Docs","Text formatting","ctrl"
"Docs","390864","Underline","ctrl+u","cmd+u","Docs","Text formatting","ctrl"
"Docs","390865","Strikethrough","alt+shift+5","shift+cmd+x","Docs","Text formatting","alt shift"
"Docs","390866","Superscript","ctrl+.","cmd+.","Docs","Text formatting","ctrl"
"Docs","390867","Subscript","ctrl+,","cmd+,","Docs","Text formatting","ctrl"
"Docs","390868","Copy text formatting","ctrl+alt+c","alt+cmd+c","Docs","Text formatting","ctrl alt"
"Docs","390869","Paste text formatting","ctrl+alt+v","alt+cmd+v","Docs","Text formatting","ctrl alt"
"Docs","390870","Clear text formatting","ctrl+\ or ctrl+space","cmd+\","Docs","Text formatting","ctrl"
"Docs","390871","Increase font size","ctrl+shift+>","shift+cmd+>","Docs","Text formatting","ctrl shift"
"Docs","390872","Decrease font size","ctrl+shift+<","shift+cmd+<","Docs","Text formatting","ctrl shift"
"Docs","390873","Increase paragraph indentation","ctrl+]","cmd+]","Docs","Paragraph formatting","ctrl"
"Docs","390874","Decrease paragraph indentation","ctrl+[","cmd+[","Docs","Paragraph formatting","ctrl"
"Docs","390875","Apply normal text style","ctrl+alt+0","alt+cmd+0","Docs","Paragraph formatting","ctrl alt"
"Docs","390876","Apply heading style 2","ctrl+alt+2","alt+cmd+2","Docs","Paragraph formatting","ctrl alt"
"Docs","390877","Left align","ctrl+shift+l","shift+cmd+l","Docs","Paragraph formatting","ctrl shift"
"Docs","390878","Center align","ctrl+shift+e","shift+cmd+e","Docs","Paragraph formatting","ctrl shift"
"Docs","390879","Right align","ctrl+shift+r","shift+cmd+r","Docs","Paragraph formatting","ctrl shift"
"Docs","390880","Justify","ctrl+shift+j","shift+cmd+j","Docs","Paragraph formatting","ctrl shift"
"Docs","390881","Numbered list","ctrl+shift+7","shift+cmd+7","Docs","Paragraph formatting","ctrl shift"
"Docs","390882","Bulleted list","ctrl+shift+8","shift+cmd+8","Docs","Paragraph formatting","ctrl shift"
"Docs","390883","Move paragraph up","ctrl+shift+up","ctrl+shift+up","Docs","Paragraph formatting","ctrl shift"
"Docs","390884","Alt text","ctrl+alt+y","alt+cmd+y","Docs","Images and drawings","ctrl alt"
"Docs","390885","Resize larger","ctrl+alt+k","ctrl+cmd+k","Docs","Images and drawings","ctrl alt"
"Docs","390886","Resize larger horizontally","ctrl+alt+b","ctrl+cmd+b","Docs","Images and drawings","ctrl alt"
"Docs","390887","Resize larger vertically","ctrl+alt+i","ctrl+cmd+i","Docs","Images and drawings","ctrl alt"
"Docs","390888","Resize smaller","ctrl+alt+j","ctrl+cmd+j","Docs","Images and drawings","ctrl alt"
"Docs","390889","Resize smaller horizontally","ctrl+alt+w","ctrl+cmd+w","Docs","Images and drawings","ctrl alt"
"Docs","390890","Resize smaller vertically","ctrl+alt+q","ctrl+cmd+q","Docs","Images and drawings","ctrl alt"
"Docs","390891","Rotate clockwise by 15°","alt+right","alt+right","Docs","Images and drawings","alt"
"Docs","390892","Rotate counterclockwise by 15°","alt+left","alt+left","Docs","Images and drawings","alt"
"Docs","390893","Rotate counterclockwise by 1°","alt+shift+left","alt+shift+left","Docs","Images and drawings","alt shift"
"Docs","390894","Rotate clockwise by 1°","alt+shift+right","alt+shift+right","Docs","Images and drawings","alt shift"
"Docs","390895","Close drawing editor","shift+esc","cmd+esc or shift+esc","Docs","Images and drawings","shift"
"Docs","390896","Insert comment","ctrl+alt+m","alt+cmd+m","Docs","Comments and footnotes","ctrl alt"
"Docs","390897","Open discussion thread","ctrl+alt+shift+a","alt+shift+cmd+a","Docs","Comments and footnotes","ctrl alt shift"
"Docs","390898","Enter current comment","ctrl+enter","ctrl+enter","Docs","Comments and footnotes","ctrl"
"Docs","390899","Insert footnote","ctrl+alt+f","alt+cmd+f","Docs","Comments and footnotes","ctrl alt"
"Docs","390900","Move to current footnote","ctrl+alt+e ctrl+alt+f","ctrl+cmd+e ctrl+cmd+f","Docs","Comments and footnotes","ctrl alt"
"Docs","390901","Move to next footnote","ctrl+alt+n ctrl+alt+f","ctrl+cmd+n ctrl+cmd+f","Docs","Comments and footnotes","ctrl alt"
"Docs","390902","Move to previous footnote","ctrl+alt+p ctrl+alt+f","ctrl+cmd+p ctrl+cmd+f","Docs","Comments and footnotes","ctrl alt"
"Docs","390903","Context (right-click) menu","ctrl+shift+x or ctrl+shift+\","shift+cmd+\","Docs","Menus","ctrl shift"
"Docs","390904","File menu","alt+shift+f","ctrl+alt+f","Docs","Menus","alt shift"
"Docs","390905","Edit menu","alt+shift+e","ctrl+alt+e","Docs","Menus","alt shift"
"Docs","390906","View menu","alt+shift+v","ctrl+alt+v","Docs","Menus","alt shift"
"Docs","390907","Insert menu","alt+shift+i","ctrl+alt+i","Docs","Menus","alt shift"
"Docs","390908","Format menu","alt+shift+o","ctrl+alt+o","Docs","Menus","alt shift"
"Docs","390909","Tools menu","alt+shift+t","ctrl+alt+t","Docs","Menus","alt shift"
"Docs","390910","Help menu","alt+shift+h","ctrl+alt+h","Docs","Menus","alt shift"
