"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"","33479","New","ctrl+n","cmd+n","Eclipse","File","ctrl"
"","33480","New Menu","alt+shift+n","alt+cmd+n","Eclipse","File","alt shift"
"","33481","Close","ctrl+w","cmd+w","Eclipse","File","ctrl"
"","33482","Close All","ctrl+shift+w","shift+cmd+w","Eclipse","File","ctrl shift"
"","33483","Save","ctrl+s","cmd+s","Eclipse","File","ctrl"
"","33484","Save All","ctrl+shift+s","shift+cmd+s","Eclipse","File","ctrl shift"
"","33485","Rename","f2","f2","Eclipse","File","None"
"","33486","Refresh","f5","f5","Eclipse","File","None"
"","33487","Print","ctrl+p","cmd+p","Eclipse","File","ctrl"
"","33488","Properties","alt+enter","cmd+i","Eclipse","File","alt"
"","33489","Undo","ctrl+z","cmd+z","Eclipse","Edit","ctrl"
"","33490","Redo","ctrl+shift+z","shift+cmd+z","Eclipse","Edit","ctrl shift"
"","33491","Cut","ctrl+x","cmd+x","Eclipse","Edit","ctrl"
"","33492","Copy","ctrl+c","cmd+c","Eclipse","Edit","ctrl"
"","33493","Paste","ctrl+v","cmd+v","Eclipse","Edit","ctrl"
"","33494","Delete","del","del","Eclipse","Edit","None"
"","33495","Select All","ctrl+a","cmd+a","Eclipse","Edit","ctrl"
"","33496","Find and Replace","ctrl+f","cmd+f","Eclipse","Edit","ctrl"
"","33497","Find Next","ctrl+k","cmd+k","Eclipse","Edit","ctrl"
"","33498","Find Previous","ctrl+shift+k","shift+cmd+k","Eclipse","Edit","ctrl shift"
"","33499","Incremental Find","ctrl+j","cmd+j","Eclipse","Edit","ctrl"
"","33500","Reverse Incremental Find","ctrl+shift+j","shift+cmd+j","Eclipse","Edit","ctrl shift"
"","33501","Toggle Insert Mode","ctrl+shift+ins","shift+cmd+ins","Eclipse","Edit","ctrl shift"
"","33502","Show Tooltip Description","f2","f2","Eclipse","Edit","None"
"","33503","Content Assist","ctrl+space","ctrl+space","Eclipse","Edit","ctrl"
"","33504","Context Information","ctrl+shift+space","ctrl+shift+space","Eclipse","Edit","ctrl shift"
"","33505","Word Completion","alt+/","ctrl+.","Eclipse","Edit","alt"
"","33506","Quick Fix","ctrl+1","cmd+1","Eclipse","Edit","ctrl"
"","33507","Quick Diff Toggle","ctrl+shift+q","ctrl+shift+q","Eclipse","Edit","ctrl shift"
"","33508","Toggle Block Selection","alt+shift+a","alt+cmd+a","Eclipse","Edit","alt shift"
"","33509","Toggle Split Editor horizontal","ctrl+_","shift+cmd+-","Eclipse","Edit","ctrl"
"","33510","Toggle Split Editor vertical","ctrl+{","shift+cmd+[","Eclipse","Edit","ctrl"
"","33511","Open Search Dialog","ctrl+h","ctrl+h","Eclipse","Search","ctrl"
"","33512","Find Text in Workspace","ctrl+alt+g","alt+cmd+g","Eclipse","Search","ctrl alt"
"","33513","Search References in Ws","ctrl+shift+g","shift+cmd+g","Eclipse","Search","ctrl shift"
"","33514","Search Declaration in Ws","ctrl+g","cmd+g","Eclipse","Search","ctrl"
"","33515","Show Occurrences in File","ctrl+shift+u","shift+cmd+u","Eclipse","Search","ctrl shift"
"","33516","Select to Line Start","shift+home","shift+cmd+left","Eclipse","Text Editing – Selection","shift"
"","33517","Select to Line End","shift+end","shift+end","Eclipse","Text Editing – Selection","shift"
"","33518","Select Previous Word","ctrl+shift+left","alt+shift+left","Eclipse","Text Editing – Selection","ctrl shift"
"","33519","Select Next Word","ctrl+shift+right","alt+shift+right","Eclipse","Text Editing – Selection","ctrl shift"
