"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"","86732","Switch to the next tab","ctrl+pagedown or ctrl+tab","ctrl+tab or ctrl+fn+down","Edge","Tab and Window","ctrl"
"","86733","Switch to the previous tab","ctrl+pageup or ctrl+shift+tab","ctrl+shift+tab or ctrl+fn+up","Edge","Tab and Window","ctrl shift"
"","86734","Reload the current page","ctrl+r or f5","cmd+r","Edge","Tab and Window","ctrl"
"","86735","Reload the current page, ignoring cached content","ctrl+shift+r or shift+f5","shift+cmd+r","Edge","Tab and Window","ctrl shift"
"","86736","Switch focus to next pane","f6","n/a","Edge","Tab and Window","None"
"","86737","Switch focus to previous pane","shift+f6","n/a","Edge","Tab and Window","shift"
"","86738","Close the current window","alt+f4","cmd+q","Edge","Tab and Window","alt"
"","86739","Enter full screen (toggle)","f11","ctrl+cmd+f","Edge","Tab and Window","None"
"","86740","Switch to a specific tab","ctrl+1 or ctrl+2 or ctrl+8","cmd+1 or cmd+2 or cmd+8","Edge","Tab and Window","ctrl"
"","86741","Switch to the last tab","ctrl+9","cmd+9","Edge","Tab and Window","ctrl"
"","86742","Duplicate current tab","ctrl+shift+k","n/a","Edge","Tab and Window","ctrl shift"
"","86743","Open a new tab and switch to it","ctrl+t","cmd+t","Edge","Tab and Window","ctrl"
"","86744","Reopen the last closed tab, and switch to it","ctrl+shift+t","shift+cmd+t","Edge","Tab and Window","ctrl shift"
"","86745","Set focus on the first item in the toolbar","alt+shift+t","n/a","Edge","Tab and Window","alt shift"
"","86746","Close the current tab","ctrl+w","cmd+w","Edge","Tab and Window","ctrl"
"","86747","Close the current window","ctrl+shift+w","shift+cmd+w","Edge","Tab and Window","ctrl shift"
"","86748","Minimize window","n/a","cmd+m","Edge","Tab and Window","None"
"","86749","Minimize all windows of the front app","n/a","alt+cmd+m","Edge","Tab and Window","None"
"","86750","Open Downloads in a new tab","ctrl+j","alt+cmd+l","Edge","Tab and Window","ctrl"
"","86751","Paste and search or Paste and go (if it's a URL)","ctrl+shift+l","n/a","Edge","Tab and Window","ctrl shift"
"","86752","Mute the current tab (toggle)","ctrl+m","ctrl+m","Edge","Tab and Window","ctrl"
"","86753","Sign in as a different user or browse as a Guest","ctrl+shift+m","shift+cmd+m","Edge","Tab and Window","ctrl shift"
"","86754","Open a new window","ctrl+n","cmd+n","Edge","Tab and Window","ctrl"
"","86755","Open a new InPrivate window","ctrl+shift+n","shift+cmd+n","Edge","Tab and Window","ctrl shift"
"","86756","Open a file from your computer in Edge","ctrl+o","cmd+o","Edge","Tab and Window","ctrl"
"","86757","Open Favorites management","ctrl+shift+o","n/a","Edge","Tab and Window","ctrl shift"
"","86758","Search the typed query in new tab","n/a","cmd+enter","Edge","Tab and Window","None"
"","86759","Show or hide the favorites bar","ctrl+shift+b","shift+cmd+b","Edge","Favorites","ctrl shift"
"","86760","Set focus on the first item in the favorites bar","alt+shift+b","n/a","Edge","Favorites","alt shift"
"","86761","Save the current tab as a favorite","ctrl+d","cmd+d","Edge","Favorites","ctrl"
"","86762","Save all open tabs as favorites in a new folder","ctrl+shift+d","shift+cmd+d","Edge","Favorites","ctrl shift"
"","86763","Open Developer Tools","ctrl+shift+i or f12","shift+cmd+c or f12","Edge","Developer Tools","ctrl shift"
"","86764","Open the JavaScript Console","n/a","alt+cmd+j","Edge","Developer Tools","None"
"","86765","View source","ctrl+u","n/a","Edge","Developer Tools","ctrl"
"","86766","Open the Send feedback dialog","alt+shift+i","n/a","Edge","Developer Tools","alt shift"
"","86767","Zoom in","ctrl+plus","cmd+plus","Edge","Page","ctrl"
"","86768","Zoom out","ctrl+-","cmd+-","Edge","Page","ctrl"
"","86769","Add www. to the beginning and .com to the end of text typed in the address bar","ctrl+enter","n/a","Edge","Page","ctrl"
"","86770","Go to the top of the page, Move keyboard focus to first item of pane","home","home","Edge","Page","None"
"","86771","Go to the bottom of the page, Move keyboard focus to last item of pane","end","end","Edge","Page","None"
"","86772","Go to next tab stop","tab","tab","Edge","Page","None"
"","86773","Go to previous tab stop","shift+tab","shift+tab","Edge","Page","shift"
"","86774","Stop loading page; close dialog or pop-up","esc","esc","Edge","Page","None"
"","86775","Scroll up webpage, one screen at a time","pageup or shift+space","space","Edge","Page","shift"
"","86776","Scroll down webpage, one screen at a time","pagedown or space","shift+space","Edge","Page","None"
"","86777","Close the current page in the current tab","ctrl+f4","n/a","Edge","Page","ctrl"
"","86778","Find in the current tab","f3","n/a","Edge","Page","None"
"","86779","Select the URL in the address bar","f4","n/a","Edge","Page","None"
"","86780","Open Collections","ctrl+shift+y","n/a","Edge","Page","ctrl shift"
"","86781","Reset zoom level","ctrl+0","cmd+0","Edge","Page","ctrl"
"","86782","Print the current page","ctrl+p","cmd+p","Edge","Page","ctrl"
"","86783","Print using the system dialog","ctrl+shift+p","n/a","Edge","Page","ctrl shift"
"","86784","Save the current page","ctrl+s","cmd+s","Edge","Page","ctrl"
"","86785","Paste without formatting","ctrl+shift+v","shift+cmd+v","Edge","Page","ctrl shift"
"","86786","Start or stop Read Aloud","ctrl+shift+u","shift+cmd+u","Edge","Page","ctrl shift"
"","86787","Select the URL in the address bar to edit","alt+d or ctrl+l","cmd+l","Edge","Page","ctrl alt"
"","86788","Open a search query in the address bar","ctrl+e or ctrl+k","n/a","Edge","Page","ctrl"
"","86789","Find on page","ctrl+f","cmd+f","Edge","Page","ctrl"
"","86790","Search the web","n/a","alt+cmd+f","Edge","Page","None"
"","86791","Jump to the next match to your Find Bar search","ctrl+g","cmd+g","Edge","Page","ctrl"
"","86792","Jump to the previous match to your Find Bar search","ctrl+shift+g","shift+cmd+g","Edge","Page","ctrl shift"
"","86793","Move cursor to beginning of first word in same line","home","cmd+left","Edge","Page","None"
"","86794","Move cursor to the end of last word in same line","end","cmd+right","Edge","Page","None"
"","86795","Delete entire text field / entire line of text","n/a","cmd+del","Edge","Page","None"
"","86796","Toggle PDF between fit to page / fit to width","ctrl+\","ctrl+\","Edge","PDF","ctrl"
"","86797","Rotate PDF counter-clockwise 90*","ctrl+[","ctrl+[","Edge","PDF","ctrl"
"","86798","Rotate PDF clockwise 90*","ctrl+]","ctrl+]","Edge","PDF","ctrl"
"","86799","Open clear browsing data options","ctrl+shift+del","shift+cmd+del","Edge","History","ctrl shift"
"","86800","Go back","alt+left","cmd+[","Edge","History","alt"
"","86801","Go forward","alt+right","cmd+]","Edge","History","alt"
"","86802","Open your home page in the current tab","alt+home","shift+cmd+h","Edge","History","alt"
"","86803","Open History in a new tab (web UI)","ctrl+h","cmd+y","Edge","History","ctrl"
"","86804","Open Help","f1","n/a","Edge","Edge Features","None"
"","86805","Turn caret browsing on or off","f7","n/a","Edge","Edge Features","None"
"","86806","Enter or exit Immersive Reader","f9","f9","Edge","Edge Features","None"
"","86807","Open context menu","shift+f10","n/a","Edge","Edge Features","shift"
"","86808","Open the Settings and more ""..."" menu","alt+f or alt+e or f10 enter","n/a","Edge","Edge Features","alt"
"","86809","Set focus on the Settings and more ""…"" button","alt or f10","n/a","Edge","Edge Features","alt"
