"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"","84398","execute extended command","alt+x","alt+x","Emacs","General","alt"
"","84399","suspend Emacs (or iconify it under X)","ctrl+z","ctrl+z","Emacs","General","ctrl"
"","84400","exit Emacs permanently","ctrl+x ctrl+c","ctrl+x ctrl+c","Emacs","General","ctrl"
"","84401","read a file into Emacs","ctrl+x ctrl+f","ctrl+x ctrl+f","Emacs","Files","ctrl"
"","84402","save a file back to disk","ctrl+x ctrl+s","ctrl+x ctrl+s","Emacs","Files","ctrl"
"","84403","save all files","ctrl+x s","ctrl+x s","Emacs","Files","ctrl"
"","84404","insert contents of another file into this buffer","ctrl+x i","ctrl+x i","Emacs","Files","ctrl"
"","84405","replace this file with the file you really want","ctrl+x ctrl+v","ctrl+x ctrl+v","Emacs","Files","ctrl"
"","84406","write buffer to a specified file","ctrl+x ctrl+w","ctrl+x ctrl+w","Emacs","Files","ctrl"
"","84407","toggle read-only status of buffer","ctrl+x ctrl+q","ctrl+x ctrl+q","Emacs","Files","ctrl"
"","84408","Show help","ctrl+h or f1","ctrl+h or f1","Emacs","Getting Help","ctrl"
"","84409","Enter tutorial","ctrl+h t","ctrl+h t","Emacs","Getting Help","ctrl"
"","84410","remove help window","ctrl+x 1","ctrl+x 1","Emacs","Getting Help","ctrl"
"","84411","scroll help window","ctrl+alt+v","ctrl+alt+v","Emacs","Getting Help","ctrl alt"
"","84412","apropos: show commands matching a string","ctrl+h a","ctrl+h a","Emacs","Getting Help","ctrl"
"","84413","describe the function a key runs","ctrl+h k","ctrl+h k","Emacs","Getting Help","ctrl"
"","84414","describe a function","ctrl+h f","ctrl+h f","Emacs","Getting Help","ctrl"
"","84415","get mode-specific information","ctrl+h m","ctrl+h m","Emacs","Getting Help","ctrl"
"","84416","abort partially typed or executing command","ctrl+g","ctrl+g","Emacs","Error Recovery","ctrl"
"","84417","recover files lost by a system crash","""recover-session""","""recover-session""","Emacs","Error Recovery","Text Snippet"
"","84418","undo an unwanted change","ctrl+x u or ctrl+_ or ctrl+/","ctrl+x u or ctrl+_ or ctrl+/","Emacs","Error Recovery","ctrl"
"","84419","restore a buffer to its original contents","""revert-buffer""","""revert-buffer""","Emacs","Error Recovery","Text Snippet"
"","84420","redraw garbaged screen","ctrl+l","ctrl+l","Emacs","Error Recovery","ctrl"
"","84421","search forward","ctrl+s","ctrl+s","Emacs","Incremental Search","ctrl"
"","84422","search backward","ctrl+r","ctrl+r","Emacs","Incremental Search","ctrl"
"","84423","regular expression search","ctrl+alt+s","ctrl+alt+s","Emacs","Incremental Search","ctrl alt"
"","84424","reverse regular expression search","ctrl+alt+r","ctrl+alt+r","Emacs","Incremental Search","ctrl alt"
"","84425","select previous search string","alt+p","alt+p","Emacs","Incremental Search","alt"
"","84426","select next later search string","alt+n","alt+n","Emacs","Incremental Search","alt"
"","84427","exit incremental search","enter","enter","Emacs","Incremental Search","None"
"","84428","undo effect of last character","del","del","Emacs","Incremental Search","None"
"","84429","abort current search","ctrl+g","ctrl+g","Emacs","Incremental Search","ctrl"
"","84430","Move over character forward","ctrl+f","ctrl+f","Emacs","Motion","ctrl"
"","84431","Move over character backward","ctrl+b","ctrl+b","Emacs","Motion","ctrl"
"","84432","Move over word backward","alt+b","alt+b","Emacs","Motion","alt"
"","84433","Move over word forward","alt+f","alt+f","Emacs","Motion","alt"
"","84434","Move over line forward","ctrl+n","ctrl+n","Emacs","Motion","ctrl"
"","84435","Move over line backward","ctrl+p","ctrl+p","Emacs","Motion","ctrl"
"","84436","Move to line beginning","ctrl+a","ctrl+a","Emacs","Motion","ctrl"
"","84437","Move to line end","ctrl+e","ctrl+e","Emacs","Motion","ctrl"
"","84438","Move to sentence beginning","alt+a","alt+a","Emacs","Motion","alt"
"","84439","Move to sentence end","alt+e","alt+e","Emacs","Motion","alt"
"","84440","Move to paragraph beginning","alt+{","alt+{","Emacs","Motion","alt"
"","84441","Move to paragraph end","alt+}","alt+}","Emacs","Motion","alt"
"","84442","Move to page beginning","ctrl+x [","ctrl+x [","Emacs","Motion","ctrl"
"","84443","Move to page end","ctrl+x ]","ctrl+x ]","Emacs","Motion","ctrl"
"","84444","Move to sexp beginning","ctrl+alt+b","ctrl+alt+b","Emacs","Motion","ctrl alt"
"","84445","Move to sexp end","ctrl+alt+f","ctrl+alt+f","Emacs","Motion","ctrl alt"
"","84446","Move to function beginning","ctrl+alt+a","ctrl+alt+a","Emacs","Motion","ctrl alt"
"","84447","Move to function end","ctrl+alt+e","ctrl+alt+e","Emacs","Motion","ctrl alt"
"","84448","Move to buffer beginning","alt+<","alt+<","Emacs","Motion","alt"
