"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"","102156","Child",""">""",""">""","Emmet","Syntax","Text Snippet"
"","102157","Sibling","""+""","""+""","Emmet","Syntax","Text Snippet"
"","102158","Climb-up","""^""","""^""","Emmet","Syntax","Text Snippet"
"","102159","Grouping","""()""","""()""","Emmet","Syntax","Text Snippet"
"","102160","Multiplication","""*""","""*""","Emmet","Syntax","Text Snippet"
"","102161","Item numbering","""$""","""$""","Emmet","Syntax","Text Snippet"
"","102162","Assign ID 'header'","""#header""","""#header""","Emmet","Syntax","Text Snippet"
"","102163","Set class 'title'",""".title""",""".title""","Emmet","Syntax","Text Snippet"
"","102164","Set custom attribute 'att' to 'val'","""[att=""val""]""","""[att=""val""]""","Emmet","Syntax","Text Snippet"
"","102165","Set text ""foo"" inside element","""{foo}""","""{foo}""","Emmet","Syntax","Text Snippet"
"","102166","<nav> <ul> <li></li> </ul> </nav>","""nav>ul>li""","""nav>ul>li""","Emmet","Examples","Text Snippet"
"","102167","<div></div> <p></p> <blockquote></blockquote>","""div+p+bq""","""div+p+bq""","Emmet","Examples","Text Snippet"
"","102168","<div></div> <div> <p><span></span><em></em></p> <blockquote></blockquote> </div>","""div+div>p>span+em^bq""","""div+div>p>span+em^bq""","Emmet","Examples","Text Snippet"
"","102169","<ul> <li></li> <li></li> <li></li></ul>","""ul>li*3""","""ul>li*3""","Emmet","Examples","Text Snippet"
"","102170","<ul> <li class=""item1""></li> <li class=""item2""></li> </ul>","""ul>li.item$*2""","""ul>li.item$*2""","Emmet","Examples","Text Snippet"
"","102171","<div><header><ul></ul></header><footer></footer></div>","""div>(header>ul)>footer""","""div>(header>ul)>footer""","Emmet","Examples","Text Snippet"
"","102172","<a href=""""></a>","""a""","""a""","Emmet","HTML","Text Snippet"
"","102173","<a href=""http://""></a>","""a:link""","""a:link""","Emmet","HTML","Text Snippet"
"","102174","<a href=""mailto:""></a>","""a:mail""","""a:mail""","Emmet","HTML","Text Snippet"
"","102175","<abbr title=""""></abbr>","""abbr""","""abbr""","Emmet","HTML","Text Snippet"
"","102176","<acronym title=""""></acronym>","""acr""","""acr""","Emmet","HTML","Text Snippet"
"","102177","<base href="""" />","""base""","""base""","Emmet","HTML","Text Snippet"
