"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"Essential","116236","Open File...","ctrl+o","cmd+o","Essential","File Management","ctrl"
"Essential","116237","Save","ctrl+s","cmd+s","Essential","File Management","ctrl"
"Essential","116238","Save As...","ctrl+shift+s","shift+cmd+s","Essential","File Management","ctrl shift"
"Essential","116239","Print","ctrl+p","cmd+p","Essential","General","ctrl"
"Essential","116240","Refresh","f5","cmd+r","Essential","General","None"
"Essential","116241","Select all","ctrl+a","cmd+a","Essential","General","ctrl"
"Essential","116242","Search","ctrl+f","cmd+f","Essential","General","ctrl"
"Essential","116243","Cut selection","ctrl+x","cmd+x","Essential","Basic Editing","ctrl"
"Essential","116244","Copy selection","ctrl+c","cmd+c","Essential","Basic Editing","ctrl"
"Essential","116245","Paste","ctrl+v","cmd+v","Essential","Basic Editing","ctrl"
"Essential","116246","Replace","ctrl+h","alt+cmd+f","Essential","Basic Editing","ctrl"
"Essential","116247","Paste without formatting","ctrl+shift+v","alt+shift+cmd+v","Essential","Basic Editing","ctrl shift"
"Essential","116248","Undo","ctrl+z","cmd+z","Essential","Basic Editing","ctrl"
"Essential","116249","Redo","ctrl+y","shift+cmd+z","Essential","Basic Editing","ctrl"
"Essential","116250","Go to Beginning of Line","home","cmd+left","Essential","Basic Editing","None"
"Essential","116251","Go to End of Line","end","cmd+right","Essential","Basic Editing","None"
