"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"Excel","50067","Add borders","ctrl+shift+&","alt+cmd+0","Excel","Frequent Shortcuts","ctrl shift"
"Excel","50068","Add or remove filter","ctrl+shift+l","shift+cmd+f","Excel","Frequent Shortcuts","ctrl shift"
"Excel","50069","Bold","ctrl+b","cmd+b","Excel","Frequent Shortcuts","ctrl"
"Excel","50070","Center align cell contents","alt+h a c","cmd+e","Excel","Frequent Shortcuts","alt"
"Excel","50071","Left align cell contents","alt+h a l","cmd+l","Excel","Frequent Shortcuts","alt"
"Excel","50072","Choose a fill color","alt+h h","n/a","Excel","Frequent Shortcuts","alt"
"Excel","50073","Close workbook","ctrl+w","cmd+w","Excel","Frequent Shortcuts","ctrl"
"Excel","50074","Copy","ctrl+c","cmd+c","Excel","Frequent Shortcuts","ctrl"
"Excel","50075","Cut","ctrl+x","cmd+x","Excel","Frequent Shortcuts","ctrl"
"Excel","50076","Paste","ctrl+v","cmd+v","Excel","Frequent Shortcuts","ctrl"
"Excel","50077","Print","ctrl+p","cmd+p","Excel","Frequent Shortcuts","ctrl"
"Excel","50078","Save","ctrl+s","cmd+s","Excel","Frequent Shortcuts","ctrl"
"Excel","50079","Undo","ctrl+z","cmd+z","Excel","Frequent Shortcuts","ctrl"
"Excel, Excel","50080","Redo last action","ctrl+y","cmd+y","Excel","Frequent Shortcuts","ctrl"
"Excel","50081","Select current column","ctrl+space","ctrl+space","Excel","Frequent Shortcuts","ctrl"
"Excel","50082","Select current row","shift+space","shift+space","Excel","Frequent Shortcuts","shift"
"Excel","50083","Delete selected column","ctrl+-","cmd+-","Excel","Frequent Shortcuts","ctrl"
"Excel","50084","Delete selected row","ctrl+-","cmd+-","Excel","Frequent Shortcuts","ctrl"
"Excel","50085","Find","ctrl+f","cmd+f","Excel","Frequent Shortcuts","ctrl"
"Excel","50086","Replace","ctrl+h","ctrl+h","Excel","Frequent Shortcuts","ctrl"
"Excel","50087","Find next match","shift+f4","cmd+g","Excel","Frequent Shortcuts","shift"
"Excel","50088","Find previous match","ctrl+shift+f4","shift+cmd+g","Excel","Frequent Shortcuts","ctrl shift"
"Excel","50089","Hide selected columns","ctrl+0","ctrl+0","Excel","Frequent Shortcuts","ctrl"
"Excel","50090","Hide selected rows","ctrl+9","ctrl+9","Excel","Frequent Shortcuts","ctrl"
"Excel","50091","New workbook","ctrl+n","cmd+n","Excel","Frequent Shortcuts","ctrl"
"Excel","50092","Open context menu","shift+f10","shift+fn+f10","Excel","Frequent Shortcuts","shift"
"Excel","50093","Open workbook","ctrl+o","cmd+o","Excel","Frequent Shortcuts","ctrl"
"Excel","50094","Remove cell contents","del","fn+del","Excel","Frequent Shortcuts","None"
"Excel","50095","Right align cell contents","alt+h a r","cmd+r","Excel","Frequent Shortcuts","alt"
"Excel","50096","Unhide columns","ctrl+shift+0","ctrl+shift+0","Excel","Frequent Shortcuts","ctrl shift"
"Excel","50097","Unhide rows","ctrl+shift+9","ctrl+shift+9","Excel","Frequent Shortcuts","ctrl shift"
"Excel","50098","Zoom in","ctrl+alt+plus","alt+cmd+plus","Excel","Frequent Shortcuts","ctrl alt"
"Excel","50099","Zoom out","ctrl+alt+-","alt+cmd+-","Excel","Frequent Shortcuts","ctrl alt"
"Excel","50100","Cancel process or close dialog","ctrl+esc","n/a","Excel","Frequent Shortcuts","ctrl"
"Excel","50101","Rename table","ctrl+r","ctrl+r","Excel","Frequent Shortcuts","ctrl"
"Excel","50102","Move table","ctrl+m","n/a","Excel","Frequent Shortcuts","ctrl"
"Excel","50103","Open AutoFilter Menu dialog","alt+down","alt+down","Excel","Frequent Shortcuts","alt"
"Excel","50104","Edit active cell","f2","ctrl+u","Excel","Frequent Shortcuts","None"
"Excel","50105","Activate selected button","space","space","Excel","Inside the Ribbon","None"
"Excel","50106","Expand / collapse the ribbon","ctrl+f1","alt+cmd+r","Excel","Inside the Ribbon","ctrl"
"Excel","50107","Move to left command","shift+tab","shift+tab","Excel","Inside the Ribbon","shift"
"Excel","50108","Move to right command","tab","tab","Excel","Inside the Ribbon","None"
"Excel","50109","Move to submenu when a main menu is open","left","left","Excel","Inside the Ribbon","None"
"Excel","50110","Move to the next command in open menu","down","down","Excel","Inside the Ribbon","None"
"Excel","50111","Open the list for selected command","down","down","Excel","Inside the Ribbon","None"
"Excel","50112","Open the menu for selected button","alt+down","alt+down","Excel","Inside the Ribbon","alt"
"Excel","50113","Select active tab and activate access keys","alt or f10","n/a","Excel","Inside the Ribbon","alt"
"Excel","50114","Cycle through text boxes / images","ctrl+alt+5","n/a","Excel","Cell Navigation","ctrl alt"
"Excel","50115","Enter the End mode","end","fn+right","Excel","Cell Navigation","None"
"Excel","50116","Exit navigation of text boxes / images","esc","esc","Excel","Cell Navigation","None"
"Excel","50117","Extend selection of cells to last used cell","ctrl+shift+end","ctrl+shift+fn+right","Excel","Cell Navigation","ctrl shift"
"Excel","50118","Move one cell down","down","down","Excel","Cell Navigation","None"
"Excel","50119","Move one cell left","left","left","Excel","Cell Navigation","None"
"Excel","50120","Move one cell right","right","right","Excel","Cell Navigation","None"
"Excel","50121","Move one cell up","up","up","Excel","Cell Navigation","None"
"Excel","50122","Move one screen down in worksheet","pagedown","fn+down","Excel","Cell Navigation","None"
"Excel","50123","Move one screen left in worksheet","alt+pageup","alt+fn+up","Excel","Cell Navigation","alt"
"Excel","50124","Move one screen right in worksheet","alt+pagedown","alt+fn+down","Excel","Cell Navigation","alt"
"Excel","50125","Move one screen up in a worksheet","pageup","fn+up","Excel","Cell Navigation","None"
"Excel","50126","Move to beginning of a worksheet","ctrl+home","ctrl+fn+left","Excel","Cell Navigation","ctrl"
"Excel","50127","Move to bottom edge of data region","ctrl+down","ctrl+down","Excel","Cell Navigation","ctrl"
"Excel","50128","Move to cell in the upper left corner","home scrlk","ctrl+fn+left","Excel","Cell Navigation","None"
"Excel","50129","Move to last cell on a worksheet","ctrl+end","ctrl+fn+right","Excel","Cell Navigation","ctrl"
"Excel","50130","Move to left edge of data region","ctrl+left","ctrl+left","Excel","Cell Navigation","ctrl"
