"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"Figma","604823","Show/Hide UI","ctrl+\","cmd+\","Figma","Essential","ctrl"
"Figma","604824","Pick Color","i","ctrl+c","Figma","Essential","None"
"Figma","604825","Search","ctrl+/","cmd+/","Figma","Essential","ctrl"
"Figma","604826","Move Tool","v","v","Figma","Tools","None"
"Figma","604827","Frame Tool","f","f","Figma","Tools","None"
"Figma","604828","Pen Tool","p","p","Figma","Tools","None"
"Figma","604829","Pencil Tool","shift+p","shift+p","Figma","Tools","shift"
"Figma","604830","Text Tool","t","t","Figma","Tools","None"
"Figma","604831","Rectangle Tool","r","r","Figma","Tools","None"
"Figma","604832","Ellipse Tool","o","o","Figma","Tools","None"
"Figma","604833","Line Tool","l","l","Figma","Tools","None"
"Figma","604834","Arrow Tool","shift+l","shift+l","Figma","Tools","shift"
"Figma","604835","Add/Show Comments","c","c","Figma","Tools","None"
"Figma","604836","Slice Tool","s","s","Figma","Tools","None"
"Figma","604837","Multiplayer Cursors","ctrl+alt+\","alt+cmd+\","Figma","View","ctrl alt"
"Figma","604838","Rulers","shift+r","shift+r","Figma","View","shift"
"Figma","604839","Outlines","shift+o","shift+o","Figma","View","shift"
"Figma","604840","Pixel Preview","ctrl+shift+p","shift+cmd+p","Figma","View","ctrl shift"
"Figma","604841","Layout Grids","shift+g","shift+g","Figma","View","shift"
"Figma","604842","Pixel Grid","shift+'","shift+'","Figma","View","shift"
"Figma","604843","Open Layers Panel","alt+1","alt+1","Figma","View","alt"
"Figma","604844","Open Assets Panel","alt+2","alt+2","Figma","View","alt"
"Figma","604845","Open Design Panel","alt+8","alt+8","Figma","View","alt"
"Figma","604846","Open Prototype Panel","alt+9","alt+9","Figma","View","alt"
"Figma","604847","Open Code Panel","alt+0","alt+0","Figma","View","alt"
"Figma","604848","Pan","space+drag","space+drag","Figma","Zoom","None"
"Figma","604849","Zoom In","ctrl+plus or ctrl+=","cmd+plus or cmd+=","Figma","Zoom","ctrl"
"Figma","604850","Zoom Out","ctrl+-","cmd+-","Figma","Zoom","ctrl"
"Figma","604851","Zoom to 100%","ctrl+0","cmd+0","Figma","Zoom","ctrl"
