"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"","99605","Hide Final Cut Pro","n/A","cmd+h","Final Cut Pro","Application","cmd"
"","99606","Hide all applications except Final Cut Pro","n/A","alt+cmd+h","Final Cut Pro","Application","alt cmd"
"","99607","Open the Command Editor","n/A","alt+cmd+k","Final Cut Pro","Application","alt cmd"
"","99608","Minimize Final Cut Pro","n/A","cmd+m","Final Cut Pro","Application","cmd"
"","99609","Open an existing library or a new library","n/A","cmd+o","Final Cut Pro","Application","cmd"
"","99610","Open the Final Cut Pro Preferences window","n/A","cmd+,","Final Cut Pro","Application","cmd"
"","99611","Quit Final Cut Pro","n/A","cmd+q","Final Cut Pro","Application","cmd"
"","99612","Redo the last command","n/A","shift+cmd+z","Final Cut Pro","Application","shift cmd"
"","99613","Undo the last command","n/A","cmd+z","Final Cut Pro","Application","cmd"
"","99614","Adjust the audio volume across all selected clips to a specific dB value","n/A","ctrl+alt+l","Final Cut Pro","Editing","ctrl alt"
"","99615","Adjust the audio volume across all selected clips by the same dB value","n/A","ctrl+l","Final Cut Pro","Editing","ctrl"
"","99616","Add the selection to the end of the storyline","n/A","e","Final Cut Pro","Editing","None"
"","99617","Audition: Add to Audition","n/A","ctrl+shift+y","Final Cut Pro","Editing","ctrl shift"
"","99618","Audition: Duplicate as Audition","n/A","alt+y","Final Cut Pro","Editing","alt"
"","99619","Audition: Duplicate from Original","n/A","shift+cmd+y","Final Cut Pro","Editing","shift cmd"
"","99620","Audition: Replace and Add to Audition","n/A","shift+y","Final Cut Pro","Editing","shift"
"","99621","Cut the primary storyline clip (or the selection) at the skimmer or playhead location","n/A","cmd+b","Final Cut Pro","Editing","cmd"
"","99622","Cut all clips at the skimmer or playhead location","n/A","shift+cmd+b","Final Cut Pro","Editing","shift cmd"
"","99623","Break the selected item into its component parts","n/A","shift+cmd+g","Final Cut Pro","Editing","shift cmd"
"","99624","Change the duration of the selection","n/A","ctrl+d","Final Cut Pro","Editing","ctrl"
"","99625","Connect the default lower third to the primary storyline","n/A","ctrl+shift+t","Final Cut Pro","Editing","ctrl shift"
"","99626","Connect the default title to the primary storyline","n/A","ctrl+t","Final Cut Pro","Editing","ctrl"
"","99627","Connect the selection to the primary storyline","n/A","q","Final Cut Pro","Editing","None"
"","99628","Connect to Primary Storyline - Backtimed","n/A","shift+q","Final Cut Pro","Editing","shift"
"","99629","Copy the selection","n/A","cmd+c","Final Cut Pro","Editing","cmd"
"","99630","Create an audition from the selection","n/A","cmd+y","Final Cut Pro","Editing","cmd"
"","99631","Create a storyline from a selection of connected clips","n/A","cmd+g","Final Cut Pro","Editing","cmd"
"","99632","Cut the selection","n/A","cmd+x","Final Cut Pro","Editing","cmd"
"","99633","Cut and Switch to Viewer Angle 1","n/A","1","Final Cut Pro","Editing","None"
"","99634","Cut and Switch to Viewer Angle 2","n/A","2","Final Cut Pro","Editing","None"
"","99635","Cut and Switch to Viewer Angle 3","n/A","3","Final Cut Pro","Editing","None"
"","99636","Cut and Switch to Viewer Angle 4","n/A","4","Final Cut Pro","Editing","None"
"","99637","Cut and Switch to Viewer Angle 5","n/A","5","Final Cut Pro","Editing","None"
"","99638","Cut and Switch to Viewer Angle 6","n/A","6","Final Cut Pro","Editing","None"
"","99639","Cut and Switch to Viewer Angle 7","n/A","7","Final Cut Pro","Editing","None"
"","99640","Cut and Switch to Viewer Angle 8","n/A","8","Final Cut Pro","Editing","None"
"","99641","Cut and Switch to Viewer Angle 9","n/A","9","Final Cut Pro","Editing","None"
"","99642","Delete the timeline selection, reject the browser selection, or remove a through edit","n/A","del","Final Cut Pro","Editing","None"
"","99643","Delete the selection and attach the connected clip or clips to the resulting gap clip","n/A","alt+cmd+del","Final Cut Pro","Editing","alt cmd"
"","99644","Deselect all selected items","n/A","shift+cmd+a","Final Cut Pro","Editing","shift cmd"
"","99645","Duplicate the browser selection","n/A","cmd+d","Final Cut Pro","Editing","cmd"
"","99646","Enable or disable playback for the selection","n/A","v","Final Cut Pro","Editing","None"
"","99647","View audio and video separately for selected clips","n/A","ctrl+s","Final Cut Pro","Editing","ctrl"
"","99648","Expand or collapse audio components for the selection in the timeline","n/A","ctrl+alt+s","Final Cut Pro","Editing","ctrl alt"
"","99649","Extend the selected edit point to the skimmer or playhead position","n/A","shift+x","Final Cut Pro","Editing","shift"
"","99650","In the browser list view, add the next item to the selection","n/A","shift+down","Final Cut Pro","Editing","shift"
"","99651","In the timeline, add the next item to the selection","n/A","ctrl+cmd+right","Final Cut Pro","Editing","ctrl cmd"
"","99652","In the browser list view, add the previous item to the selection","n/A","shift+up","Final Cut Pro","Editing","shift"
"","99653","Dissolve the audition and replace it with the audition pick","n/A","alt+shift+y","Final Cut Pro","Editing","alt shift"
"","99654","Insert the selection at the skimmer or playhead position","n/A","w","Final Cut Pro","Editing","None"
"","99655","Insert/Connect Freeze Frame","n/A","alt+f","Final Cut Pro","Editing","alt"
"","99656","Insert a gap clip at the skimmer or playhead position","n/A","alt+w","Final Cut Pro","Editing","alt"
"","99657","Insert the default generator at the skimmer or playhead position","n/A","alt+cmd+w","Final Cut Pro","Editing","alt cmd"
"","99658","Lift the selection from the storyline and connect it to the resulting gap clips","n/A","alt+cmd+up","Final Cut Pro","Editing","alt cmd"
"","99659","Lower the audio volume by 1 dB","n/A","ctrl+-","Final Cut Pro","Editing","ctrl"
"","99660","Move the playhead by entering a timecode value","n/A","ctrl+p","Final Cut Pro","Editing","ctrl"
"","99661","Create a new compound clip (if there’s no selection, create an empty compound clip)","n/A","alt+g","Final Cut Pro","Editing","alt"
"","99662","Nudge the selected audio edit point left by one subframe, creating a split edit","n/A","alt+,","Final Cut Pro","Editing","alt"
"","99663","Nudge the selected audio edit point left by 10 subframes, creating a split edit","n/A","alt+shift+,","Final Cut Pro","Editing","alt shift"
"","99664","Nudge the selected audio edit point right by one subframe, creating a split edit","n/A","alt+.","Final Cut Pro","Editing","alt"
"","99665","Nudge the selected audio edit point right by 10 subframes, creating a split edit","n/A","alt+shift+.","Final Cut Pro","Editing","alt shift"
"","99666","Nudge down the value of the selected keyframe in the animation editor","n/A","alt+down","Final Cut Pro","Editing","alt"
"","99667","Nudge the selection one unit to the left","n/A",",","Final Cut Pro","Editing","None"
"","99668","Nudge the selection 10 units to the left","n/A","shift+,","Final Cut Pro","Editing","shift"
"","99669","Nudge the selection one unit to the right","n/A",".","Final Cut Pro","Editing","None"
"","99670","Nudge the selection 10 units to the right","n/A","shift+.","Final Cut Pro","Editing","shift"
"","99671","Nudge up the value of the selected keyframe in the animation editor","n/A","alt+up","Final Cut Pro","Editing","alt"
"","99672","Open the selected audition","n/A","y","Final Cut Pro","Editing","None"
"","99673","Temporarily override clip connections for the selection","n/A","`","Final Cut Pro","Editing","None"
"","99674","Overwrite at the skimmer or playhead position","n/A","d","Final Cut Pro","Editing","None"
"","99675","Overwrite from the skimmer or playhead position back","n/A","shift+d","Final Cut Pro","Editing","shift"
"","99676","Overwrite at the skimmer or playhead position in the primary storyline","n/A","alt+cmd+down","Final Cut Pro","Editing","alt cmd"
"","99677","Paste the selection and connect it to the primary storyline","n/A","alt+v","Final Cut Pro","Editing","alt"
"","99678","Insert the Clipboard contents at the skimmer or playhead position","n/A","cmd+v","Final Cut Pro","Editing","cmd"
"","99679","Switch to the previous angle in the multicam clip","n/A","ctrl+shift+left","Final Cut Pro","Editing","ctrl shift"
"","99680","Switch to the previous audio angle in the multicam clip","n/A","alt+shift+left","Final Cut Pro","Editing","alt shift"
"","99681","Select the previous clip in the Audition window, making it the audition pick","n/A","ctrl+left","Final Cut Pro","Editing","ctrl"
"","99682","Switch to the previous video angle in the multicam clip","n/A","shift+cmd+left","Final Cut Pro","Editing","shift cmd"
"","99683","Raise the audio volume by 1 dB","n/A","ctrl+=","Final Cut Pro","Editing","ctrl"
"","99684","Replace the selected clip in the timeline with the browser selection","n/A","shift+r","Final Cut Pro","Editing","shift"
"","99685","Replace from Start","n/A","alt+r","Final Cut Pro","Editing","alt"
"","99686","Replace the selected timeline clip with a gap clip","n/A","shift+del","Final Cut Pro","Editing","shift"
"","99687","Select all clips","n/A","cmd+a","Final Cut Pro","Editing","cmd"
"","99688","Select the clip under the pointer in the timeline","n/A","c","Final Cut Pro","Editing","None"
"","99689","Select Clip Above","n/A","cmd+up","Final Cut Pro","Editing","cmd"
"","99690","Select Clip Below","n/A","cmd+down","Final Cut Pro","Editing","cmd"
"","99691","For audio/video clips in expanded view, select the left edge of the audio edit point","n/A","shift+[","Final Cut Pro","Editing","shift"
"","99692","Select the left edge of the edit point","n/A","[","Final Cut Pro","Editing","None"
"","99693","For audio/video clips in expanded view, select the left and right edges of the audio edit point","n/A","shift+\","Final Cut Pro","Editing","shift"
"","99694","Select the left and right edges of the edit point","n/A","\","Final Cut Pro","Editing","None"
"","99695","For audio/video clips in expanded view, select the left and right edges of the video edit point","n/A","ctrl+\","Final Cut Pro","Editing","ctrl"
"","99696","For audio/video clips in expanded view, select the left edge of the video edit point","n/A","ctrl+[","Final Cut Pro","Editing","ctrl"
"","99697","Switch to the next angle in the multicam clip","n/A","ctrl+shift+right","Final Cut Pro","Editing","ctrl shift"
"","99698","Switch to the next audio angle in the multicam clip","n/A","alt+shift+right","Final Cut Pro","Editing","alt shift"
"","99699","Move the playhead and the selection to the next topmost timeline clip in the same role","n/A","cmd+right","Final Cut Pro","Editing","cmd"
"","99700","Select the next clip in the Audition window, making it the audition pick","n/A","ctrl+right","Final Cut Pro","Editing","ctrl"
"","99701","Switch to the next video angle in the multicam clip","n/A","shift+cmd+right","Final Cut Pro","Editing","shift cmd"
"","99702","Move the playhead and the selection to the previous topmost timeline clip in the same role","n/A","cmd+left","Final Cut Pro","Editing","cmd"
"","99703","For audio/video clips in expanded view, select the right edge of the audio edit point","n/A","shift+]","Final Cut Pro","Editing","shift"
"","99704","Select the right edge of the edit point","n/A","]","Final Cut Pro","Editing","None"
"","99705","For audio/video clips in expanded view, select the right edge of the video edit point","n/A","ctrl+]","Final Cut Pro","Editing","ctrl"
"","99706","Set an additional range selection end point at the playhead or skimmer location","n/A","shift+cmd+o","Final Cut Pro","Editing","shift cmd"
"","99707","Set an additional range selection start point at the playhead or skimmer location","n/A","shift+cmd+i","Final Cut Pro","Editing","shift cmd"
"","99708","When an edit point is selected, show or hide the precision editor","n/A","ctrl+e","Final Cut Pro","Editing","ctrl"
"","99709","Turn snapping on or off","n/A","n","Final Cut Pro","Editing","None"
