"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"","55057","Back","alt+left","cmd+left or cmd+[ or del","Firefox","Navigation","alt"
"","55058","Forward","alt+right","cmd+right or cmd+] or shift+del","Firefox","Navigation","alt"
"","55059","Home","alt+home","alt+home","Firefox","Navigation","alt"
"","55060","Open File","ctrl+o","cmd+o","Firefox","Navigation","ctrl"
"","55061","Reload","f5 or ctrl+r","f5 or cmd+r","Firefox","Navigation","ctrl"
"","55062","Reload (override cache)","ctrl+f5 or ctrl+shift+r","shift+cmd+r","Firefox","Navigation","ctrl shift"
"","55063","Stop","esc","esc or cmd+.","Firefox","Navigation","None"
"","55064","Focus Next Link or Input Field","tab","tab","Firefox","Current Page","None"
"","55065","Focus Previous Link or Input Field","shift+tab","shift+tab","Firefox","Current Page","shift"
"","55066","Go Down a Screen","pagedown or space","pagedown or fn+down or space","Firefox","Current Page","None"
"","55067","Go Up a Screen","pageup or shift+space","pageup or fn+up or shift+space","Firefox","Current Page","shift"
"","55068","Go to Bottom of Page","end or ctrl+down","end or cmd+down","Firefox","Current Page","ctrl"
"","55069","Go to Top of Page","home or ctrl+up","home or cmd+up","Firefox","Current Page","ctrl"
"","55070","Move to Next Frame","f6","f6","Firefox","Current Page","None"
"","55071","Move to Previous Frame","shift+f6","shift+f6","Firefox","Current Page","shift"
"","55072","Print","ctrl+p","cmd+p","Firefox","Current Page","ctrl"
"","55073","Save Focused Link (requires non-default browser.altClickSave setting)","alt+enter","alt+enter","Firefox","Current Page","alt"
"","55074","Save Page As","ctrl+s","cmd+s","Firefox","Current Page","ctrl"
"","55075","Zoom In","ctrl+plus","cmd+plus","Firefox","Current Page","ctrl"
"","55076","Zoom Out","ctrl+-","cmd+-","Firefox","Current Page","ctrl"
"","55077","Zoom Reset","ctrl+0","cmd+0","Firefox","Current Page","ctrl"
"","55078","Copy","ctrl+c","cmd+c","Firefox","Editing","ctrl"
"","55079","Cut","ctrl+x","cmd+x","Firefox","Editing","ctrl"
"","55080","Delete","del","del","Firefox","Editing","None"
"","55081","Delete Word to the Left","ctrl+backspace","ctrl+backspace","Firefox","Editing","ctrl"
"","55082","Delete Word to the Right","ctrl+del","ctrl+del","Firefox","Editing","ctrl"
"","55083","Go one Word to the Left","ctrl+left","ctrl+left","Firefox","Editing","ctrl"
