"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"","104768","Show Changes view (second press will focus commit field)","ctrl+1","cmd+1","Fork","General Navigation","ctrl"
"","104769","Show All Commits view (second press will jump to HEAD)","ctrl+2","cmd+2","Fork","General Navigation","ctrl"
"","104770","Reveal HEAD","ctrl+0","cmd+0","Fork","General Navigation","ctrl"
"","104771","Show Quick Launch window","ctrl+p","cmd+p","Fork","General Navigation","ctrl"
"","104772","Select next tab","ctrl+tab","ctrl+tab","Fork","General Navigation","ctrl"
"","104773","Select previous tab","ctrl+shift+tab","ctrl+shift+tab","Fork","General Navigation","ctrl shift"
"","104774","Open new tab","ctrl+t","cmd+t","Fork","General Navigation","ctrl"
"","104775","Close current tab","ctrl+w","cmd+w","Fork","General Navigation","ctrl"
"","104776","Zoom in","ctrl+=","n/a","Fork","General Navigation","ctrl"
"","104777","Zoom out","ctrl+-","n/a","Fork","General Navigation","ctrl"
"","104778","Open Fork preferences","ctrl+,","cmd+,","Fork","General Navigation","ctrl"
"","104779","Jump to HEAD","ctrl+0","cmd+0","Fork","All Commits View","ctrl"
"","104780","Commit search","ctrl+f","cmd+f","Fork","All Commits View","ctrl"
"","104781","Jump to next search result","enter or f3","enter","Fork","All Commits View","None"
"","104782","Jump to previous search result","shift+enter or shift+f3","shift+enter","Fork","All Commits View","shift"
"","104783","Copy commit info","ctrl+c","cmd+c","Fork","All Commits View","ctrl"
"","104784","Remove branch/stash","del","backspace","Fork","All Commits View","None"
"","104785","Filter by active branch","ctrl+shift+a","shift+cmd+a","Fork","All Commits View","ctrl shift"
"","104786","Commit","ctrl+enter","cmd+enter","Fork","Changes View","ctrl"
"","104787","Commit and push","ctrl+shift+enter","shift+cmd+enter","Fork","Changes View","ctrl shift"
"","104788","Focus commit message field","ctrl+1","cmd+1","Fork","Changes View","ctrl"
"","104789","Filter","ctrl+f","n/a","Fork","Changes View","ctrl"
"","104790","Stage/unstage selected file (or lines)","enter or ctrl+shift+s","enter or cmd+s","Fork","Changes View","ctrl shift"
"","104791","Stage/unstage all files","ctrl+alt+shift+s","alt+shift+cmd+s","Fork","Changes View","ctrl alt shift"
"","104792","Discard selected file (or lines)","backspace or ctrl+shift+d","backspace or shift+cmd+d","Fork","Changes View","ctrl shift"
"","104793","Open selected file","ctrl+o","alt+shift+cmd+o","Fork","Changes View","ctrl"
"","104794","Open selected file in external diff tool","ctrl+d","cmd+d","Fork","Changes View","ctrl"
"","104795","Copy selected file full path","ctrl+c","cmd+c","Fork","Changes View","ctrl"
"","104796","Refresh","f5","cmd+r","Fork","Repository","None"
"","104797","Init new repository","ctrl+shift+n","ctrl+shift+n","Fork","Repository","ctrl shift"
"","104798","Clone new repository","ctrl+n","shift+cmd+n","Fork","Repository","ctrl"
"","104799","Open repository","ctrl+o","cmd+o","Fork","Repository","ctrl"
"","104800","Fetch","ctrl+shift+f","shift+cmd+f","Fork","Repository","ctrl shift"
"","104801","Quick Fetch","ctrl+alt+shift+f","alt+shift+cmd+f","Fork","Repository","ctrl alt shift"
"","104802","Pull","ctrl+shift+l","shift+cmd+l","Fork","Repository","ctrl shift"
"","104803","Quick Pull","ctrl+alt+shift+l","alt+shift+cmd+l","Fork","Repository","ctrl alt shift"
"","104804","Push","ctrl+shift+p","shift+cmd+p","Fork","Repository","ctrl shift"
"","104805","Quick Push","ctrl+alt+shift+p","alt+shift+cmd+p","Fork","Repository","ctrl alt shift"
"","104806","New branch","ctrl+shift+b","shift+cmd+b","Fork","Repository","ctrl shift"
"","104807","New tag","ctrl+shift+t","shift+cmd+t","Fork","Repository","ctrl shift"
"","104808","Create stash","ctrl+shift+h","shift+cmd+h","Fork","Repository","ctrl shift"
"","104809","Quick Stash","n/a","alt+shift+cmd+h","Fork","Repository","None"
"","104810","Open in File Explorer","ctrl+alt+o","ctrl+cmd+o","Fork","Repository","ctrl alt"
"","104811","Open in Terminal","ctrl+alt+t","ctrl+cmd+t","Fork","Repository","ctrl alt"
"","104812","Rename Repository","f2","n/a","Fork","Repository Manager","None"
"","104813","Remove Repository","del","del","Fork","Repository Manager","None"
"","104814","Open Repository","enter","enter","Fork","Repository Manager","None"
