"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"GDrive","35592","Go to navigation panel (folders list)","g n","g n","GDrive","Navigation and views","None"
"GDrive","35593","Go to items view","g l","g l","GDrive","Navigation and views","None"
"GDrive","35594","Switch between grid and list in items view","v","v","GDrive","Navigation and views","None"
"GDrive","35595","Go to details pane","g d","g d","GDrive","Navigation and views","None"
"GDrive","35596","Go to top of application (Google bar)","g t","g t","GDrive","Navigation and views","None"
"GDrive","35597","Go to download status","g a","g a","GDrive","Navigation and views","None"
"GDrive","35598","Go to upload status","g u","g u","GDrive","Navigation and views","None"
"GDrive","35599","Show or hide details pane","d","d","GDrive","Navigation and views","None"
"GDrive","35600","Show or hide activity pane","i","i","GDrive","Navigation and views","None"
"GDrive","35601","Select or deselect item","x","x","GDrive","Select items","None"
"GDrive","35602","Select next item down","j","j","GDrive","Select items","None"
"GDrive","35603","Select next item up","k","k","GDrive","Select items","None"
"GDrive","35604","Select next item to the left","h","h","GDrive","Select items","None"
"GDrive","35605","Select next item to the right","l","l","GDrive","Select items","None"
"GDrive","35606","Extend selection down","shift+down","shift+down","GDrive","Select items","shift"
"GDrive","35607","Extend selection up","shift+up","shift+up","GDrive","Select items","shift"
"GDrive","35608","Extend selection left","shift+left","shift+left","GDrive","Select items","shift"
"GDrive","35609","Extend selection right","shift+right","shift+right","GDrive","Select items","shift"
"GDrive","35610","Select all visible items","shift+a","shift+a","GDrive","Select items","shift"
"GDrive","35611","Clear all selections","shift+n","shift+n","GDrive","Select items","shift"
"GDrive","35612","Move down without changing selection","ctrl+down","cmd+down","GDrive","Move between items","ctrl"
"GDrive","35613","Move up without changing selection","ctrl+up","cmd+up","GDrive","Move between items","ctrl"
"GDrive","35614","Move left without changing selection","ctrl+left","cmd+left","GDrive","Move between items","ctrl"
"GDrive","35615","Move right without changing selection","ctrl+right","cmd+right","GDrive","Move between items","ctrl"
"GDrive","35616","Open selected item","enter","enter","GDrive","Take action on selected items","None"
"GDrive","35617","Rename selected item","n","n","GDrive","Take action on selected items","None"
"GDrive","35618","Share selected items",".",".","GDrive","Take action on selected items","None"
"GDrive","35619","Move selected items to new folder","z","z","GDrive","Take action on selected items","None"
"GDrive","35620","Star or unstar selected items","s","s","GDrive","Take action on selected items","None"
"GDrive","35621","Add selected items to an additional folder","shift+z","shift+z","GDrive","Take action on selected items","shift"
"GDrive","35622","Remove selected items","del","fn+del","GDrive","Take action on selected items","None"
"GDrive","35623","Undo last action","ctrl+z","cmd+z","GDrive","Take action on selected items","ctrl"
"GDrive","35624","Redo last undone action","ctrl+shift+z","shift+cmd+z","GDrive","Take action on selected items","ctrl shift"
"GDrive","35625","Document","shift+t","shift+t","GDrive","Create new items","shift"
"GDrive","35626","Presentation","shift+p","shift+p","GDrive","Create new items","shift"
"GDrive","35627","Spreadsheet","shift+s","shift+s","GDrive","Create new items","shift"
"GDrive","35628","Drawing","shift+d","shift+d","GDrive","Create new items","shift"
"GDrive","35629","Folder","shift+f","shift+f","GDrive","Create new items","shift"
"GDrive","35630","Form","shift+o","shift+o","GDrive","Create new items","shift"
"GDrive","35631","Create menu","c","c","GDrive","Open menus","None"
"GDrive","35632","More actions menu","a","a","GDrive","Open menus","None"
"GDrive","35633","Current folder actions menu","f","f","GDrive","Open menus","None"
"GDrive","35634","Sort menu","r","r","GDrive","Open menus","None"
"GDrive","35635","Settings menu","t","t","GDrive","Open menus","None"
"GDrive","35636","Display keyboard shortcuts list","ctrl+/","cmd+/","GDrive","Application actions","ctrl"
"GDrive","35637","Choose next visual density (row height and element spacing for list view)","q q","q q","GDrive","Application actions","None"
"GDrive","35638","Find/find next","ctrl+f","cmd+f","GDrive","Application actions","ctrl"
"GDrive","35639","Print","ctrl+p","cmd+p","GDrive","Application actions","ctrl"
"GDrive","35640","Show last message","m","m","GDrive","Application actions","None"
"GDrive","35641","Search your Drive","/","/","GDrive","Application actions","None"
"GDrive","35642","Close","esc","esc","GDrive","Preview mode actions","None"
"GDrive","35643","Play/pause","space","space","GDrive","Preview mode actions","None"
"GDrive","35644","Zoom in","plus","plus","GDrive","Preview mode actions","None"
"GDrive","35645","Zoom out","-","-","GDrive","Preview mode actions","None"
