"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"Gimp","69037","Help","f1","f1","Gimp","Help Menu","None"
"Gimp","69038","Context Sensitive Help","shift+f1","shift+f1","Gimp","Help Menu","shift"
"Gimp","69039","Paths","b","b","Gimp","General","None"
"Gimp","69040","Color Picker","o","o","Gimp","General","None"
"Gimp","69041","Zoom","z","z","Gimp","General","None"
"Gimp","69042","Measure","shift+m","shift+m","Gimp","General","shift"
"Gimp","69043","Text","t","t","Gimp","General","None"
"Gimp, Gimp","69044","Toolbox","ctrl+b","cmd+b","Gimp","General","ctrl"
"Gimp","69045","Default Colors (black foreground, white background)","d","d","Gimp","General","None"
"Gimp","69046","Swap Colors","x","x","Gimp","General","None"
"Gimp","69047","New Image","ctrl+n","cmd+n","Gimp","File","ctrl"
"Gimp","69048","Create a new Image from Clipboard","ctrl+shift+v","shift+cmd+v","Gimp","File","ctrl shift"
"Gimp","69049","Open Image","ctrl+o","cmd+o","Gimp","File","ctrl"
"Gimp","69050","Open as Layers","ctrl+alt+o","alt+cmd+o","Gimp","File","ctrl alt"
"Gimp","69051","Save Image","ctrl+s","cmd+s","Gimp","File","ctrl"
"Gimp","69052","Save As","ctrl+shift+s","shift+cmd+s","Gimp","File","ctrl shift"
"Gimp","69053","Print","ctrl+p","cmd+p","Gimp","File","ctrl"
"Gimp","69054","Close","ctrl+w","cmd+w","Gimp","File","ctrl"
"Gimp","69055","Close All","ctrl+shift+w","shift+cmd+w","Gimp","File","ctrl shift"
"Gimp","69056","Quit","ctrl+q","cmd+q","Gimp","File","ctrl"
"Gimp","69057","Undo","ctrl+z","cmd+z","Gimp","Edit","ctrl"
"Gimp","69058","Redo","ctrl+y","cmd+y","Gimp","Edit","ctrl"
"Gimp","69059","Cut","ctrl+x","cmd+x","Gimp","Edit","ctrl"
"Gimp","69060","Copy","ctrl+c","cmd+c","Gimp","Edit","ctrl"
"Gimp","69061","Copy Visible","ctrl+shift+c","shift+cmd+c","Gimp","Edit","ctrl shift"
"Gimp","69062","Paste","ctrl+v","cmd+v","Gimp","Edit","ctrl"
"Gimp","69063","Past as New Image","ctrl+shift+v","shift+cmd+v","Gimp","Edit","ctrl shift"
"Gimp","69064","Clear","del","del","Gimp","Edit","None"
"Gimp","69065","Fill with FG Color","ctrl+,","cmd+,","Gimp","Edit","ctrl"
