"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"GitHub","244032","Show keyboard shortcuts for current page","?","?","GitHub","Site wide shortcuts","None"
"GitHub","244033","Focus the search bar.","s","s","GitHub","Site wide shortcuts","None"
"GitHub","244034","Go to your notifications.","g n","g n","GitHub","Site wide shortcuts","None"
"GitHub","244035","Close hovercard and refocus on the element the hovercard is in","esc","esc","GitHub","Site wide shortcuts","None"
"GitHub","244036","Opens the GitHub Command Palette.","ctrl+k","cmd+k","GitHub","Site wide shortcuts","ctrl"
"GitHub","244037","Opens the GitHub Command Palette while editing Markdown","ctrl+alt+k","alt+cmd+k","GitHub","Site wide shortcuts","ctrl alt"
"GitHub","244038","Go to the Code tab","g c","g c","GitHub","Repositories","None"
"GitHub","244039","Go to the Issues tab.","g i","g i","GitHub","Repositories","None"
"GitHub","244040","Go to the Pull requests tab.","g p","g p","GitHub","Repositories","None"
"GitHub","244041","Go to the Projects tab.","g b","g b","GitHub","Repositories","None"
"GitHub","244042","Go to the Wiki tab.","g w","g w","GitHub","Repositories","None"
"GitHub","244043","Opens a repository or pull request in the web-based editor.",".",".","GitHub","Source code editing","None"
"GitHub","244044","Open source code file in the Edit file tab","e","e","GitHub","Source code editing","None"
"GitHub","244045","Start searching in file editor","ctrl+f","cmd+f","GitHub","Source code editing","ctrl"
"GitHub","244046","Find next","ctrl+g","cmd+g","GitHub","Source code editing","ctrl"
"GitHub","244047","Find previous","ctrl+shift+g","shift+cmd+g","GitHub","Source code editing","ctrl shift"
"GitHub","244048","Replace","ctrl+shift+f","alt+cmd+f","GitHub","Source code editing","ctrl shift"
"GitHub","244049","Replace all","ctrl+shift+r","alt+shift+cmd+f","GitHub","Source code editing","ctrl shift"
"GitHub","244050","Jump to line","alt+g","alt+g","GitHub","Source code editing","alt"
"GitHub","244051","Undo","ctrl+z","cmd+z","GitHub","Source code editing","ctrl"
"GitHub","244052","Redo","ctrl+y","cmd+y","GitHub","Source code editing","ctrl"
"GitHub","244053","Toggles between the Edit file and Preview changes tabs","n/a","shift+cmd+p","GitHub","Source code editing","None"
"GitHub","244054","Activates the file finder","t","t","GitHub","Source code browsing","None"
"GitHub","244055","Jump to a line in your code","l","l","GitHub","Source code browsing","None"
"GitHub","244056","Switch to a new branch or tag","w","w","GitHub","Source code browsing","None"
"GitHub","244057","Expand a URL to its canonical form.","y","y","GitHub","Source code browsing","None"
"GitHub","244058","Show or hide comments on diffs.","i","i","GitHub","Source code browsing","None"
"GitHub","244059","Open blame view.","b","b","GitHub","Source code browsing","None"
"GitHub","244060","Inserts Markdown formatting for bolding text","ctrl+b","cmd+b","GitHub","Comments","ctrl"
"GitHub","244061","Inserts Markdown formatting for italicizing text","ctrl+i","cmd+i","GitHub","Comments","ctrl"
"GitHub","244062","Inserts Markdown formatting for creating a link","ctrl+k","cmd+k","GitHub","Comments","ctrl"
"GitHub","244063","Toggles between the Write and Preview comment tabs","ctrl+shift+p","shift+cmd+p","GitHub","Comments","ctrl shift"
