"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"Gmail","175398","Previous message in an open conversation","p","p","Gmail","Compose & chat","None"
"Gmail","175399","Next message in an open conversation","n","n","Gmail","Compose & chat","None"
"Gmail","175400","Focus main window","shift+esc","shift+esc","Gmail","Compose & chat","shift"
"Gmail","175401","Focus latest chat or compose","esc","esc","Gmail","Compose & chat","None"
"Gmail","175402","Advance to the next chat or compose","ctrl+.","ctrl+.","Gmail","Compose & chat","ctrl"
"Gmail","175403","Advance to previous chat or compose","ctrl+,","ctrl+,","Gmail","Compose & chat","ctrl"
"Gmail","175404","Send","ctrl+enter","cmd+enter","Gmail","Compose & chat","ctrl"
"Gmail","175405","Add cc recipients","ctrl+shift+c","shift+cmd+c","Gmail","Compose & chat","ctrl shift"
"Gmail","175406","Add bcc recipients","ctrl+shift+b","shift+cmd+b","Gmail","Compose & chat","ctrl shift"
"Gmail","175407","Access custom from","ctrl+shift+f","shift+cmd+f","Gmail","Compose & chat","ctrl shift"
"Gmail","175408","Insert a link","ctrl+k","cmd+k","Gmail","Compose & chat","ctrl"
"Gmail","175409","Go to next misspelled word (Mac only)","ctrl+;","cmd+;","Gmail","Compose & chat","ctrl"
"Gmail","175410","Open spelling suggestions","ctrl+m","cmd+m","Gmail","Compose & chat","ctrl"
"Gmail","175411","Previous font","ctrl+shift+5","shift+cmd+5","Gmail","Formatting text","ctrl shift"
"Gmail","175412","Next font","ctrl+shift+6","shift+cmd+6","Gmail","Formatting text","ctrl shift"
"Gmail","175413","Decrease text size","ctrl+shift+-","shift+cmd+-","Gmail","Formatting text","ctrl shift"
"Gmail","175414","Increase text size","ctrl+shift+plus","shift+cmd+plus","Gmail","Formatting text","ctrl shift"
"Gmail","175415","Bold","ctrl+b","cmd+b","Gmail","Formatting text","ctrl"
"Gmail","175416","Italics","ctrl+i","cmd+i","Gmail","Formatting text","ctrl"
"Gmail","175417","Underline","ctrl+u","cmd+u","Gmail","Formatting text","ctrl"
