"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"","175143","Find action","ctrl+shift+a","shift+cmd+a","GoLand","Important","ctrl shift"
"","175144","Basic code completion","ctrl+space","ctrl+space","GoLand","Important","ctrl"
"","175145","Smart code completion","ctrl+shift+space","ctrl+shift+space","GoLand","Important","ctrl shift"
"","175146","Show intentions and quick-fixes","alt+enter","cmd+enter","GoLand","Important","alt"
"","175147","Generate code","alt+ins","cmd+n or ctrl+enter","GoLand","Important","alt"
"","175148","Parameter info","ctrl+p","cmd+p","GoLand","Important","ctrl"
"","175149","Shrink selection","ctrl+shift+w","alt+down","GoLand","Important","ctrl shift"
"","175150","Extend selection","ctrl+w","alt+up","GoLand","Important","ctrl"
"","175151","Recent files popup","ctrl+e","cmd+e","GoLand","Important","ctrl"
"","175152","Rename","shift+f6","shift+f6","GoLand","Important","shift"
"","175153","Search everywhere","shift shift","shift shift","GoLand","Important","shift"
"","175154","Save all","ctrl+s","cmd+s","GoLand","General","ctrl"
"","175155","Synchronize","ctrl+alt+y","alt+cmd+y","GoLand","General","ctrl alt"
"","175156","Toggle maximizing editor","ctrl+shift+f12","shift+cmd+f12","GoLand","General","ctrl shift"
"","175157","Inspect current file","alt+shift+i","alt+shift+i","GoLand","General","alt shift"
"","175158","Quick switch current scheme","ctrl+`","ctrl+§ or ctrl+'","GoLand","General","ctrl"
"","175159","Open settings dialog","ctrl+alt+s","cmd+,","GoLand","General","ctrl alt"
"","175160","Show Project window","alt+1","cmd+1","GoLand","Show Tool Windows","alt"
"","175161","Show Favorites window","alt+2","cmd+2","GoLand","Show Tool Windows","alt"
"","175162","Show Find window","alt+3","cmd+3","GoLand","Show Tool Windows","alt"
"","175163","Show Run window","alt+4","cmd+4","GoLand","Show Tool Windows","alt"
"","175164","Show Debug window","alt+5","cmd+5","GoLand","Show Tool Windows","alt"
"","175165","Show Problems window","alt+6","cmd+6","GoLand","Show Tool Windows","alt"
"","175166","Show Structure window","alt+7","cmd+7","GoLand","Show Tool Windows","alt"
"","175167","Show Services window","alt+8","cmd+8","GoLand","Show Tool Windows","alt"
"","175168","Show Version Control window","alt+9","cmd+9","GoLand","Show Tool Windows","alt"
"","175169","Show Commit window","alt+0","cmd+0","GoLand","Show Tool Windows","alt"
"","175170","Show Terminal window","alt+f12","alt+f12","GoLand","Show Tool Windows","alt"
"","175171","Find","ctrl+f","cmd+f","GoLand","Search / Replace","ctrl"
"","175172","Replace","ctrl+r","cmd+r","GoLand","Search / Replace","ctrl"
"","175173","Find next","f3","cmd+g","GoLand","Search / Replace","None"
"","175174","Find previous","shift+f3","shift+cmd+g","GoLand","Search / Replace","shift"
"","175175","Find in path","ctrl+shift+f","shift+cmd+f","GoLand","Search / Replace","ctrl shift"
"","175176","Replace in path","ctrl+shift+r","shift+cmd+r","GoLand","Search / Replace","ctrl shift"
"","175177","Select next occurrence","alt+j","ctrl+g","GoLand","Search / Replace","alt"
"","175178","Select all occurrences","ctrl+alt+shift+j","ctrl+cmd+g","GoLand","Search / Replace","ctrl alt shift"
"","175179","Unselect occurrence","alt+shift+j","ctrl+g","GoLand","Search / Replace","alt shift"
"","175180","Step into","f7","f7","GoLand","Debugging","None"
"","175181","Smart step into","shift+f7","shift+f7","GoLand","Debugging","shift"
"","175182","Step over","f8","f8","GoLand","Debugging","None"
"","175183","Step out","shift+f8","shift+f8","GoLand","Debugging","shift"
"","175184","Run to cursor","alt+f9","alt+f9","GoLand","Debugging","alt"
"","175185","Evaluate expression","alt+f8","alt+f8","GoLand","Debugging","alt"
"","175186","Resume program","f9","alt+cmd+r","GoLand","Debugging","None"
"","175187","Toggle breakpoint","ctrl+f8","cmd+f8","GoLand","Debugging","ctrl"
"","175188","View breakpoints","ctrl+shift+f8","shift+cmd+f8","GoLand","Debugging","ctrl shift"
"","175189","Complete statement","ctrl+shift+enter","shift+cmd+enter","GoLand","Editing","ctrl shift"
"","175190","Quick documentation lookup","ctrl+q","ctrl+j","GoLand","Editing","ctrl"
"","175191","External doc","shift+f1","shift+f1","GoLand","Editing","shift"
"","175192","Brief info","ctrl+моuse","cmd+mouse","GoLand","Editing","ctrl"
"","175193","Show descriptions of error at caret","ctrl+f1","cmd+f1","GoLand","Editing","ctrl"
"","175194","Override methods","ctrl+o","ctrl+o","GoLand","Editing","ctrl"
"","175195","Implement methods","ctrl+i","ctrl+i","GoLand","Editing","ctrl"
"","175196","Surround with …","ctrl+alt+t","alt+cmd+t","GoLand","Editing","ctrl alt"
"","175197","Comment with line comment","ctrl+/","cmd+/","GoLand","Editing","ctrl"
"","175198","Comment with block comment","ctrl+shift+/","alt+cmd+/","GoLand","Editing","ctrl shift"
"","175199","Context info","alt+q","ctrl+shift+q","GoLand","Editing","alt"
"","175200","Reformat code","ctrl+alt+l","alt+cmd+l","GoLand","Editing","ctrl alt"
"","175201","Optimize imports","ctrl+alt+o","ctrl+alt+o","GoLand","Editing","ctrl alt"
"","175202","Auto-indent line","ctrl+alt+i","ctrl+alt+i","GoLand","Editing","ctrl alt"
