"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"","116805","Play or pause","ctrl+p","n/A","Groove","Play Control","ctrl"
"","116806","Skip to next song","ctrl+f","n/A","Groove","Play Control","ctrl"
"","116807","Restart current song or skip to previous","ctrl+b","n/A","Groove","Play Control","ctrl"
"","116808","Volume up","f9","n/A","Groove","Volume","None"
"","116809","Volume down","f8","n/A","Groove","Volume","None"
"","116810","Mute volume","f7","n/A","Groove","Volume","None"
"","116811","Select an item and enter selection mode","ctrl+enter","n/A","Groove","Other Actions","ctrl"
"","116812","Select all","ctrl+a","n/A","Groove","Other Actions","ctrl"
"","116813","Delete selected item(s)","del","n/A","Groove","Other Actions","None"
"","116814","Play selected item","ctrl+shift+p","n/A","Groove","Other Actions","ctrl shift"
"","116815","Repeat on or off","ctrl+t","n/A","Groove","Other Actions","ctrl"
"","116816","Shuffle on or off","ctrl+h","n/A","Groove","Other Actions","ctrl"
"","116817","Search","ctrl+q","n/A","Groove","Other Actions","ctrl"
