"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"HTML","74629","Version of (X)HTML","""<!DOCTYPE>""","""<!DOCTYPE>""","HTML","Document Outline","Text Snippet"
"HTML","74630","HTML document","""<html>""","""<html>""","HTML","Document Outline","Text Snippet"
"HTML","74631","Page information","""<head>""","""<head>""","HTML","Document Outline","Text Snippet"
"HTML","74632","Page contents","""<body>""","""<body>""","HTML","Document Outline","Text Snippet"
"HTML","74633","Base URL","""<base>""","""<base>""","HTML","Page Attributes","Text Snippet"
"HTML","74634","Meta data","""<meta>""","""<meta>""","HTML","Page Attributes","Text Snippet"
"HTML","74635","Title","""<title>""","""<title>""","HTML","Page Attributes","Text Snippet"
"HTML","74636","Relevant resource","""<link>""","""<link>""","HTML","Page Attributes","Text Snippet"
"HTML","74637","Style resource","""<style>""","""<style>""","HTML","Page Attributes","Text Snippet"
"HTML","74638","Script resource","""<script>""","""<script>""","HTML","Page Attributes","Text Snippet"
"HTML","74639","Heading 1","""<h1>""","""<h1>""","HTML","Document Structure","Text Snippet"
"HTML","74640","Heading 2","""<h2>""","""<h2>""","HTML","Document Structure","Text Snippet"
"HTML","74641","Heading 3","""<h3>""","""<h3>""","HTML","Document Structure","Text Snippet"
"HTML","74642","Heading 4","""<h4>""","""<h4>""","HTML","Document Structure","Text Snippet"
"HTML","74643","Heading 5","""<h5>""","""<h5>""","HTML","Document Structure","Text Snippet"
"HTML","74644","Heading 6","""<h6>""","""<h6>""","HTML","Document Structure","Text Snippet"
"HTML","74645","Page section","""<div>""","""<div>""","HTML","Document Structure","Text Snippet"
"HTML","74646","Inline section","""<span>""","""<span>""","HTML","Document Structure","Text Snippet"
"HTML","74647","Paragraph","""<p>""","""<p>""","HTML","Document Structure","Text Snippet"
"HTML","74648","Line break","""<br>""","""<br>""","HTML","Document Structure","Text Snippet"
"HTML, HTML","74649","Horizontal rule","""<hr>""","""<hr>""","HTML","Document Structure","Text Snippet"
"HTML","74650","Start comment","""<!--""","""<!--""","HTML","Document Structure","Text Snippet"
