"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"HTTP Codes","73867","Continue","""100""","""100""","HTTP Codes","Informational Response","Text Snippet"
"HTTP Codes","73868","Switching Protocols","""101""","""101""","HTTP Codes","Informational Response","Text Snippet"
"HTTP Codes","73869","Processing","""102""","""102""","HTTP Codes","Informational Response","Text Snippet"
"HTTP Codes","73870","Early Hints","""103""","""103""","HTTP Codes","Informational Response","Text Snippet"
"HTTP Codes","73871","OK","""200""","""200""","HTTP Codes","Success","Text Snippet"
"HTTP Codes","73872","Created","""201""","""201""","HTTP Codes","Success","Text Snippet"
"HTTP Codes","73873","Accepted","""202""","""202""","HTTP Codes","Success","Text Snippet"
"HTTP Codes","73874","Non-Authoritative Information","""203""","""203""","HTTP Codes","Success","Text Snippet"
"HTTP Codes","73875","No Content","""204""","""204""","HTTP Codes","Success","Text Snippet"
"HTTP Codes","73876","Reset Content","""205""","""205""","HTTP Codes","Success","Text Snippet"
"HTTP Codes","73877","Partial Content","""206""","""206""","HTTP Codes","Success","Text Snippet"
"HTTP Codes","73878","Multi-Status","""207""","""207""","HTTP Codes","Success","Text Snippet"
"HTTP Codes","73879","Already Reported","""208""","""208""","HTTP Codes","Success","Text Snippet"
"HTTP Codes","73880","IM Used","""226""","""226""","HTTP Codes","Success","Text Snippet"
"HTTP Codes","73881","Multiple Choices","""300""","""300""","HTTP Codes","Redirection","Text Snippet"
"HTTP Codes","73882","Moved Permanently","""301""","""301""","HTTP Codes","Redirection","Text Snippet"
"HTTP Codes","73883","Found","""302""","""302""","HTTP Codes","Redirection","Text Snippet"
"HTTP Codes","73884","See Other","""303""","""303""","HTTP Codes","Redirection","Text Snippet"
"HTTP Codes","73885","Not Modified","""304""","""304""","HTTP Codes","Redirection","Text Snippet"
"HTTP Codes","73886","Use Proxy","""305""","""305""","HTTP Codes","Redirection","Text Snippet"
"HTTP Codes","73887","(Unused)","""306""","""306""","HTTP Codes","Redirection","Text Snippet"
"HTTP Codes","73888","Temporary Redirect","""307""","""307""","HTTP Codes","Redirection","Text Snippet"
"HTTP Codes","73889","Permanent Redirect","""308""","""308""","HTTP Codes","Redirection","Text Snippet"
"HTTP Codes","73890","Bad Request","""400""","""400""","HTTP Codes","Client Errors","Text Snippet"
"HTTP Codes","73891","Unauthorized","""401""","""401""","HTTP Codes","Client Errors","Text Snippet"
"HTTP Codes","73892","Payment Required","""402""","""402""","HTTP Codes","Client Errors","Text Snippet"
"HTTP Codes","73893","Forbidden","""403""","""403""","HTTP Codes","Client Errors","Text Snippet"
"HTTP Codes","73894","Not Found","""404""","""404""","HTTP Codes","Client Errors","Text Snippet"
"HTTP Codes","73895","Method Not Allowed","""405""","""405""","HTTP Codes","Client Errors","Text Snippet"
"HTTP Codes","73896","Not Acceptable","""406""","""406""","HTTP Codes","Client Errors","Text Snippet"
"HTTP Codes","73897","Proxy Authentication Required","""407""","""407""","HTTP Codes","Client Errors","Text Snippet"
"HTTP Codes","73898","Request Timeout","""408""","""408""","HTTP Codes","Client Errors","Text Snippet"
"HTTP Codes","73899","Conflict","""409""","""409""","HTTP Codes","Client Errors","Text Snippet"
"HTTP Codes","73900","Gone","""410""","""410""","HTTP Codes","Client Errors","Text Snippet"
"HTTP Codes","73901","Length Required","""411""","""411""","HTTP Codes","Client Errors","Text Snippet"
"HTTP Codes","73902","Precondition Failed","""412""","""412""","HTTP Codes","Client Errors","Text Snippet"
"HTTP Codes","73903","Payload Too Large","""413""","""413""","HTTP Codes","Client Errors","Text Snippet"
"HTTP Codes","73904","URI Too Long","""414""","""414""","HTTP Codes","Client Errors","Text Snippet"
"HTTP Codes","73905","Unsupported Media Type","""415""","""415""","HTTP Codes","Client Errors","Text Snippet"
"HTTP Codes","73906","Range Not Satisfiable","""416""","""416""","HTTP Codes","Client Errors","Text Snippet"
"HTTP Codes","73907","Expectation Failed","""417""","""417""","HTTP Codes","Client Errors","Text Snippet"
"HTTP Codes","73908","Misdirected Request","""421""","""421""","HTTP Codes","Client Errors","Text Snippet"
"HTTP Codes","73909","Unprocessable Entity","""422""","""422""","HTTP Codes","Client Errors","Text Snippet"
"HTTP Codes","73910","Locked","""423""","""423""","HTTP Codes","Client Errors","Text Snippet"
"HTTP Codes","73911","Failed Dependency","""424""","""424""","HTTP Codes","Client Errors","Text Snippet"
"HTTP Codes","73912","Too Early","""425""","""425""","HTTP Codes","Client Errors","Text Snippet"
"HTTP Codes","73913","Upgrade Required","""426""","""426""","HTTP Codes","Client Errors","Text Snippet"
"HTTP Codes, HTTP Codes, HTTP Codes","73914","Unassigned","""427""","""427""","HTTP Codes","Client Errors","Text Snippet"
"HTTP Codes","73915","Precondition Required","""428""","""428""","HTTP Codes","Client Errors","Text Snippet"
"HTTP Codes","73916","Too Many Requests","""429""","""429""","HTTP Codes","Client Errors","Text Snippet"
"HTTP Codes, HTTP Codes, HTTP Codes","73917","Unassigned","""430""","""430""","HTTP Codes","Client Errors","Text Snippet"
"HTTP Codes","73918","Request Header Fields Too Large","""431""","""431""","HTTP Codes","Client Errors","Text Snippet"
"HTTP Codes","73919","Unavailable For Legal Reasons","""451""","""451""","HTTP Codes","Client Errors","Text Snippet"
"HTTP Codes","73920","Internal Server Error","""500""","""500""","HTTP Codes","Server Errors","Text Snippet"
"HTTP Codes","73921","Not Implemented","""501""","""501""","HTTP Codes","Server Errors","Text Snippet"
"HTTP Codes","73922","Bad Gateway","""502""","""502""","HTTP Codes","Server Errors","Text Snippet"
"HTTP Codes","73923","Service Unavailable","""503""","""503""","HTTP Codes","Server Errors","Text Snippet"
"HTTP Codes","73924","Gateway Timeout","""504""","""504""","HTTP Codes","Server Errors","Text Snippet"
"HTTP Codes","73925","HTTP Version Not Supported","""505""","""505""","HTTP Codes","Server Errors","Text Snippet"
"HTTP Codes","73926","Variant Also Negotiates","""506""","""506""","HTTP Codes","Server Errors","Text Snippet"
"HTTP Codes","73927","Insufficient Storage","""507""","""507""","HTTP Codes","Server Errors","Text Snippet"
"HTTP Codes","73928","Loop Detected","""508""","""508""","HTTP Codes","Server Errors","Text Snippet"
"HTTP Codes, HTTP Codes, HTTP Codes","73929","Unassigned","""509""","""509""","HTTP Codes","Server Errors","Text Snippet"
"HTTP Codes","73930","Not Extended","""510""","""510""","HTTP Codes","Server Errors","Text Snippet"
"HTTP Codes","73931","Network Authentication Required","""511""","""511""","HTTP Codes","Server Errors","Text Snippet"
