"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"","37142","Show Keyboard shortcuts","?","?","Hey","Navigation","None"
"","37143","Imbox","1","1","Hey","Navigation","None"
"","37144","The Feed","2","2","Hey","Navigation","None"
"","37145","Paper Trail","3","3","Hey","Navigation","None"
"","37146","Reply Later","4","4","Hey","Navigation","None"
"","37147","Set Aside","5","5","Hey","Navigation","None"
"","37148","All Files","6","6","Hey","Navigation","None"
"","37149","Search","s","s","Hey","Navigation","None"
"","37150","HEY menu","h","h or cmd+j","Hey","Navigation","None"
"","37151","Next result","down","down","Hey","Search","None"
"","37152","Previous result","up","up","Hey","Search","None"
"","37153","Open result","enter","enter","Hey","Search","None"
"","37154","Select thread","x","x","Hey","Imbox & Paper Trail","None"
"","37155","Next thread","j or down","j or down","Hey","Imbox & Paper Trail","None"
"","37156","Previous thread","k or up","k or up","Hey","Imbox & Paper Trail","None"
"","37157","Open thread","enter","enter","Hey","Imbox & Paper Trail","None"
"","37158","Focus actions menu",";",";","Hey","Imbox & Paper Trail","None"
"","37159","Compose message","c or w","c or w","Hey","Imbox & Paper Trail","None"
"","37160","The Screener","=","=","Hey","Imbox & Paper Trail","None"
"","37161","Bold","ctrl+b","cmd+b","Hey","Compose","ctrl"
"","37162","Italics","ctrl+i","cmd+i","Hey","Compose","ctrl"
"","37163","Insert a link","ctrl+k","cmd+k","Hey","Compose","ctrl"
"","37164","Send","ctrl+enter","cmd+enter","Hey","Compose","ctrl"
