"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"","50825","Undo","ctrl+z","cmd+z","Illustrator","Popular shortcuts","ctrl"
"","50826","Redo","ctrl+shift+z","shift+cmd+z","Illustrator","Popular shortcuts","ctrl shift"
"","50827","Cut","ctrl+x","cmd+x","Illustrator","Popular shortcuts","ctrl"
"","50828","Copy","ctrl+c","cmd+c","Illustrator","Popular shortcuts","ctrl"
"","50829","Paste","ctrl+v","cmd+v","Illustrator","Popular shortcuts","ctrl"
"","50830","Paste in front","ctrl+f","cmd+f","Illustrator","Popular shortcuts","ctrl"
"","50831","Paste at back","ctrl+b","cmd+b","Illustrator","Popular shortcuts","ctrl"
"","50832","Paste in place","ctrl+shift+b","shift+cmd+b","Illustrator","Popular shortcuts","ctrl shift"
"","50833","Paste on all artboards","ctrl+alt+shift+b","alt+shift+cmd+b","Illustrator","Popular shortcuts","ctrl alt shift"
"","50834","Check spelling","ctrl+i","cmd+i","Illustrator","Popular shortcuts","ctrl"
"","50835","Open the Color Settings dialog box","ctrl+shift+k","shift+cmd+k","Illustrator","Popular shortcuts","ctrl shift"
"","50836","Open the Keyboard Shortcuts dialog box","ctrl+alt+shift+k","alt+shift+cmd+k","Illustrator","Popular shortcuts","ctrl alt shift"
"","50837","Open the Preferences dialog box","ctrl+k","cmd+k","Illustrator","Popular shortcuts","ctrl"
"","50838","Create a document","ctrl+n","cmd+n","Illustrator","Work with documents","ctrl"
"","50839","Create a document from a template","ctrl+shift+n","shift+cmd+n","Illustrator","Work with documents","ctrl shift"
"","50840","Create a document without opening the New Document dialog box","ctrl+alt+n","alt+cmd+n","Illustrator","Work with documents","ctrl alt"
"","50841","Open a document","ctrl+o","cmd+o","Illustrator","Work with documents","ctrl"
"","50842","Place a file in the document","ctrl+shift+p","shift+cmd+p","Illustrator","Work with documents","ctrl shift"
"","50843","Open the File Information dialog box","ctrl+alt+shift+i","alt+shift+cmd+i","Illustrator","Work with documents","ctrl alt shift"
"","50844","Open the Document Setup dialog box","ctrl+alt+p","alt+cmd+p","Illustrator","Work with documents","ctrl alt"
"","50845","Browse in Adobe Bridge","ctrl+alt+o","alt+cmd+o","Illustrator","Work with documents","ctrl alt"
"","50846","Close the document window","ctrl+w","cmd+w","Illustrator","Work with documents","ctrl"
"","50847","Save changes made to the document","ctrl+s","cmd+s","Illustrator","Work with documents","ctrl"
"","50848","Open the Save As dialog box","ctrl+shift+s","shift+cmd+s","Illustrator","Work with documents","ctrl shift"
"","50849","Save a copy of the document","ctrl+alt+s","alt+cmd+s","Illustrator","Work with documents","ctrl alt"
"","50850","Save the document as script files","ctrl+f12","cmd+f12","Illustrator","Work with documents","ctrl"
"","50851","Open the Export for screens dialog box","ctrl+alt+e","alt+cmd+e","Illustrator","Work with documents","ctrl alt"
"","50852","Open the Save For Web dialog box","ctrl+alt+shift+s","alt+shift+cmd+s","Illustrator","Work with documents","ctrl alt shift"
"","50853","Package the document","ctrl+alt+shift+p","alt+shift+cmd+p","Illustrator","Work with documents","ctrl alt shift"
"","50854","Print","ctrl+p","cmd+p","Illustrator","Work with documents","ctrl"
"","50855","Exit the application","ctrl+q","cmd+q","Illustrator","Work with documents","ctrl"
"","50856","Artboard tool","shift+o","shift+o","Illustrator","Select tools","shift"
"","50857","Selection tool","v","v","Illustrator","Select tools","None"
"","50858","Direct Selection tool","a","a","Illustrator","Select tools","None"
"","50859","Magic Wand tool","y","y","Illustrator","Select tools","None"
