"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"","68896","Selector","f1 or s","f1 or s","Inkscape","Tools","None"
"","68897","Selector (temporary)","space","space","Inkscape","Tools","None"
"","68898","Node tool","f2 or n","f2 or n","Inkscape","Tools","None"
"","68899","Zoom tool","f3 or z","f3 or z","Inkscape","Tools","None"
"","68900","Measure tool","m","m","Inkscape","Tools","None"
"","68901","Ractangle tool","f4 or r","f4 or r","Inkscape","Tools","None"
"","68902","3D box tool","shift+f4 or x","shift+f4 or x","Inkscape","Tools","shift"
"","68903","Ellipse/arc tool","f5 or e","f5 or e","Inkscape","Tools","None"
"","68904","Star tool","shift+f9 or *","shift+f9 or *","Inkscape","Tools","shift"
"","68905","Spiral tool","f9 or i","f9 or i","Inkscape","Tools","None"
"","68906","Pencil (Freehand) tool","f6 or p","f6 or p","Inkscape","Tools","None"
"","68907","Pen (Bezier) tool","shift+f6 or b","shift+f6 or b","Inkscape","Tools","shift"
"","68908","Calligraphic tool","ctrl+f6 or c","cmd+f6 or c","Inkscape","Tools","ctrl"
"","68909","Text tool","f8 or t","f8 or t","Inkscape","Tools","None"
"","68910","Spray tool","shift+f3 or a","shift+f3 or a","Inkscape","Tools","shift"
"","68911","Eraser tool","shift+e","shift+e","Inkscape","Tools","shift"
"","68912","Paint bucket tool","shift+f7 or u","shift+f7 or u","Inkscape","Tools","shift"
"","68913","Gradient tool","ctrl+f1 or g","cmd+f1 or g","Inkscape","Tools","ctrl"
"","68914","Dropper tool","f7 or d","f7 or d","Inkscape","Tools","None"
"","68915","Connector tool","ctrl+f2 or o","cmd+f2 or o","Inkscape","Tools","ctrl"
"","68916","Fill and Stroke","ctrl+shift+f","shift+cmd+f","Inkscape","Dialogs","ctrl shift"
"","68917","Swatches","ctrl+shift+w","shift+cmd+w","Inkscape","Dialogs","ctrl shift"
"","68918","Text and font","ctrl+shift+t","shift+cmd+t","Inkscape","Dialogs","ctrl shift"
"","68919","Transform","ctrl+shift+m","shift+cmd+m","Inkscape","Dialogs","ctrl shift"
"","68920","Layers","ctrl+shift+l","shift+cmd+l","Inkscape","Dialogs","ctrl shift"
"","68921","Align and Distribute","ctrl+shift+a","shift+cmd+a","Inkscape","Dialogs","ctrl shift"
"","68922","Object Properties","ctrl+shift+o","shift+cmd+o","Inkscape","Dialogs","ctrl shift"
"","68923","Undo history","ctrl+shift+h","shift+cmd+h","Inkscape","Dialogs","ctrl shift"
"","68924","XML editor","ctrl+shift+x","shift+cmd+x","Inkscape","Dialogs","ctrl shift"
"","68925","Document preferences","ctrl+shift+d","shift+cmd+d","Inkscape","Dialogs","ctrl shift"
"","68926","Inkscape preferences","ctrl+shift+p","shift+cmd+p","Inkscape","Dialogs","ctrl shift"
"","68927","Export to PNG","ctrl+shift+e","shift+cmd+e","Inkscape","Dialogs","ctrl shift"
"","68928","Find","ctrl+f","cmd+f","Inkscape","Dialogs","ctrl"
"","68929","Trace bitmap","alt+shift+b","alt+shift+b","Inkscape","Dialogs","alt shift"
"","68930","Path Effects","ctrl+shift+7","shift+cmd+7","Inkscape","Dialogs","ctrl shift"
"","68931","Check Spelling","ctrl+alt+k","alt+cmd+k","Inkscape","Dialogs","ctrl alt"
"","68932","Toggle dialogs","f12","f12","Inkscape","Dialogs","None"
"","68933","Return to the canvas","esc","esc","Inkscape","Dialogs","None"
"","68934","Close the dialog","ctrl+f4 or ctrl+w","cmd+f4 or cmd+w","Inkscape","Dialogs","ctrl"
"","68935","Jump to the next widget","tab","tab","Inkscape","Dialogs","None"
"","68936","Jump to previous widget","shift+tab","shift+tab","Inkscape","Dialogs","shift"
"","68937","Set the new value","enter","enter","Inkscape","Dialogs","None"
"","68938","Activate current button or list","space or enter","space or enter","Inkscape","Dialogs","None"
"","68939","In a multi-tab dialog, switch tabs","ctrl+pageup or ctrl+pagedown","cmd+pageup or cmd+pagedown","Inkscape","Dialogs","ctrl"
"","68940","Open a search field in a dialog with a list","ctrl+f","cmd+f","Inkscape","Dialogs","ctrl"
"","68941","expand all children and subchildren of the currently selected element","*","*","Inkscape","XML editor","None"
"","68942","expand direct children of the currently selected element","plus","plus","Inkscape","XML editor","None"
"","68943","collapse the currently selected element","-","-","Inkscape","XML editor","None"
"","68944","select the topmost/lowermost visible element in the list","home or end","home or end","Inkscape","XML editor","None"
"","68945","select the previous/next visible element in the list","up or down","up or down","Inkscape","XML editor","None"
"","68946","select element on previous/next page of list","pageup or pagedown","pageup or pagedown","Inkscape","XML editor","None"
"","68947","set the attribute's value","ctrl+enter","cmd+enter","Inkscape","XML editor","ctrl"
"","68948","Jump to the first editable filed","alt+x","alt+x","Inkscape","Controls bar","alt"
"","68949","Jump to next field","tab","tab","Inkscape","Controls bar","None"
"","68950","Jump to previous field","shift+tab","shift+tab","Inkscape","Controls bar","shift"
"","68951","Change value by 0.1","up or down","up or down","Inkscape","Controls bar","None"
"","68952","Change value by 5.0","pageup or pagedown","pageup or pagedown","Inkscape","Controls bar","None"
"","68953","Accept the new value","enter","enter","Inkscape","Controls bar","None"
"","68954","Cancel changes, return to canvas","esc","esc","Inkscape","Controls bar","None"
"","68955","Cancel changes","ctrl+z","cmd+z","Inkscape","Controls bar","ctrl"
"","68956","Zoom in","plus","plus","Inkscape","Canvas","None"
"","68957","Zoom out","-","-","Inkscape","Canvas","None"
"","68958","Activate zoon field","alt+z","alt+z","Inkscape","Canvas","alt"
"","68959","Zoom 1:1","1","1","Inkscape","Canvas","None"
"","68960","Zoom 1:2","2","2","Inkscape","Canvas","None"
"","68961","Zoom to selection","3","3","Inkscape","Canvas","None"
"","68962","Zoom to drawing","4","4","Inkscape","Canvas","None"
"","68963","Zoom to page","5","5","Inkscape","Canvas","None"
"","68964","Zoom to page width","ctrl+e or 6","cmd+e or 6","Inkscape","Canvas","ctrl"
"","68965","Previous zoom","`","`","Inkscape","Canvas","None"
"","68966","Next zoom","shift+'","shift+'","Inkscape","Canvas","shift"
"","68967","Scroll canvas","ctrl+up or ctrl+down or ctrl+right or ctrl+left","cmd+up or cmd+down or cmd+right or cmd+left","Inkscape","Canvas","ctrl"
"","68968","Toggle guides and snapping to guides","shift+\","shift+\","Inkscape","Canvas","shift"
"","68969","Toggle grids and snapping to grids","shift+3","shift+3","Inkscape","Canvas","shift"
"","68970","Toggle snapping on and off","%","%","Inkscape","Canvas","None"
"","68971","resize page to current selection, or to the drawing if nothing is selected","ctrl+shift+r","shift+cmd+r","Inkscape","Document","ctrl shift"
"","68972","Create new document","ctrl+n","cmd+n","Inkscape","File","ctrl"
"","68973","Open an SVG document","ctrl+o","cmd+o","Inkscape","File","ctrl"
"","68974","Export to PNG","ctrl+shift+e","shift+cmd+e","Inkscape","File","ctrl shift"
"","68975","Import bitmap or SVG","ctrl+i","cmd+i","Inkscape","File","ctrl"
"","68976","Print document","ctrl+p","cmd+p","Inkscape","File","ctrl"
"","68977","Save document","ctrl+s","cmd+s","Inkscape","File","ctrl"
"","68978","Save under a new name","ctrl+shift+s","shift+cmd+s","Inkscape","File","ctrl shift"
"","68979","Save a copy","ctrl+alt+shift+s","alt+shift+cmd+s","Inkscape","File","ctrl alt shift"
"","68980","Exit inkscape","ctrl+q","cmd+q","Inkscape","File","ctrl"
"","68981","Toggle rulers","ctrl+r","cmd+r","Inkscape","Window","ctrl"
"","68982","Toggle scrollbars","ctrl+b","cmd+b","Inkscape","Window","ctrl"
"","68983","toggle palette","alt+shift+p","alt+shift+p","Inkscape","Window","alt shift"
"","68984","Toggle fullscreen","f11","f11","Inkscape","Window","None"
"","68985","Toggle toolbars","shift+f11","shift+f11","Inkscape","Window","shift"
"","68986","Toggle toolbars and fullscreen","ctrl+f11","ctrl+f11","Inkscape","Window","ctrl"
"","68987","Main menu","f10","f10","Inkscape","Window","None"
"","68988","Drop-down menu","shift+f10","shift+f10","Inkscape","Window","shift"
"","68989","Close document window","ctrl+f4 or ctrl+w","cmd+f4 or cmd+w","Inkscape","Window","ctrl"
"","68990","Next document window","ctrl+tab","cmd+tab","Inkscape","Window","ctrl"
"","68991","Previous document window","ctrl+shift+tab","shift+cmd+tab","Inkscape","Window","ctrl shift"
"","68992","Create new layer","ctrl+shift+n","shift+cmd+n","Inkscape","Layers","ctrl shift"
"","68993","Move to layer above","shift+pageup","shift+pageup","Inkscape","Layers","shift"
"","68994","Move to layer below","shift+pagedown","shift+pagedown","Inkscape","Layers","shift"
"","68995","Raise layer","ctrl+shift+pageup","shift+cmd+pageup","Inkscape","Layers","ctrl shift"
"","68996","Lower layer","ctrl+shift+pagedown","shift+cmd+pagedown","Inkscape","Layers","ctrl shift"
"","68997","Raise layer to top","ctrl+shift+home","shift+cmd+home","Inkscape","Layers","ctrl shift"
"","68998","Lower layer to bottom","ctrl+shift+end","shift+cmd+end","Inkscape","Layers","ctrl shift"
"","68999","Undo","ctrl+shift+y or ctrl+z","shift+cmd+y or cmd+z","Inkscape","Object","ctrl shift"
"","69000","Redo","ctrl+shift+z or ctrl+y","shift+cmd+z or cmd+y","Inkscape","Object","ctrl shift"
"","69001","Copy selection","ctrl+c","cmd+c","Inkscape","Object","ctrl"
"","69002","Cut selection","ctrl+x","cmd+x","Inkscape","Object","ctrl"
"","69003","Paste clipboard","ctrl+v","cmd+v","Inkscape","Object","ctrl"
"","69004","Paste in place","ctrl+alt+v","alt+cmd+v","Inkscape","Object","ctrl alt"
"","69005","Paste style","ctrl+shift+v","shift+cmd+v","Inkscape","Object","ctrl shift"
