"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"","174649","Save all","ctrl+s","cmd+s","IntelliJ IDEA","General","ctrl"
"","174650","Synchronize","ctrl+alt+y","alt+cmd+y","IntelliJ IDEA","General","ctrl alt"
"","174651","Toggle maximizing editor","ctrl+shift+f12","shift+cmd+f12","IntelliJ IDEA","General","ctrl shift"
"","174652","Inspect current file with current profile","alt+shift+i","alt+shift+i","IntelliJ IDEA","General","alt shift"
"","174653","Quick switch current scheme","ctrl+`","ctrl+`","IntelliJ IDEA","General","ctrl"
"","174654","Open Settings dialog","ctrl+alt+s","cmd+,","IntelliJ IDEA","General","ctrl alt"
"","174655","Open Project Structure dialog","ctrl+alt+shift+s","cmd+;","IntelliJ IDEA","General","ctrl alt shift"
"","174656","Find Action","ctrl+shift+a","shift+cmd+a","IntelliJ IDEA","General","ctrl shift"
"","174657","Show Project window","alt+1","cmd+1","IntelliJ IDEA","Show Tool Windows","alt"
"","174658","Show Favorites window","alt+2","cmd+2","IntelliJ IDEA","Show Tool Windows","alt"
"","174659","Show Find window","alt+3","cmd+3","IntelliJ IDEA","Show Tool Windows","alt"
"","174660","Show Run window","alt+4","cmd+4","IntelliJ IDEA","Show Tool Windows","alt"
"","174661","Show Debug window","alt+5","cmd+5","IntelliJ IDEA","Show Tool Windows","alt"
"","174662","Show Problems window","alt+6","cmd+6","IntelliJ IDEA","Show Tool Windows","alt"
"","174663","Show Structure window","alt+7","cmd+7","IntelliJ IDEA","Show Tool Windows","alt"
"","174664","Show Services window","alt+8","cmd+8","IntelliJ IDEA","Show Tool Windows","alt"
"","174665","Show Version Control window","alt+9","cmd+9","IntelliJ IDEA","Show Tool Windows","alt"
"","174666","Show Commit window","alt+0","cmd+0","IntelliJ IDEA","Show Tool Windows","alt"
"","174667","Show Terminal window","alt+f12","alt+f12","IntelliJ IDEA","Show Tool Windows","alt"
"","174668","Step over","f8","f8","IntelliJ IDEA","Debugging","None"
"","174669","Step into","f7","f7","IntelliJ IDEA","Debugging","None"
"","174670","Smart step into","shift+f7","shift+f7","IntelliJ IDEA","Debugging","shift"
"","174671","Smart step out","shift+f8","shift+f8","IntelliJ IDEA","Debugging","shift"
"","174672","Run to cursor","alt+f9","alt+f9","IntelliJ IDEA","Debugging","alt"
"","174673","Evaluate expression","alt+f8","alt+f8","IntelliJ IDEA","Debugging","alt"
"","174674","Resume program","f9","alt+cmd+r","IntelliJ IDEA","Debugging","None"
"","174675","Toggle breakpoint","ctrl+f8","cmd+f8","IntelliJ IDEA","Debugging","ctrl"
"","174676","View breakpoints","ctrl+shift+f8","shift+cmd+f8","IntelliJ IDEA","Debugging","ctrl shift"
"","174677","Search everywhere","shift shift","shift shift","IntelliJ IDEA","Search / Replace","shift"
"","174678","Find","ctrl+f","cmd+f","IntelliJ IDEA","Search / Replace","ctrl"
"","174679","Find next","f3","cmd+g","IntelliJ IDEA","Search / Replace","None"
"","174680","Find previous","shift+f3","shift+cmd+g","IntelliJ IDEA","Search / Replace","shift"
"","174681","Replace","ctrl+r","cmd+r","IntelliJ IDEA","Search / Replace","ctrl"
"","174682","Find in path","ctrl+shift+f","shift+cmd+f","IntelliJ IDEA","Search / Replace","ctrl shift"
"","174683","Replace in path","ctrl+shift+r","shift+cmd+r","IntelliJ IDEA","Search / Replace","ctrl shift"
"","174684","Select next occurrence","alt+j","ctrl+g","IntelliJ IDEA","Search / Replace","alt"
"","174685","Select all occurrences","ctrl+alt+shift+j","ctrl+cmd+g","IntelliJ IDEA","Search / Replace","ctrl alt shift"
"","174686","Unselect occurrence","alt+shift+j","ctrl+shift+g","IntelliJ IDEA","Search / Replace","alt shift"
"","174687","Basic code completion","ctrl+space","ctrl+space","IntelliJ IDEA","Editing","ctrl"
"","174688","Smart code completion","ctrl+shift+space","ctrl+shift+space","IntelliJ IDEA","Editing","ctrl shift"
"","174689","Complete statement","ctrl+shift+enter","ctrl+shift+enter","IntelliJ IDEA","Editing","ctrl shift"
"","174690","Parameter info (within method call arguments)","ctrl+p","cmd+p","IntelliJ IDEA","Editing","ctrl"
"","174691","Quick documentation lookup","ctrl+q","ctrl+j","IntelliJ IDEA","Editing","ctrl"
"","174692","External Doc","shift+f1","shift+f1","IntelliJ IDEA","Editing","shift"
"","174693","Brief Info","ctrl+mouse","cmd+mouse","IntelliJ IDEA","Editing","ctrl"
"","174694","Show descriptions of error at caret","ctrl+f1","cmd+f1","IntelliJ IDEA","Editing","ctrl"
"","174695","Generate code...","alt+ins","cmd+n or ctrl+enter","IntelliJ IDEA","Editing","alt"
"","174696","Override methods","ctrl+o","ctrl+o","IntelliJ IDEA","Editing","ctrl"
"","174697","Implement methods","ctrl+i","ctrl+i","IntelliJ IDEA","Editing","ctrl"
"","174698","Surround with…","ctrl+alt+t","alt+cmd+t","IntelliJ IDEA","Editing","ctrl alt"
"","174699","Comment/uncomment with line comment","ctrl+/","cmd+/","IntelliJ IDEA","Editing","ctrl"
"","174700","Comment/uncomment with block comment","ctrl+shift+/","alt+cmd+/","IntelliJ IDEA","Editing","ctrl shift"
"","174701","Extend selection","ctrl+w","alt+up","IntelliJ IDEA","Editing","ctrl"
"","174702","Shrink selection","ctrl+shift+w","alt+down","IntelliJ IDEA","Editing","ctrl shift"
"","174703","Context info","alt+q","ctrl+shift+q","IntelliJ IDEA","Editing","alt"
"","174704","Show intention actions and quick-fixes","alt+enter","alt+enter","IntelliJ IDEA","Editing","alt"
"","174705","Reformat code","ctrl+alt+l","alt+cmd+l","IntelliJ IDEA","Editing","ctrl alt"
"","174706","Optimize imports","ctrl+alt+o","ctrl+alt+o","IntelliJ IDEA","Editing","ctrl alt"
"","174707","Auto-indent line(s)","ctrl+alt+i","ctrl+alt+i","IntelliJ IDEA","Editing","ctrl alt"
"","174708","Indent / unindent selected lines","tab or shift+tab","tab or shift+tab","IntelliJ IDEA","Editing","shift"
"","174709","Cut current line to clipboard","ctrl+x or shift+del","cmd+x","IntelliJ IDEA","Editing","ctrl shift"
"","174710","Copy current line to clipboard","ctrl+c or ctrl+ins","cmd+c","IntelliJ IDEA","Editing","ctrl"
"","174711","Paste from clipboard","ctrl+v or shift+ins","cmd+v","IntelliJ IDEA","Editing","ctrl shift"
"","174712","Paste from recent buffers...","ctrl+shift+v","shift+cmd+v","IntelliJ IDEA","Editing","ctrl shift"
"","174713","Duplicate current line","ctrl+d","cmd+d","IntelliJ IDEA","Editing","ctrl"
"","174714","Delete line at caret","ctrl+y","cmd+backspace","IntelliJ IDEA","Editing","ctrl"
"","174715","Smart line join","ctrl+shift+j","ctrl+shift+j","IntelliJ IDEA","Editing","ctrl shift"
"","174716","Smart line split","ctrl+enter","cmd+enter","IntelliJ IDEA","Editing","ctrl"
"","174717","Start new line","shift+enter","shift+enter","IntelliJ IDEA","Editing","shift"
"","174718","Toggle case for word at caret or selected block","ctrl+shift+u","shift+cmd+u","IntelliJ IDEA","Editing","ctrl shift"
"","174719","Select till code block end or start","ctrl+shift+] or ctrl+shift+[","shift+cmd+] or shift+cmd+[","IntelliJ IDEA","Editing","ctrl shift"
"","174720","Delete to word end","ctrl+del","alt+del","IntelliJ IDEA","Editing","ctrl"
"","174721","Delete to word start","ctrl+backspace","alt+backspace","IntelliJ IDEA","Editing","ctrl"
"","174722","Expand code block","ctrl+numpad_plus","cmd+plus","IntelliJ IDEA","Editing","ctrl"
"","174723","Collapse code block","ctrl+numpad-","cmd+-","IntelliJ IDEA","Editing","ctrl"
"","174724","Expand all","ctrl+shift+numpad_plus","shift+cmd+plus","IntelliJ IDEA","Editing","ctrl shift"
"","174725","Collapse all","ctrl+shift+numpad-","shift+cmd+-","IntelliJ IDEA","Editing","ctrl shift"
"","174726","Close active editor tab","ctrl+f4","cmd+w","IntelliJ IDEA","Editing","ctrl"
"","174727","Copy","f5","f5","IntelliJ IDEA","Refactoring","None"
"","174728","Move","f6","f6","IntelliJ IDEA","Refactoring","None"
"","174729","Safe Delete","alt+del","cmd+del","IntelliJ IDEA","Refactoring","alt"
"","174730","Rename","shift+f6","shift+f6","IntelliJ IDEA","Refactoring","shift"
"","174731","Refactor this","ctrl+alt+shift+t","ctrl+t","IntelliJ IDEA","Refactoring","ctrl alt shift"
"","174732","Change Signature","ctrl+f6","cmd+f6","IntelliJ IDEA","Refactoring","ctrl"
"","174733","Inline","ctrl+alt+n","alt+cmd+n","IntelliJ IDEA","Refactoring","ctrl alt"
"","174734","Extract Method","ctrl+alt+m","alt+cmd+m","IntelliJ IDEA","Refactoring","ctrl alt"
"","174735","Extract Variable","ctrl+alt+v","alt+cmd+v","IntelliJ IDEA","Refactoring","ctrl alt"
"","174736","Extract Field","ctrl+alt+f","alt+cmd+f","IntelliJ IDEA","Refactoring","ctrl alt"
"","174737","Extract Constant","ctrl+alt+c","alt+cmd+c","IntelliJ IDEA","Refactoring","ctrl alt"
"","174738","Extract Parameter","ctrl+alt+p","alt+cmd+p","IntelliJ IDEA","Refactoring","ctrl alt"
"","174739","Go to class","ctrl+n","cmd+o","IntelliJ IDEA","Navigation","ctrl"
"","174740","Go to file","ctrl+shift+n","shift+cmd+o","IntelliJ IDEA","Navigation","ctrl shift"
"","174741","Go to symbol","ctrl+alt+shift+n","alt+cmd+o","IntelliJ IDEA","Navigation","ctrl alt shift"
