"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"","73932","Data type for 8-bit integers (-128 to 127)","""byte""","""byte""","Java","Data Types","Text Snippet"
"","73933","Data type for 16-bit integers","""short""","""short""","Java","Data Types","Text Snippet"
"","73934","Data type for 32-bit integers","""int""","""int""","Java","Data Types","Text Snippet"
"","73935","Data type for 64-bit integers","""long""","""long""","Java","Data Types","Text Snippet"
"","73936","Data type for 32-bit integers floating point numbers. Up to 3.4e+038","""float""","""float""","Java","Data Types","Text Snippet"
"","73937","Data type for 64-bit integers floating point numbers. Up to 1.7e+308","""double""","""double""","Java","Data Types","Text Snippet"
"","73938","Data type to store a single character","""char""","""char""","Java","Data Types","Text Snippet"
"","73939","A data type that can only store true and false values","""boolean""","""boolean""","Java","Data Types","Text Snippet"
"","73940","Declares an enumerated (unchangeable) type","""enum""","""enum""","Java","Data Types","Text Snippet"
"","73941","Create a for loop","""for""","""for""","Java","Control Flow","Text Snippet"
"","73942","Makes a conditional statement","""if""","""if""","Java","Control Flow","Text Snippet"
"","73943","Marks a block of code in switch statements","""case""","""case""","Java","Control Flow","Text Snippet"
"","73944","Finishes method execution and can be used to return value","""return""","""return""","Java","Control Flow","Text Snippet"
"","73945","Used together with while to create a do-while loop","""do""","""do""","Java","Control Flow","Text Snippet"
"","73946","Creates a while loop","""while""","""while""","Java","Control Flow","Text Snippet"
"","73947","Used in conditional statements","""else""","""else""","Java","Control Flow","Text Snippet"
"","73948","Selects one of many code blocks to be executed","""switch""","""switch""","Java","Control Flow","Text Snippet"
"","73949","Specifies the default block of code in a switch statement","""default""","""default""","Java","Control Flow","Text Snippet"
"","73950","To indicate that a predicate must be true at this location","""assert""","""assert""","Java","Control Flow","Text Snippet"
"","73951","Breaks out of a loop or a switch block","""break""","""break""","Java","Control Flow","Text Snippet"
"","73952","Continues to the next iteration of a loop","""continue""","""continue""","Java","Control Flow","Text Snippet"
"","73953","Creates new objects","""new""","""new""","Java","Control Flow","Text Snippet"
"","73954","Specifies that a method should not have a return value","""void""","""void""","Java","Control Flow","Text Snippet"
"","73955","Declares a variable. New in Java 10","""var""","""var""","Java","Control Flow","Text Snippet"
"","73956","Restrict the precision and rounding of floating point calculations","""strictfp""","""strictfp""","Java","Control Flow","Text Snippet"
"","73957","Defines a class","""class""","""class""","Java","Classes & Hierarchy","Text Snippet"
"","73958","Declare a special type of class that only contains abstract methods","""interface""","""interface""","Java","Classes & Hierarchy","Text Snippet"
"","73959","Implements an interface","""implements""","""implements""","Java","Classes & Hierarchy","Text Snippet"
"","73960","Used to import a package, class or interface","""import""","""import""","Java","Classes & Hierarchy","Text Snippet"
"","73961","Checks whether an object is an instance of a specific class or an interface","""instanceof""","""instanceof""","Java","Classes & Hierarchy","Text Snippet"
"","73962","Extends a class (indicates that a class is inherited from another class)","""extends""","""extends""","Java","Classes & Hierarchy","Text Snippet"
"","73963","Define an entity once that cannot be changed nor derived from","""final""","""final""","Java","Classes & Hierarchy","Text Snippet"
"","73964","Method or class that must be overriden","""abstract""","""abstract""","Java","Classes & Hierarchy","Text Snippet"
"","73965","Refers to the current object in a method or constructor","""this""","""this""","Java","Classes & Hierarchy","Text Snippet"
"","73966","Specifies that a method is implemented in another language","""native""","""native""","Java","Classes & Hierarchy","Text Snippet"
"","73967","Refers to superclass (parent) objects","""super""","""super""","Java","Classes & Hierarchy","Text Snippet"
"","73968","Declare as a class field (only one copy per class, not per object)","""static""","""static""","Java","Classes & Hierarchy","Text Snippet"
"","73969","Specifies that an attribute is not part of an object's persistent state","""transient""","""transient""","Java","Classes & Hierarchy","Text Snippet"
"","73970","Accessible by any class","""public""","""public""","Java","Visibility","Text Snippet"
"","73971","Only accessible in the same package and subclasses","""protected""","""protected""","Java","Visibility","Text Snippet"
"","73972","Only accessible within the declared class","""private""","""private""","Java","Visibility","Text Snippet"
"","73973","Declares a package","""package""","""package""","Java","Modules and Packages","Text Snippet"
"","73974","Declares a module. New in Java 9","""module""","""module""","Java","Modules and Packages","Text Snippet"
"","73975","Specifies required libraries inside a module. New in Java 9","""requires""","""requires""","Java","Modules and Packages","Text Snippet"
"","73976","Exports a package with a module. New in Java 9","""exports""","""exports""","Java","Modules and Packages","Text Snippet"
"","73977","Creates a try...catch statement","""try""","""try""","Java","Exception Handling","Text Snippet"
"","73978","Catches exceptions thrown withing try blocks","""catch""","""catch""","Java","Exception Handling","Text Snippet"
"","73979","Creates a custom error","""throw""","""throw""","Java","Exception Handling","Text Snippet"
"","73980","Indicates what exceptions may be thrown by a method","""throws""","""throws""","Java","Exception Handling","Text Snippet"
"","73981","Block of code that will be executed no matter if there is an exception or not","""finally""","""finally""","Java","Exception Handling","Text Snippet"
"","73982","Method that can only be accessed by one thread at a time","""synchronized""","""synchronized""","Java","Multithreading","Text Snippet"
"","73983","Field that is not cached thread-locally but always read from memory","""volatile""","""volatile""","Java","Multithreading","Text Snippet"
