"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"JavaScript","121277","Define function or global-scoped variable","""var""","""var""","JavaScript","Essentials","Text Snippet"
"JavaScript","121278","Define restricted-scope constant","""const""","""const""","JavaScript","Essentials","Text Snippet"
"JavaScript","121279","Define variable with restricted scope","""let""","""let""","JavaScript","Essentials","Text Snippet"
"JavaScript","121280","Define object with member foo that has value ""bar""","""{foo:""bar""}""","""{foo:""bar""}""","JavaScript","Essentials","Text Snippet"
"JavaScript","121281","Define array with variable members foo and bar","""[foo,bar]""","""[foo,bar]""","JavaScript","Essentials","Text Snippet"
"JavaScript","121282","Single-line comment","""//""","""//""","JavaScript","Essentials","Text Snippet"
"JavaScript","121283","Start multi-line comment","""/*""","""/*""","JavaScript","Essentials","Text Snippet"
"JavaScript","121284","Output data in an alert box in the browser window","""alert""","""alert""","JavaScript","Output","Text Snippet"
"JavaScript","121285","Opens up a yes/no dialog and returns true/false depending on user click","""confirm""","""confirm""","JavaScript","Output","Text Snippet"
"JavaScript","121286","Writes information to the browser console, good for debugging purposes","""console.log""","""console.log""","JavaScript","Output","Text Snippet"
"JavaScript","121287","Write directly to the HTML document","""document.write""","""document.write""","JavaScript","Output","Text Snippet"
"JavaScript","121288","Creates a dialogue for user input","""prompt""","""prompt""","JavaScript","Output","Text Snippet"
"JavaScript","121289","Join several arrays into one","""concat""","""concat""","JavaScript","Array Methods","Text Snippet"
"JavaScript","121290","Returns the first position at which a given element appears in an array","""indexOf""","""indexOf""","JavaScript","Array Methods","Text Snippet"
"JavaScript","121291","Combine elements of an array into a single string and return the string","""join""","""join""","JavaScript","Array Methods","Text Snippet"
"JavaScript","121292","Gives the last position at which a given element appears in an array","""lastIndexOf""","""lastIndexOf""","JavaScript","Array Methods","Text Snippet"
"JavaScript","121293","Removes the last element of an array","""pop""","""pop""","JavaScript","Array Methods","Text Snippet"
"JavaScript","121294","Add element e at the end","""push(e)""","""push(e)""","JavaScript","Array Methods","Text Snippet"
"JavaScript","121295","Sort elements in a descending order","""reverse""","""reverse""","JavaScript","Array Methods","Text Snippet"
"JavaScript","121296","Remove the first element of an array","""shift""","""shift""","JavaScript","Array Methods","Text Snippet"
"JavaScript","121297","Pulls a copy of a portion of an array into a new array","""slice""","""slice""","JavaScript","Array Methods","Text Snippet"
"JavaScript","121298","Sorts elements alphabetically","""sort""","""sort""","JavaScript","Array Methods","Text Snippet"
"JavaScript","121299","Adds elements in a specified way and position","""splice""","""splice""","JavaScript","Array Methods","Text Snippet"
"JavaScript","121300","Converts elements to strings","""toString""","""toString""","JavaScript","Array Methods","Text Snippet"
"JavaScript","121301","Add element to the beginning","""unshift""","""unshift""","JavaScript","Array Methods","Text Snippet"
"JavaScript","121302","Returns the primitive value of the specified object","""valueOf""","""valueOf""","JavaScript","Array Methods","Text Snippet"
"JavaScript","121303","Property that returns the size/length of an array","""length""","""length""","JavaScript","Array Methods","Text Snippet"
"JavaScript","121304","Returns a character at a specified position inside a string","""charAt""","""charAt""","JavaScript","String Methods","Text Snippet"
"JavaScript","121305","Gives you the Unicode of a character at that position","""charCodeAt""","""charCodeAt""","JavaScript","String Methods","Text Snippet"
"JavaScript","121306","Concatenates (joins) two or more strings into one","""concat""","""concat""","JavaScript","String Methods","Text Snippet"
"JavaScript","121307","Returns string created from the specified sequence of UTF-16 code units","""fromCharCode""","""fromCharCode""","JavaScript","String Methods","Text Snippet"
"JavaScript","121308","Checks if string includes/contains searchString argument","""includes""","""includes""","JavaScript","String Methods","Text Snippet"
"JavaScript","121309","Provides the position of the first occurrence of a specified text within a string","""indexOf""","""indexOf""","JavaScript","String Methods","Text Snippet"
"JavaScript","121310","Same as indexOf() but with the last occurrence, searching backward","""lastIndexOf""","""lastIndexOf""","JavaScript","String Methods","Text Snippet"
"JavaScript","121311","Retrieves the matches of a string against a search pattern","""match""","""match""","JavaScript","String Methods","Text Snippet"
"JavaScript","121312","Find and replace specified text in a string","""replace""","""replace""","JavaScript","String Methods","Text Snippet"
"JavaScript","121313","Executes a search for a matching text and returns its position","""search""","""search""","JavaScript","String Methods","Text Snippet"
"JavaScript","121314","Splits a string object into an array of strings at a specified position","""split""","""split""","JavaScript","String Methods","Text Snippet"
"JavaScript","121315","Extracts a section of a string and returns it as a new string","""substr""","""substr""","JavaScript","String Methods","Text Snippet"
"JavaScript","121316","Also similar to slice() but can’t accept negative indices","""substring""","""substring""","JavaScript","String Methods","Text Snippet"
"JavaScript","121317","Convert strings to lower case","""toLowerCase""","""toLowerCase""","JavaScript","String Methods","Text Snippet"
"JavaScript","121318","Convert strings to upper case","""toUpperCase""","""toUpperCase""","JavaScript","String Methods","Text Snippet"
"JavaScript","121319","Returns primitive value of a string object","""valueOf""","""valueOf""","JavaScript","String Methods","Text Snippet"
"JavaScript","121320","Decodes a Uniform Resource Identifier (URI) created by encodeURI or similar","""decodeURI""","""decodeURI""","JavaScript","Global Methods","Text Snippet"
"JavaScript","121321","Decodes a URI component","""decodeURIComponent""","""decodeURIComponent""","JavaScript","Global Methods","Text Snippet"
"JavaScript","121322","Encodes a URI into UTF-8","""encodeURI""","""encodeURI""","JavaScript","Global Methods","Text Snippet"
"JavaScript","121323","Same but for URI components","""encodeURIComponent""","""encodeURIComponent""","JavaScript","Global Methods","Text Snippet"
"JavaScript","121324","Evaluates JavaScript code represented as a string","""eval""","""eval""","JavaScript","Global Methods","Text Snippet"
"JavaScript","121325","Determines whether a passed value is a finite number","""isFinite""","""isFinite""","JavaScript","Global Methods","Text Snippet"
"JavaScript","121326","Determines whether a value is NaN or not","""isNaN""","""isNaN""","JavaScript","Global Methods","Text Snippet"
"JavaScript","121327","Returns a number converted from its argument","""Number""","""Number""","JavaScript","Global Methods","Text Snippet"
"JavaScript","121328","Parses an argument and returns a floating-point number","""parseFloat""","""parseFloat""","JavaScript","Global Methods","Text Snippet"
"JavaScript","121329","Parses its argument and returns an integer","""parseInt""","""parseInt""","JavaScript","Global Methods","Text Snippet"
"JavaScript","121330","equal to","""==""","""==""","JavaScript","Comparison","Text Snippet"
"JavaScript","121331","equal and equal type","""===""","""===""","JavaScript","Comparison","Text Snippet"
"JavaScript","121332","Not equal","""!=""","""!=""","JavaScript","Comparison","Text Snippet"
"JavaScript","121333","Not equal value or not equal type","""!==""","""!==""","JavaScript","Comparison","Text Snippet"
"JavaScript","121334","Greater than",""">""",""">""","JavaScript","Comparison","Text Snippet"
"JavaScript","121335","Less than","""<""","""<""","JavaScript","Comparison","Text Snippet"
"JavaScript","121336","Greater than or equal to",""">=""",""">=""","JavaScript","Comparison","Text Snippet"
"JavaScript","121337","Less than or equal to","""<=""","""<=""","JavaScript","Comparison","Text Snippet"
"JavaScript","121338","Ternary operator","""?""","""?""","JavaScript","Comparison","Text Snippet"
"JavaScript","121339","Logical and","""&&""","""&&""","JavaScript","Logical Operators","Text Snippet"
"JavaScript","121340","Logical or","""||""","""||""","JavaScript","Logical Operators","Text Snippet"
"JavaScript","121341","Logical not","""!""","""!""","JavaScript","Logical Operators","Text Snippet"
"JavaScript","121342","Single quote","""\'""","""\'""","JavaScript","Escape Characters","Text Snippet"
"JavaScript, JavaScript","121343","Double quote","""\""""","""\""""","JavaScript","Escape Characters","Text Snippet"
"JavaScript","121344","Backslash","""\\""","""\\""","JavaScript","Escape Characters","Text Snippet"
"JavaScript","121345","Backspace","""\b""","""\b""","JavaScript","Escape Characters","Text Snippet"
"JavaScript","121346","Form feed","""\f""","""\f""","JavaScript","Escape Characters","Text Snippet"
"JavaScript","121347","New line","""\n""","""\n""","JavaScript","Escape Characters","Text Snippet"
"JavaScript","121348","Carriage return","""\r""","""\r""","JavaScript","Escape Characters","Text Snippet"
"JavaScript","121349","Horizontal tabulator","""\t""","""\t""","JavaScript","Escape Characters","Text Snippet"
"JavaScript","121350","Vertical tabulator","""\v""","""\v""","JavaScript","Escape Characters","Text Snippet"
"JavaScript, JavaScript","121351","Double quote","""\tset""","""\tset""","JavaScript","Escape Characters","Text Snippet"
"JavaScript","121352","Euler’s number","""E""","""E""","JavaScript","Math","Text Snippet"
"JavaScript","121353","The natural logarithm of 2","""LN2""","""LN2""","JavaScript","Math","Text Snippet"
"JavaScript","121354","Natural logarithm of 10","""LN10""","""LN10""","JavaScript","Math","Text Snippet"
"JavaScript","121355","Base 2 logarithm of E","""LOG2E""","""LOG2E""","JavaScript","Math","Text Snippet"
"JavaScript","121356","Base 10 logarithm of E","""LOG10E""","""LOG10E""","JavaScript","Math","Text Snippet"
"JavaScript","121357","The number PI","""PI""","""PI""","JavaScript","Math","Text Snippet"
"JavaScript","121358","Square root of 1/2","""SQRT1_2""","""SQRT1_2""","JavaScript","Math","Text Snippet"
"JavaScript","121359","The square root of 2","""SQRT2""","""SQRT2""","JavaScript","Math","Text Snippet"
"JavaScript","121360","Returns the absolute (positive) value of x","""abs(x)""","""abs(x)""","JavaScript","Math","Text Snippet"
"JavaScript","121361","The arccosine of x, in radians","""acos(x)""","""acos(x)""","JavaScript","Math","Text Snippet"
"JavaScript","121362","Arcsine of x, in radians","""asin(x)""","""asin(x)""","JavaScript","Math","Text Snippet"
"JavaScript","121363","The arctangent of x as a numeric value","""atan(x)""","""atan(x)""","JavaScript","Math","Text Snippet"
"JavaScript","121364","Arctangent of the quotient of its arguments","""atan2(y,x)""","""atan2(y,x)""","JavaScript","Math","Text Snippet"
"JavaScript","121365","Value of x rounded up to its nearest integer","""ceil(x)""","""ceil(x)""","JavaScript","Math","Text Snippet"
"JavaScript","121366","The cosine of x (x is in radians)","""cos(x)""","""cos(x)""","JavaScript","Math","Text Snippet"
"JavaScript","121367","Value of Ex","""exp(x)""","""exp(x)""","JavaScript","Math","Text Snippet"
"JavaScript","121368","The value of x rounded down to its nearest integer","""floor(x)""","""floor(x)""","JavaScript","Math","Text Snippet"
"JavaScript","121369","The natural logarithm (base E) of x","""log(x)""","""log(x)""","JavaScript","Math","Text Snippet"
"JavaScript","121370","Returns the number with the highest value from x,y, and z","""max(x,y,z""","""max(x,y,z""","JavaScript","Math","Text Snippet"
"JavaScript","121371","Returns the number with the lowest value from x,y, and z","""min(x,y,z,...,n)""","""min(x,y,z,...,n)""","JavaScript","Math","Text Snippet"
"JavaScript","121372","x to the power of y","""pow(x,y)""","""pow(x,y)""","JavaScript","Math","Text Snippet"
"JavaScript","121373","Returns a random number between 0 and 1","""random()""","""random()""","JavaScript","Math","Text Snippet"
"JavaScript","121374","Value of x rounded to its nearest integer","""round(x)""","""round(x)""","JavaScript","Math","Text Snippet"
"JavaScript","121375","Sine of x (x is in radians)","""sin(x)""","""sin(x)""","JavaScript","Math","Text Snippet"
"JavaScript","121376","Square root of x","""sqrt(x)""","""sqrt(x)""","JavaScript","Math","Text Snippet"
"JavaScript","121377","The tangent of an angle","""tan(x)""","""tan(x)""","JavaScript","Math","Text Snippet"
"JavaScript","121378","Creates a new date object with the current date and time","""Date""","""Date""","JavaScript","Dates","Text Snippet"
"JavaScript","121379","Get the day of the month as a number (1-31)","""getDate""","""getDate""","JavaScript","Dates","Text Snippet"
"JavaScript","121380","The weekday as a number (0-6)","""getDay""","""getDay""","JavaScript","Dates","Text Snippet"
"JavaScript","121381","Year as a four-digit number (yyyy)","""getFullYear""","""getFullYear""","JavaScript","Dates","Text Snippet"
"JavaScript","121382","Get the hour (0-23)","""getHours""","""getHours""","JavaScript","Dates","Text Snippet"
"JavaScript","121383","The millisecond (0-999)","""getMilliseconds""","""getMilliseconds""","JavaScript","Dates","Text Snippet"
"JavaScript","121384","Get the minute (0-59)","""getMinutes""","""getMinutes""","JavaScript","Dates","Text Snippet"
"JavaScript","121385","Month as a number (0-11)","""getMonth""","""getMonth""","JavaScript","Dates","Text Snippet"
"JavaScript","121386","Get the second (0-59)","""getSeconds""","""getSeconds""","JavaScript","Dates","Text Snippet"
"JavaScript","121387","Get the milliseconds since January 1, 1970","""getTime""","""getTime""","JavaScript","Dates","Text Snippet"
"JavaScript","121388","Parses date string and returns number of milliseconds since January 1, 1970","""parse""","""parse""","JavaScript","Dates","Text Snippet"
"JavaScript","121389","Removes focus from the current window","""blur""","""blur""","JavaScript","Window Functions","Text Snippet"
"JavaScript","121390","Clears a timer set with setInterval()","""clearInterval""","""clearInterval""","JavaScript","Window Functions","Text Snippet"
"JavaScript","121391","Clears a timer set with setTimeout()","""clearTimeout""","""clearTimeout""","JavaScript","Window Functions","Text Snippet"
"JavaScript","121392","Closes the current window","""close""","""close""","JavaScript","Window Functions","Text Snippet"
"JavaScript","121393","Sets focus to the current window","""focus""","""focus""","JavaScript","Window Functions","Text Snippet"
"JavaScript","121394","Moves a window relative to its current position","""moveBy""","""moveBy""","JavaScript","Window Functions","Text Snippet"
"JavaScript","121395","Moves a window to a specified position","""moveTo""","""moveTo""","JavaScript","Window Functions","Text Snippet"
"JavaScript","121396","Opens a new browser window","""open""","""open""","JavaScript","Window Functions","Text Snippet"
"JavaScript","121397","Prints the content of the current window","""print""","""print""","JavaScript","Window Functions","Text Snippet"
"JavaScript","121398","Displays a dialogue box that prompts the visitor for input","""prompt""","""prompt""","JavaScript","Window Functions","Text Snippet"
"JavaScript","121399","Resizes the window by the specified number of pixels","""resizeBy""","""resizeBy""","JavaScript","Window Functions","Text Snippet"
"JavaScript","121400","Resizes the window to a specified width and height","""resizeTo""","""resizeTo""","JavaScript","Window Functions","Text Snippet"
"JavaScript","121401","Scrolls the document by a specified number of pixels","""scrollBy""","""scrollBy""","JavaScript","Window Functions","Text Snippet"
"JavaScript","121402","Scrolls the document to specified coordinates","""scrollTo""","""scrollTo""","JavaScript","Window Functions","Text Snippet"
"JavaScript","121403","Calls a function or evaluates an expression at specified intervals","""setInterval""","""setInterval""","JavaScript","Window Functions","Text Snippet"
"JavaScript","121404","Calls a function or evaluates an expression after a specified interval","""setTimeout""","""setTimeout""","JavaScript","Window Functions","Text Snippet"
"JavaScript","121405","Stops the window from loading","""stop""","""stop""","JavaScript","Window Functions","Text Snippet"
