"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"Jira","34022","Quick search","/","/","Jira","Global shortcuts","None"
"Jira","34023","Close drawer","esc","esc","Jira","Global shortcuts","None"
"Jira","34024","Create issue","c","c","Jira","Global shortcuts","None"
"Jira","34025","Keyboard shortcuts","?","?","Jira","Global shortcuts","None"
"Jira","34026","Find issues","g i","g i","Jira","Global shortcuts","None"
"Jira","34027","Browse to a project","g p","g p","Jira","Global shortcuts","None"
"Jira","34028","Toggle sidebar","[","[","Jira","Global shortcuts","None"
"Jira","34029","View selected issue","o or enter","o or enter","Jira","Navigating issues","None"
"Jira","34030","Next issue","j","j","Jira","Navigating issues","None"
"Jira","34031","Previous issue","k","k","Jira","Navigating issues","None"
"Jira","34032","Toggle issue fullscreen","z","z","Jira","Navigating issues","None"
"Jira","34033","Dock/undock the filters panel","[","[","Jira","Navigating issues","None"
"Jira","34034","Next activity","n","n","Jira","Navigating issues","None"
"Jira","34035","Previous activity","p","p","Jira","Navigating issues","None"
"Jira","34036","Focus search field","f","f","Jira","Navigating issues","None"
"Jira","34037","Search for issues","u","u","Jira","Navigating issues","None"
"Jira","34038","Switch filter view","t","t","Jira","Navigating issues","None"
"Jira","34039","Detail view order by","y","y","Jira","Navigating issues","None"
"Jira","34040","Edit issue","e","e","Jira","Issue actions","None"
"Jira","34041","Assign issue","a","a","Jira","Issue actions","None"
"Jira","34042","Comment on issue","m","m","Jira","Issue actions","None"
"Jira","34043","Watch issue","w","w","Jira","Issue actions","None"
"Jira","34044","Share issue","s","s","Jira","Issue actions","None"
"Jira","34045","Edit issue labels","l","l","Jira","Issue actions","None"
"Jira","34046","Assign to me","i","i","Jira","Jump to fields for editing","None"
"Jira","34047","Backlog","1","1","Jira","Board shortcuts","None"
"Jira","34048","Active sprints/Kanban board","2","2","Jira","Board shortcuts","None"
"Jira","34049","Reports","3","3","Jira","Board shortcuts","None"
"Jira","34050","Hide/show menus","z","z","Jira","Board shortcuts","None"
"Jira","34051","Next column","n","n","Jira","Board shortcuts","None"
"Jira","34052","Previous column","p","p","Jira","Board shortcuts","None"
"Jira","34053","Hide/show detail view","t","t","Jira","Board shortcuts","None"
"Jira","34054","Toggle all swimlanes","-","-","Jira","Board shortcuts","None"
"Jira","34055","Send to top","s t","s t","Jira","Board shortcuts","None"
"Jira","34056","Send to bottom","s b","s b","Jira","Board shortcuts","None"
