"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"","432419","Open command menu","ctrl+k","cmd+k","Linear","General","ctrl"
"","432420","Save or submit","ctrl+enter","cmd+enter","Linear","General","ctrl"
"","432421","Back","esc","esc","Linear","General","None"
"","432422","Peek into issue (hover and hold)","space","space","Linear","General","None"
"","432423","Open focused item","enter or o","enter or o","Linear","General","None"
"","432424","Select in a list","x","x","Linear","General","None"
"","432425","Select multiple items in a list","shift+click","shift+click","Linear","General","shift"
"","432426","Clear a list selection","esc","esc","Linear","General","None"
"","432427","Move up","up or k","up or k","Linear","General","None"
"","432428","Move down","down or j","down or j","Linear","General","None"
"","432429","Move right","right","right","Linear","General","None"
"","432430","Move left","left","left","Linear","General","None"
"","432431","Open details sidebar","ctrl+i","cmd+i","Linear","General","ctrl"
"","432432","Toggle list/board view","ctrl+b","cmd+b","Linear","General","ctrl"
"","432433","Logout","alt+shift+q","alt+shift+q","Linear","General","alt shift"
"","432434","Open parent issue","ctrl+shift+up","shift+cmd+up","Linear","Navigation","ctrl shift"
"","432435","Open sub issue","ctrl+shift+down","shift+cmd+down","Linear","Navigation","ctrl shift"
"","432436","Open search","/","/","Linear","Navigation","None"
"","432437","Open this view","?","?","Linear","Navigation","None"
"","432438","Go to inbox","g i","g i","Linear","Navigation","None"
"","432439","Go to my issues","g m","g m","Linear","Navigation","None"
"","432440","Go to active issues","g a","g a","Linear","Navigation","None"
"","432441","Go to backlog","g b","g b","Linear","Navigation","None"
"","432442","Go to archived issues","g x","g x","Linear","Navigation","None"
"","432443","Go to all issues","g e","g e","Linear","Navigation","None"
"","432444","Go to board","g d","g d","Linear","Navigation","None"
"","432445","Go to cycles","g c","g c","Linear","Navigation","None"
"","432446","Go to active cycle","g v","g v","Linear","Navigation","None"
"","432447","Go to upcoming cycle","g w","g w","Linear","Navigation","None"
"","432448","Go to projects","g p","g p","Linear","Navigation","None"
"","432449","Go to settings","g s","g s","Linear","Navigation","None"
"","432450","Open a favorite","o f","o f","Linear","Navigation","None"
"","432451","Open a project","o p","o p","Linear","Navigation","None"
"","432452","Open a cycle","o c","o c","Linear","Navigation","None"
"","432453","Open a user","o u","o u","Linear","Navigation","None"
"","432454","Open my profile","o m","o m","Linear","Navigation","None"
"","432455","Open a team","o t","o t","Linear","Navigation","None"
"","432456","Go to team","ctrl+shift+1 or ctrl+shift+2 or ctrl+shift+9","ctrl+shift+1 or ctrl+shift+2 or ctrl+shift+9","Linear","Navigation","ctrl shift"
"","432457","New issue","c","c","Linear","Issue actions","None"
"","432458","Edit issue","e","e","Linear","Issue actions","None"
"","432459","Assign to user","a","a","Linear","Issue actions","None"
"","432460","Assign to me","i","i","Linear","Issue actions","None"
"","432461","Add label","l","l","Linear","Issue actions","None"
"","432462","Remove label","shift+l","shift+l","Linear","Issue actions","shift"
"","432463","Change status","s","s","Linear","Issue actions","None"
"","432464","Change priority","p","p","Linear","Issue actions","None"
"","432465","Change estimate","shift+e","shift+e","Linear","Issue actions","shift"
"","432466","Set due date","ctrl+d","cmd+d","Linear","Issue actions","ctrl"
"","432467","Remove due date","ctrl+shift+d","shift+cmd+d","Linear","Issue actions","ctrl shift"
"","432468","Rename","r","r","Linear","Issue actions","None"
"","432469","Set issue status","ctrl+alt+1 or ctrl+alt+2 or ctrl+alt+9","alt+cmd+1 or alt+cmd+2 or alt+cmd+9","Linear","Issue actions","ctrl alt"
"","432470","Move to another team","ctrl+shift+m","shift+cmd+m","Linear","Issue actions","ctrl shift"
"","432471","Archive issue","#","#","Linear","Issue actions","None"
"","432472","Restore issue","#","#","Linear","Issue actions","None"
"","432473","Subscribe to issue","shift+s","shift+s","Linear","Issue actions","shift"
"","432474","Manage issue subscribers","ctrl+shift+s","shift+cmd+s","Linear","Issue actions","ctrl shift"
"","432475","Set issue due date","ctrl+d","cmd+d","Linear","Issue actions","ctrl"
"","432476","Remove issue due date","ctrl+shift+d","shift+cmd+d","Linear","Issue actions","ctrl shift"
"","432477","Mark as blocked","m b","m b","Linear","Issue relations","None"
"","432478","Mark as blocking","m x","m x","Linear","Issue relations","None"
"","432479","Reference related issue","m r","m r","Linear","Issue relations","None"
"","432480","Filter issues","f","f","Linear","Filtering issues","None"
"","432481","Clear last issue filter","shift+f","shift+f","Linear","Filtering issues","shift"
"","432482","Clear all issue filters","alt+shift+f","alt+shift+f","Linear","Filtering issues","alt shift"
"","432483","Copy issue id","ctrl+.","cmd+.","Linear","Workflow","ctrl"
