"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"","604957","Opens the MAXQDA help system.","f1","shift+cmd+?","MAXQDA","General","None"
"","604958","Creates a new project.","ctrl+n","cmd+n","MAXQDA","General","ctrl"
"","604959","Opens an existing project.","ctrl+o","cmd+o","MAXQDA","General","ctrl"
"","604960","Highlights the entire text.","ctrl+a","cmd+a","MAXQDA","General","ctrl"
"","604961","copies the selected segment to the clipboard.","ctrl+c","cmd+c","MAXQDA","General","ctrl"
"","604962","cuts out the selected segment and puts it in the clipboard.","ctrl+x","cmd+x","MAXQDA","General","ctrl"
"","604963","Pastes the selection from the clipboard.","ctrl+v","cmd+v","MAXQDA","General","ctrl"
"","604964","Opens/closes the window “document system”.","alt+1","alt+1","MAXQDA","General","alt"
"","604965","Opens/closes the window “code system”.","alt+2","alt+2","MAXQDA","General","alt"
"","604966","Opens/closes the window “document browser”.","alt+3","alt+3","MAXQDA","General","alt"
"","604967","Opens/closes the window “retrieved segments”.","alt+4","alt+4","MAXQDA","General","alt"
"","604968","Opens the logbook.","ctrl+alt+b","alt+cmd+b","MAXQDA","General","ctrl alt"
"","604969","Opens the Code Matrix Browser.","ctrl+alt+m","alt+cmd+m","MAXQDA","General","ctrl alt"
"","604970","Opens the Code Relations Browser.","ctrl+alt+r","alt+cmd+r","MAXQDA","General","ctrl alt"
"","604971","Opens the search toolbar for the current window or the table overview.","ctrl+f","cmd+f","MAXQDA","General","ctrl"
"","604972","Opens the text search.","ctrl+shift+f","shift+cmd+f","MAXQDA","General","ctrl shift"
"","604973","Prints the focused window or view.","ctrl+p","cmd+p","MAXQDA","General","ctrl"
"","604974","Inserts a MAXQDA object (e.g. a document or code) into MAXMaps, if MAXMaps is open.","alt+double-click","alt+double-click","MAXQDA","General","alt"
"","604975","Resets activations in the “Document System” and “Code System”.","ctrl+r","cmd+r","MAXQDA","General","ctrl"
"","604976","Opens a document.","double-click","double-click","MAXQDA","Document System","None"
"","604977","Opens a document in a new tab.","shift+double-click","shift+double-click","MAXQDA","Document System","shift"
"","604978","Activates or deactivates a document.","ctrl+click","cmd+click","MAXQDA","Document System","ctrl"
"","604979","Renames a document.","f2","enter","MAXQDA","Document System","None"
"","604980","Deletes a document.","del","cmd+backspace","MAXQDA","Document System","None"
"","604981","Moves a document or document group up and down in the “Document System“.","alt+up or alt+down","alt+up or alt+down","MAXQDA","Document System","alt"
"","604982","creates a copy of the document without coded segments","ctrl+drag","alt+drag","MAXQDA","Document System","ctrl"
"","604983","creates a new document and opens it for editing in the “Document Browser“.","ctrl+t","cmd+t","MAXQDA","Document System","ctrl"
"","604984","Opens the dialog window for importing documents.","ctrl+d","cmd+d","MAXQDA","Document System","ctrl"
"","604985","creates a new memo or opens an existing memo for a document.","alt+shift+m","alt+shift+m","MAXQDA","Document System","alt shift"
"","604986","Activates or deactivates a code including the subcodes.","ctrl+click","cmd+click","MAXQDA","Code System","ctrl"
"","604987","Activates or deactivates a code without subcodes.","ctrl+shift+click","shift+cmd+click","MAXQDA","Code System","ctrl shift"
"","604988","Renames a code.","f2","enter","MAXQDA","Code System","None"
"","604989","Deletes a code.","entf","backspace","MAXQDA","Code System","None"
"","604990","Moves a code (possibly with subcodes) up and down in the “Code System“.","alt+up or alt+down","alt+up or alt+down","MAXQDA","Code System","alt"
"","604991","Increases and decreases the level of hierarchy of a code.","alt+right or alt+left","alt+right or alt+left","MAXQDA","Code System","alt"
"","604992","creates a copy of the code without coded segments","alt+drag","alt+drag","MAXQDA","Code System","alt"
"","604993","Inserts a new code on the chosen level.","alt+n","alt+cmd+n","MAXQDA","Code System","alt"
"","604994","starts and stops Edit Mode.","ctrl+e","alt+cmd+e","MAXQDA","Document Browser","ctrl"
"","604995","starts and stops Paraphrase Mode.","ctrl+shift+p","shift+cmd+p","MAXQDA","Document Browser","ctrl shift"
"","604996","codes the selected segment with the most recently used code.","alt+l","alt+cmd+l","MAXQDA","Document Browser","alt"
"","604997","opens the dialog window for creating a new code, which will be used to code the selected segment.","alt+w","alt+cmd+w","MAXQDA","Document Browser","alt"
"","604998","codes the selected segment with the code shown in the Quick List.","alt+c","alt+cmd+c","MAXQDA","Document Browser","alt"
"","604999","codes the selected segment with a newly-created code","alt+i","alt+cmd+i","MAXQDA","Document Browser","alt"
"","605000","Inserts an internal link at the location of the selected segment. Hit again after selecting the destination.","ctrl+l","cmd+l","MAXQDA","Document Browser","ctrl"
"","605001","Inserts a new timestamp into a transcript when in transcription mode.","f6","f6","MAXQDA","Document Browser","None"
