"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"Markdown","289608","Heading level 1","""#""","""#""","Markdown","Headings","Text Snippet"
"Markdown","289609","Heading level 2","""##""","""##""","Markdown","Headings","Text Snippet"
"Markdown","289610","Heading level 3","""###""","""###""","Markdown","Headings","Text Snippet"
"Markdown","289611","Horizontal line","""---""","""---""","Markdown","Headings","Text Snippet"
"Markdown","289612","Surrounds bold text","""**""","""**""","Markdown","Emphasis","Text Snippet"
"Markdown","289613","Surrounds italic text","""*"" or ""_""","""*"" or ""_""","Markdown","Emphasis","Text Snippet"
"Markdown","289614","Blockquote character",""">""",""">""","Markdown","Emphasis","Text Snippet"
"Markdown","289615","Nested Blockquote",""">>""",""">>""","Markdown","Emphasis","Text Snippet"
"Markdown","289616","Start ordered list","""1.""","""1.""","Markdown","Lists","Text Snippet"
"Markdown","289617","Start indented order list",""" 1.""",""" 1.""","Markdown","Lists","Text Snippet"
"Markdown","289618","Unordered list item","""*""","""*""","Markdown","Lists","Text Snippet"
"Markdown","289619","Indented unordered list item",""" *""",""" *""","Markdown","Lists","Text Snippet"
"Markdown","289620","Surrounds inline code","""`""","""`""","Markdown","Code","Text Snippet"
"Markdown","289621","Surrounds inline code containing backtics","""``""","""``""","Markdown","Code","Text Snippet"
"Markdown","289622","Surrounds code blocks","""```""","""```""","Markdown","Code","Text Snippet"
"Markdown","289623","Link with text foo leading to /bar","""[foo](/bar)""","""[foo](/bar)""","Markdown","Links and images","Text Snippet"
"Markdown","289624","Include image at /image.png with alternative text foo","""![foo](/image.png)""","""![foo](/image.png)""","Markdown","Links and images","Text Snippet"
