"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"Monday.com","91662","Boltswitch","ctrl+b","cmd+b","Monday.com","General","ctrl"
"Monday.com","91663","Close Item Page","esc","esc","Monday.com","General","None"
"Monday.com","91664","Close Dialogs","esc","esc","Monday.com","General","None"
"Monday.com","91665","Close Search","esc","esc","Monday.com","General","None"
"Monday.com","91666","Open/Close Navigation","ctrl+.","cmd+.","Monday.com","General","ctrl"
"Monday.com","91667","Navigate Down","down","down","Monday.com","Board","None"
"Monday.com","91668","Navigate Up","up","up","Monday.com","Board","None"
"Monday.com","91669","Navigate Left","left","left","Monday.com","Board","None"
"Monday.com","91670","Navigate Right","right","right","Monday.com","Board","None"
"Monday.com","91671","Navigate to Next Cell","tab","tab","Monday.com","Board","None"
"Monday.com","91672","Navigate to Previous Cell","shift+tab","shift+tab","Monday.com","Board","shift"
"Monday.com","91673","Edit Cell Content","enter","enter","Monday.com","Board","None"
"Monday.com","91674","Clear Cell Content","backspace","del","Monday.com","Board","None"
"Monday.com","91675","Open Column View","space","space","Monday.com","Board","None"
"Monday.com","91676","Search Board","ctrl+f","cmd+f","Monday.com","Board","ctrl"
"Monday.com","91677","Copy Cell Content","ctrl+c","cmd+c","Monday.com","Board","ctrl"
"Monday.com","91678","Past Cell Content","ctrl+v","cmd+v","Monday.com","Board","ctrl"
"Monday.com","91679","Cut Cell Content","ctrl+x","cmd+x","Monday.com","Board","ctrl"
"Monday.com","91680","Select Item","ctrl+enter","cmd+enter","Monday.com","Board","ctrl"
"Monday.com","91681","Select Range of Items","shift+enter","shift+enter","Monday.com","Board","shift"
"Monday.com","91682","Create New Group","ctrl+shift+g","shift+cmd+g","Monday.com","Board","ctrl shift"
"Monday.com","91683","Create New Column","ctrl+shift+c","shift+cmd+c","Monday.com","Board","ctrl shift"
"Monday.com","91684","Open Activity Log","ctrl+shift+l","shift+cmd+l","Monday.com","Board","ctrl shift"
"Monday.com","91685","Sort Another Column","ctrl+click","cmd+click","Monday.com","Board","ctrl"
"Monday.com","91686","Collapse/Expand All Groups","ctrl+g","ctrl+g","Monday.com","Board","ctrl"
