"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"","122318","New window","ctrl+n","n/A","Nautilus","General","ctrl"
"","122319","Close window or tab","ctrl+w","n/A","Nautilus","General","ctrl"
"","122320","Search","ctrl+f","n/A","Nautilus","General","ctrl"
"","122321","Bookmark current location","ctrl+d","n/A","Nautilus","General","ctrl"
"","122322","Show help","f1","n/A","Nautilus","General","None"
"","122323","Shortcuts","ctrl+? or ctrl+f1","n/A","Nautilus","General","ctrl"
"","122324","Open","enter or ctrl+o","n/A","Nautilus","Opening","ctrl"
"","122325","Open in new tab","ctrl+enter","n/A","Nautilus","Opening","ctrl"
"","122326","Open in new window","shift+enter","n/A","Nautilus","Opening","shift"
"","122327","Open item location (search and recent only)","ctrl+alt+o","n/A","Nautilus","Opening","ctrl alt"
"","122328","Open file and close window","ctrl+shift+down","n/A","Nautilus","Opening","ctrl shift"
"","122329","Open with default application","ctrl+o or alt+down","n/A","Nautilus","Opening","ctrl alt"
"","122330","New tab","ctrl+t","n/A","Nautilus","Tabs","ctrl"
"","122331","Go to previous tab","ctrl+pageup","n/A","Nautilus","Tabs","ctrl"
"","122332","Go to next tab","ctrl+pagedown","n/A","Nautilus","Tabs","ctrl"
"","122333","Open tab","alt+0 or alt+1 or alt+2 or alt+3","n/A","Nautilus","Tabs","alt"
"","122334","Move tab left","ctrl+shift+pageup","n/A","Nautilus","Tabs","ctrl shift"
"","122335","Move tab right","ctrl+shift+pagedown","n/A","Nautilus","Tabs","ctrl shift"
"","122336","Restore tab","ctrl+shift+t","n/A","Nautilus","Tabs","ctrl shift"
"","122337","Go back","alt+left","n/A","Nautilus","Navigation","alt"
"","122338","Go forward","alt+right","n/A","Nautilus","Navigation","alt"
"","122339","Go up","alt+up","n/A","Nautilus","Navigation","alt"
"","122340","Go down","alt+down","n/A","Nautilus","Navigation","alt"
"","122341","Go to home folder","alt+home","n/A","Nautilus","Navigation","alt"
"","122342","Enter location","ctrl+l","n/A","Nautilus","Navigation","ctrl"
"","122343","Location bar with root location","/","n/A","Nautilus","Navigation","None"
"","122344","Location bar with home location","~","n/A","Nautilus","Navigation","None"
"","122345","Zoom in","ctrl+plus","n/A","Nautilus","View","ctrl"
"","122346","Zoom out","ctrl+-","n/A","Nautilus","View","ctrl"
"","122347","Reset zoom","ctrl+0","n/A","Nautilus","View","ctrl"
"","122348","Refresh view","f5 or ctrl+r","n/A","Nautilus","View","ctrl"
"","122349","Show/hide hidden files","ctrl+h","n/A","Nautilus","View","ctrl"
"","122350","Show/hide sidebar","f9","n/A","Nautilus","View","None"
"","122351","Show/hide action menu","f10","n/A","Nautilus","View","None"
"","122352","List view","ctrl+1","n/A","Nautilus","View","ctrl"
"","122353","Grid view","ctrl+2","n/A","Nautilus","View","ctrl"
"","122354","Create folder","ctrl+shift+n","n/A","Nautilus","Editing","ctrl shift"
"","122355","Rename","f2","n/A","Nautilus","Editing","None"
"","122356","Move to trash","del","n/A","Nautilus","Editing","None"
"","122357","Delete permanently","shift+del","n/A","Nautilus","Editing","shift"
"","122358","Cut","ctrl+x","n/A","Nautilus","Editing","ctrl"
"","122359","Copy","ctrl+c","n/A","Nautilus","Editing","ctrl"
"","122360","Paste","ctrl+v","n/A","Nautilus","Editing","ctrl"
"","122361","Select all","ctrl+a","n/A","Nautilus","Editing","ctrl"
"","122362","Invert selection","ctrl+shift+i","n/A","Nautilus","Editing","ctrl shift"
"","122363","Select items matching","ctrl+s","n/A","Nautilus","Editing","ctrl"
"","122364","Undo","ctrl+z","n/A","Nautilus","Editing","ctrl"
"","122365","Redo","ctrl+shift+z","n/A","Nautilus","Editing","ctrl shift"
"","122366","Show item properties","ctrl+i or alt+enter","n/A","Nautilus","Editing","ctrl alt"
