"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"Notepad++","207894","New","ctrl+n","n/A","Notepad++","File","ctrl"
"Notepad++","207895","Open...","ctrl+o","n/A","Notepad++","File","ctrl"
"Notepad++","207896","Reload from Disk","ctrl+r","n/A","Notepad++","File","ctrl"
"Notepad++","207897","Save","ctrl+s","n/A","Notepad++","File","ctrl"
"Notepad++","207898","Save As...","ctrl+alt+s","n/A","Notepad++","File","ctrl alt"
"Notepad++","207899","Save All","ctrl+shift+s","n/A","Notepad++","File","ctrl shift"
"Notepad++","207900","Close","ctrl+w","n/A","Notepad++","File","ctrl"
"Notepad++","207901","Close All","ctrl+shift+w","n/A","Notepad++","File","ctrl shift"
"Notepad++","207902","Print...","ctrl+p","n/A","Notepad++","File","ctrl"
"Notepad++","207903","Exit","alt+f4","n/A","Notepad++","File","alt"
"Notepad++","207904","Restore Recent Closed File","ctrl+shift+t","n/A","Notepad++","File","ctrl shift"
"Notepad++","207905","UPPERCASE","ctrl+shift+u","n/A","Notepad++","Edit","ctrl shift"
"Notepad++","207906","lowercase","ctrl+u","n/A","Notepad++","Edit","ctrl"
"Notepad++","207907","Proper Case","alt+u","n/A","Notepad++","Edit","alt"
"Notepad++","207908","Proper Case (blend)","alt+shift+u","n/A","Notepad++","Edit","alt shift"
"Notepad++","207909","Sentence case","ctrl+alt+u","n/A","Notepad++","Edit","ctrl alt"
"Notepad++","207910","Sentence case (blend)","ctrl+alt+shift+u","n/A","Notepad++","Edit","ctrl alt shift"
"Notepad++","207911","Split Lines","ctrl+i","n/A","Notepad++","Edit","ctrl"
"Notepad++","207912","Join Lines","ctrl+j","n/A","Notepad++","Edit","ctrl"
"Notepad++","207913","Move Up Current Line","ctrl+shift+up","n/A","Notepad++","Edit","ctrl shift"
"Notepad++","207914","Move Down Current Line","ctrl+shift+down","n/A","Notepad++","Edit","ctrl shift"
"Notepad++","207915","Insert Blank Line Above Current","ctrl+alt+enter","n/A","Notepad++","Edit","ctrl alt"
"Notepad++","207916","Insert Blank Line Below Current","ctrl+alt+shift+enter","n/A","Notepad++","Edit","ctrl alt shift"
"Notepad++","207917","Toggle Single Line Comment","ctrl+q","n/A","Notepad++","Edit","ctrl"
"Notepad++","207918","Single Line Comment","ctrl+k","n/A","Notepad++","Edit","ctrl"
"Notepad++","207919","Single Line Uncomment","ctrl+shift+k","n/A","Notepad++","Edit","ctrl shift"
"Notepad++","207920","Block Comment","ctrl+shift+q","n/A","Notepad++","Edit","ctrl shift"
"Notepad++","207921","Function Completion","ctrl+space","n/A","Notepad++","Edit","ctrl"
"Notepad++","207922","Path Completion","ctrl+alt+space","n/A","Notepad++","Edit","ctrl alt"
"Notepad++","207923","Word Completion","ctrl+enter","n/A","Notepad++","Edit","ctrl"
"Notepad++","207924","Function Parameters Hint","ctrl+shift+space","n/A","Notepad++","Edit","ctrl shift"
"Notepad++","207925","Column Editor...","alt+c","n/A","Notepad++","Edit","alt"
"Notepad++","207926","Text Direction RTL","ctrl+alt+r","n/A","Notepad++","Edit","ctrl alt"
"Notepad++","207927","Text Direction LTR","ctrl+alt+l","n/A","Notepad++","Edit","ctrl alt"
"Notepad++","207928","Toggle macro record","ctrl+shift+r","n/A","Notepad++","Edit","ctrl shift"
"Notepad++","207929","Playback","ctrl+shift+p","n/A","Notepad++","Edit","ctrl shift"
"Notepad++","207930","Trim Trailing and save","alt+shift+s","n/A","Notepad++","Edit","alt shift"
"Notepad++","207931","Find...","ctrl+f","n/A","Notepad++","Search","ctrl"
"Notepad++","207932","Find in Files...","ctrl+shift+f","n/A","Notepad++","Search","ctrl shift"
"Notepad++","207933","Find Next","f3","n/A","Notepad++","Search","None"
"Notepad++","207934","Find Previous","shift+f3","n/A","Notepad++","Search","shift"
"Notepad++","207935","Select and Find Next","ctrl+f3","n/A","Notepad++","Search","ctrl"
"Notepad++","207936","Select and Find Previous","ctrl+shift+f3","n/A","Notepad++","Search","ctrl shift"
"Notepad++","207937","Find (Volatile) Next","ctrl+alt+f3","n/A","Notepad++","Search","ctrl alt"
"Notepad++","207938","Find (Volatile) Previous","ctrl+alt+shift+f3","n/A","Notepad++","Search","ctrl alt shift"
"Notepad++","207939","Replace...","ctrl+h","n/A","Notepad++","Search","ctrl"
"Notepad++","207940","Incremental Search","ctrl+alt+i","n/A","Notepad++","Search","ctrl alt"
"Notepad++","207941","Search Results Window","f7","n/A","Notepad++","Search","None"
"Notepad++","207942","Previous Search Result","shift+f4","n/A","Notepad++","Search","shift"
"Notepad++","207943","Next Search Result","f4","n/A","Notepad++","Search","None"
"Notepad++","207944","Go to...","ctrl+g","n/A","Notepad++","Search","ctrl"
"Notepad++","207945","Go to Matching Brace","ctrl+b","n/A","Notepad++","Search","ctrl"
"Notepad++","207946","Select All Between Matching Braces","ctrl+alt+b","n/A","Notepad++","Search","ctrl alt"
"Notepad++","207947","Mark...","ctrl+m","n/A","Notepad++","Search","ctrl"
"Notepad++","207948","Previous mark using 1st Style","ctrl+shift+1","n/A","Notepad++","Search","ctrl shift"
"Notepad++","207949","Previous mark using 2nd Style","ctrl+shift+2","n/A","Notepad++","Search","ctrl shift"
"Notepad++","207950","Previous mark using 3rd Style","ctrl+shift+3","n/A","Notepad++","Search","ctrl shift"
"Notepad++","207951","Previous mark using 4th Style","ctrl+shift+4","n/A","Notepad++","Search","ctrl shift"
"Notepad++","207952","Previous mark using 5th Style","ctrl+shift+5","n/A","Notepad++","Search","ctrl shift"
"Notepad++","207953","Previous mark created with Mark","ctrl+shift+0","n/A","Notepad++","Search","ctrl shift"
"Notepad++","207954","Next mark using 1st Style","ctrl+1","n/A","Notepad++","Search","ctrl"
"Notepad++","207955","Next mark using 2nd Style","ctrl+2","n/A","Notepad++","Search","ctrl"
"Notepad++","207956","Next mark using 3rd Style","ctrl+3","n/A","Notepad++","Search","ctrl"
"Notepad++","207957","Next mark using 4th Style","ctrl+4","n/A","Notepad++","Search","ctrl"
"Notepad++","207958","Next mark using 5th Style","ctrl+5","n/A","Notepad++","Search","ctrl"
"Notepad++","207959","Next mark created with Mark","ctrl+0","n/A","Notepad++","Search","ctrl"
"Notepad++","207960","Toggle Bookmark","ctrl+f2","n/A","Notepad++","Search","ctrl"
"Notepad++","207961","Next Bookmark","f2","n/A","Notepad++","Search","None"
"Notepad++","207962","Previous Bookmark","shift+f2","n/A","Notepad++","Search","shift"
"Notepad++","207963","Toggle Full Screen Mode","f11","n/A","Notepad++","View","None"
"Notepad++","207964","Post-It","f12","n/A","Notepad++","View","None"
"Notepad++","207965","1st Tab","ctrl+numpad1","n/A","Notepad++","View","ctrl"
"Notepad++","207966","2nd Tab","ctrl+numpad2","n/A","Notepad++","View","ctrl"
"Notepad++","207967","3rd Tab","ctrl+numpad3","n/A","Notepad++","View","ctrl"
"Notepad++","207968","4th Tab","ctrl+numpad4","n/A","Notepad++","View","ctrl"
"Notepad++","207969","5th Tab","ctrl+numpad5","n/A","Notepad++","View","ctrl"
"Notepad++","207970","6th Tab","ctrl+numpad6","n/A","Notepad++","View","ctrl"
"Notepad++","207971","7th Tab","ctrl+numpad7","n/A","Notepad++","View","ctrl"
"Notepad++","207972","8th Tab","ctrl+numpad8","n/A","Notepad++","View","ctrl"
"Notepad++","207973","9th Tab","ctrl+numpad9","n/A","Notepad++","View","ctrl"
"Notepad++","207974","Next Tab","ctrl+pagedown","n/A","Notepad++","View","ctrl"
"Notepad++","207975","Previous Tab","ctrl+pageup","n/A","Notepad++","View","ctrl"
"Notepad++","207976","Move Tab Forward","ctrl+shift+pagedown","n/A","Notepad++","View","ctrl shift"
"Notepad++","207977","Move Tab Backward","ctrl+shift+pageup","n/A","Notepad++","View","ctrl shift"
"Notepad++","207978","Switch to previous document","ctrl+shift+tab","n/A","Notepad++","View","ctrl shift"
"Notepad++","207979","Switch to next document","ctrl+tab","n/A","Notepad++","View","ctrl"
"Notepad++","207980","Hide Lines","alt+h","n/A","Notepad++","View","alt"
"Notepad++","207981","Focus on Another View","f8","n/A","Notepad++","View","None"
"Notepad++","207982","Fold All","alt+0","n/A","Notepad++","View","alt"
"Notepad++","207983","Unfold All","alt+shift+0","n/A","Notepad++","View","alt shift"
"Notepad++","207984","Collapse Current Level","ctrl+alt+f","n/A","Notepad++","View","ctrl alt"
"Notepad++","207985","Uncollapse Current Level","ctrl+alt+shift+f","n/A","Notepad++","View","ctrl alt shift"
"Notepad++","207986","Collapse Level 1","alt+1","n/A","Notepad++","View","alt"
"Notepad++","207987","Collapse Level 2","alt+2","n/A","Notepad++","View","alt"
"Notepad++","207988","Collapse Level 3","alt+3","n/A","Notepad++","View","alt"
"Notepad++","207989","Collapse Level 4","alt+4","n/A","Notepad++","View","alt"
"Notepad++","207990","Collapse Level 5","alt+5","n/A","Notepad++","View","alt"
"Notepad++","207991","Collapse Level 6","alt+6","n/A","Notepad++","View","alt"
"Notepad++","207992","Collapse Level 7","alt+7","n/A","Notepad++","View","alt"
"Notepad++","207993","Collapse Level 8","alt+8","n/A","Notepad++","View","alt"
"Notepad++","207994","Uncollapse Level 1","alt+shift+1","n/A","Notepad++","View","alt shift"
"Notepad++","207995","Uncollapse Level 2","alt+shift+2","n/A","Notepad++","View","alt shift"
"Notepad++","207996","Uncollapse Level 3","alt+shift+3","n/A","Notepad++","View","alt shift"
"Notepad++","207997","Uncollapse Level 4","alt+shift+4","n/A","Notepad++","View","alt shift"
"Notepad++","207998","Uncollapse Level 5","alt+shift+5","n/A","Notepad++","View","alt shift"
