"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"Obsidian","43046","Open quick switcher","ctrl+o","cmd+o","Obsidian","Navigation","ctrl"
"Obsidian","43047","Open graph view","ctrl+g","cmd+g","Obsidian","Navigation","ctrl"
"Obsidian","43048","Open backlinks for the current file","blank","blank","Obsidian","Navigation","None"
"Obsidian","43049","Open command palette","ctrl+p","cmd+p","Obsidian","Navigation","ctrl"
"Obsidian","43050","Open Markdown importer","blank","blank","Obsidian","Navigation","None"
"Obsidian","43051","Navigate back","ctrl+alt+left","alt+cmd+left","Obsidian","Navigation","ctrl alt"
"Obsidian","43052","Navigate forward","ctrl+alt+right","alt+cmd+right","Obsidian","Navigation","ctrl alt"
"Obsidian","43053","Open another vault","blank","blank","Obsidian","Navigation","None"
"Obsidian","43054","Open today's note","blank","blank","Obsidian","Navigation","None"
"Obsidian","43055","Open previous daily note","blank","blank","Obsidian","Navigation","None"
"Obsidian","43056","Open next daily note","blank","blank","Obsidian","Navigation","None"
"Obsidian","43057","Open help","f1","f1","Obsidian","Navigation","None"
"Obsidian","43058","Follow link under cursor","alt+enter","alt+enter","Obsidian","Navigation","alt"
"Obsidian","43059","Open link under cursor in new pane","ctrl+alt+enter","alt+cmd+enter","Obsidian","Navigation","ctrl alt"
"Obsidian","43060","Open settings","ctrl+,","cmd+,","Obsidian","Navigation","ctrl"
"Obsidian","43061","Focus on pane above","blank","blank","Obsidian","Pane Handling","None"
"Obsidian","43062","Focus on pane below","blank","blank","Obsidian","Pane Handling","None"
"Obsidian","43063","Focus on pane to the left","blank","blank","Obsidian","Pane Handling","None"
"Obsidian","43064","Focus on pane to the right","blank","blank","Obsidian","Pane Handling","None"
"Obsidian","43065","Toggle pin","blank","blank","Obsidian","Pane Handling","None"
"Obsidian","43066","Split vertical","blank","blank","Obsidian","Pane Handling","None"
"Obsidian","43067","Split horizontal","blank","blank","Obsidian","Pane Handling","None"
"Obsidian","43068","Create new note","ctrl+n","cmd+n","Obsidian","Pane Handling","ctrl"
"Obsidian","43069","Close active pane","ctrl+w","cmd+w","Obsidian","Pane Handling","ctrl"
"Obsidian","43070","Close all other panes","blank","blank","Obsidian","Pane Handling","None"
"Obsidian","43071","Toggle left sidebar","blank","blank","Obsidian","Pane Handling","None"
"Obsidian","43072","Toggle right sidebar","blank","blank","Obsidian","Pane Handling","None"
"Obsidian","43073","Toggle default view mode","blank","blank","Obsidian","Pane Handling","None"
"Obsidian","43074","Use dark mode","blank","blank","Obsidian","Appearance","None"
"Obsidian","43075","Use light mode","blank","blank","Obsidian","Appearance","None"
"Obsidian","43076","Search current file","ctrl+f","cmd+f","Obsidian","Search","ctrl"
"Obsidian","43077","Search & replace in current file","ctrl+h","cmd+h","Obsidian","Search","ctrl"
"Obsidian","43078","Search in all files","ctrl+shift+f","shift+cmd+f","Obsidian","Search","ctrl shift"
"Obsidian","43079","Toggle fold on the current line","blank","blank","Obsidian","Folding","None"
"Obsidian","43080","Fold all headings and lists","blank","blank","Obsidian","Folding","None"
"Obsidian","43081","Unfold all headings and lists","blank","blank","Obsidian","Folding","None"
"Obsidian","43082","Swap line up","blank","blank","Obsidian","Editing","None"
"Obsidian","43083","Swap line down","blank","blank","Obsidian","Editing","None"
"Obsidian","43084","Toggle bold for selection","ctrl+b","cmd+b","Obsidian","Editing","ctrl"
"Obsidian","43085","Toggle italics for selection","ctrl+i","cmd+i","Obsidian","Editing","ctrl"
"Obsidian","43086","Toggle highlight for selection","blank","blank","Obsidian","Editing","None"
"Obsidian","43087","Insert link","ctrl+k","cmd+k","Obsidian","Editing","ctrl"
"Obsidian","43088","Delete paragraph","ctrl+d","cmd+d","Obsidian","Editing","ctrl"
"Obsidian","43089","Toggle edit/preview mode","ctrl+e","cmd+e","Obsidian","Editing","ctrl"
"Obsidian","43090","Delete current file","blank","blank","Obsidian","Editing","None"
"Obsidian","43091","Editor: save file","ctrl+s","cmd+s","Obsidian","Editing","ctrl"
