"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"","204141","Comment with Line Comment","ctrl+/","cmd+/","PHPStorm","Advanced Editing","ctrl"
"","204142","Comment with Block Comment","ctrl+shift+/","alt+cmd+/","PHPStorm","Advanced Editing","ctrl shift"
"","204143","Quick Documentation Look-up","ctrl+q","f1","PHPStorm","Advanced Editing","ctrl"
"","204144","Show Table Data","ctrl+q","f1","PHPStorm","Advanced Editing","ctrl"
"","204145","Pop-up Hector","ctrl+alt+shift+h","alt+shift+cmd+h","PHPStorm","Advanced Editing","ctrl alt shift"
"","204146","Parameter Info","ctrl+p","cmd+p","PHPStorm","Advanced Editing","ctrl"
"","204147","Context Info","alt+q","ctrl+shift+q","PHPStorm","Advanced Editing","alt"
"","204148","Error Description","ctrl+f1","cmd+f1","PHPStorm","Advanced Editing","ctrl"
"","204149","External Documentation","shift+f1","shift+f1","PHPStorm","Advanced Editing","shift"
"","204150","Override Methods...","ctrl+o","ctrl+o","PHPStorm","Advanced Editing","ctrl"
"","204151","Surround with...","ctrl+alt+t","alt+cmd+t","PHPStorm","Advanced Editing","ctrl alt"
"","204152","Basic Code Completion","ctrl+space","ctrl+space","PHPStorm","Advanced Editing","ctrl"
"","204153","SmartType Code Completion","ctrl+shift+space","ctrl+shift+space","PHPStorm","Advanced Editing","ctrl shift"
"","204154","Expand Word","alt+/","alt+/","PHPStorm","Advanced Editing","alt"
"","204155","Insert Live Template...","ctrl+j","cmd+j","PHPStorm","Advanced Editing","ctrl"
"","204156","Surround with Live Template...","ctrl+alt+j","alt+cmd+j","PHPStorm","Advanced Editing","ctrl alt"
"","204157","Next Template Variable","tab","tab","PHPStorm","Advanced Editing","None"
"","204158","Previous Template Variable","shift+tab","shift+tab","PHPStorm","Advanced Editing","shift"
"","204159","Enter","enter","enter","PHPStorm","Basic Editing","None"
"","204160","Tab","tab","tab","PHPStorm","Basic Editing","None"
"","204161","Delete","del","del","PHPStorm","Basic Editing","None"
"","204162","Backspace","backspace","backspace","PHPStorm","Basic Editing","None"
"","204163","Undo","ctrl+z","ctrl+z","PHPStorm","Basic Editing","ctrl"
"","204164","Redo","ctrl+shift+z","ctrl+shift+z","PHPStorm","Basic Editing","ctrl shift"
"","204165","Cut","ctrl+x","ctrl+x","PHPStorm","Basic Editing","ctrl"
"","204166","Copy","ctrl+c","ctrl+c","PHPStorm","Basic Editing","ctrl"
"","204167","Paste","ctrl+v","ctrl+v","PHPStorm","Basic Editing","ctrl"
"","204168","Paste from History","ctrl+shift+v","ctrl+shift+v","PHPStorm","Basic Editing","ctrl shift"
"","204169","Up","up","up","PHPStorm","Basic Editing","None"
"","204170","Up with Selection","shift+up","shift+up","PHPStorm","Basic Editing","shift"
"","204171","Down","down","down","PHPStorm","Basic Editing","None"
"","204172","Down with Selection","shift+down","shift+down","PHPStorm","Basic Editing","shift"
"","204173","Left","left","left","PHPStorm","Basic Editing","None"
"","204174","Left with Selection","shift+left","shift+left","PHPStorm","Basic Editing","shift"
"","204175","Right","right","right","PHPStorm","Basic Editing","None"
"","204176","Right with Selection","shift+right","shift+right","PHPStorm","Basic Editing","shift"
"","204177","Go to Page Bottom","ctrl+pagedown","ctrl+pagedown","PHPStorm","Basic Editing","ctrl"
"","204178","Go to Page Bottom with Selection","ctrl+shift+pagedown","ctrl+shift+pagedown","PHPStorm","Basic Editing","ctrl shift"
"","204179","Go to Page Top","ctrl+pageup","ctrl+pageup","PHPStorm","Basic Editing","ctrl"
"","204180","Go to Page Top with Selection","ctrl+shift+pageup","ctrl+shift+pageup","PHPStorm","Basic Editing","ctrl shift"
"","204181","Page Down","pagedown","pagedown","PHPStorm","Basic Editing","None"
"","204182","Page Down with Selection","shift+pagedown","shift+pagedown","PHPStorm","Basic Editing","shift"
"","204183","Page Up","pageup","pageup","PHPStorm","Basic Editing","None"
"","204184","Page Up with Selection","shift+pageup","shift+pageup","PHPStorm","Basic Editing","shift"
"","204185","Scroll Down","ctrl+down","ctrl+down","PHPStorm","Basic Editing","ctrl"
"","204186","Scroll to Center","ctrl+m","ctrl+m","PHPStorm","Basic Editing","ctrl"
"","204187","Scroll Up","ctrl+up","ctrl+up","PHPStorm","Basic Editing","ctrl"
"","204188","Move to Line End","end","end","PHPStorm","Basic Editing","None"
"","204189","Move to Line End with Selection","shift+end","shift+end","PHPStorm","Basic Editing","shift"
"","204190","Move to Line Start","home","home","PHPStorm","Basic Editing","None"
"","204191","Move to Line Start with Selection","shift+home","shift+home","PHPStorm","Basic Editing","shift"
"","204192","Move to Next Word","ctrl+right","ctrl+right","PHPStorm","Basic Editing","ctrl"
"","204193","Move to Next Word with Selection","ctrl+shift+right","ctrl+shift+right","PHPStorm","Basic Editing","ctrl shift"
"","204194","Move to Previous Word","ctrl+left","ctrl+left","PHPStorm","Basic Editing","ctrl"
"","204195","Move to Previous Word with Selection","ctrl+shift+left","ctrl+shift+left","PHPStorm","Basic Editing","ctrl shift"
"","204196","Move to Text End","ctrl+end","ctrl+end","PHPStorm","Basic Editing","ctrl"
"","204197","Move to Text End with Selection","ctrl+shift+end","ctrl+shift+end","PHPStorm","Basic Editing","ctrl shift"
"","204198","Move to Text Start","ctrl+home","ctrl+home","PHPStorm","Basic Editing","ctrl"
"","204199","Move to Text Start with Selection.","ctrl+shift+home","ctrl+shift+home","PHPStorm","Basic Editing","ctrl shift"
"","204200","Select All","ctrl+a","ctrl+a","PHPStorm","Basic Editing","ctrl"
"","204201","Delete Line at Caret","ctrl+y","ctrl+y","PHPStorm","Basic Editing","ctrl"
"","204202","Delete to Word End","ctrl+del","ctrl+del","PHPStorm","Basic Editing","ctrl"
"","204203","Delete to Word Start","ctrl+backspace","ctrl+backspace","PHPStorm","Basic Editing","ctrl"
"","204204","Toggle Insert/Overwrite","ins","ins","PHPStorm","Basic Editing","None"
"","204205","Duplicate Line or Block","ctrl+d","ctrl+d","PHPStorm","Basic Editing","ctrl"
"","204206","Toggle Case","ctrl+shift+u","ctrl+shift+u","PHPStorm","Basic Editing","ctrl shift"
"","204207","Move to Code Block End","ctrl+]","ctrl+]","PHPStorm","Basic Editing","ctrl"
"","204208","Move to Code Block End with Selection","ctrl+shift+]","ctrl+shift+]","PHPStorm","Basic Editing","ctrl shift"
"","204209","Move to Code Block Start","ctrl+[","ctrl+[","PHPStorm","Basic Editing","ctrl"
"","204210","Move to Code Block Start with Selection","ctrl+shift+[","ctrl+shift+[","PHPStorm","Basic Editing","ctrl shift"
"","204211","Start New Line","shift+enter","shift+enter","PHPStorm","Basic Editing","shift"
"","204212","Start New Line Before Current One","ctrl+alt+enter","ctrl+alt+enter","PHPStorm","Basic Editing","ctrl alt"
"","204213","Join Lines","ctrl+shift+j","ctrl+shift+j","PHPStorm","Basic Editing","ctrl shift"
"","204214","Split Line","ctrl+enter","ctrl+enter","PHPStorm","Basic Editing","ctrl"
"","204215","Select Word at Caret","ctrl+w","ctrl+w","PHPStorm","Basic Editing","ctrl"
"","204216","Unselect Word at Caret","ctrl+shift+w","ctrl+shift+w","PHPStorm","Basic Editing","ctrl shift"
"","204217","Indent Selection","tab","tab","PHPStorm","Basic Editing","None"
"","204218","Unindent Selection","shift+tab","shift+tab","PHPStorm","Basic Editing","shift"
"","204219","Auto-Indent Lines","ctrl+alt+i","ctrl+alt+i","PHPStorm","Basic Editing","ctrl alt"
"","204220","Expand","ctrl+num-plus","cmd+num-plus","PHPStorm","Code Folding","ctrl"
"","204221","Collapse","ctrl+num-","cmd+num-","PHPStorm","Code Folding","ctrl"
"","204222","Expand Recursively","ctrl+alt+num-plus","alt+cmd+num-plus","PHPStorm","Code Folding","ctrl alt"
"","204223","Collapse Recursively","ctrl+alt+num-","alt+cmd+num-","PHPStorm","Code Folding","ctrl alt"
"","204224","Expand All","ctrl+shift+num-plus","shift+cmd+num-plus","PHPStorm","Code Folding","ctrl shift"
"","204225","Collapse All","ctrl+shift+num-","shift+cmd+num-","PHPStorm","Code Folding","ctrl shift"
"","204226","Expand to level 1","ctrl+num* 1","cmd+num* 1","PHPStorm","Code Folding","ctrl"
"","204227","Expand all to level 1","ctrl+shift+num* 1","alt+cmd+num* 1","PHPStorm","Code Folding","ctrl shift"
"","204228","Fold Selection / Remove region","ctrl+.","cmd+.","PHPStorm","Code Folding","ctrl"
"","204229","Run","shift+f10","ctrl+r","PHPStorm","Running and Debugging","shift"
"","204230","Choose configuration and run","alt+shift+f10","ctrl+alt+r","PHPStorm","Running and Debugging","alt shift"
"","204231","Rerun","ctrl+f5","cmd+r","PHPStorm","Running and Debugging","ctrl"
"","204232","Rerun without loosing focus in the editor","shift+f10","ctrl+r","PHPStorm","Running and Debugging","shift"
"","204233","Debug","shift+f9","ctrl+d","PHPStorm","Running and Debugging","shift"
"","204234","Choose configuration and debug","alt+shift+f9","ctrl+alt+d","PHPStorm","Running and Debugging","alt shift"
"","204235","Step Over","f8","f8","PHPStorm","Running and Debugging","None"
"","204236","Step Into","f7","f7","PHPStorm","Running and Debugging","None"
"","204237","Smart Step Into","shift+f7","shift+f7","PHPStorm","Running and Debugging","shift"
"","204238","Step Out","shift+f8","shift+f8","PHPStorm","Running and Debugging","shift"
"","204239","Force Step Over","alt+shift+f8","alt+shift+f8","PHPStorm","Running and Debugging","alt shift"
"","204240","Force Step Into","alt+shift+f7","alt+shift+f7","PHPStorm","Running and Debugging","alt shift"
"","204241","Run to Cursor","alt+f9","alt+f9","PHPStorm","Running and Debugging","alt"
"","204242","Force Run To Cursor","ctrl+alt+f9","alt+cmd+f9","PHPStorm","Running and Debugging","ctrl alt"
"","204243","Resume Program","f9","alt+cmd+r","PHPStorm","Running and Debugging","None"
"","204244","Pause Program","ctrl+pause","ctrl+pause","PHPStorm","Running and Debugging","ctrl"
"","204245","Stop Program","shift+f2","shift+f2","PHPStorm","Running and Debugging","shift"
"","204246","Evaluate Expression","alt+f8","alt+f8","PHPStorm","Running and Debugging","alt"
"","204247","Quick Evaluate Expression","ctrl+alt+f8","alt+cmd+f8","PHPStorm","Running and Debugging","ctrl alt"
"","204248","Toggle breakpoint at the current line.","ctrl+f8","cmd+f8","PHPStorm","Running and Debugging","ctrl"
"","204249","View Breakpoints","ctrl+shift+f8","shift+cmd+f8","PHPStorm","Running and Debugging","ctrl shift"
"","204250","Close Active Tab","ctrl+shift+f4","ctrl+shift+f4","PHPStorm","General","ctrl shift"
"","204251","Close Editor","ctrl+f4","cmd+w","PHPStorm","General","ctrl"
"","204252","Edit Source","f4","cmd+down","PHPStorm","General","None"
"","204253","Escape","esc","esc","PHPStorm","General","None"
"","204254","Export to Text File","alt+o","ctrl+o","PHPStorm","General","alt"
"","204255","New...","alt+ins","cmd+n","PHPStorm","General","alt"
"","204256","Save All","ctrl+s","cmd+s","PHPStorm","General","ctrl"
"","204257","Select Next Tab","alt+right","shift+cmd+]","PHPStorm","General","alt"
"","204258","Select Previous Tab","alt+left","shift+cmd+[","PHPStorm","General","alt"
"","204259","Show Intention Action","alt+enter","alt+enter","PHPStorm","General","alt"
"","204260","Reload All from Disk","ctrl+alt+y","alt+cmd+y","PHPStorm","General","ctrl alt"
"","204261","Search everywhere","shift shift","shift shift","PHPStorm","Search","shift"
"","204262","Find","ctrl+f","cmd+f","PHPStorm","Search","ctrl"
"","204263","Replace","ctrl+r","cmd+r","PHPStorm","Search","ctrl"
"","204264","Search for next/previous occurrence","f3 or shift+f3","cmd+g or shift+cmd+g","PHPStorm","Search","shift"
"","204265","Next Occurrence of the Word at Caret","ctrl+f3","n/a","PHPStorm","Search","ctrl"
"","204266","Incremental Search","ctrl+f","cmd+f","PHPStorm","Search","ctrl"
"","204267","Find in Path","ctrl+shift+f","shift+cmd+f","PHPStorm","Search","ctrl shift"
"","204268","Replace in Path","ctrl+shift+r","shift+cmd+r","PHPStorm","Search","ctrl shift"
"","204269","Find Usages","alt+f7","alt+f7","PHPStorm","Search","alt"
"","204270","Find Usages in File","ctrl+f7","cmd+f7","PHPStorm","Search","ctrl"
"","204271","Highlight Usages in File","ctrl+shift+f7","shift+cmd+f7","PHPStorm","Search","ctrl shift"
"","204272","Show Usages","ctrl+alt+f7","alt+cmd+f7","PHPStorm","Search","ctrl alt"
"","204273","Find Action","ctrl+shift+a","shift+cmd+a","PHPStorm","Search","ctrl shift"
"","204274","Go to Bookmark <number>","ctrl+number","ctrl+number","PHPStorm","Navigation Between Bookmarks","ctrl"
"","204275","Toggle Bookmark","f11","f3","PHPStorm","Navigation Between Bookmarks","None"
"","204276","Toggle Bookmark with Mnemonic","ctrl+f11","alt+f3","PHPStorm","Navigation Between Bookmarks","ctrl"
"","204277","Show Bookmarks","shift+f11","cmd+f3","PHPStorm","Navigation Between Bookmarks","shift"
"","204278","Show Project window","alt+1","cmd+1","PHPStorm","Show Tool Windows","alt"
"","204279","Show Favorites window","alt+2","cmd+2","PHPStorm","Show Tool Windows","alt"
"","204280","Show Find window","alt+3","cmd+3","PHPStorm","Show Tool Windows","alt"
"","204281","Show Run window","alt+4","cmd+4","PHPStorm","Show Tool Windows","alt"
"","204282","Show Debug window","alt+5","cmd+5","PHPStorm","Show Tool Windows","alt"
"","204283","Show Problems window","alt+6","cmd+6","PHPStorm","Show Tool Windows","alt"
"","204284","Show Structure window","alt+7","cmd+7","PHPStorm","Show Tool Windows","alt"
"","204285","Show Services window","alt+8","cmd+8","PHPStorm","Show Tool Windows","alt"
"","204286","Show Version Control window","alt+9","cmd+9","PHPStorm","Show Tool Windows","alt"
"","204287","Show Commit window","alt+0","cmd+0","PHPStorm","Show Tool Windows","alt"
"","204288","Show Terminal window","alt+f12","alt+f12","PHPStorm","Show Tool Windows","alt"
"","204289","Select Target","alt+f1","alt+f1","PHPStorm","Views and Windows","alt"
"","204290","Collapse all","ctrl+num-","cmd+num-","PHPStorm","Views and Windows","ctrl"
"","204291","Expand all","ctrl+num-plus","cmd+num-plus","PHPStorm","Views and Windows","ctrl"
"","204292","Switcher","ctrl+tab","ctrl+tab","PHPStorm","Views and Windows","ctrl"
"","204293","Hide Active Window","shift+esc","shift+esc","PHPStorm","Views and Windows","shift"
"","204294","Jump to Last Window","f12","f12","PHPStorm","Views and Windows","None"
"","204295","Hide all tool windows","ctrl+shift+f12","shift+cmd+f12","PHPStorm","Views and Windows","ctrl shift"
"","204296","Move to Next Difference","f7","f7","PHPStorm","Differences","None"
"","204297","Move to Previous Difference","shift+f7","shift+f7","PHPStorm","Differences","shift"
"","204298","Function","shortcut","shortcut","PHPStorm","Navigation In Source Code","None"
"","204299","File Structure Popup","ctrl+f12","cmd+f12","PHPStorm","Navigation In Source Code","ctrl"
"","204300","Select target","alt+f1","alt+f1","PHPStorm","Navigation In Source Code","alt"
"","204301","Recent Files","ctrl+e","cmd+e","PHPStorm","Navigation In Source Code","ctrl"
"","204302","Recently Changed Files","n/a","n/a","PHPStorm","Navigation In Source Code","None"
"","204303","Type Hierarchy","ctrl+h","ctrl+h","PHPStorm","Navigation In Source Code","ctrl"
"","204304","Navigate to Class","ctrl+n","cmd+o","PHPStorm","Navigation In Source Code","ctrl"
"","204305","Navigate to File","ctrl+shift+n","shift+cmd+o","PHPStorm","Navigation In Source Code","ctrl shift"
"","204306","Navigate to Recently Opened File","ctrl+e","cmd+e","PHPStorm","Navigation In Source Code","ctrl"
"","204307","Navigate to Recently Changed File","n/a","n/a","PHPStorm","Navigation In Source Code","None"
"","204308","Navigate to Line","ctrl+g","cmd+l","PHPStorm","Navigation In Source Code","ctrl"
"","204309","Navigate to Declaration","ctrl+b","cmd+b","PHPStorm","Navigation In Source Code","ctrl"
"","204310","Navigate to Implementation","ctrl+alt+b","alt+cmd+b","PHPStorm","Navigation In Source Code","ctrl alt"
"","204311","Navigate to Type Declaration","ctrl+shift+b","shift+cmd+b","PHPStorm","Navigation In Source Code","ctrl shift"
"","204312","Navigate to Super Method","ctrl+u","cmd+u","PHPStorm","Navigation In Source Code","ctrl"
"","204313","Navigate to Test/Test Subject","ctrl+shift+t","shift+cmd+t","PHPStorm","Navigation In Source Code","ctrl shift"
"","204314","Navigate to Related Symbol","ctrl+alt+home","ctrl+cmd+up","PHPStorm","Navigation In Source Code","ctrl alt"
