"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"Paint 3D","116749","Switch views","ctrl+3","n/A","Paint 3D","General","ctrl"
"Paint 3D","116750","Capture a screenshot","ctrl+shift+c","n/A","Paint 3D","General","ctrl shift"
"Paint 3D","116751","Show or hide 3D perspective","ctrl+shift+e","n/A","Paint 3D","General","ctrl shift"
"Paint 3D","116752","Group objects","ctrl+g","n/A","Paint 3D","General","ctrl"
"Paint 3D","116753","Ungroup objects","ctrl+shift+g","n/A","Paint 3D","General","ctrl shift"
"Paint 3D","116754","Turn on eyedropper","i","n/A","Paint 3D","General","None"
"Paint 3D","116755","Minimize or expand the side menu","m","n/A","Paint 3D","General","None"
"Paint 3D","116756","Create a new picture or file","ctrl+n","n/A","Paint 3D","General","ctrl"
"Paint 3D","116757","Open an existing picture or file","ctrl+o","n/A","Paint 3D","General","ctrl"
"Paint 3D","116758","Print in 2D","ctrl+p","n/A","Paint 3D","General","ctrl"
"Paint 3D","116759","Save","ctrl+s","n/A","Paint 3D","General","ctrl"
"Paint 3D","116760","Save as","ctrl+shift+s","n/A","Paint 3D","General","ctrl shift"
"Paint 3D","116761","2D crop","ctrl+shift+x","n/A","Paint 3D","General","ctrl shift"
"Paint 3D","116762","Redo an action","ctrl+y","n/A","Paint 3D","General","ctrl"
"Paint 3D","116763","Undo an action","ctrl+z","n/A","Paint 3D","General","ctrl"
"Paint 3D","116764","Stop or leave the current task","esc","n/A","Paint 3D","General","None"
"Paint 3D","116765","Reset view","home","n/A","Paint 3D","General","None"
"Paint 3D","116766","Orbit left","ctrl+left","n/A","Paint 3D","General","ctrl"
"Paint 3D","116767","Orbit right","ctrl+right","n/A","Paint 3D","General","ctrl"
"Paint 3D","116768","Orbit up","ctrl+up","n/A","Paint 3D","General","ctrl"
"Paint 3D","116769","Orbit down","ctrl+down","n/A","Paint 3D","General","ctrl"
"Paint 3D","116770","Pan left","alt+left","n/A","Paint 3D","General","alt"
"Paint 3D","116771","Pan right","alt+right","n/A","Paint 3D","General","alt"
"Paint 3D","116772","Pan up","alt+up","n/A","Paint 3D","General","alt"
"Paint 3D","116773","Pan down","alt+down","n/A","Paint 3D","General","alt"
"Paint 3D","116774","Decrease brush size","ctrl+- or [","n/A","Paint 3D","General","ctrl"
"Paint 3D","116775","Increase brush size","ctrl+plus or ]","n/A","Paint 3D","General","ctrl"
"Paint 3D","116776","Close program","alt+f4","n/A","Paint 3D","General","alt"
"Paint 3D","116777","Cycle through screen elements in a window or on the desktop","f6","n/A","Paint 3D","General","None"
"Paint 3D","116778","Activate the Menu bar in the app","f10","n/A","Paint 3D","General","None"
"Paint 3D","116779","Show the context menu","shift+f10","n/A","Paint 3D","General","shift"
"Paint 3D","116780","View picture in full-screen mode","f11","n/A","Paint 3D","General","None"
"Paint 3D","116781","Save picture as a new file","f12","n/A","Paint 3D","General","None"
"Paint 3D","116782","Bold selected text","ctrl+b","n/A","Paint 3D","General","ctrl"
"Paint 3D","116783","Italicize selected text","ctrl+i","n/A","Paint 3D","General","ctrl"
"Paint 3D","116784","Underline selected text","ctrl+u","n/A","Paint 3D","General","ctrl"
"Paint 3D, Paint 3D","116785","Zoom in","pageup","n/A","Paint 3D","Zoom","None"
"Paint 3D, Paint 3D","116786","Zoom in","ctrl+pageup","n/A","Paint 3D","Zoom","ctrl"
"Paint 3D, Paint 3D","116787","Zoom out","pagedown","n/A","Paint 3D","Zoom","None"
"Paint 3D, Paint 3D","116788","Zoom out","ctrl+pagedown","n/A","Paint 3D","Zoom","ctrl"
"Paint 3D","116789","Zoom in or out","ctrl+mouse-wheel","n/A","Paint 3D","Zoom","ctrl"
"Paint 3D","116790","Reset zoom","ctrl+0 or numpad0","n/A","Paint 3D","Zoom","ctrl"
"Paint 3D","116791","Selects all 3D items in your workspace (repeat for 2D)","ctrl+a","n/A","Paint 3D","Selection","ctrl"
"Paint 3D, Paint 3D","116792","Copy selected item","ctrl+c","n/A","Paint 3D","Selection","ctrl"
"Paint 3D, Paint 3D","116793","Copy selected item","ctrl+ins","n/A","Paint 3D","Selection","ctrl"
"Paint 3D, Paint 3D","116794","Paste selected item","ctrl+v","n/A","Paint 3D","Selection","ctrl"
"Paint 3D, Paint 3D","116795","Paste selected item","shift+ins","n/A","Paint 3D","Selection","shift"
"Paint 3D, Paint 3D","116796","Cut selected item","ctrl+x","n/A","Paint 3D","Selection","ctrl"
"Paint 3D, Paint 3D","116797","Cut selected item","shift+del","n/A","Paint 3D","Selection","shift"
"Paint 3D","116798","Move selection or active shape right by one pixel","right","n/A","Paint 3D","Selection","None"
"Paint 3D","116799","Move selection or active shape left by one pixel","left","n/A","Paint 3D","Selection","None"
"Paint 3D","116800","Move selection or active shape down by one pixel","down","n/A","Paint 3D","Selection","None"
"Paint 3D","116801","Move selection or active shape up by one pixel","up","n/A","Paint 3D","Selection","None"
"Paint 3D","116802","Select canvas","ctrl+w","n/A","Paint 3D","Canvas","ctrl"
"Paint 3D","116803","Show or hide canvas","ctrl+shift+w","n/A","Paint 3D","Canvas","ctrl shift"
"Paint 3D","116804","Show canvas properties","ctrl+e","n/A","Paint 3D","Canvas","ctrl"
