"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"Photoshop","292435","Free Transform","ctrl+t","cmd+t","Photoshop","Popular","ctrl"
"Photoshop","292436","Toggle between painting and erasing with the same brush","`","`","Photoshop","Popular","None"
"Photoshop, Photoshop","292437","Decrease Brush Size","[","[","Photoshop","Popular","None"
"Photoshop, Photoshop","292438","Increase Brush Size","]","]","Photoshop","Popular","None"
"Photoshop, Photoshop","292439","Decrease Brush Hardness","""{""","""{""","Photoshop","Popular","Text Snippet"
"Photoshop, Photoshop","292440","Increase Brush Hardness","""}""","""}""","Photoshop","Popular","Text Snippet"
"Photoshop","292441","Rotate the brush tip by 1 degree","left or right","left or right","Photoshop","Popular","None"
"Photoshop","292442","Rotate the brush tip by 15 degrees","shift+left or shift+right","shift+left or shift+right","Photoshop","Popular","shift"
"Photoshop, Photoshop","292443","Default Foreground/Background colors","d","d","Photoshop","Popular","None"
"Photoshop, Photoshop","292444","Switch Foreground/Background colors","x","x","Photoshop","Popular","None"
"Photoshop","292445","Fit layer(s) to screen","alt+click","alt+click","Photoshop","Popular","alt"
"Photoshop, Photoshop","292446","New layer via copy","ctrl+j","cmd+j","Photoshop","Popular","ctrl"
"Photoshop, Photoshop","292447","New layer via cut","ctrl+shift+j","shift+cmd+j","Photoshop","Popular","ctrl shift"
"Photoshop, Photoshop","292448","Add to a selection","shift+drag","shift+drag","Photoshop","Popular","shift"
"Photoshop","292449","Delete brush or swatch","alt+click","alt+click","Photoshop","Popular","alt"
"Photoshop","292450","Toggle auto-select with the move tool","ctrl+click","cmd+click","Photoshop","Popular","ctrl"
"Photoshop","292451","Close all open documents other than the current document","ctrl+alt+p","alt+cmd+p","Photoshop","Popular","ctrl alt"
"Photoshop","292452","Cancel any modal dialog window (including the Start Workspace)","esc","esc","Photoshop","Popular","None"
"Photoshop","292453","Select the first edit field of the toolbar","enter","enter","Photoshop","Popular","None"
"Photoshop","292454","Navigate between fields","tab","tab","Photoshop","Popular","None"
"Photoshop","292455","Navigate between fields in the opposite direction","shift+tab","shift+tab","Photoshop","Popular","shift"
"Photoshop, Photoshop, Photoshop","292456","Change Cancel to Reset","alt","alt","Photoshop","Popular","alt"
"Photoshop","292457","Search across Photoshop","ctrl+f","cmd+f","Photoshop","Popular","ctrl"
"Photoshop","292458","Start Help","f1","help","Photoshop","Function keys","None"
"Photoshop, Photoshop","292459","Undo/Redo","n/a","f1","Photoshop","Function keys","None"
"Photoshop","292460","Cut","f2","f2","Photoshop","Function keys","None"
"Photoshop, Photoshop","292461","Copy","f3","f3","Photoshop","Function keys","None"
"Photoshop, Photoshop","292462","Paste","f4","f4","Photoshop","Function keys","None"
"Photoshop","292463","Show/Hide Brush panel","f5","f5","Photoshop","Function keys","None"
"Photoshop","292464","Show/Hide Color panel","f6","f6","Photoshop","Function keys","None"
"Photoshop","292465","Show/Hide Layers panel","f7","f7","Photoshop","Function keys","None"
"Photoshop","292466","Show/Hide Info panel","f8","f8","Photoshop","Function keys","None"
"Photoshop","292467","Show/Hide Actions panel","f9","alt+f9","Photoshop","Function keys","None"
"Photoshop","292468","Revert","f12","f12","Photoshop","Function keys","None"
"Photoshop","292469","Fill","shift+f5","shift+f5","Photoshop","Function keys","shift"
"Photoshop","292470","Feather Selection","shift+f6","shift+f6","Photoshop","Function keys","shift"
"Photoshop","292471","Inverse Selection","shift+f7","shift+f7","Photoshop","Function keys","shift"
"Photoshop","292472","Cycle through tools with the same shortcut key","shift+key","shift+key","Photoshop","Select tools","shift"
"Photoshop","292473","Cycle through hidden tools","alt+click","alt+click","Photoshop","Select tools","alt"
"Photoshop","292474","Move tool","v","v","Photoshop","Select tools","None"
"Photoshop","292475","Rectangular Marquee tool† / Elliptical Marquee tool","m","m","Photoshop","Select tools","None"
"Photoshop","292476","Lasso tool / Polygonal Lasso tool / Magnetic Lasso tool","l","l","Photoshop","Select tools","None"
"Photoshop","292477","Magic Wand tool / Quick Selection tool","w","w","Photoshop","Select tools","None"
"Photoshop","292478","Crop tool / Slice tool / Slice Select tool","c","c","Photoshop","Select tools","None"
"Photoshop","292479","Eyedropper tool / Color Sampler tool / Ruler tool / Note tool","i","i","Photoshop","Select tools","None"
"Photoshop","292480","Spot Healing Brush tool / Healing Brush tool / Patch tool / Red Eye tool","j","j","Photoshop","Select tools","None"
"Photoshop","292481","Brush tool / Pencil tool / Color Replacement tool / Mixer Brush tool","b","b","Photoshop","Select tools","None"
"Photoshop","292482","Clone Stamp tool / Pattern Stamp tool","s","s","Photoshop","Select tools","None"
"Photoshop","292483","History Brush tool / Art History Brush tool","y","y","Photoshop","Select tools","None"
"Photoshop","292484","Eraser tool / Background Eraser tool / Magic Eraser tool","e","e","Photoshop","Select tools","None"
"Photoshop","292485","Gradient tool / Paint Bucket tool","g","g","Photoshop","Select tools","None"
"Photoshop","292486","Dodge tool / Burn tool / Sponge tool","o","o","Photoshop","Select tools","None"
"Photoshop","292487","Pen tool / Freeform Pen tool","p","p","Photoshop","Select tools","None"
"Photoshop","292488","Type tools","t","t","Photoshop","Select tools","None"
"Photoshop","292489","Path Selection tool / Direct Selection tool","a","a","Photoshop","Select tools","None"
"Photoshop","292490","Shape tools","u","u","Photoshop","Select tools","None"
"Photoshop, Photoshop","292491","Hand tool","h","h","Photoshop","Select tools","None"
"Photoshop, Photoshop","292492","Rotate View tool","r","r","Photoshop","Select tools","None"
"Photoshop, Photoshop","292493","Zoom tool","z","z","Photoshop","Select tools","None"
"Photoshop, Photoshop","292494","Default Foreground/Background colors","d","d","Photoshop","Select tools","None"
"Photoshop, Photoshop","292495","Switch Foreground/Background colors","x","x","Photoshop","Select tools","None"
"Photoshop","292496","Toggle Standard/Quick Mask modes","q","q","Photoshop","Select tools","None"
"Photoshop","292497","Content-Aware Move tool","j","j","Photoshop","Select tools","None"
"Photoshop","292498","Perspective Crop tool","c","c","Photoshop","Select tools","None"
"Photoshop","292499","Artboard tool","v","v","Photoshop","Select tools","None"
"Photoshop, Photoshop","292500","Rotate View tool","r","r","Photoshop","Select tools","None"
"Photoshop","292501","Toggle Preserve Transparency","/","/","Photoshop","Select tools","None"
"Photoshop, Photoshop","292502","Decrease Brush Hardness","{","{","Photoshop","Select tools","None"
"Photoshop, Photoshop","292503","Increase Brush Hardness","}","}","Photoshop","Select tools","None"
"Photoshop","292504","Previous Brush",",",",","Photoshop","Select tools","None"
"Photoshop","292505","Next Brush",".",".","Photoshop","Select tools","None"
"Photoshop","292506","First Brush","<","<","Photoshop","Select tools","None"
"Photoshop","292507","Last Brush",">",">","Photoshop","Select tools","None"
"Photoshop","292508","Cycle through open documents","ctrl+tab","ctrl+tab","Photoshop","View images","ctrl"
"Photoshop","292509","Switch to previous document","ctrl+shift+tab","shift+cmd+`","Photoshop","View images","ctrl shift"
"Photoshop","292510","Close a file in Photoshop and open Bridge","ctrl+shift+w","shift+cmd+w","Photoshop","View images","ctrl shift"
"Photoshop","292511","Toggle between Standard mode and Quick Mask mode","q","q","Photoshop","View images","None"
"Photoshop","292512","Toggle screen modes","f","f","Photoshop","View images","None"
"Photoshop","292513","Toggle screen modes backward","shift+f","shift+f","Photoshop","View images","shift"
"Photoshop","292514","Toggle (forward) canvas color","space+f","space+f","Photoshop","View images","None"
"Photoshop","292515","Toggle (backward) canvas color","shift+space+f","shift+space+f","Photoshop","View images","shift"
"Photoshop","292516","Magnify 100%","ctrl+1","cmd+1","Photoshop","View images","ctrl"
"Photoshop","292517","Switch to Hand tool (when not in text-edit mode)","space","space","Photoshop","View images","None"
"Photoshop","292518","Simultaneously pan multiple documents with Hand tool","shift+drag","shift+drag","Photoshop","View images","shift"
"Photoshop","292519","Switch to Zoom In tool","ctrl+space","cmd+space","Photoshop","View images","ctrl"
"Photoshop","292520","Switch to Zoom Out tool","alt+space","alt+space","Photoshop","View images","alt"
