"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"RStudio","81543","Move cursor to Console","ctrl+2","ctrl+2","RStudio","Console","ctrl"
"RStudio","81544","Clear console","ctrl+l","ctrl+l","RStudio","Console","ctrl"
"RStudio","81545","Move cursor to beginning of line","home","cmd+left","RStudio","Console","None"
"RStudio","81546","Move cursor to end of line","end","cmd+right","RStudio","Console","None"
"RStudio","81547","Navigate command history","up or down","up or down","RStudio","Console","None"
"RStudio","81548","Popup command history","ctrl+up","cmd+up","RStudio","Console","ctrl"
"RStudio","81549","Interrupt currently executing command","esc","esc","RStudio","Console","None"
"RStudio","81550","Change working directory","ctrl+shift+h","ctrl+shift+h","RStudio","Console","ctrl shift"
"RStudio","81551","Go to File/Function","ctrl+.","ctrl+.","RStudio","Source","ctrl"
"RStudio","81552","Move cursor to Source Editor","ctrl+1","ctrl+1","RStudio","Source","ctrl"
"RStudio","81553","Toggle document outline","ctrl+shift+o","shift+cmd+o","RStudio","Source","ctrl shift"
"RStudio","81554","New document (except on Chrome/Windows)","ctrl+shift+n","shift+cmd+n","RStudio","Source","ctrl shift"
"RStudio","81555","New document (Chrome only)","ctrl+alt+shift+n","alt+shift+cmd+n","RStudio","Source","ctrl alt shift"
"RStudio","81556","Open document","ctrl+o","cmd+o","RStudio","Source","ctrl"
"RStudio","81557","Save active document","ctrl+s","cmd+s","RStudio","Source","ctrl"
"RStudio","81558","Save all documents","ctrl+alt+s","ctrl+alt+s","RStudio","Source","ctrl alt"
"RStudio","81559","Close active document (except on Chrome)","ctrl+w","cmd+w","RStudio","Source","ctrl"
"RStudio","81560","Close active document (Chrome only)","ctrl+alt+w","alt+cmd+w","RStudio","Source","ctrl alt"
"RStudio","81561","Close all open documents","ctrl+shift+w","shift+cmd+w","RStudio","Source","ctrl shift"
"RStudio","81562","Close other documents","ctrl+alt+shift+w","alt+shift+cmd+w","RStudio","Source","ctrl alt shift"
"RStudio","81563","Preview HTML (Markdown and HTML)","ctrl+shift+k","shift+cmd+k","RStudio","Source","ctrl shift"
"RStudio","81564","Knit Document (knitr)","ctrl+shift+k","shift+cmd+k","RStudio","Source","ctrl shift"
"RStudio","81565","Compile Notebook","ctrl+shift+k","shift+cmd+k","RStudio","Source","ctrl shift"
"RStudio","81566","Compile PDF (TeX and Sweave)","ctrl+shift+k","shift+cmd+k","RStudio","Source","ctrl shift"
"RStudio","81567","Insert chunk (Sweave and Knitr)","ctrl+alt+i","alt+cmd+i","RStudio","Source","ctrl alt"
"RStudio","81568","Insert code section","ctrl+shift+r","shift+cmd+r","RStudio","Source","ctrl shift"
"RStudio","81569","Run current line/selection","ctrl+enter","cmd+enter","RStudio","Source","ctrl"
"RStudio","81570","Run current line/selection (retain cursor)","alt+enter","alt+enter","RStudio","Source","alt"
"RStudio","81571","Re-run previous region","ctrl+alt+p","alt+cmd+p","RStudio","Source","ctrl alt"
"RStudio","81572","Run current document","ctrl+alt+r","alt+cmd+r","RStudio","Source","ctrl alt"
"RStudio","81573","Run from document beginning to current line","ctrl+alt+b","alt+cmd+b","RStudio","Source","ctrl alt"
"RStudio","81574","Run from current line to document end","ctrl+alt+e","alt+cmd+e","RStudio","Source","ctrl alt"
"RStudio","81575","Run the current function definition","ctrl+alt+f","alt+cmd+f","RStudio","Source","ctrl alt"
"RStudio","81576","Run the current code section","ctrl+alt+t","alt+cmd+t","RStudio","Source","ctrl alt"
"RStudio","81577","Run previous Sweave/Rmd code","ctrl+alt+shift+p","alt+shift+cmd+p","RStudio","Source","ctrl alt shift"
"RStudio","81578","Run the current Sweave/Rmd chunk","ctrl+alt+c","alt+cmd+c","RStudio","Source","ctrl alt"
"RStudio","81579","Run the next Sweave/Rmd chunk","ctrl+alt+n","alt+cmd+n","RStudio","Source","ctrl alt"
"RStudio","81580","Source a file","ctrl+alt+g","ctrl+alt+g","RStudio","Source","ctrl alt"
"RStudio","81581","Source the current document","ctrl+shift+s","shift+cmd+s","RStudio","Source","ctrl shift"
"RStudio","81582","Source the current document (with echo)","ctrl+shift+enter","shift+cmd+enter","RStudio","Source","ctrl shift"
"RStudio","81583","Send current line/selection to terminal","ctrl+alt+enter","alt+cmd+enter","RStudio","Source","ctrl alt"
"RStudio","81584","Fold Selected","alt+l","alt+cmd+l","RStudio","Source","alt"
"RStudio","81585","Unfold Selected","alt+shift+l","alt+shift+cmd+l","RStudio","Source","alt shift"
"RStudio","81586","Fold All","alt+o","alt+cmd+o","RStudio","Source","alt"
"RStudio","81587","Unfold All","alt+shift+o","alt+shift+cmd+o","RStudio","Source","alt shift"
"RStudio","81588","Go to line","alt+shift+g","alt+shift+cmd+g","RStudio","Source","alt shift"
"RStudio","81589","Jump to","alt+shift+j","alt+shift+cmd+j","RStudio","Source","alt shift"
"RStudio","81590","Expand selection","ctrl+shift+up","ctrl+alt+shift+up","RStudio","Source","ctrl shift"
"RStudio","81591","Shrink selection","ctrl+shift+down","ctrl+alt+shift+down","RStudio","Source","ctrl shift"
"RStudio","81592","Next section","ctrl+pagedown","cmd+pagedown","RStudio","Source","ctrl"
"RStudio","81593","Previous section","ctrl+pageup","cmd+pageup","RStudio","Source","ctrl"
"RStudio","81594","Split into lines","ctrl+alt+a","ctrl+alt+a","RStudio","Source","ctrl alt"
"RStudio","81595","Edit lines from start","ctrl+alt+shift+a","ctrl+alt+shift+a","RStudio","Source","ctrl alt shift"
"RStudio","81596","Switch to tab","ctrl+shift+.","ctrl+shift+.","RStudio","Source","ctrl shift"
"RStudio","81597","Previous tab","ctrl+f11","ctrl+f11","RStudio","Source","ctrl"
"RStudio","81598","Previous tab (desktop)","ctrl+shift+tab","ctrl+shift+tab","RStudio","Source","ctrl shift"
"RStudio","81599","Next tab","ctrl+f12","ctrl+f12","RStudio","Source","ctrl"
"RStudio","81600","Next tab (desktop)","ctrl+tab","ctrl+tab","RStudio","Source","ctrl"
"RStudio","81601","First tab","ctrl+shift+f11","ctrl+shift+f11","RStudio","Source","ctrl shift"
"RStudio","81602","Last tab","ctrl+shift+f12","ctrl+shift+f12","RStudio","Source","ctrl shift"
"RStudio","81603","Navigate back","ctrl+f9","cmd+f9","RStudio","Source","ctrl"
"RStudio","81604","Navigate forward","ctrl+f10","cmd+f10","RStudio","Source","ctrl"
"RStudio","81605","Extract function from selection","ctrl+alt+x","alt+cmd+x","RStudio","Source","ctrl alt"
"RStudio","81606","Extract variable from selection","ctrl+alt+v","alt+cmd+v","RStudio","Source","ctrl alt"
"RStudio","81607","Reindent lines","ctrl+i","cmd+i","RStudio","Source","ctrl"
"RStudio","81608","Comment/uncomment current line/selection","ctrl+shift+c","shift+cmd+c","RStudio","Source","ctrl shift"
"RStudio","81609","Reflow Comment","ctrl+shift+/","shift+cmd+/","RStudio","Source","ctrl shift"
"RStudio","81610","Reformat Selection","ctrl+shift+a","shift+cmd+a","RStudio","Source","ctrl shift"
"RStudio","81611","Show Diagnostics","ctrl+alt+shift+d","alt+shift+cmd+d","RStudio","Source","ctrl alt shift"
"RStudio","81612","Transpose Letters","n/a","ctrl+t","RStudio","Source","None"
"RStudio","81613","Move Lines Up/Down","alt+up or alt+down","alt+up or alt+down","RStudio","Source","alt"
"RStudio","81614","Copy Lines Up/Down","alt+shift+up or alt+shift+down","alt+cmd+up or alt+cmd+down","RStudio","Source","alt shift"
"RStudio","81615","Jump to Matching Brace/Paren","ctrl+p","ctrl+p","RStudio","Source","ctrl"
"RStudio","81616","Expand to Matching Brace/Paren","ctrl+alt+shift+e","ctrl+shift+e","RStudio","Source","ctrl alt shift"
"RStudio","81617","Add Cursor Above Current Cursor","ctrl+alt+up","ctrl+alt+up","RStudio","Source","ctrl alt"
"RStudio","81618","Add Cursor Below Current Cursor","ctrl+alt+down","ctrl+alt+down","RStudio","Source","ctrl alt"
"RStudio","81619","Move Active Cursor Up","ctrl+alt+shift+up","ctrl+alt+shift+up","RStudio","Source","ctrl alt shift"
"RStudio","81620","Move Active Cursor Down","ctrl+alt+shift+down","ctrl+alt+shift+down","RStudio","Source","ctrl alt shift"
"RStudio","81621","Find and Replace","ctrl+f","cmd+f","RStudio","Source","ctrl"
"RStudio","81622","Find Next","f3 or ctrl+g","cmd+g","RStudio","Source","ctrl"
"RStudio","81623","Find Previous","shift+f3 or ctrl+shift+g","shift+cmd+g","RStudio","Source","ctrl shift"
"RStudio","81624","Use Selection for Find","ctrl+f3","cmd+e","RStudio","Source","ctrl"
"RStudio","81625","Replace and Find","ctrl+shift+j","shift+cmd+j","RStudio","Source","ctrl shift"
"RStudio","81626","Find in Files","ctrl+shift+f","shift+cmd+f","RStudio","Source","ctrl shift"
"RStudio","81627","Check Spelling","f7","f7","RStudio","Source","None"
"RStudio","81628","Rename Symbol in Scope","ctrl+alt+shift+m","alt+shift+cmd+m","RStudio","Source","ctrl alt shift"
"RStudio","81629","Insert Roxygen Skeleton","ctrl+alt+shift+r","alt+shift+cmd+r","RStudio","Source","ctrl alt shift"
"RStudio","81630","Undo","ctrl+z","cmd+z","RStudio","Editing","ctrl"
"RStudio","81631","Redo","ctrl+shift+z","shift+cmd+z","RStudio","Editing","ctrl shift"
"RStudio","81632","Cut","ctrl+x","cmd+x","RStudio","Editing","ctrl"
"RStudio","81633","Copy","ctrl+c","cmd+c","RStudio","Editing","ctrl"
"RStudio","81634","Paste","ctrl+v","cmd+v","RStudio","Editing","ctrl"
"RStudio","81635","Select All","ctrl+a","cmd+a","RStudio","Editing","ctrl"
"RStudio","81636","Jump to Word","ctrl+left or ctrl+right","alt+left or alt+right","RStudio","Editing","ctrl"
"RStudio","81637","Jump to Start/End","ctrl+home or ctrl+end or ctrl+up or ctrl+down","cmd+home or cmd+end or cmd+up or cmd+down","RStudio","Editing","ctrl"
"RStudio","81638","Delete Line","ctrl+d","cmd+d","RStudio","Editing","ctrl"
"RStudio","81639","Select","shift+up or shift+right or shift+down or shift+left","shift+up or shift+right or shift+down or shift+left","RStudio","Editing","shift"
"RStudio","81640","Select Word","ctrl+shift+left or ctrl+shift+right","alt+shift+left or alt+shift+right","RStudio","Editing","ctrl shift"
"RStudio","81641","Select to Line Start","alt+shift+left","shift+cmd+left","RStudio","Editing","alt shift"
"RStudio","81642","Select to Line End","alt+shift+right","shift+cmd+right","RStudio","Editing","alt shift"
"RStudio","81643","Select Page Up/Down","shift+pageup or shift+pagedown","shift+pageup or shift+down","RStudio","Editing","shift"
"RStudio","81644","Select to Start/End","ctrl+shift+home or ctrl+shift+end or alt+shift+up or alt+shift+up","shift+cmd+up or shift+cmd+down","RStudio","Editing","ctrl alt shift"
"RStudio","81645","Delete Word Left","ctrl+backspace","alt+backspace or ctrl+alt+backspace","RStudio","Editing","ctrl"
"RStudio","81646","Delete Word Right","n/a","alt+del","RStudio","Editing","None"
"RStudio","81647","Delete to Line End","n/a","ctrl+k","RStudio","Editing","None"
"RStudio","81648","Delete to Line Start","n/a","alt+backspace","RStudio","Editing","None"
"RStudio","81649","Indent (at beginning of line)","tab","tab","RStudio","Editing","None"
"RStudio","81650","Outdent","shift+tab","shift+tab","RStudio","Editing","shift"
"RStudio","81651","Yank line up to cursor","ctrl+u","ctrl+u","RStudio","Editing","ctrl"
"RStudio","81652","Yank line after cursor","ctrl+k","ctrl+k","RStudio","Editing","ctrl"
"RStudio","81653","Insert currently yanked text","ctrl+y","ctrl+y","RStudio","Editing","ctrl"
"RStudio","81654","Insert assignment operator","alt+-","alt+-","RStudio","Editing","alt"
"RStudio","81655","Insert pipe operator","ctrl+shift+m","shift+cmd+m","RStudio","Editing","ctrl shift"
"RStudio","81656","Show help for function at cursor","f1","f1","RStudio","Editing","None"
"RStudio","81657","Show source code for function at cursor","f2","f2","RStudio","Editing","None"
"RStudio","81658","Find usages for symbol at cursor (C++)","ctrl+alt+u","alt+cmd+u","RStudio","Editing","ctrl alt"
"RStudio","81659","Attempt completion","tab or ctrl+space","tab or cmd+space","RStudio","Completions","ctrl"
"RStudio","81660","Navigate candidates","up or down","up or down","RStudio","Completions","None"
"RStudio","81661","Accept selected candidate","enter or tab or right","enter or tab or right","RStudio","Completions","None"
"RStudio","81662","Dismiss completion popup","esc","esc","RStudio","Completions","None"
"RStudio","81663","Move focus to Source Editor","ctrl+1","ctrl+1","RStudio","Views","ctrl"
"RStudio","81664","Zoom Source Editor","ctrl+shift+1","ctrl+shift+1","RStudio","Views","ctrl shift"
"RStudio","81665","Move focus to Console","ctrl+2","ctrl+2","RStudio","Views","ctrl"
"RStudio","81666","Zoom Console","ctrl+shift+2","ctrl+shift+2","RStudio","Views","ctrl shift"
"RStudio","81667","Move focus to Help","ctrl+3","ctrl+3","RStudio","Views","ctrl"
"RStudio","81668","Zoom Help","ctrl+shift+3","ctrl+shift+3","RStudio","Views","ctrl shift"
"RStudio, RStudio","81669","Move focus to Terminal","alt+shift+t","alt+shift+t","RStudio","Views","alt shift"
"RStudio","81670","Show History","ctrl+4","ctrl+4","RStudio","Views","ctrl"
"RStudio","81671","Zoom History","ctrl+shift+4","ctrl+shift+4","RStudio","Views","ctrl shift"
"RStudio","81672","Show Files","ctrl+5","ctrl+5","RStudio","Views","ctrl"
"RStudio","81673","Zoom Files","ctrl+shift+5","ctrl+shift+5","RStudio","Views","ctrl shift"
"RStudio","81674","Show Plots","ctrl+6","ctrl+6","RStudio","Views","ctrl"
"RStudio","81675","Zoom Plots","ctrl+shift+6","ctrl+shift+6","RStudio","Views","ctrl shift"
"RStudio","81676","Show Packages","ctrl+7","ctrl+7","RStudio","Views","ctrl"
"RStudio","81677","Zoom Packages","ctrl+shift+7","ctrl+shift+7","RStudio","Views","ctrl shift"
"RStudio","81678","Show Environment","ctrl+8","ctrl+8","RStudio","Views","ctrl"
"RStudio","81679","Zoom Environment","ctrl+shift+8","ctrl+shift+8","RStudio","Views","ctrl shift"
"RStudio","81680","Show Viewer","ctrl+9","ctrl+9","RStudio","Views","ctrl"
"RStudio","81681","Zoom Viewer","ctrl+shift+9","ctrl+shift+9","RStudio","Views","ctrl shift"
"RStudio","81682","Show Git/SVN","ctrl+f1","ctrl+f1","RStudio","Views","ctrl"
"RStudio","81683","Zoom Git/SVN","ctrl+shift+f1","ctrl+shift+f1","RStudio","Views","ctrl shift"
"RStudio","81684","Show Build","ctrl+f2","ctrl+f2","RStudio","Views","ctrl"
"RStudio","81685","Zoom Build","ctrl+shift+f2","ctrl+shift+f2","RStudio","Views","ctrl shift"
"RStudio","81686","Show Connections","ctrl+f5","ctrl+f5","RStudio","Views","ctrl"
"RStudio","81687","Zoom Connections","ctrl+shift+f5","ctrl+shift+f5","RStudio","Views","ctrl shift"
"RStudio","81688","Show Find in Files Results","ctrl+f6","ctrl+f6","RStudio","Views","ctrl"
"RStudio","81689","Zoom Tutorial","ctrl+shift+f6","ctrl+shift+f6","RStudio","Views","ctrl shift"
"RStudio","81690","Sync Editor & PDF Preview","ctrl+f8","cmd+f8","RStudio","Views","ctrl"
"RStudio","81691","Global Options","n/a","cmd+,","RStudio","Views","None"
"RStudio","81692","Project Options","n/a","shift+cmd+,","RStudio","Views","None"
"RStudio","81693","Show Keyboard Shortcut Reference","alt+shift+k","alt+shift+k","RStudio","Help","alt shift"
"RStudio","81694","Search R Help","ctrl+alt+f1","ctrl+alt+f1","RStudio","Help","ctrl alt"
"RStudio","81695","Find in Help Topic","ctrl+f","cmd+f","RStudio","Help","ctrl"
"RStudio","81696","Previous Help Topic","alt+shift+f2","alt+shift+f2","RStudio","Help","alt shift"
"RStudio","81697","Next Help Topic","alt+shift+f3","alt+shift+f3","RStudio","Help","alt shift"
"RStudio","81698","Show Command Palette","ctrl+shift+p","shift+cmd+p","RStudio","Help","ctrl shift"
"RStudio","81699","Build and Reload","ctrl+shift+b","shift+cmd+b","RStudio","Build","ctrl shift"
"RStudio","81700","Load All (devtools)","ctrl+shift+l","shift+cmd+l","RStudio","Build","ctrl shift"
"RStudio","81701","Test Package (Desktop)","ctrl+shift+t","shift+cmd+t","RStudio","Build","ctrl shift"
"RStudio","81702","Test Package (Web)","ctrl+alt+f7","alt+cmd+f7","RStudio","Build","ctrl alt"
"RStudio","81703","Check Package","ctrl+shift+e","shift+cmd+e","RStudio","Build","ctrl shift"
"RStudio","81704","Document Package","ctrl+shift+d","shift+cmd+d","RStudio","Build","ctrl shift"
"RStudio","81705","Toggle Breakpoint","shift+f9","shift+f9","RStudio","Debug","shift"
"RStudio","81706","Execute Next Line","f10","f10","RStudio","Debug","None"
"RStudio","81707","Step Into Function","shift+f4","shift+f4","RStudio","Debug","shift"
"RStudio","81708","Finish Function/Loop","shift+f6","shift+f6","RStudio","Debug","shift"
"RStudio","81709","Continue","shift+f5","shift+f5","RStudio","Debug","shift"
"RStudio","81710","Stop Debugging","shift+f8","shift+f8","RStudio","Debug","shift"
"RStudio","81711","Previous plot","ctrl+alt+f11","alt+cmd+f11","RStudio","Plots","ctrl alt"
"RStudio","81712","Next plot","ctrl+alt+f12","alt+cmd+f12","RStudio","Plots","ctrl alt"
"RStudio","81713","Diff active source document","ctrl+alt+d","ctrl+alt+d","RStudio","Git/SVN","ctrl alt"
"RStudio","81714","Commit changes","ctrl+alt+m","ctrl+alt+m","RStudio","Git/SVN","ctrl alt"
"RStudio","81715","Scroll diff view","ctrl+up or ctrl+down","ctrl+up or ctrl+down","RStudio","Git/SVN","ctrl"
"RStudio","81716","Stage/Unstage (Git)","space","space","RStudio","Git/SVN","None"
"RStudio","81717","Stage/Unstage and move to next (Git)","enter","enter","RStudio","Git/SVN","None"
"RStudio","81718","Quit Session (desktop only)","ctrl+q","cmd+q","RStudio","Session","ctrl"
"RStudio","81719","Restart R Session","ctrl+shift+f10","shift+cmd+f10","RStudio","Session","ctrl shift"
