"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"Regex","77325","Control character","""\c""","""\c""","Regex","Character Classes","Text Snippet"
"Regex","77326","White space","""\s""","""\s""","Regex","Character Classes","Text Snippet"
"Regex","77327","Not white space","""\S""","""\S""","Regex","Character Classes","Text Snippet"
"Regex","77328","Digit","""\d""","""\d""","Regex","Character Classes","Text Snippet"
"Regex","77329","Not digit","""\D""","""\D""","Regex","Character Classes","Text Snippet"
"Regex","77330","Word","""\w""","""\w""","Regex","Character Classes","Text Snippet"
"Regex","77331","Not word","""\W""","""\W""","Regex","Character Classes","Text Snippet"
"Regex","77332","Hexadecimal digit","""\x""","""\x""","Regex","Character Classes","Text Snippet"
"Regex","77333","Octal digit","""\O""","""\O""","Regex","Character Classes","Text Snippet"
"Regex","77334","Any of a,b, or c","""[abc]""","""[abc]""","Regex","Character Classes","Text Snippet"
"Regex","77335","Not a, b, or c","""[^abc]""","""[^abc]""","Regex","Character Classes","Text Snippet"
"Regex","77336","Character from a to f","""[a-f]""","""[a-f]""","Regex","Character Classes","Text Snippet"
"Regex","77337","Start of string, or start of line in multi-line pattern","""^""","""^""","Regex","Anchors","Text Snippet"
"Regex","77338","Start of string","""\A""","""\A""","Regex","Anchors","Text Snippet"
"Regex","77339","End of string, or end of line in multi-line pattern","""$""","""$""","Regex","Anchors","Text Snippet"
"Regex","77340","End of string","""\Z""","""\Z""","Regex","Anchors","Text Snippet"
"Regex","77341","Word boundary","""\b""","""\b""","Regex","Anchors","Text Snippet"
"Regex","77342","Not word boundary","""\B""","""\B""","Regex","Anchors","Text Snippet"
"Regex","77343","Start of word","""\<""","""\<""","Regex","Anchors","Text Snippet"
"Regex","77344","End of word","""\>""","""\>""","Regex","Anchors","Text Snippet"
"Regex","77345","Capture group","""()""","""()""","Regex","Groups and Lookaround","Text Snippet"
"Regex","77346","Backreference to group #1","""\1""","""\1""","Regex","Groups and Lookaround","Text Snippet"
"Regex","77347","Lookahead assertion","""(?=)""","""(?=)""","Regex","Groups and Lookaround","Text Snippet"
"Regex","77348","Negative lookahead","""(?!)""","""(?!)""","Regex","Groups and Lookaround","Text Snippet"
"Regex","77349","Lookbehind assertion","""(?<=)""","""(?<=)""","Regex","Groups and Lookaround","Text Snippet"
"Regex","77350","Negative lookbehind","""(?!=)""","""(?!=)""","Regex","Groups and Lookaround","Text Snippet"
"Regex","77351","Match a 0 or more","""a*""","""a*""","Regex","Quantifiers","Text Snippet"
"Regex","77352","Match a 1 or more","""a+""","""a+""","Regex","Quantifiers","Text Snippet"
"Regex","77353","Match a 0 or 1","""a?""","""a?""","Regex","Quantifiers","Text Snippet"
"Regex","77354","Match a exactly 3 times","""a{3}""","""a{3}""","Regex","Quantifiers","Text Snippet"
"Regex","77355","Match a 3 times or more","""a{3,}""","""a{3,}""","Regex","Quantifiers","Text Snippet"
"Regex","77356","Match a 3, 4 or 5 times","""a{3,5}""","""a{3,5}""","Regex","Quantifiers","Text Snippet"
"Regex","77357","Escape following character","""\""","""\""","Regex","Escape Sequences","Text Snippet"
"Regex","77358","Begin literal sequence","""\Q""","""\Q""","Regex","Escape Sequences","Text Snippet"
"Regex","77359","End literal sequence","""\E""","""\E""","Regex","Escape Sequences","Text Snippet"
"Regex","77360","New line","""\n""","""\n""","Regex","Special Characters","Text Snippet"
"Regex","77361","Carriage return","""\r""","""\r""","Regex","Special Characters","Text Snippet"
"Regex","77362","Tab","""\t""","""\t""","Regex","Special Characters","Text Snippet"
"Regex","77363","Vertical tab","""\v""","""\v""","Regex","Special Characters","Text Snippet"
"Regex","77364","Form feed","""\f""","""\f""","Regex","Special Characters","Text Snippet"
"Regex","77365","nth non-passive group","""$n""","""$n""","Regex","Replacement","Text Snippet"
"Regex","77366","""xyz"" in /^(abc(xyz))$/","""$2""","""$2""","Regex","Replacement","Text Snippet"
"Regex","77367","""xyz"" in /^(?:abc)(xyz)$/","""$1""","""$1""","Regex","Replacement","Text Snippet"
"Regex","77368","Before matched string","""$`""","""$`""","Regex","Replacement","Text Snippet"
"Regex","77369","After matched string","""$'""","""$'""","Regex","Replacement","Text Snippet"
"Regex","77370","Last matched string","""$+""","""$+""","Regex","Replacement","Text Snippet"
"Regex","77371","Entire matched string","""$&""","""$&""","Regex","Replacement","Text Snippet"
