"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"","88931","Find or create new page","ctrl+u","cmd+u","Roam Research","The Basics","ctrl"
"","88932","Bring up quick commands","/","/","Roam Research","The Basics","None"
"","88933","Reference or create new page","""[[""","""[[""","Roam Research","The Basics","Text Snippet"
"","88934","Reference a block","""((""","""((""","Roam Research","The Basics","Text Snippet"
"","88935","Insert Roam function","""{{""","""{{""","Roam Research","The Basics","Text Snippet"
"","88936","New block","enter","enter","Roam Research","The Basics","None"
"","88937","Indent block","tab","tab","Roam Research","The Basics","None"
"","88938","Unindent block","shift+tab","shift+tab","Roam Research","The Basics","shift"
"","88939","Move down in autocomplete and search dropdowns","ctrl+j or down","ctrl+j or down","Roam Research","The Basics","ctrl"
"","88940","Move up in autocomplete and search dropdowns","ctrl+k or up","ctrl+k or up","Roam Research","The Basics","ctrl"
"","88941","Surrounds bold text","""**""","""**""","Roam Research","Formatting","Text Snippet"
"","88942","Make text bold","ctrl+b","cmd+b","Roam Research","Formatting","ctrl"
"","88943","Surrounds italic text","""_""","""_""","Roam Research","Formatting","Text Snippet"
"","88944","Make text italic","ctrl+i","cmd+i","Roam Research","Formatting","ctrl"
"","88945","Surrounds crossed out text (strikethrough)","""~~""","""~~""","Roam Research","Formatting","Text Snippet"
"","88946","Cross out text","ctrl+y","cmd+y","Roam Research","Formatting","ctrl"
"","88947","Surrounds highlighted text","""^^""","""^^""","Roam Research","Formatting","Text Snippet"
"","88948","Highlight text","ctrl+h","cmd+h","Roam Research","Formatting","ctrl"
"","88949","Link to /#/app/help with text 'Link'","""[Link](/#/app/help)""","""[Link](/#/app/help)""","Roam Research","Formatting","Text Snippet"
"","88950","Create Link","ctrl+k","cmd+k","Roam Research","Formatting","ctrl"
"","88951","Surrounds LaTeX code","""$$""","""$$""","Roam Research","Formatting","Text Snippet"
"","88952","Heading level 1 (Markdown)","""#""","""#""","Roam Research","Formatting","Text Snippet"
"","88953","Heading level 1 (Shortcut)","ctrl+alt+1","alt+cmd+1","Roam Research","Formatting","ctrl alt"
"","88954","Heading level 2 (Markdown)","""##""","""##""","Roam Research","Formatting","Text Snippet"
"","88955","Heading level 2 (Shortcut)","ctrl+alt+2","alt+cmd+2","Roam Research","Formatting","ctrl alt"
"","88956","Heading level 3 (Markdown)","""###""","""###""","Roam Research","Formatting","Text Snippet"
"","88957","Heading level 3 (Shortcut)","ctrl+alt+3","alt+cmd+3","Roam Research","Formatting","ctrl alt"
"","88958","Move cursor to next block","down","down","Roam Research","Navigating","None"
"","88959","Move cursor to previous block","up","up","Roam Research","Navigating","None"
"","88960","Go to Daily Notes page","alt+d","ctrl+shift+d","Roam Research","Navigating","alt"
"","88961","Zoom in to current block","alt+right","cmd+. or shift+cmd+.","Roam Research","Navigating","alt"
"","88962","Zoom out to parent block","alt+left","cmd+, or shift+cmd+,","Roam Research","Navigating","alt"
"","88963","Go to next day (when on daily page)","n/a","ctrl+alt+n","Roam Research","Navigating","None"
"","88964","Go to previous day (when on daily page)","n/a","ctrl+alt+p","Roam Research","Navigating","None"
"","88965","Go to first block on page (when nothing is selected)","ctrl+enter","cmd+enter","Roam Research","Navigating","ctrl"
"","88966","Go to last block on page (when nothing is selected)","ctrl+shift+enter","shift+cmd+enter","Roam Research","Navigating","ctrl shift"
"","88967","Follow link under cursor","ctrl+o","ctrl+o","Roam Research","Navigating","ctrl"
"","88968","Open link under cursor in sidebar","ctrl+shift+o","ctrl+shift+o","Roam Research","Navigating","ctrl shift"
"","88969","Jump to start of block","ctrl+home","ctrl+a","Roam Research","Navigating","ctrl"
"","88970","Jump to end of block","ctrl+end","ctrl+e","Roam Research","Navigating","ctrl"
"","88971","Move cursor forward","right","ctrl+f","Roam Research","Navigating","None"
"","88972","Move cursor backward","left","ctrl+b","Roam Research","Navigating","None"
"","88973","Move block up","alt+shift+up","shift+cmd+up","Roam Research","Blocks","alt shift"
"","88974","Move block down","alt+shift+down","shift+cmd+down","Roam Research","Blocks","alt shift"
"","88975","New line within block","shift+enter","shift+enter","Roam Research","Blocks","shift"
"","88976","Expand block","ctrl+down","cmd+down","Roam Research","Blocks","ctrl"
"","88977","Collapse block","ctrl+up","cmd+up","Roam Research","Blocks","ctrl"
"","88978","Select current block","shift+up","shift+up","Roam Research","Blocks","shift"
"","88979","Select current block and children","shift+up shift+up","shift+up shift+up","Roam Research","Blocks","shift"
"","88980","Select block above (when block selected)","shift+up","shift+up","Roam Research","Blocks","shift"
"","88981","Select block below (when block selected)","shift+down","shift+down","Roam Research","Blocks","shift"
"","88982","Select all blocks on page","ctrl+shift+a","shift+cmd+a","Roam Research","Blocks","ctrl shift"
"","88983","Copy block reference(s) of selected block(s)","ctrl+shift+c","shift+cmd+c","Roam Research","Blocks","ctrl shift"
"","88984","Cycle TODO state of current / selected blocks","ctrl+enter","cmd+enter","Roam Research","Blocks","ctrl"
"","88985","Open block search","ctrl+shift+9","ctrl+shift+9","Roam Research","Blocks","ctrl shift"
"","88986","Select text in current block","ctrl+a","cmd+a","Roam Research","Blocks","ctrl"
"","88987","Toggle left sidebar visibility","ctrl+\","cmd+\","Roam Research","Sidebar","ctrl"
"","88988","Toggle right sidebar visibility","ctrl+/","cmd+/","Roam Research","Sidebar","ctrl"
"","88989","Open page in right sidebar","shift+click","shift+click","Roam Research","Sidebar","shift"
"","88990","Open mentions in right sidebar","ctrl+shift+click","shift+cmd+click","Roam Research","Sidebar","ctrl shift"
"","88991","Create page in sidebar (from search)","shift+enter","shift+enter","Roam Research","Sidebar","shift"
"","88992","Open link in sidebar (when editing)","ctrl+shift+o","ctrl+shift+o","Roam Research","Sidebar","ctrl shift"
"","88993","Toggle display of double brackets","ctrl+c ctrl+b","ctrl+c ctrl+b","Roam Research","Appearance","ctrl"
"","88994","Toggle display of all inline mentions","ctrl+c ctrl+r","ctrl+c ctrl+r","Roam Research","Appearance","ctrl"
"","88995","Toggle all users' bullet colors","ctrl+c ctrl+s","ctrl+c ctrl+s","Roam Research","Appearance","ctrl"
"","88996","Toggle other users' bullet colors","ctrl+c ctrl+c ctrl+s","ctrl+c ctrl+c ctrl+s","Roam Research","Appearance","ctrl"
"","88997","Toggle block live preview","ctrl+c ctrl+p","ctrl+c ctrl+p","Roam Research","Appearance","ctrl"
"","88998","Cycle namespace display","ctrl+c ctrl+l","ctrl+c ctrl+l","Roam Research","Appearance","ctrl"
"","88999","Toggle help popup visibility","alt+shift+h","alt+shift+h","Roam Research","Other","alt shift"
"","89000","Undo","ctrl+z","cmd+z","Roam Research","Other","ctrl"
"","89001","Redo","ctrl+shift+z","shift+cmd+z","Roam Research","Other","ctrl shift"
"","89002","Move character under cursor forward","n/a","ctrl+t","Roam Research","Other","None"
"","89003","Creates a check box, when clicked becomes {{DONE}}","""/TODO""","""/TODO""","Roam Research","Slash Commands","Text Snippet"
"","89004","TimeCreates a time-stamp of the current time in 24h format","""/Crent""","""/Crent""","Roam Research","Slash Commands","Text Snippet"
"","89005","Creates a 25 min Pomodortimer","""/POMO""","""/POMO""","Roam Research","Slash Commands","Text Snippet"
"","89006","PickerAllows you to choose a date from a calendar","""/Date""","""/Date""","Roam Research","Slash Commands","Text Snippet"
"","89007","Today's date","""/Today""","""/Today""","Roam Research","Slash Commands","Text Snippet"
"","89008","Tomorrow's date","""/Tomorrow""","""/Tomorrow""","Roam Research","Slash Commands","Text Snippet"
"","89009","Yesterday's date","""/Yesterday""","""/Yesterday""","Roam Research","Slash Commands","Text Snippet"
"","89010","Bold text","""/Bold""","""/Bold""","Roam Research","Slash Commands","Text Snippet"
"","89011","Text in italics","""/Italics""","""/Italics""","Roam Research","Slash Commands","Text Snippet"
"","89012","Highlight text","""/Highlight""","""/Highlight""","Roam Research","Slash Commands","Text Snippet"
"","89013","Cross out text","""/Strikethrough""","""/Strikethrough""","Roam Research","Slash Commands","Text Snippet"
"","89014","Creates a monospaced code inline of the block","""/Codenline""","""/Codenline""","Roam Research","Slash Commands","Text Snippet"
"","89015","Creates a code block allowing snippets code","""/CodBlock""","""/CodBlock""","Roam Research","Slash Commands","Text Snippet"
"","89016","Allows LaTeX stylized text inline of the block","""/Latex""","""/Latex""","Roam Research","Slash Commands","Text Snippet"
"","89017","Inline calculator","""/Calc""","""/Calc""","Roam Research","Slash Commands","Text Snippet"
"","89018","Upload an image or file","""/Upload""","""/Upload""","Roam Research","Slash Commands","Text Snippet"
"","89019","Creates a slider from 0 to 10","""/Slider""","""/Slider""","Roam Research","Slash Commands","Text Snippet"
"","89020","Encrypts a block of text with a passphrase","""/Encrypt""","""/Encrypt""","Roam Research","Slash Commands","Text Snippet"
"","89021","Insert a diagram","""/Diagram""","""/Diagram""","Roam Research","Slash Commands","Text Snippet"
"","89022","Insert a table","""/Table""","""/Table""","Roam Research","Slash Commands","Text Snippet"
"","89023","Insert a kanban board","""/Kanban""","""/Kanban""","Roam Research","Slash Commands","Text Snippet"
"","89024","Embed a YouTube video","""/YouTube""","""/YouTube""","Roam Research","Slash Commands","Text Snippet"
"","89025","Insert mentions of a Block or Page","""/Mentions""","""/Mentions""","Roam Research","Slash Commands","Text Snippet"
"","89026","Insert word count for page","""/Word Count""","""/Word Count""","Roam Research","Slash Commands","Text Snippet"
