"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"","289370","Basic code completion","ctrl+space","ctrl+space","RubyMine","Editing","ctrl"
"","289371","Complete current statement","ctrl+shift+enter","shift+cmd+enter","RubyMine","Editing","ctrl shift"
"","289372","Parameter info (within method call arguments)","ctrl+p","cmd+p","RubyMine","Editing","ctrl"
"","289373","Quick documentation lookup","ctrl+q","ctrl+j","RubyMine","Editing","ctrl"
"","289374","Brief Info","ctrl+моuse-hover","cmd+mouse-hover","RubyMine","Editing","ctrl"
"","289375","Show descriptions of error at caret","ctrl+f1","cmd+f1","RubyMine","Editing","ctrl"
"","289376","Generate code... (e.g. Rails Generators)","alt+ins","cmd+n or ctrl+enter","RubyMine","Editing","alt"
"","289377","Override methods","ctrl+o","ctrl+o","RubyMine","Editing","ctrl"
"","289378","Surround with...","ctrl+alt+t","alt+cmd+t","RubyMine","Editing","ctrl alt"
"","289379","Comment with line or block comment","ctrl+/ or ctrl+shift+/","cmd+/ or alt+cmd+/","RubyMine","Editing","ctrl shift"
"","289380","Select successively increasing code blocks","ctrl+w","alt+up","RubyMine","Editing","ctrl"
"","289381","Decrease current selection to previous state","ctrl+shift+w","alt+down","RubyMine","Editing","ctrl shift"
"","289382","Show intention actions/quick-fixes","alt+enter","alt+enter","RubyMine","Editing","alt"
"","289383","Reformat code","ctrl+alt+l","alt+cmd+l","RubyMine","Editing","ctrl alt"
"","289384","Auto-indent line(s)","ctrl+alt+i","ctrl+alt+i","RubyMine","Editing","ctrl alt"
"","289385","Paste from buffer/recent buffers","ctrl+shift+v","cmd+v or shift+cmd+v","RubyMine","Editing","ctrl shift"
"","289386","Duplicate current line or selected block","ctrl+d","cmd+d","RubyMine","Editing","ctrl"
"","289387","Delete line at caret","ctrl+y","cmd+backspace","RubyMine","Editing","ctrl"
"","289388","Start new line","shift+enter","shift+enter","RubyMine","Editing","shift"
"","289389","Toggle case for word at caret or selected block","ctrl+shift+u","shift+cmd+u","RubyMine","Editing","ctrl shift"
"","289390","Toggle Camel/Snake Case","alt+shift+u","alt+shift+u","RubyMine","Editing","alt shift"
"","289391","Select till code block end/start","ctrl+shift+] or ctrl+shift+[","alt+shift+cmd+] or alt+shift+cmd+[","RubyMine","Editing","ctrl shift"
"","289392","Delete to word end","ctrl+del","alt+del","RubyMine","Editing","ctrl"
"","289393","Delete to word start","ctrl+backspace","alt+backspace","RubyMine","Editing","ctrl"
"","289394","Expand code block","ctrl+numpad_plus","cmd+plus","RubyMine","Editing","ctrl"
"","289395","Collapse code block","ctrl+numpad–","cmd+–","RubyMine","Editing","ctrl"
"","289396","Expand all","ctrl+shift+numpad_plus","shift+cmd+plus","RubyMine","Editing","ctrl shift"
"","289397","Collapse all","ctrl+shift+numpad–","shift+cmd+-","RubyMine","Editing","ctrl shift"
"","289398","Move line (selection) up or down","ctrl+shift+up or ctrl+shift+down","alt+shift+up or alt+shift+down","RubyMine","Editing","ctrl shift"
"","289399","Perform string interpolation on selection","shift+3","shift+3","RubyMine","Editing","shift"
"","289400","Find any action","ctrl+shift+a","shift+cmd+a","RubyMine","General","ctrl shift"
"","289401","Search everywhere","shift shift","shift shift","RubyMine","General","shift"
"","289402","Synchronize","ctrl+alt+y","alt+cmd+y","RubyMine","General","ctrl alt"
"","289403","Toggle maximizing editor","ctrl+shift+f12","shift+cmd+f12","RubyMine","General","ctrl shift"
"","289404","Add to Favorites","alt+shift+f","alt+shift+f","RubyMine","General","alt shift"
"","289405","Inspect current file with current profile","alt+shift+i","alt+shift+i","RubyMine","General","alt shift"
"","289406","Go back to previous tool window","esc","esc","RubyMine","General","None"
"","289407","Hide active or last active window","shift+esc","shift+esc","RubyMine","General","shift"
"","289408","Close active editor tab","ctrl+f4","cmd+w","RubyMine","General","ctrl"
"","289409","Switch between tabs and tool window","ctrl+tab","ctrl+tab","RubyMine","General","ctrl"
"","289410","Quick switch current scheme","ctrl+´","ctrl+´","RubyMine","General","ctrl"
"","289411","Show Project window","alt+1","cmd+1","RubyMine","Show Tool Windows","alt"
"","289412","Show Favorites window","alt+2","cmd+2","RubyMine","Show Tool Windows","alt"
"","289413","Show Find window","alt+3","cmd+3","RubyMine","Show Tool Windows","alt"
"","289414","Show Run window","alt+4","cmd+4","RubyMine","Show Tool Windows","alt"
"","289415","Show Debug window","alt+5","cmd+5","RubyMine","Show Tool Windows","alt"
"","289416","Show Problems window","alt+6","cmd+6","RubyMine","Show Tool Windows","alt"
"","289417","Show Structure window","alt+7","cmd+7","RubyMine","Show Tool Windows","alt"
"","289418","Show Services window","alt+8","cmd+8","RubyMine","Show Tool Windows","alt"
"","289419","Show Version Control window","alt+9","cmd+9","RubyMine","Show Tool Windows","alt"
"","289420","Show Commit window","alt+0","cmd+0","RubyMine","Show Tool Windows","alt"
"","289421","Show Terminal window","alt+f12","alt+f12","RubyMine","Show Tool Windows","alt"
"","289422","Go to class","ctrl+n","cmd+o","RubyMine","Navigation","ctrl"
"","289423","Go to file","ctrl+shift+n","shift+cmd+o","RubyMine","Navigation","ctrl shift"
"","289424","Go to symbol","ctrl+alt+shift+n","alt+cmd+o","RubyMine","Navigation","ctrl alt shift"
"","289425","Go to next or previous editor tab","alt+right or alt+left","shift+cmd+] or shift+cmd+[","RubyMine","Navigation","alt"
"","289426","Go to line","ctrl+g","cmd+l","RubyMine","Navigation","ctrl"
"","289427","Go to bottom or top of page","ctrl+pagedown or ctrl+pageup","cmd+pageup or cmd+pagedown","RubyMine","Navigation","ctrl"
"","289428","Recent files popup","ctrl+e","cmd+e","RubyMine","Navigation","ctrl"
"","289429","Navigate back or forward","ctrl+alt+left or ctrl+alt+right","alt+cmd+left or alt+cmd+right","RubyMine","Navigation","ctrl alt"
"","289430","Navigate to last edit location","ctrl+shift+backspace","shift+cmd+backspace","RubyMine","Navigation","ctrl shift"
"","289431","Select current file or symbol in any view","alt+f1","alt+f1","RubyMine","Navigation","alt"
"","289432","Go to declaration","ctrl+b or ctr+click","cmd+b or cmd+click","RubyMine","Navigation","ctrl"
"","289433","Go to type declaration","ctrl+shift+b","ctrl+shift+b","RubyMine","Navigation","ctrl shift"
"","289434","Quick definition lookup","ctrl+shift+i","alt+space or cmd+y","RubyMine","Navigation","ctrl shift"
"","289435","Go to super-method/super-class","ctrl+u","cmd+u","RubyMine","Navigation","ctrl"
"","289436","Go to previous/next method","alt+up or alt+down","ctrl+up or ctrl+down","RubyMine","Navigation","alt"
"","289437","Move to code block end/start","ctrl+] or ctrl+[","alt+cmd+] or alt+cmd+[","RubyMine","Navigation","ctrl"
"","289438","File structure popup","ctrl+f12","cmd+f12","RubyMine","Navigation","ctrl"
"","289439","Type hierarchy","ctrl+h","ctrl+h","RubyMine","Navigation","ctrl"
"","289440","Next highlighted error","f2","f2","RubyMine","Navigation","None"
"","289441","Previous highlighted error","shift+f2","shift+f2","RubyMine","Navigation","shift"
"","289442","Go to source","f4","f4 or cmd+down","RubyMine","Navigation","None"
"","289443","Show navigation bar","alt+home","cmd+up","RubyMine","Navigation","alt"
"","289444","Toggle bookmark / with mnemonic","f11 or ctrl+f11","f3 or alt+f3","RubyMine","Navigation","ctrl"
"","289445","Go to numbered bookmark","ctrl+0 or ctrl+1 or ctrl+2 or ctrl+9","ctrl+0 or ctrl+1 or ctrl+2 or ctrl+9","RubyMine","Navigation","ctrl"
"","289446","Show bookmarks","shift+f11","cmd+f3","RubyMine","Navigation","shift"
"","289447","Show diagram","ctrl+alt+shift+u","alt+shift+cmd+u","RubyMine","Navigation","ctrl alt shift"
"","289448","Diagram popup","ctrl+alt+u","alt+cmd+u","RubyMine","Navigation","ctrl alt"
"","289449","Navigate to Rails model/view/controller etc.","alt+shift+n","cmd+up","RubyMine","Rails","alt shift"
"","289450","Preview Rails View in browser","alt+f2","alt+f2","RubyMine","Rails","alt"
"","289451","Insert <%= %> in RHTML","ctrl+shift+.","shift+cmd+.","RubyMine","Rails","ctrl shift"
"","289452","Run Rails generator","ctrl+alt+g","alt+cmd+g","RubyMine","Rails","ctrl alt"
"","289453","Reload application sources in Rails Console","ctrl+r","cmd+r","RubyMine","Rails","ctrl"
"","289454","Run Anything","ctrl ctrl","ctrl ctrl","RubyMine","Running and Debugging","ctrl"
"","289455","Open run configurations dropdown","alt+shift+f10","ctrl+alt+r","RubyMine","Running and Debugging","alt shift"
"","289456","Open debug configurations dropdown","alt+shift+f9","ctrl+alt+d","RubyMine","Running and Debugging","alt shift"
"","289457","Run","shift+f10","ctrl+r","RubyMine","Running and Debugging","shift"
"","289458","Debug","shift+f9","ctrl+d","RubyMine","Running and Debugging","shift"
"","289459","Run or debug context configuration from editor","ctrl+shift+f10","ctrl+shift+r or shift+d","RubyMine","Running and Debugging","ctrl shift"
"","289460","Run rake task","ctrl+alt+r","alt+r","RubyMine","Running and Debugging","ctrl alt"
"","289461","Step over","f8","f8","RubyMine","Running and Debugging","None"
"","289462","Step into","f7","f7","RubyMine","Running and Debugging","None"
"","289463","Step out","shift+f8","shift+f8","RubyMine","Running and Debugging","shift"
"","289464","Run to cursor","alt+f9","alt+f9","RubyMine","Running and Debugging","alt"
"","289465","Resume program","f9","alt+cmd+r","RubyMine","Running and Debugging","None"
"","289466","Evaluate / Quick evaluate expression","alt+f8 or ctrl+alt+f8","alt+f8 or alt+cmd+f8","RubyMine","Running and Debugging","ctrl alt"
"","289467","Toggle breakpoint","ctrl+f8","cmd+f8","RubyMine","Running and Debugging","ctrl"
"","289468","View breakpoints","ctrl+shift+f8","shift+cmd+f8","RubyMine","Running and Debugging","ctrl shift"
"","289469","Show execution point","alt+f10","alt+f10","RubyMine","Running and Debugging","alt"
"","289470","Debug anything","ctrl ctrl+shift","ctrl ctrl+shift","RubyMine","Running and Debugging","ctrl shift"
"","289471","Surround with Live Template","ctrl+alt+j","alt+cmd+j","RubyMine","Live Templates","ctrl alt"
"","289472","Insert Live Template","ctrl+j","cmd+j","RubyMine","Live Templates","ctrl"
"","289473","Copy","f5","f5","RubyMine","Refactoring","None"
"","289474","Move","f6","f6","RubyMine","Refactoring","None"
"","289475","Rename","shift+f6","shift+f6","RubyMine","Refactoring","shift"
"","289476","Extract Variable","ctrl+alt+v","alt+cmd+v","RubyMine","Refactoring","ctrl alt"
"","289477","Extract Constant","ctrl+alt+c","alt+cmd+c","RubyMine","Refactoring","ctrl alt"
"","289478","Extract Field","ctrl+alt+f","alt+cmd+f","RubyMine","Refactoring","ctrl alt"
