"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"Sheets","39804","Select column","ctrl+space","ctrl+space","Sheets","Common actions","ctrl"
"Sheets","39805","Select row","shift+space","shift+space","Sheets","Common actions","shift"
"Sheets","39806","Select all","ctrl+a or ctrl+shift+space","cmd+a or shift+cmd+space","Sheets","Common actions","ctrl shift"
"Sheets","39807","Undo","ctrl+z","cmd+z","Sheets","Common actions","ctrl"
"Sheets","39808","Redo","ctrl+y or ctrl+shift+z or f4","cmd+y or shift+cmd+z or fn+f4","Sheets","Common actions","ctrl shift"
"Sheets","39809","Find","ctrl+f","cmd+f","Sheets","Common actions","ctrl"
"Sheets","39810","Find and replace","ctrl+h","shift+cmd+h","Sheets","Common actions","ctrl"
"Sheets","39811","Fill range","ctrl+enter","cmd+enter","Sheets","Common actions","ctrl"
"Sheets","39812","Fill down","ctrl+d","cmd+d","Sheets","Common actions","ctrl"
"Sheets","39813","Fill right","ctrl+r","cmd+r","Sheets","Common actions","ctrl"
"Sheets","39814","Save (every change is saved automatically in Drive)","ctrl+s","cmd+s","Sheets","Common actions","ctrl"
"Sheets","39815","Open","ctrl+o","cmd+o","Sheets","Common actions","ctrl"
"Sheets","39816","Print","ctrl+p","cmd+p","Sheets","Common actions","ctrl"
"Sheets","39817","Copy","ctrl+c","cmd+c","Sheets","Common actions","ctrl"
"Sheets","39818","Cut","ctrl+x","cmd+x","Sheets","Common actions","ctrl"
"Sheets","39819","Paste","ctrl+v","cmd+v","Sheets","Common actions","ctrl"
"Sheets","39820","Paste values only","ctrl+shift+v","shift+cmd+v","Sheets","Common actions","ctrl shift"
"Sheets","39821","Show common keyboard shortcuts","ctrl+/","cmd+/","Sheets","Common actions","ctrl"
"Sheets","39822","Insert new sheet","shift+f11","shift+fn+f11","Sheets","Common actions","shift"
"Sheets","39823","Compact controls","ctrl+shift+f","ctrl+shift+f","Sheets","Common actions","ctrl shift"
