"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"","83281","Copy","n/A","cmd+c","Sketch","General shortcuts","cmd"
"","83282","Cut","n/A","cmd+x","Sketch","General shortcuts","cmd"
"","83283","Paste","n/A","cmd+v","Sketch","General shortcuts","cmd"
"","83284","Paste over selection","n/A","shift+cmd+v","Sketch","General shortcuts","shift cmd"
"","83285","Pan Canvas","n/A","space+drag","Sketch","General shortcuts","None"
"","83286","New page","n/A","shift+cmd+n","Sketch","General shortcuts","shift cmd"
"","83287","Previous page","n/A","fn+up","Sketch","General shortcuts","None"
"","83288","Next page","n/A","fn+down","Sketch","General shortcuts","None"
"","83289","Zoom in","n/A","cmd+plus","Sketch","General shortcuts","cmd"
"","83290","Zoom out","n/A","cmd+-","Sketch","General shortcuts","cmd"
"","83291","Show/hide rulers","n/A","ctrl+r","Sketch","General shortcuts","ctrl"
"","83292","Show/hide pixels","n/A","ctrl+p","Sketch","General shortcuts","ctrl"
"","83293","Show/hide pixel grid","n/A","ctrl+x","Sketch","General shortcuts","ctrl"
"","83294","Show/hide grid","n/A","ctrl+g","Sketch","General shortcuts","ctrl"
"","83295","Show/hide layout","n/A","ctrl+l","Sketch","General shortcuts","ctrl"
"","83296","Show/hide slices","n/A","ctrl+e","Sketch","General shortcuts","ctrl"
"","83297","Show/hide prototyping","n/A","ctrl+f","Sketch","General shortcuts","ctrl"
"","83298","Switch to Canvas View","n/A","ctrl+1","Sketch","General shortcuts","ctrl"
"","83299","Switch to Components View","n/A","ctrl+2","Sketch","General shortcuts","ctrl"
"","83300","Filter in Layer List/Components View","n/A","cmd+f","Sketch","General shortcuts","cmd"
"","83301","Switch between Component types","n/A","cmd+1 or cmd+2 or cmd+3 or cmd+4","Sketch","General shortcuts","cmd"
"","83302","Run custom plugin","n/A","ctrl+cmd+k","Sketch","General shortcuts","ctrl cmd"
"","83303","Undo","n/A","cmd+z","Sketch","General shortcuts","cmd"
"","83304","Redo","n/A","shift+cmd+z","Sketch","General shortcuts","shift cmd"
"","83305","New document","n/A","cmd+n","Sketch","General shortcuts","cmd"
"","83306","Open document","n/A","cmd+o","Sketch","General shortcuts","cmd"
"","83307","Open Documents window","n/A","shift+cmd+o","Sketch","General shortcuts","shift cmd"
"","83308","Close window","n/A","cmd+w","Sketch","General shortcuts","cmd"
"","83309","Save document","n/A","cmd+s","Sketch","General shortcuts","cmd"
"","83310","Duplicate*","n/A","shift+cmd+s","Sketch","General shortcuts","shift cmd"
"","83311","Save As…*","n/A","alt+shift+cmd+s","Sketch","General shortcuts","alt shift cmd"
"","83312","Page setup","n/A","shift+cmd+p","Sketch","General shortcuts","shift cmd"
"","83313","Open Preferences","n/A","cmd+,","Sketch","General shortcuts","cmd"
"","83314","Hide Sketch","n/A","cmd+h","Sketch","General shortcuts","cmd"
"","83315","Quit Sketch","n/A","cmd+q","Sketch","General shortcuts","cmd"
"","83316","Open the Help menu","n/A","shift+cmd+?","Sketch","General shortcuts","shift cmd"
"","83317","Open the Prototyping Preview window","n/A","cmd+p","Sketch","General shortcuts","cmd"
"","83318","Rectangle Rectangle tool","n/A","r","Sketch","Inserting Layers","None"
"","83319","Oval Oval","n/A","o","Sketch","Inserting Layers","None"
"","83320","Line Line","n/A","l","Sketch","Inserting Layers","None"
"","83321","Rounded rectangle Rounded","n/A","u","Sketch","Inserting Layers","None"
"","83322","Vector tool Vector tool","n/A","v","Sketch","Inserting Layers","None"
"","83323","Pencil tool Pencil","n/A","p","Sketch","Inserting Layers","None"
"","83324","Text tool Insert Text","n/A","t","Sketch","Inserting Layers","None"
"","83325","Artboard tool Artboard","n/A","a","Sketch","Inserting Layers","None"
"","83326","Slice tool Create a slice","n/A","s","Sketch","Inserting Layers","None"
"","83327","Hotspot tool Insert Hotspot","n/A","h","Sketch","Inserting Layers","None"
"","83328","Open the Insert Window","n/A","c","Sketch","Inserting Layers","None"
"","83329","Insert selected Component onto Canvas from Insert Window","n/A","enter","Sketch","Inserting Layers","None"
"","83330","Go to selected Symbol’s Source from Components View","n/A","enter","Sketch","Inserting Layers","None"
"","83331","Draw a new shape from center","n/A","alt+drag","Sketch","Inserting Layers","alt"
"","83332","Lock the ratio of shape as you draw it","n/A","shift+drag","Sketch","Inserting Layers","shift"
"","83333","Move a new layer before you place it","n/A","space+drag","Sketch","Inserting Layers","None"
"","83334","Select a layer","n/A","click","Sketch","Selecting Layers","None"
"","83335","Select multiple layers","n/A","click+drag","Sketch","Selecting Layers","None"
"","83336","Only select layers within your drag selection","n/A","alt#drag","Sketch","Selecting Layers","alt"
"","83337","Select a layer with a group","n/A","double-click","Sketch","Selecting Layers","None"
"","83338","Select a layer within a group","n/A","cmd+click","Sketch","Selecting Layers","cmd"
"","83339","Select an obscured layer","n/A","alt+click","Sketch","Selecting Layers","alt"
"","83340","Select all layers","n/A","cmd+a","Sketch","Selecting Layers","cmd"
"","83341","Select all Artboards","n/A","shift+cmd+a","Sketch","Selecting Layers","shift cmd"
"","83342","Add layer to/remove layer from your selection","n/A","shift+click","Sketch","Selecting Layers","shift"
"","83343","Add layer from a group to your selection","n/A","shift+cmd+click","Sketch","Selecting Layers","shift cmd"
"","83344","Add layer to selection/deselect layer in Layer List","n/A","cmd+click","Sketch","Selecting Layers","cmd"
"","83345","Select a range of layers in Layer List","n/A","shift+click","Sketch","Selecting Layers","shift"
"","83346","Select next Artboard","n/A","fn+right","Sketch","Selecting Layers","None"
"","83347","Select previous Artboard","n/A","fn+left","Sketch","Selecting Layers","None"
"","83348","Reveal selection in Layer List","n/A","shift+cmd+j","Sketch","Selecting Layers","shift cmd"
"","83349","Display distance between other layers","n/A","alt+hover","Sketch","Moving and Resizing Layers","alt"
"","83350","Duplicate","n/A","cmd+d","Sketch","Moving and Resizing Layers","cmd"
"","83351","Duplicate","n/A","alt+drag","Sketch","Moving and Resizing Layers","alt"
"","83352","Move layer along X or Y axis","n/A","shift+drag","Sketch","Moving and Resizing Layers","shift"
"","83353","Move layer and ignore smart guides","n/A","cmd+drag","Sketch","Moving and Resizing Layers","cmd"
