"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"Slack","289503","Jump to a conversation","ctrl+k","cmd+k","Slack","Navigation","ctrl"
"Slack","289504","Move focus to the next section","f6","f6","Slack","Navigation","None"
"Slack","289505","Move focus to the previous section","shift+f6","shift+f6","Slack","Navigation","shift"
"Slack","289506","Open direct messages menu","ctrl+shift+k","shift+cmd+k","Slack","Navigation","ctrl shift"
"Slack","289507","Compose a new message","ctrl+n","cmd+n","Slack","Navigation","ctrl"
"Slack","289508","Open channel browser","ctrl+shift+l","shift+cmd+l","Slack","Navigation","ctrl shift"
"Slack","289509","Open the Threads view","ctrl+shift+t","shift+cmd+t","Slack","Navigation","ctrl shift"
"Slack","289510","Previous unread channel or DM","alt+shift+up","alt+shift+up","Slack","Navigation","alt shift"
"Slack","289511","Next unread channel or DM","alt+shift+down","alt+shift+down","Slack","Navigation","alt shift"
"Slack","289512","Previous channel or DM visited","alt+left","cmd+[","Slack","Navigation","alt"
"Slack","289513","Next channel or DM visited","alt+right","cmd+]","Slack","Navigation","alt"
"Slack","289514","Preferences","ctrl+,","cmd+,","Slack","Navigation","ctrl"
"Slack","289515","Open or close right pane","ctrl+.","cmd+.","Slack","Navigation","ctrl"
"Slack","289516","Channel info pane","ctrl+shift+i","shift+cmd+i","Slack","Navigation","ctrl shift"
"Slack","289517","Mentions & reactions","ctrl+shift+m","shift+cmd+m","Slack","Navigation","ctrl shift"
"Slack","289518","People","ctrl+shift+e","shift+cmd+e","Slack","Navigation","ctrl shift"
"Slack","289519","Saved items","ctrl+shift+s","shift+cmd+s","Slack","Navigation","ctrl shift"
"Slack","289520","Search current channel or conversation","ctrl+f","cmd+f","Slack","Navigation","ctrl"
"Slack","289521","Open previous search","ctrl+g","cmd+g","Slack","Navigation","ctrl"
"Slack","289522","Toggle full screen view","ctrl+shift+f","ctrl+cmd+f","Slack","Navigation","ctrl shift"
"Slack","289523","Open All Unreads view","ctrl+shift+a","shift+cmd+a","Slack","All Unreads navigation","ctrl shift"
"Slack","289524","Mark messages as unread","alt+click","alt+click","Slack","All Unreads navigation","alt"
"Slack","289525","Move to message above","up","up","Slack","All Unreads navigation","None"
"Slack","289526","Move to message below","down","down","Slack","All Unreads navigation","None"
"Slack","289527","Open channels","right","right","Slack","All Unreads navigation","None"
"Slack","289528","Collapse channels","left","left","Slack","All Unreads navigation","None"
"Slack","289529","Switch to previous workspace","ctrl+shift+tab","shift+cmd+[","Slack","Switch workspaces","ctrl shift"
"Slack","289530","Switch to next workspace","ctrl+tab","shift+cmd+]","Slack","Switch workspaces","ctrl"
"Slack","289531","Switch to workspace 1 (see assigned number under the workspace icon in your Slack app)","ctrl+1","cmd+1","Slack","Switch workspaces","ctrl"
"Slack","289532","Mark all messages in current channel or DM as read","esc","esc","Slack","Mark messages read or unread","None"
"Slack","289533","Mark all messages as read","shift+esc","shift+esc","Slack","Mark messages read or unread","shift"
"Slack","289534","Set a message as your oldest unread message","alt+click","alt+click","Slack","Mark messages read or unread","alt"
"Slack","289535","Edit your message","e","e","Slack","Take an action on a message","None"
"Slack","289536","Add an emoji reaction","r","r","Slack","Take an action on a message","None"
"Slack","289537","Open or reply to a thread","t","t","Slack","Take an action on a message","None"
"Slack","289538","Pin or unpin a message","p","p","Slack","Take an action on a message","None"
"Slack","289539","Share a message","s","s","Slack","Take an action on a message","None"
"Slack","289540","Save a message or remove from Saved items","a","a","Slack","Take an action on a message","None"
"Slack","289541","Mark as unread starting from a message","u","u","Slack","Take an action on a message","None"
"Slack","289542","Delete your message","del","del","Slack","Take an action on a message","None"
"Slack","289543","Create a reminder about a message","m","m","Slack","Take an action on a message","None"
"Slack","289544","Edit your last message","ctrl+up","cmd+up","Slack","Format messages","ctrl"
"Slack","289545","Select text to beginning of current line","shift+up","shift+up","Slack","Format messages","shift"
"Slack","289546","Select text to end of current line","shift+down","shift+down","Slack","Format messages","shift"
"Slack","289547","Create a new line in your message","shift+enter","shift+enter","Slack","Format messages","shift"
"Slack","289548","Add an emoji reaction to a message","ctrl+shift+\","shift+cmd+\","Slack","Format messages","ctrl shift"
"Slack","289549","Bold selected text","ctrl+b","cmd+b","Slack","Format messages","ctrl"
"Slack","289550","Italicize selected text","ctrl+i","cmd+i","Slack","Format messages","ctrl"
"Slack","289551","Strikethrough selected text","ctrl+shift+x","shift+cmd+x","Slack","Format messages","ctrl shift"
"Slack","289552","Quote selected text","ctrl+shift+9","shift+cmd+9","Slack","Format messages","ctrl shift"
"Slack","289553","Code selected text","ctrl+shift+c","shift+cmd+c","Slack","Format messages","ctrl shift"
"Slack","289554","Codeblock selected text","ctrl+alt+shift+c","alt+shift+cmd+c","Slack","Format messages","ctrl alt shift"
"Slack","289555","Turn selected text into a numbered list","ctrl+shift+7","shift+cmd+7","Slack","Format messages","ctrl shift"
"Slack","289556","Turn selected text into a bulleted list","ctrl+shift+8","shift+cmd+8","Slack","Format messages","ctrl shift"
"Slack","289557","Apply formatting to markdown text","ctrl+shift+f","shift+cmd+f","Slack","Format messages","ctrl shift"
"Slack","289558","Undo message formatting","ctrl+z","cmd+z","Slack","Format messages","ctrl"
"Slack","289559","Upload file","ctrl+u","cmd+u","Slack","Files and snippets","ctrl"
"Slack","289560","Create new Snippet","ctrl+shift+enter","shift+cmd+enter","Slack","Files and snippets","ctrl shift"
"Slack","289561","Toggle mute on and off (Hold down to talk when muted)","m","m","Slack","Call actions","None"
"Slack","289562","Toggle video on and off","v","v","Slack","Call actions","None"
"Slack","289563","Show invite list","a","a","Slack","Call actions","None"
"Slack","289564","View emoji reactions and select first","e 1","e 1","Slack","Call actions","None"
