"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"","70947","Add or create","ctrl+o","cmd+o","SmartGit","Repository","ctrl"
"","70948","Clone","ctrl+shift+o","shift+cmd+o","SmartGit","Repository","ctrl shift"
"","70949","Close","ctrl+f4","n/a","SmartGit","Repository","ctrl"
"","70950","Settings","alt+enter","alt+enter","SmartGit","Repository","alt"
"","70951","Exit","alt+x","cmd+q","SmartGit","Repository","alt"
"","70952","Filter files","ctrl+f","cmd+f","SmartGit","Edit","ctrl"
"","70953","Select commitable files","ctrl+shift+a","alt+cmd+a","SmartGit","Edit","ctrl shift"
"","70954","Copy path","alt+ins","ctrl+cmd+c","SmartGit","Edit","alt"
"","70955","Copy relative path","alt+shift+ins","shift+cmd+c","SmartGit","Edit","alt shift"
"","70956","Clear output","ctrl+backspace","cmd+backspace","SmartGit","Edit","ctrl"
"","70957","Preferences","ctrl+,","cmd+,","SmartGit","Edit","ctrl"
"","70958","Previous change","shift+f6","shift+f6","SmartGit","View","shift"
"","70959","Next change","f6","f6","SmartGit","View","None"
"","70960","Refresh","f5","f5","SmartGit","View","None"
"","70961","Files from subdirectories","ctrl+0","cmd+0","SmartGit","View","ctrl"
"","70962","Show unchanged files","ctrl+1","cmd+1","SmartGit","View","ctrl"
"","70963","Show unversioned files","ctrl+2","cmd+2","SmartGit","View","ctrl"
"","70964","Show ignored files","ctrl+3","cmd+3","SmartGit","View","ctrl"
"","70965","Show staged files","ctrl+4","cmd+4","SmartGit","View","ctrl"
"","70966","Show assume-unchanged files","ctrl+5","cmd+5","SmartGit","View","ctrl"
"","70967","Show skipped files","ctrl+6","cmd+6","SmartGit","View","ctrl"
"","70968","Show rename source files","ctrl+7","cmd+7","SmartGit","View","ctrl"
"","70969","Show files from submodules","ctrl+8","cmd+8","SmartGit","View","ctrl"
"","70970","Set Anchor Commit","n/a","cmd+i","SmartGit","View","None"
"","70971","Pull","alt+pagedown","cmd+pagedown","SmartGit","Remote","alt"
"","70972","Fetch","alt+shift+pagedown","shift+cmd+pagedown","SmartGit","Remote","alt shift"
"","70973","Synchronize","ctrl+y","cmd+y","SmartGit","Remote","ctrl"
"","70974","Push","alt+pageup","cmd+pageup","SmartGit","Remote","alt"
"","70975","Push to","alt+shift+pageup","shift+cmd+pageup","SmartGit","Remote","alt shift"
"","70976","Rename","f2","f2","SmartGit","Remote","None"
"","70977","Stage","ctrl+t","cmd+t","SmartGit","Local","ctrl"
"","70978","Unstage","ctrl+shift+t","shift+cmd+t","SmartGit","Local","ctrl shift"
"","70979","Index editor","ctrl+alt+t","alt+cmd+t","SmartGit","Local","ctrl alt"
"","70980","Ignore","ctrl+i","cmd+i","SmartGit","Local","ctrl"
"","70981","Rename","f2","f2","SmartGit","Local","None"
"","70982","Resolve","ctrl+shift+v","shift+cmd+v","SmartGit","Local","ctrl shift"
"","70983","Commit","ctrl+k","cmd+k","SmartGit","Local","ctrl"
"","70984","Use message for commit","ctrl+shift+k","shift+cmd+k","SmartGit","Local","ctrl shift"
"","70985","Reset","ctrl+r","cmd+r","SmartGit","Local","ctrl"
"","70986","Reset advanced","ctrl+shift+r","shift+cmd+r","SmartGit","Local","ctrl shift"
"","70987","Undo last commit","ctrl+alt+r","alt+cmd+r","SmartGit","Local","ctrl alt"
"","70988","Discard","ctrl+z","cmd+z","SmartGit","Local","ctrl"
"","70989","Remove","ctrl+-","cmd+-","SmartGit","Local","ctrl"
"","70990","Delete","del","del","SmartGit","Local","None"
"","70991","Stash all","ctrl+s","cmd+s","SmartGit","Local","ctrl"
"","70992","Apply stash","ctrl+shift+s","shift+cmd+s","SmartGit","Local","ctrl shift"
"","70993","Rename stash","f2","f2","SmartGit","Local","None"
"","70994","Check out","ctrl+g","cmd+g","SmartGit","Branch","ctrl"
"","70995","Merge","ctrl+m","blank","SmartGit","Branch","ctrl"
"","70996","Cherry-pick","ctrl+shift+m","blank","SmartGit","Branch","ctrl shift"
"","70997","Revert","ctrl+alt+m","blank","SmartGit","Branch","ctrl alt"
"","70998","Rebase HEAD to","ctrl+d","cmd+d","SmartGit","Branch","ctrl"
"","70999","Rebase to HEAD","ctrl+shift+d","shift+cmd+d","SmartGit","Branch","ctrl shift"
"","71000","Add branch","f7","f7","SmartGit","Branch","None"
"","71001","Add tag","shift+f7","shift+f7","SmartGit","Branch","shift"
"","71002","Rename","f2","f2","SmartGit","Branch","None"
"","71003","Squash commits","ctrl+j","cmd+j","SmartGit","Branch","ctrl"
"","71004","Show changes","f4","f4","SmartGit","Query","None"
"","71005","Compare with working tree","shift+f4","shift+f4","SmartGit","Query","shift"
"","71006","Save as","ctrl+s","cmd+s","SmartGit","Query","ctrl"
"","71007","Log","ctrl+l","cmd+l","SmartGit","Query","ctrl"
"","71008","Blame","ctrl+shift+l","alt+cmd+l","SmartGit","Query","ctrl shift"
"","71009","Investigate","ctrl+alt+shift+l","alt+shift+cmd+l","SmartGit","Query","ctrl alt shift"
"","71010","Create Pull Request...","n/a","ctrl+alt+u","SmartGit","Query","None"
"","71011","Next Comment","n/a","ctrl+alt+down","SmartGit","Query","None"
"","71012","Previous Comment","n/a","ctrl+alt+up","SmartGit","Query","None"
"","71013","Review Sync","n/a","shift+f5","SmartGit","Query","None"
"","71014","New window","ctrl+n","cmd+n","SmartGit","Window","ctrl"
"","71015","Show log window","ctrl+shift+n","shift+cmd+n","SmartGit","Window","ctrl shift"
"","71016","Full screen","f11","n/a","SmartGit","Window","None"
"","71017","Maximize view","shift+f11","blank","SmartGit","Window","shift"
"","71018","Hide view","ctrl+shift+f4","blank","SmartGit","Window","ctrl shift"
"","71019","Repositories","ctrl+shift+1","alt+cmd+1","SmartGit","Window","ctrl shift"
"","71020","Branches","ctrl+shift+2","alt+cmd+2","SmartGit","Window","ctrl shift"
"","71021","Files","ctrl+shift+3","alt+cmd+3","SmartGit","Window","ctrl shift"
"","71022","Changes","ctrl+shift+4","alt+cmd+4","SmartGit","Window","ctrl shift"
"","71023","Journal","ctrl+shift+5","alt+cmd+5","SmartGit","Window","ctrl shift"
"","71024","Commit","ctrl+shift+6","alt+cmd+6","SmartGit","Window","ctrl shift"
"","71025","Output","ctrl+shift+7","alt+cmd+7","SmartGit","Window","ctrl shift"
"","71026","Comments","n/a","alt+cmd+8","SmartGit","Window","None"
"","71027","Main perspective","ctrl+alt+1","alt+shift+1","SmartGit","Window","ctrl alt"
"","71028","Review perspective","ctrl+alt+2","alt+shift+2","SmartGit","Window","ctrl alt"
"","71029","Find command","ctrl+shift+p","shift+cmd+p","SmartGit","Help","ctrl shift"
"","71030","Find object","ctrl+p","cmd+p","SmartGit","Help","ctrl"
"","71031","Repositories > Remove","del","del","SmartGit","Misc","None"
"","71032","Repositories > Rename","f2","f2","SmartGit","Misc","None"
"","71033","Reload","shift+f5","shift+f5","SmartGit","Misc","shift"
"","71034","Compact change display","ctrl+.","cmd+.","SmartGit","Misc","ctrl"
