"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"","151375","Open the Go to anything window to find and navigate to entities (teams, projects, people, articles, etc.)","ctrl+k","cmd+k","Space","Navigation and search","ctrl"
"","151376","Open the Search window to search in documents, blog-posts, chat conversations, member profiles.","ctrl+shift+f","shift+cmd+f","Space","Navigation and search","ctrl shift"
"","151377","Move to the next date range.","j or n","j or n","Space","Calendar (personal)","None"
"","151378","Move to the previous date range.","p","p","Space","Calendar (personal)","None"
"","151379","Move to the current day.","t","t","Space","Calendar (personal)","None"
"","151380","Switch to the Day view.","1 or d","1 or d","Space","Calendar (personal)","None"
"","151381","Switch to the Week view.","2 or w","2 or w","Space","Calendar (personal)","None"
"","151382","Switch to the Month view.","3 or m","3 or m","Space","Calendar (personal)","None"
"","151383","Switch to the 5 days view.","5 or x","5 or x","Space","Calendar (personal)","None"
"","151384","Add a new meeting.","c","c","Space","Calendar (personal)","None"
"","151385","Add a new absence.","a","a","Space","Calendar (personal)","None"
