"","id","Description","Keys","Keys (macOS)","Context","Category","Modifiers"
"","255756","Create new playlist","ctrl+n","cmd+n","Spotify","General","ctrl"
"","255757","Cut","ctrl+x","cmd+x","Spotify","General","ctrl"
"","255758","Copy","ctrl+c","cmd+c","Spotify","General","ctrl"
"","255759","Copy (alternative link)","ctrl+alt+c","alt+cmd+c","Spotify","General","ctrl alt"
"","255760","Paste","ctrl+v","cmd+v","Spotify","General","ctrl"
"","255761","Delete","del","del or backspace","Spotify","General","None"
"","255762","Select all","ctrl+a","cmd+a","Spotify","General","ctrl"
"","255763","Undo deleted song or playlist","ctrl+shift+z","ctrl+z","Spotify","General","ctrl shift"
"","255764","Play/pause","space","space","Spotify","Play Controls","None"
"","255765","Repeat","ctrl+r","cmd+r","Spotify","Play Controls","ctrl"
"","255766","Shuffle","ctrl+s","cmd+s","Spotify","Play Controls","ctrl"
"","255767","Next track","ctrl+right","ctrl+cmd+right","Spotify","Play Controls","ctrl"
"","255768","Previous track","ctrl+left","ctrl+cmd+left","Spotify","Play Controls","ctrl"
"","255769","Volume up","ctrl+up","cmd+up","Spotify","Volume","ctrl"
"","255770","Volume down","ctrl+down","cmd+down","Spotify","Volume","ctrl"
"","255771","Mute","ctrl+shift+down","shift+cmd+down","Spotify","Volume","ctrl shift"
"","255772","Max volume","ctrl+shift+up","shift+cmd+up","Spotify","Volume","ctrl shift"
"","255773","Show help","f1","shift+cmd+?","Spotify","Volume","None"
"","255774","Filter (in Songs and Playlists)","ctrl+f","cmd+f","Spotify","Additional features","ctrl"
"","255775","Give focus to search field","ctrl+l","alt+cmd+f or cmd+l","Spotify","Additional features","ctrl"
"","255776","Go back","alt+left","alt+cmd+left or cmd+[","Spotify","Additional features","alt"
"","255777","Go forward","alt+right","alt+cmd+right or cmd+]","Spotify","Additional features","alt"
"","255778","Play selected row","enter","enter","Spotify","Additional features","None"
"","255779","Preferences","ctrl+p","cmd+,","Spotify","Additional features","ctrl"
"","255780","Logout active user","ctrl+shift+w","shift+cmd+w","Spotify","Additional features","ctrl shift"
"","255781","Quit","alt+f4","cmd+q","Spotify","Window","alt"
"","255782","Hide window","n/a","cmd+h","Spotify","Window","None"
"","255783","Hide other applications' windows","n/a","alt+cmd+h","Spotify","Window","None"
"","255784","Close window","n/a","cmd+w","Spotify","Window","None"
"","255785","Minimize window","n/a","cmd+m","Spotify","Window","None"
"","255786","Restore from minimized","n/a","alt+cmd+1","Spotify","Window","None"
